Name,Orig_Label,Pred_Label
00003.png,33,34
00008.png,25,11
00009.png,35,36
00013.png,7,10
00014.png,4,1
00015.png,9,10
00016.png,21,11
00017.png,20,11
00018.png,27,25
00019.png,38,36
00021.png,33,34
00023.png,3,5
00028.png,9,10
00033.png,23,31
00036.png,3,5
00039.png,8,5
00046.png,3,5
00048.png,18,31
00049.png,8,4
00050.png,25,38
00059.png,16,10
00066.png,26,19
00067.png,2,5
00068.png,5,7
00069.png,28,21
00072.png,30,11
00081.png,33,34
00090.png,3,10
00096.png,3,10
00104.png,33,34
00108.png,33,34
00112.png,16,10
00114.png,30,20
00116.png,27,1
00117.png,29,11
00122.png,1,8
00127.png,30,20
00131.png,3,10
00138.png,2,5
00141.png,4,8
00142.png,6,41
00143.png,18,26
00145.png,25,11
00155.png,3,5
00158.png,7,8
00159.png,4,3
00163.png,25,20
00168.png,29,23
00176.png,3,5
00177.png,40,34
00181.png,4,2
00185.png,25,11
00186.png,18,31
00187.png,1,2
00197.png,38,40
00198.png,18,21
00199.png,28,25
00201.png,9,10
00202.png,4,10
00203.png,1,2
00207.png,31,20
00213.png,5,1
00218.png,4,8
00229.png,36,34
00232.png,33,34
00235.png,19,31
00237.png,30,12
00243.png,0,5
00244.png,10,13
00247.png,8,5
00249.png,38,34
00252.png,0,4
00256.png,35,40
00260.png,35,34
00262.png,18,20
00264.png,1,5
00265.png,12,38
00270.png,18,27
00271.png,18,12
00275.png,18,26
00277.png,39,38
00281.png,35,36
00283.png,26,20
00286.png,33,34
00287.png,30,38
00291.png,31,17
00294.png,5,8
00302.png,2,5
00304.png,4,2
00305.png,3,12
00328.png,8,5
00330.png,4,8
00332.png,3,10
00333.png,25,11
00335.png,6,42
00336.png,7,5
00338.png,4,8
00339.png,22,9
00340.png,10,5
00342.png,9,5
00344.png,38,39
00345.png,38,39
00355.png,40,34
00356.png,35,34
00357.png,3,5
00361.png,38,11
00363.png,39,33
00364.png,3,8
00367.png,38,6
00370.png,10,34
00372.png,3,5
00378.png,1,2
00380.png,19,20
00391.png,33,36
00392.png,28,31
00393.png,2,10
00396.png,4,8
00401.png,36,34
00403.png,0,8
00404.png,38,37
00405.png,36,38
00406.png,8,5
00414.png,29,23
00416.png,10,5
00419.png,2,5
00421.png,4,9
00427.png,20,27
00429.png,34,40
00430.png,11,30
00433.png,34,33
00438.png,8,6
00439.png,3,5
00446.png,31,25
00448.png,38,40
00454.png,1,8
00471.png,35,36
00472.png,3,5
00476.png,35,38
00477.png,36,1
00490.png,17,9
00491.png,26,11
00492.png,4,38
00495.png,5,7
00496.png,30,8
00498.png,31,12
00499.png,40,34
00502.png,9,8
00504.png,23,11
00505.png,4,8
00507.png,42,6
00511.png,2,5
00513.png,22,25
00515.png,33,38
00517.png,1,2
00520.png,18,19
00522.png,31,25
00529.png,4,8
00541.png,6,42
00545.png,1,10
00550.png,4,1
00552.png,9,10
00559.png,24,25
00565.png,23,20
00570.png,3,5
00575.png,33,34
00576.png,3,5
00579.png,0,5
00583.png,1,2
00584.png,35,39
00590.png,35,33
00596.png,4,20
00600.png,2,1
00603.png,19,20
00604.png,3,5
00606.png,7,16
00610.png,27,30
00624.png,7,16
00626.png,28,25
00634.png,4,8
00637.png,29,13
00644.png,2,7
00647.png,7,10
00653.png,5,31
00660.png,5,10
00670.png,15,1
00672.png,36,35
00673.png,35,36
00675.png,0,1
00677.png,18,41
00678.png,29,23
00682.png,35,40
00684.png,35,36
00689.png,34,36
00698.png,1,8
00702.png,39,38
00708.png,18,26
00716.png,2,5
00717.png,36,33
00718.png,1,2
00719.png,5,1
00727.png,11,30
00731.png,2,5
00734.png,15,10
00737.png,38,36
00738.png,4,8
00740.png,3,5
00741.png,1,5
00745.png,17,38
00747.png,2,4
00752.png,9,10
00758.png,3,5
00759.png,23,20
00760.png,3,5
00763.png,3,1
00768.png,3,5
00775.png,4,8
00778.png,0,8
00779.png,33,34
00781.png,39,38
00788.png,2,5
00789.png,38,32
00790.png,2,5
00794.png,1,5
00803.png,5,3
00805.png,2,1
00806.png,26,25
00807.png,0,1
00809.png,0,7
00811.png,31,20
00813.png,13,41
00819.png,2,5
00820.png,4,1
00823.png,4,8
00825.png,4,8
00829.png,27,25
00830.png,37,36
00833.png,18,31
00845.png,4,8
00858.png,3,5
00859.png,11,30
00861.png,6,4
00863.png,2,5
00865.png,33,34
00866.png,3,5
00867.png,9,10
00870.png,42,6
00875.png,1,5
00878.png,3,5
00882.png,10,5
00886.png,33,35
00892.png,33,34
00897.png,31,20
00899.png,42,41
00904.png,27,23
00908.png,38,11
00914.png,18,12
00918.png,35,36
00924.png,19,20
00928.png,3,10
00933.png,38,33
00934.png,1,8
00937.png,2,5
00938.png,42,6
00943.png,0,8
00944.png,38,39
00951.png,31,20
00952.png,15,32
00956.png,42,41
00957.png,36,38
00960.png,27,31
00971.png,7,8
00975.png,8,10
00979.png,2,1
00982.png,1,5
00984.png,31,20
00988.png,7,5
00989.png,39,38
00990.png,0,8
00995.png,38,33
01011.png,10,13
01016.png,15,10
01022.png,11,30
01025.png,30,11
01033.png,41,42
01036.png,8,5
01041.png,9,10
01045.png,31,11
01050.png,4,8
01069.png,41,42
01073.png,39,38
01081.png,2,5
01084.png,2,5
01087.png,4,8
01091.png,33,34
01093.png,18,11
01095.png,37,34
01097.png,9,10
01104.png,23,13
01112.png,11,30
01115.png,33,34
01116.png,8,4
01118.png,3,1
01119.png,32,6
01120.png,31,20
01122.png,35,34
01127.png,8,5
01131.png,8,5
01134.png,4,8
01136.png,17,10
01141.png,33,34
01148.png,5,2
01151.png,3,5
01155.png,33,35
01168.png,2,5
01172.png,38,33
01173.png,34,35
01174.png,38,33
01177.png,18,27
01184.png,37,38
01186.png,22,25
01196.png,14,17
01200.png,5,9
01203.png,4,8
01204.png,3,5
01206.png,40,38
01209.png,11,30
01210.png,18,11
01212.png,39,38
01218.png,9,10
01232.png,4,8
01233.png,4,8
01234.png,3,10
01237.png,4,8
01242.png,37,36
01243.png,35,36
01246.png,28,11
01252.png,8,5
01254.png,37,36
01256.png,31,25
01272.png,3,5
01275.png,8,5
01276.png,18,19
01280.png,2,1
01281.png,1,7
01290.png,4,2
01291.png,38,34
01293.png,2,17
01297.png,33,34
01298.png,28,23
01300.png,38,39
01304.png,33,34
01306.png,4,16
01307.png,19,20
01308.png,23,19
01323.png,5,8
01332.png,4,2
01334.png,1,5
01336.png,34,35
01338.png,42,6
01341.png,9,10
01345.png,8,5
01347.png,38,39
01359.png,2,8
01360.png,26,19
01361.png,3,5
01362.png,8,5
01363.png,11,30
01364.png,8,3
01365.png,10,17
01370.png,33,34
01371.png,25,42
01372.png,2,1
01373.png,41,42
01375.png,18,5
01377.png,3,5
01383.png,38,35
01384.png,7,16
01385.png,4,8
01393.png,5,7
01402.png,30,42
01403.png,2,5
01410.png,15,10
01411.png,7,5
01414.png,38,39
01416.png,3,5
01431.png,27,25
01434.png,23,8
01452.png,5,7
01453.png,4,8
01454.png,2,8
01455.png,18,11
01456.png,38,11
01457.png,5,7
01468.png,7,9
01470.png,15,1
01471.png,2,5
01472.png,3,5
01475.png,18,38
01479.png,31,20
01491.png,2,5
01496.png,38,12
01497.png,7,5
01501.png,8,10
