Name,Orig_Label,Pred_Label
00009.png,35,39
00015.png,9,2
00017.png,20,19
00019.png,38,39
00032.png,34,33
00035.png,17,41
00036.png,3,5
00039.png,8,5
00044.png,24,18
00046.png,3,4
00050.png,25,11
00051.png,13,12
00052.png,15,9
00055.png,35,41
00066.png,26,25
00068.png,5,1
00070.png,11,25
00072.png,30,11
00095.png,32,41
00100.png,1,2
00107.png,25,22
00108.png,33,41
00114.png,30,11
00119.png,17,15
00122.png,1,41
00127.png,30,20
00131.png,3,5
00134.png,11,22
00135.png,10,9
00137.png,40,34
00140.png,41,9
00153.png,25,22
00167.png,14,13
00168.png,29,11
00172.png,26,27
00184.png,20,19
00185.png,25,11
00187.png,1,2
00191.png,29,23
00196.png,8,4
00197.png,38,32
00199.png,28,25
00210.png,15,9
00213.png,5,2
00217.png,5,1
00230.png,25,11
00232.png,33,41
00242.png,20,19
00245.png,40,36
00249.png,38,33
00250.png,20,19
00254.png,34,25
00255.png,28,25
00256.png,35,16
00263.png,25,19
00265.png,12,25
00266.png,5,2
00268.png,2,4
00276.png,34,12
00277.png,39,41
00287.png,30,11
00288.png,17,13
00299.png,26,27
00305.png,3,9
00309.png,38,40
00313.png,38,40
00318.png,17,32
00324.png,31,18
00337.png,34,33
00339.png,22,23
00341.png,29,13
00344.png,38,39
00349.png,28,31
00352.png,16,9
00361.png,38,36
00363.png,39,38
00366.png,7,2
00368.png,19,20
00374.png,26,25
00380.png,19,20
00382.png,38,33
00384.png,35,36
00386.png,34,33
00391.png,33,2
00393.png,2,3
00394.png,1,41
00397.png,38,39
00404.png,38,37
00408.png,5,1
00420.png,3,1
00421.png,4,1
00427.png,20,22
00428.png,38,40
00429.png,34,33
00432.png,34,12
00433.png,34,33
00442.png,7,5
00443.png,30,18
00447.png,38,41
00448.png,38,37
00455.png,38,41
00458.png,39,38
00459.png,6,5
00461.png,25,28
00463.png,17,41
00465.png,38,39
00475.png,12,13
00481.png,2,1
00482.png,35,13
00487.png,31,23
00490.png,17,41
00492.png,4,2
00495.png,5,1
00501.png,30,25
00513.png,22,19
00516.png,3,1
00517.png,1,4
00527.png,5,2
00535.png,31,25
00539.png,35,36
00549.png,12,41
00565.png,23,20
00572.png,41,9
00576.png,3,2
00583.png,1,4
00587.png,30,11
00613.png,29,22
00622.png,1,13
00624.png,7,8
00632.png,25,21
00637.png,29,23
00638.png,17,1
00639.png,9,15
00642.png,17,15
00645.png,13,25
00646.png,12,13
00648.png,1,41
00651.png,17,41
00653.png,5,2
00654.png,12,25
00664.png,13,25
00672.png,36,37
00676.png,25,1
00681.png,14,41
00688.png,17,41
00689.png,34,35
00700.png,3,1
00702.png,39,38
00713.png,39,38
00717.png,36,40
00718.png,1,25
00722.png,5,1
00736.png,39,16
00737.png,38,39
00745.png,17,38
00749.png,30,22
00751.png,28,29
00757.png,12,38
00758.png,3,2
00760.png,3,5
00763.png,3,1
00764.png,12,13
00767.png,5,2
00774.png,3,1
00780.png,2,41
00781.png,39,38
00791.png,5,1
00792.png,1,2
00794.png,1,2
00800.png,38,32
00805.png,2,1
00806.png,26,25
00812.png,4,1
00815.png,1,11
00826.png,15,41
00829.png,27,11
00830.png,37,36
00845.png,4,15
00850.png,10,9
00859.png,11,30
00862.png,9,16
00872.png,10,9
00878.png,3,2
00883.png,30,18
00886.png,33,38
00892.png,33,13
00894.png,35,36
00895.png,5,1
00896.png,15,41
00898.png,33,37
00899.png,42,16
00902.png,38,16
00904.png,27,25
00909.png,38,16
00910.png,1,16
00919.png,5,10
00921.png,25,23
00933.png,38,39
00934.png,1,2
00940.png,35,15
00941.png,29,22
00942.png,38,40
00943.png,0,2
00944.png,38,16
00945.png,10,16
00948.png,34,33
00951.png,31,20
00952.png,15,41
00957.png,36,32
00959.png,20,19
00975.png,8,4
00978.png,39,38
00989.png,39,38
00990.png,0,1
00995.png,38,15
01008.png,12,13
01019.png,5,1
01022.png,11,30
01024.png,38,41
01040.png,38,41
01046.png,2,1
01053.png,34,33
01069.png,41,12
01070.png,8,7
01073.png,39,38
01077.png,7,8
01079.png,21,19
01086.png,18,30
01088.png,5,2
01092.png,1,4
01095.png,37,36
01100.png,35,32
01101.png,20,19
01103.png,20,22
01105.png,5,41
01114.png,12,13
01115.png,33,38
01121.png,41,9
01129.png,1,2
01136.png,17,32
01137.png,18,13
01141.png,33,38
01150.png,32,41
01153.png,1,41
01154.png,10,16
01169.png,20,19
01172.png,38,13
01173.png,34,33
01174.png,38,13
01175.png,39,38
01189.png,12,13
01198.png,8,7
01200.png,5,2
01201.png,5,2
01205.png,29,18
01210.png,18,21
01212.png,39,38
01213.png,12,13
01218.png,9,1
01230.png,5,1
01231.png,5,4
01234.png,3,1
01235.png,34,33
01236.png,23,18
01237.png,4,1
01242.png,37,36
01245.png,28,11
01247.png,2,4
01254.png,37,36
01263.png,5,2
01268.png,2,1
01270.png,2,1
01272.png,3,5
01276.png,18,21
01278.png,5,1
01284.png,11,18
01287.png,10,2
01289.png,34,40
01291.png,38,15
01306.png,4,3
01314.png,34,40
01317.png,25,28
01323.png,5,9
01325.png,26,18
01332.png,4,2
01335.png,2,1
01336.png,34,13
01346.png,35,16
01347.png,38,22
01350.png,5,1
01359.png,2,41
01363.png,11,1
01364.png,8,5
01365.png,10,9
01369.png,2,4
01372.png,2,1
01378.png,34,33
01383.png,38,35
01384.png,7,3
01385.png,4,5
01390.png,8,2
01397.png,35,32
01399.png,12,23
01402.png,30,11
01413.png,34,33
01425.png,14,12
01428.png,17,41
01431.png,27,11
01449.png,12,38
01453.png,4,5
01455.png,18,25
01462.png,42,16
01463.png,34,18
01468.png,7,4
01469.png,20,19
01475.png,18,27
01477.png,35,32
01490.png,12,13
01492.png,5,41
01520.png,8,7
01526.png,38,15
01527.png,2,1
01537.png,39,38
01540.png,10,9
01553.png,3,9
01560.png,42,41
01563.png,38,13
01566.png,25,11
01567.png,10,9
01572.png,20,19
01573.png,3,2
01574.png,9,2
01576.png,38,13
01577.png,28,27
01578.png,3,1
01583.png,21,19
01586.png,17,9
01590.png,10,9
01593.png,10,3
01607.png,3,1
01608.png,8,16
01610.png,16,1
