Name,Orig_Label,Pred_Label
00003.png,33,34
00006.png,18,13
00008.png,25,21
00012.png,23,31
00013.png,7,8
00014.png,4,1
00016.png,21,23
00018.png,27,20
00020.png,4,8
00021.png,33,34
00024.png,1,2
00029.png,11,2
00033.png,23,31
00039.png,8,5
00042.png,18,19
00044.png,24,25
00046.png,3,5
00050.png,25,20
00055.png,35,40
00057.png,26,27
00062.png,4,2
00063.png,9,10
00064.png,15,8
00067.png,2,8
00068.png,5,8
00069.png,28,20
00070.png,11,28
00076.png,1,2
00081.png,33,38
00088.png,22,20
00090.png,3,5
00096.png,3,5
00099.png,33,34
00104.png,33,34
00107.png,25,20
00108.png,33,34
00112.png,16,10
00114.png,30,31
00115.png,3,2
00116.png,27,20
00117.png,29,11
00122.png,1,7
00127.png,30,31
00129.png,6,42
00131.png,3,5
00134.png,11,12
00136.png,18,26
00137.png,40,34
00141.png,4,8
00143.png,18,30
00145.png,25,20
00155.png,3,5
00159.png,4,1
00163.png,25,11
00164.png,18,26
00165.png,9,17
00168.png,29,23
00172.png,26,1
00176.png,3,5
00177.png,40,5
00184.png,20,26
00186.png,18,30
00191.png,29,11
00194.png,31,20
00196.png,8,5
00197.png,38,37
00198.png,18,19
00199.png,28,1
00202.png,4,5
00211.png,38,13
00213.png,5,8
00217.png,5,2
00218.png,4,7
00223.png,1,2
00229.png,36,1
00232.png,33,34
00233.png,18,30
00234.png,33,34
00237.png,30,25
00238.png,4,8
00242.png,20,25
00243.png,0,2
00245.png,40,34
00247.png,8,5
00248.png,12,38
00250.png,20,19
00252.png,0,8
00255.png,28,2
00256.png,35,40
00258.png,25,13
00268.png,2,8
00270.png,18,11
00271.png,18,20
00275.png,18,20
00279.png,1,2
00283.png,26,3
00286.png,33,34
00287.png,30,11
00290.png,1,2
00294.png,5,8
00296.png,33,38
00302.png,2,5
00304.png,4,9
00305.png,3,8
00306.png,32,13
00307.png,1,2
00317.png,40,34
00319.png,4,12
00321.png,4,8
00330.png,4,8
00332.png,3,5
00338.png,4,5
00339.png,22,10
00341.png,29,23
00349.png,28,25
00355.png,40,34
00357.png,3,5
00358.png,38,39
00360.png,9,10
00363.png,39,38
00365.png,11,30
00366.png,7,8
00368.png,19,31
00371.png,18,31
00372.png,3,5
00374.png,26,27
00375.png,1,2
00378.png,1,2
00379.png,18,11
00386.png,34,35
00387.png,12,8
00391.png,33,34
00392.png,28,31
00393.png,2,1
00396.png,4,8
00398.png,4,8
00403.png,0,5
00406.png,8,5
00413.png,26,19
00421.png,4,16
00422.png,19,28
00423.png,9,10
00427.png,20,31
00430.png,11,25
00439.png,3,5
00442.png,7,8
