Name,Orig_Label,Pred_Label
00003.png,33,25
00016.png,21,23
00017.png,20,19
00024.png,1,16
00025.png,11,16
00029.png,11,16
00030.png,5,2
00032.png,34,12
00035.png,17,16
00039.png,8,5
00042.png,18,25
00050.png,25,18
00055.png,35,13
00057.png,26,16
00066.png,26,1
00068.png,5,38
00072.png,30,11
00073.png,34,33
00076.png,1,2
00077.png,10,1
00080.png,21,31
00081.png,33,38
00092.png,2,13
00095.png,32,16
00100.png,1,13
00104.png,33,40
00105.png,4,2
00108.png,33,41
00110.png,1,2
00113.png,10,16
00114.png,30,13
00116.png,27,31
00117.png,29,25
00119.png,17,13
00120.png,13,16
00122.png,1,16
00124.png,2,1
00125.png,10,9
00127.png,30,25
00130.png,36,16
00132.png,14,2
00134.png,11,16
00135.png,10,15
00137.png,40,33
00140.png,41,9
00142.png,6,41
00145.png,25,21
00146.png,2,13
00147.png,41,38
00150.png,7,5
00153.png,25,19
00154.png,17,15
00157.png,9,10
00163.png,25,27
00167.png,14,16
00169.png,17,15
00172.png,26,11
00173.png,25,23
00174.png,33,34
00175.png,1,16
00176.png,3,5
00181.png,4,1
00182.png,36,38
00184.png,20,19
00187.png,1,41
00191.png,29,12
00195.png,2,1
00196.png,8,16
00197.png,38,35
00198.png,18,31
00199.png,28,16
00200.png,17,12
00204.png,17,13
00209.png,15,13
00213.png,5,15
00217.png,5,1
00222.png,5,2
00225.png,12,16
00227.png,5,2
00232.png,33,16
00235.png,19,25
00237.png,30,25
00240.png,12,25
00242.png,20,19
00243.png,0,4
00248.png,12,22
00249.png,38,16
00250.png,20,19
00252.png,0,4
00253.png,36,1
00254.png,34,25
00255.png,28,12
00256.png,35,13
00257.png,13,25
00258.png,25,12
00263.png,25,12
00266.png,5,41
00270.png,18,25
00272.png,34,33
00274.png,25,11
00276.png,34,13
00277.png,39,22
00281.png,35,37
00285.png,1,25
00287.png,30,9
00288.png,17,25
00297.png,28,12
00298.png,35,22
00299.png,26,28
00304.png,4,25
00306.png,32,16
00309.png,38,1
00310.png,19,11
00311.png,11,12
00314.png,1,16
00316.png,2,1
00318.png,17,15
00329.png,2,1
00331.png,18,26
00334.png,10,2
00335.png,6,41
00337.png,34,16
00339.png,22,21
00341.png,29,18
00342.png,9,10
00344.png,38,39
00349.png,28,25
00351.png,2,1
00354.png,12,41
00355.png,40,33
00356.png,35,22
00358.png,38,40
00359.png,10,9
00360.png,9,16
00363.png,39,38
00366.png,7,1
00368.png,19,20
00373.png,5,4
00375.png,1,2
00377.png,13,25
00378.png,1,4
00379.png,18,19
00380.png,19,25
00386.png,34,22
00389.png,9,16
00393.png,2,3
00394.png,1,22
00399.png,12,22
00401.png,36,15
00406.png,8,1
00407.png,25,23
00408.png,5,15
00409.png,2,4
00411.png,14,1
00417.png,14,4
00426.png,13,16
00427.png,20,22
00429.png,34,33
00430.png,11,30
00432.png,34,22
00433.png,34,33
00435.png,6,41
00441.png,17,1
00443.png,30,13
00447.png,38,16
00454.png,1,2
00455.png,38,11
00458.png,39,16
00461.png,25,11
00463.png,17,15
00467.png,13,11
00468.png,14,1
00473.png,1,41
00475.png,12,22
00477.png,36,35
00482.png,35,9
00490.png,17,9
00492.png,4,22
00496.png,30,11
00498.png,31,25
00501.png,30,25
00513.png,22,19
00514.png,38,22
00517.png,1,15
00518.png,8,2
00521.png,26,12
00523.png,14,12
00527.png,5,16
00528.png,18,30
00531.png,15,22
00537.png,6,42
00539.png,35,11
00540.png,8,1
00549.png,12,13
00550.png,4,10
00551.png,5,2
00559.png,24,18
00562.png,10,9
