Name,Orig_Label,Pred_Label
00003.png,33,35
00008.png,25,29
00018.png,27,26
00033.png,23,31
00048.png,18,20
00050.png,25,38
00055.png,35,40
00068.png,5,1
00071.png,25,23
00072.png,30,25
00073.png,34,33
00076.png,1,3
00078.png,25,28
00086.png,3,10
00114.png,30,23
00117.png,29,26
00127.png,30,26
00131.png,3,7
00152.png,11,25
00159.png,4,1
00163.png,25,28
00164.png,18,26
00167.png,14,1
00176.png,3,8
00184.png,20,28
00204.png,17,13
00211.png,38,11
00213.png,5,3
00220.png,2,3
00232.png,33,34
00237.png,30,11
00243.png,0,4
00250.png,20,25
00252.png,0,4
00255.png,28,25
00270.png,18,26
00277.png,39,38
00304.png,4,13
00305.png,3,8
00309.png,38,9
00314.png,1,2
00325.png,35,39
00329.png,2,1
00331.png,18,25
00335.png,6,42
00338.png,4,8
00339.png,22,25
00349.png,28,25
00355.png,40,7
00357.png,3,5
00361.png,38,11
00363.png,39,38
00367.png,38,6
00372.png,3,7
00376.png,41,42
00389.png,9,10
00393.png,2,1
00403.png,0,4
00422.png,19,20
00429.png,34,36
00430.png,11,30
00458.png,39,34
00461.png,25,11
00471.png,35,33
00492.png,4,7
00496.png,30,11
00499.png,40,35
00500.png,22,19
00506.png,32,41
00513.png,22,25
00517.png,1,4
00520.png,18,31
00529.png,4,5
00545.png,1,2
00550.png,4,9
00570.png,3,5
00572.png,41,32
00579.png,0,1
00584.png,35,37
00590.png,35,38
00591.png,13,30
00600.png,2,1
00603.png,19,25
00609.png,9,10
00611.png,41,42
00624.png,7,8
00637.png,29,24
00660.png,5,7
00668.png,11,31
00672.png,36,35
00675.png,0,1
00677.png,18,31
00678.png,29,12
00682.png,35,34
00689.png,34,36
00712.png,11,25
00731.png,2,12
00733.png,38,1
00734.png,15,12
00736.png,39,38
00738.png,4,8
00739.png,1,5
00745.png,17,13
00749.png,30,23
00752.png,9,10
00753.png,28,25
00755.png,42,6
00778.png,0,4
00779.png,33,34
00780.png,2,4
00781.png,39,38
00788.png,2,5
00789.png,38,33
00790.png,2,1
00792.png,1,7
00794.png,1,5
00805.png,2,1
00807.png,0,1
00809.png,0,1
00810.png,26,31
00820.png,4,1
00829.png,27,25
00830.png,37,36
00832.png,1,5
00834.png,28,25
00845.png,4,2
00859.png,11,30
00862.png,9,10
00866.png,3,5
00879.png,23,20
00881.png,1,2
00883.png,30,22
00886.png,33,34
00890.png,13,36
00892.png,33,34
00894.png,35,25
00900.png,11,31
00904.png,27,25
00908.png,38,12
00909.png,38,11
00914.png,18,12
00940.png,35,38
00941.png,29,23
00943.png,0,2
00948.png,34,38
00953.png,13,31
00957.png,36,38
00959.png,20,19
00966.png,32,41
00976.png,23,25
00979.png,2,8
00982.png,1,2
00989.png,39,38
00990.png,0,1
00991.png,23,18
01011.png,10,13
01018.png,35,33
01022.png,11,28
01025.png,30,25
01033.png,41,42
01034.png,10,16
01051.png,18,26
01067.png,32,12
01069.png,41,42
01072.png,8,7
01073.png,39,38
01079.png,21,22
01084.png,2,4
01088.png,5,1
01092.png,1,7
01104.png,23,19
01105.png,5,2
01115.png,33,34
01122.png,35,33
01127.png,8,5
01136.png,17,14
01140.png,8,10
01169.png,20,19
01177.png,18,25
01178.png,5,3
01184.png,37,38
01200.png,5,3
01209.png,11,30
01210.png,18,21
01212.png,39,38
01234.png,3,5
01235.png,34,33
01242.png,37,36
01245.png,28,25
01252.png,8,5
01254.png,37,36
01259.png,5,3
01265.png,38,39
01268.png,2,13
01270.png,2,1
01274.png,42,6
01275.png,8,4
01276.png,18,21
01299.png,7,8
01303.png,1,5
01308.png,23,28
01315.png,35,38
01333.png,9,10
01338.png,42,6
01348.png,7,2
01355.png,12,19
01363.png,11,27
01369.png,2,5
01370.png,33,34
01373.png,41,6
01378.png,34,38
01385.png,4,5
01402.png,30,25
01404.png,38,33
01410.png,15,1
01423.png,14,17
01431.png,27,25
01436.png,11,31
01453.png,4,1
01461.png,3,5
01462.png,42,6
01469.png,20,26
01471.png,2,8
01475.png,18,24
01489.png,12,32
01496.png,38,23
01512.png,18,27
01517.png,42,6
01519.png,0,4
01525.png,18,26
01526.png,38,40
01535.png,3,1
01558.png,2,9
01559.png,20,25
01573.png,3,5
01578.png,3,1
01583.png,21,22
01596.png,15,10
01602.png,1,5
01612.png,42,6
01617.png,32,41
01619.png,2,5
01620.png,7,10
01637.png,2,3
01640.png,33,34
01650.png,35,33
01660.png,7,8
01661.png,28,25
01662.png,17,13
01663.png,31,19
01665.png,25,18
01685.png,38,39
01688.png,1,8
01691.png,34,33
01699.png,27,26
01705.png,35,38
01710.png,1,2
01711.png,1,3
01743.png,2,5
01746.png,39,38
01753.png,18,25
01759.png,21,1
01760.png,20,19
01761.png,37,36
01762.png,17,13
01779.png,35,3
01780.png,33,34
01781.png,38,13
01784.png,35,3
01797.png,31,20
01817.png,18,21
01824.png,30,25
01841.png,33,34
01851.png,28,29
01853.png,0,4
01854.png,29,22
01861.png,42,6
01865.png,21,25
01869.png,25,22
01889.png,39,38
01898.png,21,19
01899.png,38,12
01904.png,36,38
01926.png,34,33
01935.png,17,38
01943.png,10,19
01955.png,1,2
01959.png,11,21
01969.png,40,38
01978.png,10,4
02002.png,8,4
02005.png,26,31
02010.png,36,37
02024.png,1,5
02030.png,10,8
02035.png,35,38
02044.png,3,5
02045.png,0,1
02057.png,36,41
02064.png,5,3
02065.png,18,26
02069.png,18,26
02075.png,18,26
02087.png,18,20
02090.png,31,23
02108.png,36,37
02112.png,18,26
02113.png,5,3
02114.png,2,8
02121.png,18,26
02127.png,5,10
02129.png,13,3
02138.png,36,38
02151.png,36,1
02154.png,1,2
02160.png,0,4
02167.png,16,10
02170.png,18,31
02172.png,18,26
02208.png,1,5
02218.png,42,6
02227.png,8,9
02233.png,10,2
02234.png,5,10
02240.png,1,4
02243.png,16,1
02258.png,12,32
02274.png,20,25
02288.png,30,25
02307.png,1,4
