Name,Orig_Label,Pred_Label
00003.png,33,35
00004.png,11,42
00007.png,12,32
00013.png,7,9
00014.png,4,2
00016.png,21,2
00017.png,20,25
00020.png,4,28
00021.png,33,35
00023.png,3,18
00032.png,34,35
00039.png,8,3
00042.png,18,29
00044.png,24,18
00045.png,25,11
00046.png,3,7
00047.png,10,15
00050.png,25,38
00059.png,16,15
00066.png,26,20
00067.png,2,1
00068.png,5,1
00069.png,28,29
00070.png,11,25
00077.png,10,9
00079.png,25,31
00080.png,21,25
00081.png,33,25
00083.png,7,3
00087.png,7,13
00088.png,22,11
00096.png,3,12
00099.png,33,35
00104.png,33,38
00107.png,25,11
00108.png,33,38
00109.png,4,12
00110.png,1,2
00112.png,16,15
00113.png,10,4
00114.png,30,31
00115.png,3,1
00116.png,27,28
00117.png,29,12
00122.png,1,2
00127.png,30,23
00130.png,36,35
00131.png,3,7
00132.png,14,17
00135.png,10,15
00137.png,40,34
00138.png,2,9
00139.png,38,35
00141.png,4,15
00143.png,18,12
00145.png,25,12
00150.png,7,9
00152.png,11,12
00156.png,6,12
00158.png,7,25
00159.png,4,1
00161.png,16,9
00162.png,4,9
00163.png,25,28
00167.png,14,25
00172.png,26,25
00173.png,25,11
00174.png,33,35
00175.png,1,15
00176.png,3,5
00181.png,4,15
00183.png,25,28
00184.png,20,11
00185.png,25,15
00191.png,29,23
00192.png,12,25
00196.png,8,5
00202.png,4,7
00207.png,31,15
00212.png,25,13
00213.png,5,2
00217.png,5,1
00221.png,4,15
00222.png,5,2
00223.png,1,2
00224.png,14,25
00226.png,12,15
00227.png,5,2
00229.png,36,35
00232.png,33,35
00235.png,19,12
00237.png,30,12
00243.png,0,18
00246.png,5,30
00247.png,8,2
00250.png,20,41
00252.png,0,1
00253.png,36,38
00254.png,34,35
00255.png,28,11
00256.png,35,38
00257.png,13,25
00260.png,35,11
00263.png,25,11
00264.png,1,17
00265.png,12,15
00266.png,5,7
00267.png,25,11
00268.png,2,1
00270.png,18,15
00271.png,18,26
00272.png,34,33
00276.png,34,33
00277.png,39,38
00279.png,1,2
00286.png,33,38
00287.png,30,10
00290.png,1,2
00295.png,1,5
00299.png,26,18
00304.png,4,9
00305.png,3,18
00306.png,32,18
00308.png,7,1
00309.png,38,12
00310.png,19,18
00311.png,11,18
00312.png,38,25
00317.png,40,33
00319.png,4,3
00320.png,8,2
00322.png,5,2
00327.png,38,35
00331.png,18,12
00332.png,3,25
00335.png,6,42
00336.png,7,8
00339.png,22,25
00341.png,29,18
00343.png,2,1
00345.png,38,35
00349.png,28,11
00354.png,12,26
00357.png,3,18
00358.png,38,39
00361.png,38,12
00363.png,39,38
00366.png,7,17
00367.png,38,12
00368.png,19,25
00370.png,10,9
00371.png,18,13
00375.png,1,12
00376.png,41,17
00379.png,18,11
00381.png,13,26
00383.png,4,18
00385.png,25,11
00391.png,33,35
00393.png,2,9
00394.png,1,15
00395.png,5,10
00396.png,4,9
00397.png,38,39
00401.png,36,35
00402.png,10,9
00403.png,0,31
00404.png,38,35
00405.png,36,35
00406.png,8,2
00408.png,5,2
00414.png,29,28
00418.png,9,11
00419.png,2,1
00421.png,4,15
00424.png,10,9
00429.png,34,35
00433.png,34,33
00435.png,6,42
00436.png,10,9
00443.png,30,18
00444.png,25,17
00445.png,1,17
00447.png,38,25
00449.png,8,7
00459.png,6,12
00467.png,13,25
00478.png,24,18
00481.png,2,1
00484.png,2,9
00489.png,14,17
00492.png,4,13
00493.png,3,15
00495.png,5,1
00496.png,30,26
00498.png,31,11
00499.png,40,34
00501.png,30,11
00503.png,7,18
00504.png,23,11
00505.png,4,26
00506.png,32,41
00512.png,25,18
00513.png,22,23
00517.png,1,15
00518.png,8,1
00520.png,18,26
00525.png,13,15
00526.png,3,1
00529.png,4,12
00535.png,31,18
00537.png,6,15
00538.png,10,13
00539.png,35,33
00540.png,8,18
00542.png,5,2
