Name,Orig_Label,Pred_Label,Pred_Blurred_5_Label,Pred_Blurred_10_Label,Pred_Blurred_15_Label,Pred_Blurred_20_Label,Pred_Dark_1_Label,Pred_Dark_2_Label,Pred_Dark_3_Label,Pred_Bright_1_Label,Pred_Bright_2_Label,Pred_Bright_3_Label,Pred_Bright_4_Label,Pred_Bright_5_Label,Pred_Bright_6_Label,Pred_Bright_7_Label,Pred_Occl_5_Label,Pred_Occl_10_Label,Pred_Occl_15_Label,Pred_Occl_20_Label,Pred_Occl_25_Label
00000.png,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
00001.png,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,17
00002.png,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
00003.png,33,34,34,34,34,35,34,35,33,33,40,35,33,1,25,25,34,33,33,35,38
00004.png,11,11,11,11,11,11,25,11,11,11,11,11,11,11,11,11,11,11,11,42,11
00005.png,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
00006.png,18,18,18,18,13,26,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
00007.png,12,12,12,12,12,12,12,12,2,12,12,12,12,12,12,12,12,12,11,32,12
00008.png,25,21,26,18,21,26,28,29,25,25,25,25,1,25,25,13,25,27,18,25,13
00009.png,35,35,35,35,35,35,35,35,35,35,36,35,35,35,35,35,35,35,35,35,35
00010.png,12,12,12,12,12,12,12,12,12,12,12,12,12,2,12,12,13,12,12,12,12
00011.png,7,7,7,7,7,8,7,7,7,7,7,5,7,7,7,7,7,7,7,7,1
00012.png,23,23,23,31,31,19,23,23,19,23,23,23,23,23,23,23,23,23,18,23,23
00013.png,7,7,7,7,8,8,7,7,7,7,7,7,7,3,7,7,7,7,7,9,26
00014.png,4,0,4,9,1,9,4,4,2,4,4,41,1,4,4,4,2,23,4,2,4
00015.png,9,9,9,9,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,15
00016.png,21,21,21,23,23,23,21,21,21,21,21,21,19,11,23,25,21,21,21,2,11
00017.png,20,20,19,20,20,20,20,20,19,26,19,19,19,13,19,20,19,28,19,25,26
00018.png,27,27,27,27,20,2,27,26,27,27,27,27,25,21,27,18,31,31,11,27,27
00019.png,38,38,38,38,38,38,38,38,38,38,39,38,38,33,38,38,38,38,38,38,38
00020.png,4,4,4,4,8,8,5,4,4,4,4,4,4,4,4,4,4,4,9,28,4
00021.png,33,33,33,33,34,34,33,33,34,33,33,33,33,33,33,2,35,33,40,35,38
00022.png,9,9,9,9,9,9,9,9,9,9,9,10,9,9,9,9,15,9,29,9,15
00023.png,3,3,3,5,3,8,3,3,3,3,3,3,3,3,3,3,16,3,18,18,3
00024.png,1,1,1,1,2,7,1,1,5,4,1,1,15,16,16,15,1,1,1,1,15
00025.png,11,11,11,11,11,18,28,11,11,11,25,11,19,25,16,25,11,28,18,11,11
00026.png,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
00027.png,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,17
00028.png,9,9,9,9,9,10,9,9,9,9,9,9,9,35,9,9,9,9,9,9,9
00029.png,11,11,11,11,2,23,11,11,11,11,11,11,19,1,16,1,11,11,19,11,11
00030.png,5,5,5,5,5,5,5,5,5,5,2,1,5,2,2,1,5,5,2,5,2
00031.png,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
00032.png,34,34,33,34,34,34,33,34,33,34,35,34,33,11,12,16,34,33,33,35,34
00033.png,23,23,23,23,31,19,23,31,19,23,23,23,23,23,23,23,23,31,18,23,12
00034.png,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2
00035.png,17,17,17,17,17,17,17,17,17,17,15,13,15,15,16,15,17,17,17,17,17
00036.png,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,5,3,10
00037.png,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
00038.png,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,9,16,16,16
00039.png,8,8,8,5,5,8,4,8,7,3,5,5,9,1,5,5,10,18,12,3,3
00040.png,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
00041.png,30,25,30,30,30,20,25,30,25,30,30,30,30,30,30,30,30,30,30,30,25
00042.png,18,18,18,18,19,20,31,18,18,18,18,18,18,18,25,25,18,18,18,29,18
00043.png,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,42,12,12,12,28
00044.png,24,24,24,29,25,18,24,24,25,24,24,24,24,24,24,24,24,24,24,18,24
00045.png,25,25,25,25,25,25,25,25,25,25,25,25,25,22,25,25,25,18,25,11,28
00046.png,3,3,3,3,5,3,2,3,3,3,3,2,38,3,3,3,3,3,18,7,3
00047.png,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,15,15,10
00048.png,18,18,18,30,18,18,18,20,12,18,18,18,18,18,18,18,18,18,5,18,26
00049.png,8,8,8,8,8,8,8,8,8,8,8,8,7,8,8,2,8,8,8,8,8
00050.png,25,18,11,20,20,13,20,38,31,18,38,38,12,38,18,13,12,38,25,38,12
00051.png,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,25,13,23
00052.png,15,15,15,15,15,15,15,15,15,15,15,15,15,10,15,15,15,15,15,15,15
00053.png,9,9,9,9,9,9,9,9,9,9,16,9,9,9,9,9,9,9,9,9,9
00054.png,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
00055.png,35,35,35,35,40,35,35,40,35,38,40,16,15,22,13,1,35,35,35,35,35
00056.png,5,5,5,5,5,5,10,5,7,5,5,5,5,5,5,5,5,5,5,5,3
00057.png,26,26,26,28,27,28,26,26,26,26,26,26,26,26,16,12,26,26,26,26,26
00058.png,9,9,9,9,9,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,19
00059.png,16,16,16,16,16,10,16,16,5,16,16,16,16,16,16,16,10,9,9,15,9
00060.png,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,25
00061.png,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
00062.png,4,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4
00063.png,9,10,9,9,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9
00064.png,15,15,15,15,8,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
00065.png,9,9,9,9,9,9,9,9,9,9,9,9,9,10,9,9,9,9,9,9,9
00066.png,26,26,26,26,26,26,26,26,26,26,26,18,18,26,1,12,26,26,26,20,11
00067.png,2,5,2,2,8,7,2,2,5,2,2,2,2,2,2,2,2,2,2,1,2
00068.png,5,1,5,2,8,8,5,1,5,1,1,2,15,16,38,15,1,5,1,1,1
00069.png,28,31,29,29,20,15,28,28,30,28,28,28,11,28,28,28,28,28,28,29,28
00070.png,11,11,11,11,28,28,11,11,11,11,11,11,11,11,11,11,25,11,11,25,11
00071.png,25,25,25,25,25,25,25,23,25,25,25,25,25,25,25,25,28,25,25,25,25
00072.png,30,30,25,30,30,10,30,25,4,30,30,11,11,25,11,25,30,25,25,30,25
00073.png,34,34,34,34,34,34,34,33,36,34,34,35,33,35,33,38,34,34,34,34,33
00074.png,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5
00075.png,12,12,12,12,12,12,26,12,12,12,12,12,12,12,12,12,12,12,12,12,12
00076.png,1,1,2,2,2,8,4,3,1,1,1,1,1,2,2,2,15,4,2,1,15
00077.png,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1,10,10,10,10,9,15
00078.png,25,25,25,24,25,25,25,28,27,25,25,25,25,25,25,25,25,25,25,25,12
00079.png,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,11,25,26,25,31,15
00080.png,21,21,25,21,21,21,21,21,21,21,21,21,21,21,31,23,21,21,21,25,11
00081.png,33,33,34,34,38,38,33,33,33,33,33,33,33,33,38,41,33,35,38,25,33
00082.png,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,18
00083.png,7,7,7,8,7,12,7,7,42,7,7,7,7,7,7,7,7,7,7,3,8
00084.png,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,14,9,10,10,10,10
00085.png,35,35,35,35,35,34,35,35,35,34,35,35,35,35,35,35,35,35,38,35,35
00086.png,3,3,3,3,3,3,3,10,3,3,3,3,3,3,3,3,3,3,1,3,2
00087.png,7,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,13,15
00088.png,22,22,22,22,20,20,22,22,22,22,22,22,22,22,22,22,22,22,22,11,25
00089.png,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
00090.png,3,3,3,3,5,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,9
00091.png,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
00092.png,2,2,10,2,2,2,0,2,2,2,2,2,1,13,13,22,2,1,1,2,2
00093.png,14,14,14,14,14,17,14,14,14,14,14,14,14,14,14,14,14,14,14,14,25
00094.png,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
00095.png,32,32,32,32,32,32,32,32,41,32,32,32,41,16,16,41,41,32,32,32,41
00096.png,3,3,3,3,5,8,3,3,5,3,3,5,3,3,3,3,3,3,3,12,12
00097.png,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,15,38,38,38
00098.png,9,9,9,9,9,9,9,9,9,10,9,9,9,9,9,9,9,9,9,9,9
00099.png,33,33,34,34,34,34,33,33,3,34,33,33,33,33,33,33,33,33,35,35,35
00100.png,1,1,1,1,1,1,1,1,1,1,1,1,2,13,13,13,1,1,9,1,7
00101.png,10,10,10,10,10,10,10,10,10,10,13,10,10,10,10,10,10,10,10,10,10
00102.png,5,8,5,5,5,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,17
00103.png,11,11,28,11,11,20,28,11,11,11,11,11,11,11,11,11,31,11,26,11,11
00104.png,33,33,33,34,34,34,33,33,38,33,34,33,33,33,40,11,33,35,33,38,33
00105.png,4,4,4,4,4,4,4,4,5,4,4,4,4,2,2,2,4,4,4,4,4
00106.png,35,35,35,35,35,35,35,35,3,35,35,35,35,35,35,35,35,35,12,35,35
00107.png,25,25,25,25,20,25,25,25,25,25,25,25,25,25,25,25,25,25,25,11,11
00108.png,33,34,34,34,34,39,34,33,33,33,40,15,15,15,41,10,34,34,34,38,38
00109.png,4,4,4,4,4,10,10,4,5,4,4,7,4,4,4,4,4,4,11,12,4
00110.png,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,4,1,1,4,2,2
00111.png,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
00112.png,16,16,16,16,10,3,16,16,16,16,9,16,16,16,16,15,16,16,9,15,16
00113.png,10,10,10,10,10,10,10,10,10,10,10,10,10,41,16,16,10,10,17,4,12
00114.png,30,10,31,31,31,31,23,23,19,30,20,30,11,11,13,11,23,31,31,31,17
00115.png,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,2,3,3,1,1,1
00116.png,27,27,27,20,20,5,27,27,27,27,31,27,27,27,31,25,27,27,27,28,27
00117.png,29,23,12,23,11,12,12,26,26,29,12,28,26,25,25,25,28,12,11,12,12
00118.png,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1
00119.png,17,2,17,17,17,17,2,17,14,17,9,12,38,15,13,15,17,17,17,17,12
00120.png,13,13,13,13,13,13,13,13,13,13,13,13,35,38,16,12,13,13,25,13,25
00121.png,7,7,7,8,7,8,7,7,7,7,7,7,8,7,7,7,7,7,7,7,7
00122.png,1,1,1,1,7,2,2,1,1,4,4,16,16,12,16,16,1,4,1,2,2
00123.png,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,8,8
00124.png,2,2,2,2,2,2,2,2,5,2,1,2,2,1,1,1,2,2,2,2,2
00125.png,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10
00126.png,10,10,10,10,10,10,10,10,10,10,10,3,10,10,10,10,10,10,10,10,10
00127.png,30,25,30,31,31,10,25,26,19,25,30,30,25,20,25,30,25,25,31,23,26
00128.png,1,1,1,1,1,2,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1
00129.png,6,42,5,6,42,6,5,6,3,6,6,6,6,6,6,6,6,6,6,6,42
00130.png,36,36,36,36,36,36,36,36,36,36,36,36,40,38,16,22,36,36,36,35,15
00131.png,3,7,3,10,5,10,5,7,7,3,3,3,3,3,3,3,3,38,12,7,11
00132.png,14,14,14,14,14,14,14,14,14,14,4,1,1,2,2,25,14,1,14,17,14
00133.png,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
00134.png,11,11,11,11,12,28,11,11,31,11,11,11,11,11,16,16,11,25,11,11,11
00135.png,10,10,10,10,10,10,10,10,10,10,10,10,10,10,15,10,10,10,10,15,15
00136.png,18,18,18,18,26,31,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
00137.png,40,40,40,34,34,38,34,40,34,40,40,40,34,40,33,40,40,35,34,34,38
00138.png,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,9,3
00139.png,38,38,38,38,38,39,38,38,38,38,38,38,12,12,38,12,35,38,34,35,38
00140.png,41,41,41,41,41,9,41,41,41,41,9,9,10,9,9,16,41,41,41,41,31
00141.png,4,4,4,4,8,8,4,4,8,4,4,4,4,4,4,16,4,4,4,15,11
00142.png,6,6,6,32,6,41,6,6,6,6,6,6,41,41,41,1,6,6,29,6,6
00143.png,18,18,18,26,30,25,18,18,25,18,18,18,18,18,18,18,18,18,24,12,15
00144.png,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
00145.png,25,24,25,20,20,42,25,25,18,12,25,25,25,25,21,18,20,25,12,12,12
00146.png,2,2,2,2,2,2,2,2,2,2,2,2,2,1,13,16,2,2,2,2,1
00147.png,41,41,41,41,41,9,41,41,41,41,32,16,38,15,38,15,32,41,41,41,41
00148.png,11,11,11,11,11,11,11,11,11,25,11,11,12,11,11,1,11,11,17,11,25
00149.png,21,21,21,25,21,21,21,21,21,21,21,21,21,21,21,21,21,11,18,21,21
00150.png,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,8,7,7,9,7
00151.png,24,24,24,24,24,3,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
00152.png,11,11,11,11,11,30,11,25,11,11,11,11,11,11,11,11,11,18,18,12,11
00153.png,25,25,25,25,25,25,23,25,25,25,25,26,25,25,19,25,25,27,25,25,25
00154.png,17,17,17,17,17,17,17,17,17,17,17,17,16,9,15,15,17,17,17,17,17
00155.png,3,3,3,3,5,5,3,3,3,3,3,3,12,3,3,3,3,3,3,3,3
00156.png,6,6,6,6,6,6,6,6,19,6,6,6,6,6,6,6,6,6,6,12,6
00157.png,9,9,9,10,9,10,9,9,9,9,9,9,15,25,10,9,9,9,9,9,9
00158.png,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,28,25,25
