Name,Orig_Label,Pred_Label
00003.png,33,34
00008.png,25,21
00017.png,20,19
00018.png,27,20
00021.png,33,34
00033.png,23,31
00041.png,30,31
00049.png,8,7
00050.png,25,20
00055.png,35,40
00064.png,15,9
00068.png,5,7
00069.png,28,29
00071.png,25,20
00078.png,25,28
00090.png,3,5
00099.png,33,34
00104.png,33,34
00108.png,33,34
00114.png,30,23
00117.png,29,13
00127.png,30,10
00129.png,6,42
00131.png,3,5
00143.png,18,25
00145.png,25,20
00146.png,2,4
00155.png,3,5
00163.png,25,20
00164.png,18,26
00174.png,33,34
00176.png,3,5
00181.png,4,2
00184.png,20,26
00191.png,29,28
00193.png,38,39
00198.png,18,28
00217.png,5,1
00218.png,4,9
00222.png,5,1
00223.png,1,5
00232.png,33,34
00235.png,19,6
00237.png,30,14
00238.png,4,8
00242.png,20,19
00243.png,0,4
00245.png,40,34
00247.png,8,5
00250.png,20,19
00252.png,0,1
00253.png,36,35
00262.png,18,31
00272.png,34,33
00278.png,31,5
00283.png,26,11
00286.png,33,34
00287.png,30,13
00304.png,4,1
00305.png,3,8
00306.png,32,4
00308.png,7,8
00309.png,38,40
00311.png,11,28
00324.png,31,28
00325.png,35,37
00332.png,3,8
00335.png,6,42
00336.png,7,10
00339.png,22,41
00344.png,38,39
00351.png,2,5
00358.png,38,35
00363.png,39,38
00368.png,19,10
00371.png,18,26
00372.png,3,5
00375.png,1,3
00376.png,41,42
00380.png,19,3
00384.png,35,33
00391.png,33,34
00393.png,2,1
00396.png,4,7
00403.png,0,1
00406.png,8,5
00407.png,25,28
00409.png,2,1
00414.png,29,28
00418.png,9,13
00421.png,4,14
00422.png,19,20
00439.png,3,5
00440.png,22,26
00446.png,31,6
00450.png,9,10
00453.png,40,34
00459.png,6,42
00468.png,14,17
00469.png,7,8
00492.png,4,5
00496.png,30,20
00499.png,40,34
00501.png,30,28
00513.png,22,23
00517.png,1,2
00526.png,3,13
00529.png,4,7
00537.png,6,42
00540.png,8,5
00550.png,4,2
00559.png,24,18
00565.png,23,20
00567.png,10,5
00568.png,1,5
00570.png,3,10
00575.png,33,36
00579.png,0,1
00586.png,2,1
00587.png,30,28
00588.png,5,2
00596.png,4,1
00600.png,2,1
00603.png,19,20
00604.png,3,2
00624.png,7,8
00632.png,25,31
00637.png,29,11
00644.png,2,5
00660.png,5,10
00666.png,14,17
00672.png,36,33
00675.png,0,1
00677.png,18,12
00705.png,16,1
00708.png,18,26
00715.png,6,42
00733.png,38,34
00737.png,38,36
00741.png,1,2
00745.png,17,12
00747.png,2,4
00749.png,30,28
00758.png,3,2
00759.png,23,19
00760.png,3,5
00763.png,3,2
00768.png,3,5
00778.png,0,1
00779.png,33,34
00781.png,39,38
00790.png,2,1
00796.png,15,7
00800.png,38,13
00806.png,26,31
00809.png,0,1
00820.png,4,1
00821.png,14,10
00829.png,27,25
00830.png,37,34
00847.png,38,35
00849.png,23,18
00852.png,1,3
00854.png,24,25
00858.png,3,5
00859.png,11,30
00862.png,9,10
00865.png,33,34
00878.png,3,5
00883.png,30,28
00886.png,33,34
00889.png,2,1
00892.png,33,34
00897.png,31,20
00899.png,42,2
00904.png,27,28
00914.png,18,11
00925.png,3,4
00928.png,3,36
00936.png,31,20
00941.png,29,11
00942.png,38,39
00944.png,38,39
00951.png,31,20
00956.png,42,41
00957.png,36,38
00959.png,20,19
00960.png,27,26
00966.png,32,41
00967.png,3,5
00975.png,8,5
00988.png,7,1
00990.png,0,1
00992.png,7,10
01008.png,12,13
01011.png,10,5
01022.png,11,27
01034.png,10,5
01054.png,40,34
01069.png,41,6
01073.png,39,38
01078.png,11,12
01086.png,18,13
01088.png,5,2
01091.png,33,34
01100.png,35,36
01101.png,20,19
01107.png,9,8
01115.png,33,34
01127.png,8,5
