Name,Orig_Label,Pred_Label
00003.png,33,38
00017.png,20,19
00039.png,8,2
00050.png,25,38
00055.png,35,40
00064.png,15,9
00068.png,5,1
00081.png,33,35
00083.png,7,8
00108.png,33,35
00114.png,30,31
00122.png,1,4
00124.png,2,1
00126.png,10,8
00145.png,25,20
00159.png,4,1
00172.png,26,13
00176.png,3,5
00182.png,36,35
00184.png,20,19
00196.png,8,5
00213.png,5,1
00229.png,36,35
00237.png,30,25
00242.png,20,19
00243.png,0,4
00247.png,8,2
00250.png,20,19
00252.png,0,1
00254.png,34,33
00270.png,18,21
00274.png,25,11
00277.png,39,38
00281.png,35,33
00286.png,33,34
00295.png,1,0
00309.png,38,40
00316.png,2,1
00330.png,4,7
00335.png,6,42
00338.png,4,2
00339.png,22,11
00342.png,9,7
00344.png,38,33
00349.png,28,24
00358.png,38,33
00363.png,39,38
00365.png,11,17
00376.png,41,42
00378.png,1,2
00380.png,19,20
00391.png,33,36
00393.png,2,1
00394.png,1,4
00403.png,0,8
00408.png,5,1
00410.png,25,27
00418.png,9,10
00421.png,4,1
00427.png,20,27
00430.png,11,30
00435.png,6,41
00440.png,22,19
00443.png,30,22
00451.png,10,9
00458.png,39,38
00459.png,6,42
00475.png,12,38
00492.png,4,16
00496.png,30,23
00499.png,40,34
00501.png,30,29
00502.png,9,8
00505.png,4,10
00508.png,1,5
00513.png,22,21
00521.png,26,31
00540.png,8,7
00541.png,6,5
00550.png,4,19
00565.png,23,25
00576.png,3,2
00579.png,0,1
00584.png,35,37
00586.png,2,1
00591.png,13,23
00596.png,4,23
00600.png,2,1
00601.png,11,13
00604.png,3,2
00624.png,7,8
00637.png,29,25
00638.png,17,14
00662.png,2,1
00670.png,15,2
00675.png,0,4
00677.png,18,11
00678.png,29,28
00689.png,34,33
00712.png,11,1
00713.png,39,38
00717.png,36,35
00723.png,30,28
00729.png,35,33
00738.png,4,8
00745.png,17,38
00748.png,5,12
00749.png,30,23
00758.png,3,5
00767.png,5,1
00773.png,28,31
00777.png,15,9
00779.png,33,34
00780.png,2,4
00781.png,39,38
00790.png,2,1
00794.png,1,2
00802.png,5,8
00805.png,2,1
00807.png,0,1
00809.png,0,1
00826.png,15,17
00829.png,27,25
00830.png,37,36
00845.png,4,13
00853.png,29,18
00854.png,24,18
00858.png,3,5
00859.png,11,30
00865.png,33,34
00878.png,3,5
00886.png,33,38
00901.png,24,18
00902.png,38,40
00904.png,27,25
00914.png,18,29
00928.png,3,5
00939.png,12,2
00940.png,35,40
00943.png,0,8
00948.png,34,33
00957.png,36,40
00959.png,20,19
00966.png,32,13
00971.png,7,8
00975.png,8,5
00978.png,39,38
00990.png,0,1
01022.png,11,30
01030.png,18,25
01034.png,10,5
01057.png,33,37
01063.png,13,35
01065.png,7,14
01069.png,41,42
01073.png,39,38
01075.png,42,6
01079.png,21,28
01088.png,5,1
01090.png,16,10
01095.png,37,36
01101.png,20,19
01104.png,23,19
01105.png,5,4
01121.png,41,32
01133.png,4,1
01136.png,17,14
01141.png,33,38
01155.png,33,34
01169.png,20,19
01175.png,39,38
01184.png,37,36
01189.png,12,26
01191.png,2,5
01197.png,9,15
01205.png,29,11
01212.png,39,38
01225.png,26,28
01231.png,5,1
01234.png,3,5
01235.png,34,13
01242.png,37,36
01254.png,37,36
01268.png,2,9
01276.png,18,21
01280.png,2,1
