Name,Orig_Label,Pred_Label
00016.png,21,5
00017.png,20,19
00021.png,33,34
00023.png,3,4
00028.png,9,10
00039.png,8,5
00050.png,25,20
00056.png,5,8
00059.png,16,10
00062.png,4,1
00068.png,5,1
00069.png,28,30
00072.png,30,25
00086.png,3,2
00102.png,5,8
00105.png,4,5
00108.png,33,34
00114.png,30,42
00122.png,1,4
00127.png,30,20
00131.png,3,5
00137.png,40,38
00140.png,41,32
00145.png,25,20
00159.png,4,1
00160.png,13,18
00163.png,25,28
00164.png,18,31
00175.png,1,5
00176.png,3,4
00177.png,40,34
00190.png,10,8
00197.png,38,10
00198.png,18,11
00199.png,28,25
00232.png,33,35
00239.png,18,31
00242.png,20,19
00243.png,0,4
00247.png,8,4
00252.png,0,4
00287.png,30,11
00291.png,31,28
00302.png,2,4
00307.png,1,2
00314.png,1,0
00316.png,2,0
00330.png,4,10
00335.png,6,42
00336.png,7,8
00339.png,22,25
00355.png,40,34
00358.png,38,39
00363.png,39,38
00392.png,28,17
00393.png,2,3
00403.png,0,4
00404.png,38,33
00408.png,5,1
00421.png,4,2
00427.png,20,18
00429.png,34,33
00433.png,34,33
00443.png,30,28
00450.png,9,7
00475.png,12,13
00480.png,33,37
00490.png,17,2
00491.png,26,14
00492.png,4,3
00496.png,30,20
00508.png,1,5
00513.png,22,25
00527.png,5,2
00533.png,1,3
00537.png,6,42
00550.png,4,25
00565.png,23,20
00579.png,0,1
00600.png,2,1
00611.png,41,42
00624.png,7,8
00626.png,28,25
00633.png,8,5
00637.png,29,22
00644.png,2,5
00649.png,2,1
00660.png,5,10
00670.png,15,1
00672.png,36,37
00675.png,0,4
00677.png,18,11
00682.png,35,34
00689.png,34,33
00719.png,5,1
00720.png,10,7
00731.png,2,8
00745.png,17,20
00752.png,9,8
00756.png,2,4
00760.png,3,5
00764.png,12,38
00778.png,0,1
00779.png,33,34
00781.png,39,38
00796.png,15,10
00805.png,2,1
00809.png,0,1
00820.png,4,1
00829.png,27,25
00830.png,37,36
00834.png,28,13
00838.png,15,10
00845.png,4,2
00849.png,23,28
00852.png,1,4
00865.png,33,34
00875.png,1,2
00886.png,33,35
00892.png,33,34
00894.png,35,33
00903.png,4,5
00904.png,27,20
00908.png,38,20
00914.png,18,13
00919.png,5,4
00925.png,3,4
00943.png,0,1
00948.png,34,35
00949.png,22,26
00951.png,31,8
00957.png,36,38
00959.png,20,19
00989.png,39,38
00990.png,0,1
00992.png,7,4
01007.png,3,4
01019.png,5,8
01022.png,11,30
01027.png,4,3
01029.png,1,0
01034.png,10,5
01047.png,11,31
01056.png,11,31
01069.png,41,42
01073.png,39,38
01079.png,21,22
01081.png,2,5
01091.png,33,36
01095.png,37,36
01101.png,20,19
01104.png,23,25
01115.png,33,34
01127.png,8,3
01131.png,8,2
01136.png,17,14
01137.png,18,12
01146.png,9,10
01151.png,3,8
01155.png,33,34
01160.png,32,41
01167.png,38,39
01168.png,2,5
01169.png,20,19
01177.png,18,26
01184.png,37,36
01205.png,29,23
01208.png,35,33
01209.png,11,30
01210.png,18,31
01212.png,39,38
01213.png,12,26
01231.png,5,1
01235.png,34,33
01242.png,37,36
01252.png,8,5
01254.png,37,36
01272.png,3,8
01275.png,8,4
01279.png,0,1
01281.png,1,42
01287.png,10,1
01297.png,33,34
01303.png,1,3
01304.png,33,42
01312.png,8,4
01319.png,35,33
01323.png,5,2
01363.png,11,30
01364.png,8,4
01367.png,5,8
01370.png,33,34
01373.png,41,42
01383.png,38,39
01385.png,4,5
01395.png,42,41
01402.png,30,20
01404.png,38,39
01422.png,30,31
01429.png,7,8
01450.png,35,33
01469.png,20,19
01472.png,3,8
01475.png,18,13
01497.png,7,8
01498.png,2,3
01499.png,8,5
01504.png,7,8
01527.png,2,0
01537.png,39,38
01561.png,2,1
01602.png,1,2
01612.png,42,6
01618.png,12,38
01640.png,33,34
01649.png,1,15
01655.png,13,8
01661.png,28,25
01694.png,5,2
01703.png,25,28
01705.png,35,38
01709.png,30,29
01710.png,1,4
01712.png,40,38
01713.png,30,28
01715.png,10,5
01725.png,38,39
01726.png,10,9
01727.png,40,34
01732.png,18,31
01746.png,39,38
01751.png,20,19
01753.png,18,25
01761.png,37,36
01765.png,34,36
01767.png,2,4
01777.png,3,1
01779.png,35,38
01780.png,33,34
01781.png,38,13
01782.png,8,4
01797.png,31,20
01811.png,4,3
01817.png,18,31
01819.png,6,42
01820.png,5,3
01832.png,5,2
01841.png,33,34
01842.png,2,1
01851.png,28,29
01853.png,0,8
01861.png,42,6
01865.png,21,23
01872.png,9,10
01884.png,5,1
01889.png,39,25
01898.png,21,28
01900.png,10,7
01904.png,36,38
01907.png,31,25
01916.png,29,20
01935.png,17,38
01947.png,18,25
01963.png,26,25
01968.png,1,3
01969.png,40,36
01977.png,12,42
01993.png,11,32
01994.png,11,25
02000.png,34,33
02002.png,8,5
02017.png,7,8
02025.png,4,1
02032.png,38,7
02035.png,35,36
02041.png,4,8
02045.png,0,4
02050.png,39,38
02057.png,36,38
02065.png,18,26
02066.png,11,25
02076.png,33,34
02095.png,37,36
02108.png,36,37
02112.png,18,19
02114.png,2,5
02119.png,3,2
02131.png,9,7
02154.png,1,5
02157.png,27,25
02158.png,3,5
02165.png,2,8
02167.png,16,10
02176.png,17,14
02191.png,5,7
02202.png,33,36
02227.png,8,10
02240.png,1,4
02244.png,1,3
02248.png,38,13
02249.png,7,4
02250.png,1,5
02258.png,12,21
02280.png,38,12
02299.png,36,37
02308.png,34,33
02311.png,35,34
02318.png,3,5
02330.png,28,22
02339.png,16,10
02342.png,18,21
02346.png,5,1
02348.png,4,8
02352.png,5,2
02353.png,4,10
02370.png,21,18
02378.png,25,20
02386.png,4,8
02388.png,31,18
02400.png,28,25
02423.png,22,11
02425.png,18,13
02427.png,33,34
02432.png,35,40
02434.png,5,2
02457.png,2,4
02460.png,11,30
02463.png,2,3
02466.png,2,5
02470.png,10,13
02472.png,2,10
02483.png,17,13
02490.png,4,10
02494.png,2,1
02503.png,39,38
02520.png,3,13
02524.png,10,16
02533.png,1,0
02538.png,3,5
02555.png,18,23
02559.png,23,31
02566.png,2,8
02568.png,25,23
02574.png,2,1
02577.png,4,20
02615.png,12,2
02618.png,34,33
02635.png,5,3
02637.png,5,8
02650.png,37,36
02655.png,30,20
02660.png,30,28
02669.png,18,26
02679.png,1,2
02682.png,30,20
02684.png,33,34
02690.png,35,33
02697.png,38,39
02702.png,37,36
02706.png,33,34
02725.png,35,41
02730.png,4,8
02748.png,27,28
02751.png,24,20
02752.png,0,1
02754.png,38,40
02756.png,4,3
02757.png,18,26
02758.png,5,2
02764.png,2,5
02785.png,3,2
02791.png,38,34
02814.png,39,38
02817.png,19,11
02829.png,35,12
02843.png,5,4
02859.png,34,33
02864.png,30,31
02871.png,25,31
02880.png,39,38
02881.png,2,1
02887.png,4,2
02891.png,39,38
02893.png,22,28
02897.png,10,9
02898.png,15,5
02901.png,34,33
02906.png,37,36
02907.png,17,14
02918.png,23,25
02922.png,7,5
02924.png,5,2
02930.png,0,4
02931.png,1,5
02936.png,18,31
02954.png,23,19
02964.png,9,10
02978.png,36,33
02980.png,41,12
02999.png,5,8
03004.png,11,30
03007.png,33,34
03009.png,0,3
03025.png,30,28
03027.png,8,7
03042.png,2,4
03062.png,22,19
03077.png,2,17
03086.png,8,5
03098.png,9,1
03100.png,35,38
03101.png,18,32
03109.png,39,38
03111.png,25,22
03117.png,36,37
03132.png,1,2
03147.png,1,5
03152.png,2,1
03162.png,33,34
03173.png,38,7
03188.png,36,37
03193.png,5,2
03194.png,24,25
03198.png,1,4
03210.png,7,8
03211.png,1,2
03214.png,2,1
03220.png,24,21
03224.png,11,30
03233.png,25,30
03248.png,1,4
03250.png,27,28
03258.png,36,37
03259.png,2,5
03260.png,10,5
03272.png,35,33
03288.png,31,20
03296.png,3,5
03298.png,18,31
03303.png,6,42
03310.png,25,20
03321.png,1,2
03329.png,25,26
03337.png,20,19
03341.png,39,38
03346.png,3,5
03353.png,37,36
03357.png,38,39
03362.png,25,31
03366.png,2,1
03373.png,23,19
03380.png,38,40
03389.png,5,1
03392.png,4,5
03419.png,2,3
03420.png,0,1
03432.png,5,4
03442.png,3,5
03444.png,8,7
03457.png,22,19
03459.png,35,34
03462.png,35,38
03467.png,38,39
03470.png,8,4
03474.png,0,4
03478.png,11,12
03520.png,2,3
03521.png,24,18
03523.png,6,42
03556.png,2,7
03561.png,6,42
03577.png,8,5
03599.png,38,33
03605.png,37,33
03619.png,2,1
03636.png,7,8
03638.png,1,7
03643.png,18,25
03644.png,17,42
03649.png,7,8
03653.png,38,40
03657.png,25,18
