Name,Orig_Label,Pred_Label
00003.png,33,37
00008.png,25,23
00014.png,4,1
00017.png,20,19
00018.png,27,25
00021.png,33,35
00023.png,3,4
00036.png,3,2
00041.png,30,26
00044.png,24,18
00047.png,10,9
00050.png,25,20
00056.png,5,7
00072.png,30,11
00073.png,34,33
00078.png,25,29
00081.png,33,36
00085.png,35,33
00087.png,7,4
00103.png,11,28
00108.png,33,34
00109.png,4,8
00112.png,16,11
00113.png,10,14
00114.png,30,20
00116.png,27,28
00117.png,29,23
00121.png,7,8
00123.png,8,7
00127.png,30,26
00129.png,6,42
00131.png,3,1
00135.png,10,9
00149.png,21,25
00159.png,4,1
00163.png,25,28
00164.png,18,26
00167.png,14,12
00176.png,3,15
00181.png,4,1
00184.png,20,19
00188.png,10,9
00189.png,8,4
00191.png,29,28
00192.png,12,21
00196.png,8,5
00197.png,38,12
00198.png,18,21
00199.png,28,27
00207.png,31,26
00221.png,4,2
00232.png,33,40
00235.png,19,20
00237.png,30,5
00242.png,20,19
00243.png,0,1
00249.png,38,4
00250.png,20,23
00252.png,0,1
00255.png,28,23
00264.png,1,2
00265.png,12,13
00266.png,5,8
00270.png,18,25
00272.png,34,33
00273.png,9,4
00282.png,31,20
00283.png,26,11
00287.png,30,31
00290.png,1,4
00299.png,26,28
00304.png,4,9
00309.png,38,40
00322.png,5,4
00323.png,6,20
00325.png,35,12
00327.png,38,35
00329.png,2,1
00332.png,3,30
00339.png,22,23
00355.png,40,16
00358.png,38,35
00363.png,39,40
00367.png,38,20
00368.png,19,23
00372.png,3,4
00375.png,1,3
00380.png,19,26
00385.png,25,19
00386.png,34,38
00387.png,12,11
00389.png,9,2
00393.png,2,3
00395.png,5,8
00397.png,38,33
00403.png,0,2
00408.png,5,1
00411.png,14,17
00412.png,2,3
00413.png,26,18
00414.png,29,28
00422.png,19,20
00429.png,34,33
00430.png,11,28
00433.png,34,33
00439.png,3,4
00443.png,30,28
00444.png,25,24
00454.png,1,4
00457.png,8,4
00459.png,6,42
00461.png,25,11
00464.png,2,4
00470.png,8,10
00471.png,35,33
00476.png,35,40
00492.png,4,11
00495.png,5,7
00496.png,30,26
00500.png,22,23
00501.png,30,28
00504.png,23,18
00506.png,32,12
00507.png,42,9
00513.png,22,23
00515.png,33,38
00518.png,8,3
00521.png,26,19
00527.png,5,2
00545.png,1,17
00550.png,4,21
00552.png,9,5
00561.png,10,9
00567.png,10,4
00576.png,3,1
00579.png,0,1
00583.png,1,2
00586.png,2,14
00588.png,5,2
00589.png,5,1
00592.png,16,9
00596.png,4,20
00600.png,2,11
00606.png,7,3
00608.png,28,24
00618.png,10,41
00624.png,7,8
00630.png,5,3
00632.png,25,30
00637.png,29,23
00651.png,17,14
00653.png,5,2
00656.png,29,28
00660.png,5,8
00671.png,10,9
00672.png,36,37
00675.png,0,4
00678.png,29,28
00694.png,29,25
00699.png,2,1
00709.png,16,2
00710.png,2,1
00716.png,2,1
00717.png,36,38
00722.png,5,2
00730.png,25,20
00733.png,38,40
00741.png,1,4
00745.png,17,38
00749.png,30,23
00758.png,3,1
00764.png,12,13
00766.png,1,2
00767.png,5,2
00770.png,10,9
00777.png,15,9
00778.png,0,1
00779.png,33,40
00781.png,39,38
00785.png,10,17
00786.png,2,4
00794.png,1,3
00795.png,42,41
00796.png,15,9
00797.png,15,9
00803.png,5,1
00805.png,2,1
00807.png,0,1
00809.png,0,1
00820.png,4,1
00829.png,27,25
00830.png,37,35
00832.png,1,2
00841.png,10,9
00845.png,4,12
00853.png,29,28
00855.png,10,9
00858.png,3,4
00860.png,5,0
00861.png,6,20
00880.png,1,25
00881.png,1,5
00883.png,30,28
00886.png,33,35
00892.png,33,34
00894.png,35,12
00896.png,15,7
00899.png,42,13
00902.png,38,35
00905.png,7,8
00907.png,21,11
00908.png,38,11
00914.png,18,38
00924.png,19,26
00941.png,29,28
00943.png,0,8
00951.png,31,20
00957.png,36,35
00958.png,7,4
00959.png,20,28
00960.png,27,28
00964.png,10,9
00965.png,5,8
00975.png,8,5
00978.png,39,38
00979.png,2,5
00983.png,5,1
00984.png,31,21
00990.png,0,4
01010.png,8,5
01023.png,35,12
01025.png,30,12
01034.png,10,8
01053.png,34,40
01060.png,5,3
01061.png,12,4
01065.png,7,11
01069.png,41,42
01070.png,8,4
01071.png,2,1
01073.png,39,38
01077.png,7,2
01083.png,10,9
01084.png,2,4
01085.png,8,4
01088.png,5,2
01095.png,37,36
01100.png,35,33
01105.png,5,14
01106.png,8,7
01112.png,11,17
01115.png,33,34
01118.png,3,2
01119.png,32,41
01121.png,41,9
01127.png,8,4
01131.png,8,5
01132.png,40,36
01133.png,4,1
01141.png,33,38
01150.png,32,12
01153.png,1,15
01158.png,9,8
01159.png,1,4
01160.png,32,4
01169.png,20,19
01171.png,41,9
01174.png,38,40
01176.png,1,2
01177.png,18,25
01180.png,26,27
01181.png,17,5
01182.png,31,20
01184.png,37,36
01186.png,22,28
01190.png,10,9
01205.png,29,28
01212.png,39,38
01230.png,5,3
01234.png,3,2
01235.png,34,40
01236.png,23,28
01245.png,28,13
01246.png,28,26
01248.png,3,13
01252.png,8,5
01254.png,37,33
01260.png,5,7
01268.png,2,3
01274.png,42,11
01275.png,8,4
01276.png,18,31
01278.png,5,2
01281.png,1,12
01290.png,4,2
01307.png,19,20
01314.png,34,35
01326.png,42,41
01333.png,9,3
01334.png,1,9
01339.png,31,13
01362.png,8,4
01363.png,11,28
01364.png,8,13
01372.png,2,4
01373.png,41,42
01381.png,9,10
01385.png,4,8
01390.png,8,5
01394.png,2,3
01402.png,30,12
01404.png,38,40
01416.png,3,1
01420.png,12,11
01431.png,27,25
01435.png,18,11
01456.png,38,13
01462.png,42,13
01467.png,5,4
01469.png,20,28
01470.png,15,9
01471.png,2,9
01477.png,35,40
01482.png,1,2
