Name,Orig_Label,Pred_Label
00003.png,33,34
00006.png,18,26
00008.png,25,28
00010.png,12,18
00012.png,23,31
00013.png,7,3
00014.png,4,1
00015.png,9,10
00016.png,21,20
00018.png,27,18
00019.png,38,34
00021.png,33,34
00023.png,3,5
00024.png,1,7
00025.png,11,28
00028.png,9,10
00029.png,11,28
00030.png,5,1
00036.png,3,5
00039.png,8,10
00040.png,7,8
00042.png,18,14
00044.png,24,18
00045.png,25,1
00046.png,3,5
00050.png,25,20
00056.png,5,8
00059.png,16,10
00061.png,10,17
00062.png,4,8
00066.png,26,20
00067.png,2,5
00068.png,5,8
00069.png,28,15
00070.png,11,28
00072.png,30,17
00076.png,1,8
00078.png,25,14
00079.png,25,28
00083.png,7,3
00085.png,35,34
00088.png,22,31
00090.png,3,5
00091.png,1,8
00092.png,2,1
00094.png,12,41
00096.png,3,10
00099.png,33,34
00102.png,5,10
00103.png,11,28
00104.png,33,34
00108.png,33,34
00109.png,4,10
00110.png,1,2
00112.png,16,10
00114.png,30,10
00115.png,3,2
00116.png,27,20
00117.png,29,23
00126.png,10,5
00127.png,30,20
00129.png,6,42
00131.png,3,14
00134.png,11,18
00137.png,40,34
00138.png,2,5
00141.png,4,8
00143.png,18,11
00145.png,25,8
00147.png,41,9
00148.png,11,12
00155.png,3,5
00157.png,9,10
00158.png,7,5
00159.png,4,2
00163.png,25,28
00164.png,18,26
00167.png,14,1
00171.png,38,34
00173.png,25,31
00174.png,33,34
00176.png,3,5
00182.png,36,35
00184.png,20,23
00187.png,1,5
00191.png,29,28
00196.png,8,5
00197.png,38,5
00198.png,18,21
00201.png,9,10
00202.png,4,10
00203.png,1,7
00205.png,9,10
00207.png,31,10
00211.png,38,1
00213.png,5,8
00217.png,5,2
00218.png,4,8
00223.png,1,2
00227.png,5,4
00229.png,36,33
00232.png,33,34
00234.png,33,34
00235.png,19,31
00237.png,30,26
00238.png,4,8
00242.png,20,23
00243.png,0,8
00246.png,5,7
00252.png,0,8
00255.png,28,23
00258.png,25,1
00260.png,35,33
00262.png,18,19
00263.png,25,19
00265.png,12,41
00266.png,5,7
00268.png,2,1
00269.png,18,20
00270.png,18,23
00271.png,18,20
00275.png,18,31
00278.png,31,23
00281.png,35,36
00282.png,31,20
00283.png,26,11
00286.png,33,34
00287.png,30,18
00295.png,1,0
00296.png,33,34
00302.png,2,5
00304.png,4,25
00305.png,3,10
00307.png,1,8
00310.png,19,23
00312.png,38,40
00319.png,4,8
00321.png,4,8
00326.png,9,5
00328.png,8,5
00330.png,4,5
00331.png,18,9
00335.png,6,42
00336.png,7,8
00338.png,4,8
00339.png,22,10
00341.png,29,28
00343.png,2,8
00347.png,7,3
00355.png,40,34
00357.png,3,5
00358.png,38,34
00361.png,38,42
00363.png,39,38
00367.png,38,13
00368.png,19,31
00371.png,18,11
00372.png,3,5
00373.png,5,7
00375.png,1,7
00376.png,41,42
00379.png,18,25
00380.png,19,31
00393.png,2,1
00394.png,1,4
00396.png,4,8
00403.png,0,8
00404.png,38,35
00405.png,36,35
00406.png,8,7
00413.png,26,19
00421.png,4,12
00422.png,19,28
00423.png,9,5
00427.png,20,28
00430.png,11,26
00435.png,6,41
00443.png,30,25
00446.png,31,11
00449.png,8,5
00450.png,9,10
00454.png,1,5
00455.png,38,33
00458.png,39,38
00459.png,6,5
00466.png,7,8
00470.png,8,7
00472.png,3,10
00473.png,1,4
00474.png,35,39
00475.png,12,36
00476.png,35,12
00477.png,36,35
00480.png,33,34
00491.png,26,7
00492.png,4,7
00495.png,5,7
00496.png,30,20
00497.png,9,10
00499.png,40,35
00501.png,30,28
00502.png,9,8
00503.png,7,10
00505.png,4,8
00507.png,42,2
00509.png,3,5
00511.png,2,5
00512.png,25,11
00513.png,22,21
00515.png,33,38
00516.png,3,2
00517.png,1,2
00519.png,4,8
00520.png,18,21
00521.png,26,17
00524.png,11,28
00527.png,5,8
00529.png,4,8
00533.png,1,3
00537.png,6,42
00540.png,8,5
00544.png,4,8
00545.png,1,2
00550.png,4,2
00552.png,9,10
00559.png,24,26
00563.png,18,31
00565.png,23,10
00569.png,23,21
00570.png,3,10
00575.png,33,39
00576.png,3,1
00579.png,0,1
00583.png,1,7
00586.png,2,1
00589.png,5,1
00594.png,11,23
00595.png,3,5
00596.png,4,10
00597.png,29,28
00599.png,26,1
00600.png,2,1
00601.png,11,28
00602.png,4,2
00603.png,19,23
00604.png,3,2
00605.png,9,10
00606.png,7,8
00608.png,28,11
00610.png,27,20
00613.png,29,23
00614.png,11,30
00624.png,7,8
00627.png,8,10
00630.png,5,8
00632.png,25,28
00634.png,4,8
00636.png,16,10
00637.png,29,17
00639.png,9,10
00641.png,8,5
00643.png,11,30
00644.png,2,5
00647.png,7,8
00648.png,1,7
00649.png,2,1
00653.png,5,8
00655.png,11,28
00656.png,29,11
00660.png,5,8
00663.png,7,10
00668.png,11,28
00669.png,4,1
00675.png,0,1
00676.png,25,14
00677.png,18,12
00678.png,29,11
00681.png,14,17
00689.png,34,12
00691.png,4,1
00692.png,4,8
00695.png,4,8
00698.png,1,7
00700.png,3,5
00708.png,18,26
00710.png,2,8
00711.png,36,38
00712.png,11,23
00714.png,4,8
00715.png,6,42
00719.png,5,2
00722.png,5,17
00723.png,30,5
00726.png,14,38
00727.png,11,28
00728.png,11,28
00731.png,2,8
00734.png,15,4
00735.png,38,39
00738.png,4,8
00739.png,1,8
00740.png,3,5
00741.png,1,5
00744.png,4,8
00745.png,17,38
00746.png,4,9
00748.png,5,8
00749.png,30,11
00751.png,28,14
00753.png,28,23
00755.png,42,6
00757.png,12,38
00758.png,3,5
00759.png,23,11
00760.png,3,5
00763.png,3,2
00765.png,4,10
00767.png,5,1
00768.png,3,25
00771.png,4,8
00773.png,28,15
00775.png,4,10
00777.png,15,2
00778.png,0,1
00779.png,33,34
00781.png,39,38
00788.png,2,8
00789.png,38,36
00790.png,2,15
00791.png,5,8
00794.png,1,7
00796.png,15,42
00802.png,5,1
00804.png,12,41
00805.png,2,1
00807.png,0,8
00809.png,0,2
00812.png,4,5
00816.png,11,13
00818.png,1,2
00819.png,2,5
00820.png,4,14
00822.png,3,5
00825.png,4,8
00827.png,2,1
00829.png,27,28
00830.png,37,36
00834.png,28,25
00835.png,11,25
00839.png,11,12
00845.png,4,8
00853.png,29,28
00854.png,24,14
00856.png,1,8
00858.png,3,8
00859.png,11,30
00860.png,5,7
00861.png,6,42
00863.png,2,1
00865.png,33,38
00869.png,16,2
00870.png,42,12
00871.png,35,40
00874.png,4,8
00875.png,1,2
00876.png,7,5
00878.png,3,7
00879.png,23,31
00881.png,1,5
00883.png,30,25
00885.png,24,18
00886.png,33,35
00892.png,33,34
00894.png,35,39
00895.png,5,7
00897.png,31,10
00899.png,42,2
00900.png,11,28
00901.png,24,18
00903.png,4,8
00904.png,27,23
00907.png,21,23
00908.png,38,20
00910.png,1,7
00914.png,18,41
00918.png,35,36
00926.png,9,10
00927.png,2,1
00928.png,3,5
00933.png,38,40
00934.png,1,7
00935.png,11,28
00936.png,31,10
00937.png,2,5
00938.png,42,2
00939.png,12,41
00941.png,29,28
00943.png,0,17
00947.png,1,2
00948.png,34,35
00949.png,22,20
00951.png,31,20
00957.png,36,12
00958.png,7,10
00959.png,20,19
00960.png,27,5
00970.png,12,2
00975.png,8,10
00979.png,2,8
00982.png,1,2
00983.png,5,7
00986.png,5,8
00988.png,7,8
00989.png,39,38
00990.png,0,1
00992.png,7,10
00993.png,38,40
00995.png,38,4
00996.png,25,11
00997.png,38,39
00999.png,16,10
01005.png,5,10
01010.png,8,10
01012.png,2,5
01016.png,15,10
01017.png,4,8
01022.png,11,30
01025.png,30,18
01026.png,11,28
01027.png,4,8
01030.png,18,25
01032.png,11,23
01035.png,2,8
01043.png,7,8
