Name,Orig_Label,Pred_Label
00003.png,33,34
00014.png,4,1
00021.png,33,34
00023.png,3,17
00035.png,17,15
00036.png,3,5
00039.png,8,2
00042.png,18,25
00045.png,25,22
00046.png,3,1
00049.png,8,2
00050.png,25,27
00055.png,35,12
00057.png,26,19
00068.png,5,1
00072.png,30,11
00079.png,25,24
00104.png,33,34
00106.png,35,38
00108.png,33,16
00117.png,29,13
00119.png,17,16
00124.png,2,1
00127.png,30,20
00132.png,14,1
00140.png,41,16
00142.png,6,1
00146.png,2,1
00147.png,41,9
00148.png,11,25
00151.png,24,18
00157.png,9,2
00163.png,25,27
00167.png,14,12
00168.png,29,13
00169.png,17,11
00176.png,3,5
00181.png,4,2
00184.png,20,19
00185.png,25,31
00187.png,1,2
00189.png,8,3
00191.png,29,22
00193.png,38,35
00196.png,8,4
00197.png,38,16
00198.png,18,21
00199.png,28,12
00207.png,31,25
00213.png,5,2
00217.png,5,1
00222.png,5,1
00229.png,36,35
00232.png,33,12
00237.png,30,25
00242.png,20,19
00248.png,12,38
00249.png,38,12
00250.png,20,19
00252.png,0,8
00254.png,34,25
00255.png,28,27
00256.png,35,12
00258.png,25,21
00265.png,12,41
00266.png,5,7
00270.png,18,25
00272.png,34,33
00276.png,34,11
00277.png,39,13
00287.png,30,11
00297.png,28,19
00311.png,11,25
00316.png,2,1
00318.png,17,15
00334.png,10,9
00335.png,6,5
00339.png,22,23
00341.png,29,22
00342.png,9,10
00349.png,28,21
00356.png,35,1
00357.png,3,2
00358.png,38,33
00363.png,39,38
00364.png,3,5
00368.png,19,20
00372.png,3,4
00386.png,34,38
00393.png,2,1
00394.png,1,4
00403.png,0,4
00406.png,8,4
00408.png,5,25
00410.png,25,11
00418.png,9,10
00429.png,34,33
00430.png,11,30
00432.png,34,13
00443.png,30,12
00446.png,31,25
00447.png,38,16
00455.png,38,1
00458.png,39,38
00463.png,17,9
00470.png,8,7
00477.png,36,35
00482.png,35,12
00490.png,17,12
00492.png,4,1
00496.png,30,11
00501.png,30,25
00515.png,33,34
00521.png,26,18
00524.png,11,19
00527.png,5,1
00532.png,23,30
00537.png,6,33
00540.png,8,5
00543.png,12,13
00549.png,12,11
00550.png,4,1
00552.png,9,8
00559.png,24,11
00570.png,3,2
00572.png,41,9
00576.png,3,1
00579.png,0,1
00583.png,1,15
00586.png,2,1
00592.png,16,41
00599.png,26,25
00603.png,19,20
00604.png,3,2
00613.png,29,18
00619.png,38,41
00624.png,7,8
00630.png,5,3
00635.png,7,4
00637.png,29,13
00638.png,17,9
00642.png,17,16
00644.png,2,10
00648.png,1,4
00649.png,2,1
00651.png,17,1
00653.png,5,9
00669.png,4,1
00671.png,10,2
00678.png,29,28
00681.png,14,16
00688.png,17,13
00689.png,34,33
00694.png,29,28
00702.png,39,38
00712.png,11,21
00713.png,39,38
00717.png,36,35
00719.png,5,2
00722.png,5,1
00736.png,39,16
00737.png,38,39
00745.png,17,36
00749.png,30,25
00753.png,28,21
00757.png,12,38
00758.png,3,2
00763.png,3,2
00767.png,5,2
00774.png,3,1
00777.png,15,11
00778.png,0,4
00779.png,33,34
00780.png,2,15
00781.png,39,38
00796.png,15,13
00806.png,26,25
00809.png,0,1
00810.png,26,18
00811.png,31,18
00814.png,17,18
00815.png,1,41
00819.png,2,4
00826.png,15,13
00829.png,27,11
00830.png,37,36
00851.png,2,1
00865.png,33,34
00876.png,7,1
00878.png,3,1
00883.png,30,1
00886.png,33,34
00892.png,33,15
00896.png,15,9
00899.png,42,1
00902.png,38,12
00904.png,27,25
00908.png,38,35
00910.png,1,15
00922.png,4,2
00940.png,35,15
00941.png,29,22
00943.png,0,1
00944.png,38,16
00945.png,10,15
00951.png,31,20
00952.png,15,4
00956.png,42,41
00957.png,36,41
00959.png,20,11
00978.png,39,38
00989.png,39,38
00990.png,0,1
00995.png,38,12
01024.png,38,35
01034.png,10,3
01040.png,38,13
01053.png,34,33
01059.png,13,11
01073.png,39,38
01078.png,11,23
01079.png,21,31
01085.png,8,16
01088.png,5,15
01095.png,37,36
