Name,Orig_Label,Pred_Label
00002.png,38,39
00004.png,11,22
00010.png,12,42
00012.png,23,19
00013.png,7,8
00015.png,9,10
00016.png,21,20
00017.png,20,19
00018.png,27,26
00019.png,38,39
00023.png,3,4
00032.png,34,35
00039.png,8,5
00046.png,3,5
00048.png,18,13
00049.png,8,4
00050.png,25,20
00067.png,2,5
00069.png,28,30
00071.png,25,19
00072.png,30,11
00078.png,25,30
00081.png,33,34
00083.png,7,32
00088.png,22,26
00092.png,2,1
00095.png,32,41
00097.png,38,12
00099.png,33,4
00102.png,5,7
00106.png,35,18
00114.png,30,19
00116.png,27,18
00117.png,29,9
00127.png,30,4
00128.png,1,2
00129.png,6,4
00131.png,3,42
00137.png,40,34
00141.png,4,8
00145.png,25,20
00150.png,7,3
00155.png,3,4
00156.png,6,12
00159.png,4,3
00163.png,25,19
00171.png,38,12
00173.png,25,30
00177.png,40,16
00201.png,9,4
00205.png,9,10
00207.png,31,19
00210.png,15,1
00211.png,38,18
00214.png,25,19
00217.png,5,3
00229.png,36,3
00233.png,18,26
00237.png,30,10
00238.png,4,8
00242.png,20,19
00243.png,0,4
00244.png,10,8
00250.png,20,19
00252.png,0,8
00254.png,34,33
00260.png,35,33
00262.png,18,19
00264.png,1,5
00268.png,2,8
00272.png,34,36
00277.png,39,38
00278.png,31,10
00281.png,35,12
00282.png,31,19
00283.png,26,8
00286.png,33,34
00287.png,30,11
00293.png,35,33
00294.png,5,4
00295.png,1,5
00305.png,3,8
00308.png,7,8
00309.png,38,6
00310.png,19,12
00315.png,42,12
00317.png,40,6
00319.png,4,8
00322.png,5,23
00323.png,6,4
00329.png,2,5
00330.png,4,8
00331.png,18,26
00337.png,34,35
00339.png,22,26
00349.png,28,30
00353.png,14,10
00355.png,40,34
00357.png,3,5
00361.png,38,13
00363.png,39,31
00365.png,11,30
00367.png,38,12
00373.png,5,8
00376.png,41,42
00380.png,19,4
00385.png,25,20
00386.png,34,33
00391.png,33,34
00393.png,2,3
00394.png,1,4
00400.png,38,25
00403.png,0,4
00408.png,5,1
00415.png,10,19
00419.png,2,8
00421.png,4,7
00422.png,19,22
00423.png,9,23
00427.png,20,31
00437.png,10,4
00439.png,3,6
00443.png,30,29
00445.png,1,5
00446.png,31,30
00449.png,8,4
00457.png,8,4
00458.png,39,38
00460.png,35,33
00476.png,35,12
00478.png,24,18
00483.png,6,4
00492.png,4,7
00494.png,10,8
00496.png,30,11
00499.png,40,34
00501.png,30,29
00502.png,9,10
00504.png,23,28
00507.png,42,12
00509.png,3,4
00511.png,2,5
00513.png,22,25
00534.png,12,3
00535.png,31,12
00537.png,6,4
00538.png,10,32
00541.png,6,4
00545.png,1,4
00563.png,18,19
00566.png,10,5
00567.png,10,32
00576.png,3,5
00578.png,13,19
00579.png,0,4
00582.png,7,8
00585.png,10,4
00586.png,2,12
00587.png,30,19
00590.png,35,26
00596.png,4,8
00600.png,2,3
00604.png,3,5
00606.png,7,3
00609.png,9,8
00610.png,27,11
00611.png,41,42
00619.png,38,40
00620.png,30,23
00624.png,7,8
00637.png,29,18
00647.png,7,10
00660.png,5,4
00661.png,13,18
00663.png,7,3
00675.png,0,4
00677.png,18,11
00682.png,35,9
00684.png,35,33
00689.png,34,6
00691.png,4,19
00696.png,5,7
00698.png,1,5
00699.png,2,5
00702.png,39,38
00708.png,18,13
00713.png,39,38
00717.png,36,33
00722.png,5,3
00723.png,30,19
00724.png,38,4
00726.png,14,7
00727.png,11,20
00728.png,11,26
00734.png,15,32
00736.png,39,37
00740.png,3,4
00742.png,35,33
00744.png,4,19
00745.png,17,13
00755.png,42,6
00760.png,3,5
00765.png,4,19
00769.png,9,32
00773.png,28,30
00775.png,4,19
00778.png,0,4
00780.png,2,4
00781.png,39,12
00783.png,38,12
00790.png,2,3
00794.png,1,5
00796.png,15,4
00805.png,2,12
00807.png,0,3
00809.png,0,1
00815.png,1,6
00818.png,1,5
00819.png,2,5
00820.png,4,18
00821.png,14,17
00827.png,2,4
00837.png,9,6
00841.png,10,42
00845.png,4,8
00846.png,1,5
00847.png,38,33
00856.png,1,5
00859.png,11,30
00860.png,5,12
00863.png,2,8
00864.png,1,5
00865.png,33,6
00866.png,3,4
00870.png,42,6
00871.png,35,25
00883.png,30,28
00885.png,24,28
00897.png,31,19
00898.png,33,3
00904.png,27,25
00908.png,38,4
00914.png,18,30
00918.png,35,3
00919.png,5,4
00921.png,25,26
00931.png,5,19
00936.png,31,19
00937.png,2,4
00938.png,42,12
00941.png,29,28
00943.png,0,8
00944.png,38,37
00951.png,31,19
00956.png,42,6
00958.png,7,4
00960.png,27,26
00970.png,12,17
00976.png,23,28
00978.png,39,38
00979.png,2,8
00985.png,10,9
00988.png,7,8
00990.png,0,8
00992.png,7,4
00994.png,35,33
00995.png,38,41
01001.png,1,5
01011.png,10,26
01012.png,2,4
01017.png,4,19
01022.png,11,30
01023.png,35,33
01024.png,38,36
01025.png,30,19
01033.png,41,42
01034.png,10,32
01038.png,35,18
01045.png,31,6
01049.png,35,13
01053.png,34,38
01065.png,7,32
01069.png,41,42
01073.png,39,3
01078.png,11,18
01080.png,2,1
01081.png,2,5
01084.png,2,5
01085.png,8,18
01086.png,18,30
01088.png,5,1
01092.png,1,8
01095.png,37,36
01098.png,18,26
01104.png,23,4
01106.png,8,10
01111.png,5,4
01119.png,32,26
01120.png,31,11
01122.png,35,3
01131.png,8,5
01138.png,12,4
01148.png,5,8
01150.png,32,42
01157.png,35,12
01159.png,1,10
01168.png,2,5
01169.png,20,9
01175.png,39,38
01177.png,18,26
01182.png,31,19
01184.png,37,36
01186.png,22,28
01191.png,2,8
01192.png,2,8
01201.png,5,7
01206.png,40,16
01209.png,11,30
01212.png,39,4
01226.png,1,5
01228.png,11,13
01231.png,5,4
01233.png,4,8
01235.png,34,42
01242.png,37,33
01250.png,10,4
01252.png,8,3
01254.png,37,36
01270.png,2,8
01274.png,42,4
