Name,Orig_Label,Pred_Label
00003.png,33,38
00007.png,12,15
00011.png,7,26
00012.png,23,26
00013.png,7,15
00014.png,4,9
00017.png,20,19
00020.png,4,3
00021.png,33,35
00023.png,3,9
00025.png,11,25
00030.png,5,2
00032.png,34,38
00041.png,30,18
00044.png,24,18
00046.png,3,15
00050.png,25,12
00059.png,16,15
00063.png,9,12
00066.png,26,11
00067.png,2,8
00069.png,28,11
00070.png,11,29
00072.png,30,13
00073.png,34,33
00074.png,5,2
00076.png,1,15
00079.png,25,28
00080.png,21,11
00087.png,7,10
00088.png,22,26
00090.png,3,8
00095.png,32,41
00096.png,3,11
00099.png,33,34
00104.png,33,35
00108.png,33,34
00109.png,4,18
00110.png,1,9
00112.png,16,9
00113.png,10,15
00115.png,3,2
00116.png,27,28
00117.png,29,12
00119.png,17,12
00121.png,7,17
00125.png,10,7
00127.png,30,26
00128.png,1,2
00129.png,6,12
00130.png,36,35
00132.png,14,25
00135.png,10,9
00138.png,2,12
00139.png,38,35
00142.png,6,42
00143.png,18,26
00147.png,41,9
00150.png,7,15
00157.png,9,13
00158.png,7,9
00161.png,16,25
00163.png,25,17
00168.png,29,11
00171.png,38,12
00172.png,26,13
00173.png,25,18
00174.png,33,35
00175.png,1,12
00177.png,40,38
00178.png,13,25
00179.png,2,14
00181.png,4,17
00182.png,36,35
00184.png,20,18
00189.png,8,4
00191.png,29,13
00199.png,28,18
00206.png,2,25
00207.png,31,18
00210.png,15,17
00211.png,38,13
00217.png,5,4
00221.png,4,15
00223.png,1,9
00225.png,12,13
00229.png,36,35
00230.png,25,11
00232.png,33,38
00235.png,19,9
00237.png,30,10
00243.png,0,15
00244.png,10,9
00246.png,5,15
00250.png,20,11
00252.png,0,8
00254.png,34,35
00257.png,13,25
00260.png,35,18
00262.png,18,26
00263.png,25,27
00264.png,1,9
00266.png,5,9
00268.png,2,15
00272.png,34,33
00276.png,34,17
00277.png,39,37
00278.png,31,18
00280.png,9,3
00281.png,35,38
00283.png,26,30
00286.png,33,35
00287.png,30,11
00290.png,1,15
00294.png,5,9
00299.png,26,17
00302.png,2,15
00304.png,4,9
00305.png,3,18
00308.png,7,13
00311.png,11,17
00317.png,40,37
00319.png,4,35
00320.png,8,15
00323.png,6,42
00328.png,8,13
00332.png,3,18
00333.png,25,11
00335.png,6,42
00339.png,22,38
00341.png,29,18
00342.png,9,12
00345.png,38,35
00346.png,18,25
00348.png,13,11
00349.png,28,24
00351.png,2,9
00352.png,16,17
