Name,Orig_Label,Pred_Label
00003.png,33,38
00005.png,38,39
00008.png,25,11
00012.png,23,31
00014.png,4,2
00016.png,21,25
00021.png,33,34
00023.png,3,5
00029.png,11,25
00030.png,5,8
00033.png,23,10
00036.png,3,5
00039.png,8,5
00042.png,18,19
00044.png,24,18
00048.png,18,30
00049.png,8,31
00050.png,25,8
00059.png,16,10
00067.png,2,5
00068.png,5,7
00069.png,28,20
00072.png,30,11
00076.png,1,5
00080.png,21,11
00081.png,33,34
00090.png,3,5
00092.png,2,1
00096.png,3,5
00099.png,33,34
00102.png,5,10
00104.png,33,34
00107.png,25,20
00108.png,33,34
00109.png,4,5
00112.png,16,7
00114.png,30,31
00116.png,27,20
00117.png,29,12
00119.png,17,10
00124.png,2,0
00127.png,30,31
00131.png,3,5
00137.png,40,34
00141.png,4,3
00143.png,18,25
00145.png,25,38
00146.png,2,1
00149.png,21,23
00151.png,24,18
00157.png,9,10
00158.png,7,5
00159.png,4,1
00163.png,25,42
00164.png,18,26
00173.png,25,30
00174.png,33,34
00176.png,3,8
00186.png,18,13
00191.png,29,11
00197.png,38,4
00198.png,18,31
00199.png,28,21
00201.png,9,10
00206.png,2,5
00211.png,38,40
00213.png,5,8
00217.png,5,2
00227.png,5,8
00232.png,33,34
00233.png,18,30
00237.png,30,36
00238.png,4,8
00243.png,0,2
00245.png,40,34
00246.png,5,2
00247.png,8,5
00248.png,12,38
00250.png,20,19
00252.png,0,1
00256.png,35,12
00258.png,25,28
00260.png,35,38
00262.png,18,20
00266.png,5,10
00269.png,18,26
00270.png,18,28
00271.png,18,25
00275.png,18,25
00279.png,1,2
00281.png,35,33
00283.png,26,19
00286.png,33,34
00287.png,30,11
00296.png,33,34
00297.png,28,23
00303.png,14,17
00304.png,4,1
00305.png,3,5
00308.png,7,8
00309.png,38,40
00319.png,4,8
00321.png,4,8
00325.png,35,37
00330.png,4,8
00331.png,18,20
00332.png,3,8
00337.png,34,38
00338.png,4,8
00339.png,22,23
00341.png,29,23
00346.png,18,26
00347.png,7,8
00349.png,28,25
00353.png,14,17
00355.png,40,34
00357.png,3,5
00361.png,38,13
00363.png,39,38
00367.png,38,20
00370.png,10,8
