Name,Orig_Label,Pred_Label
00003.png,33,1
00007.png,12,41
00016.png,21,23
00017.png,20,1
00024.png,1,16
00025.png,11,4
00029.png,11,25
00032.png,34,16
00035.png,17,15
00036.png,3,2
00039.png,8,1
00044.png,24,21
00050.png,25,24
00055.png,35,13
00057.png,26,27
00068.png,5,15
00070.png,11,18
00073.png,34,33
00076.png,1,2
00083.png,7,5
00092.png,2,25
00100.png,1,16
00104.png,33,38
00108.png,33,15
00110.png,1,2
00113.png,10,41
00114.png,30,31
00115.png,3,1
00117.png,29,25
00119.png,17,12
00122.png,1,16
00130.png,36,16
00131.png,3,1
00132.png,14,1
00134.png,11,18
00135.png,10,9
00137.png,40,33
00139.png,38,16
00142.png,6,1
00145.png,25,12
00154.png,17,15
00157.png,9,16
00167.png,14,25
00168.png,29,23
00169.png,17,10
00172.png,26,25
00175.png,1,16
00176.png,3,5
00181.png,4,9
00182.png,36,35
00184.png,20,19
00187.png,1,41
00191.png,29,25
00193.png,38,33
00195.png,2,4
00196.png,8,4
00198.png,18,19
00199.png,28,25
00200.png,17,1
00202.png,4,3
00204.png,17,1
00205.png,9,15
00209.png,15,13
00213.png,5,15
00222.png,5,1
00225.png,12,1
00232.png,33,41
00235.png,19,20
00237.png,30,25
00242.png,20,19
00246.png,5,1
00247.png,8,1
00248.png,12,22
00249.png,38,16
00250.png,20,19
00253.png,36,35
00254.png,34,22
00255.png,28,25
00256.png,35,12
00265.png,12,18
00266.png,5,1
00270.png,18,25
00272.png,34,33
00276.png,34,25
00277.png,39,16
00280.png,9,10
00282.png,31,25
00287.png,30,25
00288.png,17,2
00297.png,28,21
00298.png,35,22
00304.png,4,13
00306.png,32,41
00314.png,1,2
00318.png,17,15
00319.png,4,2
00323.png,6,41
00326.png,9,35
00334.png,10,32
00335.png,6,38
00337.png,34,25
00339.png,22,18
00341.png,29,13
00342.png,9,41
00344.png,38,39
00346.png,18,13
00349.png,28,25
00354.png,12,41
00356.png,35,15
00357.png,3,1
00358.png,38,39
00360.png,9,2
00363.png,39,38
00366.png,7,2
00371.png,18,24
00373.png,5,1
00376.png,41,38
00377.png,13,18
00386.png,34,22
00389.png,9,41
00391.png,33,35
00393.png,2,1
00394.png,1,22
00395.png,5,1
00401.png,36,38
00404.png,38,36
00406.png,8,2
00408.png,5,15
00411.png,14,1
00414.png,29,28
00418.png,9,16
00421.png,4,2
00427.png,20,22
00429.png,34,33
00432.png,34,25
00433.png,34,33
00435.png,6,1
00438.png,8,4
00441.png,17,16
00443.png,30,25
00447.png,38,16
00455.png,38,25
00458.png,39,38
00459.png,6,42
00463.png,17,15
00466.png,7,1
00467.png,13,18
00470.png,8,7
00475.png,12,22
00477.png,36,35
00482.png,35,41
00484.png,2,16
00490.png,17,15
00492.png,4,22
00493.png,3,1
00495.png,5,1
00499.png,40,13
00501.png,30,25
00502.png,9,10
00514.png,38,15
00515.png,33,38
00517.png,1,15
00518.png,8,1
00521.png,26,12
00523.png,14,2
00527.png,5,15
00537.png,6,41
00539.png,35,25
00540.png,8,2
00549.png,12,1
00550.png,4,25
00551.png,5,2
00557.png,8,1
00571.png,8,2
00573.png,6,1
00576.png,3,2
00580.png,17,16
00583.png,1,12
00586.png,2,1
00589.png,5,2
00592.png,16,41
00593.png,17,25
00594.png,11,1
00600.png,2,1
00604.png,3,1
00610.png,27,18
00613.png,29,13
00619.png,38,22
00621.png,14,12
00622.png,1,22
00626.png,28,22
00631.png,35,25
00635.png,7,1
00637.png,29,13
00638.png,17,12
00641.png,8,2
00642.png,17,41
00645.png,13,18
00646.png,12,1
00648.png,1,16
00649.png,2,1
00651.png,17,25
00653.png,5,1
00654.png,12,1
00659.png,10,41
00660.png,5,12
00668.png,11,18
00669.png,4,2
00670.png,15,13
00675.png,0,4
00676.png,25,28
00677.png,18,15
00678.png,29,18
00679.png,8,2
00681.png,14,22
00685.png,35,25
00686.png,14,1
00688.png,17,16
00689.png,34,33
00696.png,5,2
00699.png,2,38
00702.png,39,41
00708.png,18,12
00711.png,36,25
00712.png,11,1
00713.png,39,15
00719.png,5,2
00720.png,10,16
00721.png,13,25
00722.png,5,1
00735.png,38,12
00736.png,39,16
00742.png,35,25
00745.png,17,25
00746.png,4,2
00749.png,30,25
00751.png,28,25
00753.png,28,25
00756.png,2,4
00757.png,12,22
00758.png,3,2
00763.png,3,1
00764.png,12,22
00767.png,5,15
00768.png,3,15
00770.png,10,2
00775.png,4,3
00777.png,15,1
00779.png,33,38
00780.png,2,15
00781.png,39,38
00784.png,7,1
00791.png,5,1
00793.png,3,1
00794.png,1,11
00796.png,15,10
00800.png,38,16
00803.png,5,1
00804.png,12,2
00805.png,2,1
00807.png,0,4
00809.png,0,2
00810.png,26,12
00814.png,17,38
00819.png,2,15
00826.png,15,12
00829.png,27,28
00830.png,37,36
00834.png,28,13
00839.png,11,25
00840.png,12,25
00847.png,38,25
00851.png,2,16
00853.png,29,22
00858.png,3,4
00872.png,10,15
00877.png,5,2
00878.png,3,15
00880.png,1,25
00881.png,1,2
00882.png,10,38
00883.png,30,25
00884.png,35,22
00886.png,33,25
00892.png,33,13
00893.png,17,13
00895.png,5,2
00896.png,15,13
00898.png,33,36
00899.png,42,1
00902.png,38,16
00903.png,4,5
00904.png,27,28
00907.png,21,30
00909.png,38,16
00910.png,1,41
00913.png,13,25
00914.png,18,25
00922.png,4,2
00923.png,1,2
00925.png,3,4
00928.png,3,1
00929.png,17,38
00930.png,38,16
00935.png,11,22
00940.png,35,15
00941.png,29,25
00943.png,0,15
00944.png,38,13
00948.png,34,40
00951.png,31,20
00952.png,15,41
00956.png,42,41
00957.png,36,16
00959.png,20,19
00963.png,14,1
00966.png,32,41
00968.png,7,1
00975.png,8,4
00978.png,39,15
00981.png,7,8
00986.png,5,2
00989.png,39,16
00990.png,0,2
00997.png,38,25
01000.png,17,9
01003.png,12,22
01006.png,38,22
01007.png,3,1
01008.png,12,22
01010.png,8,2
01015.png,35,25
01021.png,1,16
01024.png,38,16
01027.png,4,2
01035.png,2,1
01040.png,38,22
01053.png,34,25
01073.png,39,38
01077.png,7,4
01088.png,5,16
01092.png,1,38
01095.png,37,38
01100.png,35,32
01101.png,20,19
01103.png,20,19
01105.png,5,32
01110.png,35,25
01114.png,12,25
01115.png,33,16
01117.png,38,41
01121.png,41,32
01131.png,8,2
01136.png,17,9
01137.png,18,22
01140.png,8,4
01141.png,33,41
01146.png,9,1
01148.png,5,1
01150.png,32,16
01154.png,10,9
01160.png,32,15
01163.png,17,16
01165.png,6,1
01167.png,38,41
01169.png,20,19
01171.png,41,16
01172.png,38,16
01173.png,34,22
01174.png,38,25
01175.png,39,22
01180.png,26,12
01184.png,37,13
01187.png,5,1
01192.png,2,1
01200.png,5,1
01202.png,25,35
01205.png,29,1
01209.png,11,28
01210.png,18,11
01212.png,39,38
01217.png,9,10
01221.png,17,10
01224.png,17,1
01231.png,5,15
01234.png,3,34
01235.png,34,33
01240.png,12,22
01241.png,22,41
01242.png,37,36
01245.png,28,25
01254.png,37,35
01259.png,5,1
01263.png,5,1
01265.png,38,16
01270.png,2,4
01274.png,42,41
01275.png,8,1
01276.png,18,31
01278.png,5,15
01279.png,0,1
01282.png,14,33
01283.png,36,16
01284.png,11,25
01287.png,10,16
01288.png,8,2
01289.png,34,25
01290.png,4,12
01291.png,38,16
01292.png,14,1
01295.png,17,41
01296.png,29,28
01302.png,14,1
01307.png,19,20
01311.png,8,7
01314.png,34,13
01316.png,5,2
01323.png,5,1
01324.png,14,1
01326.png,42,41
01327.png,26,16
01329.png,17,19
01336.png,34,22
01345.png,8,10
01346.png,35,25
01348.png,7,1
01350.png,5,15
01353.png,8,4
01359.png,2,41
01361.png,3,15
01364.png,8,5
01365.png,10,16
01366.png,12,25
01370.png,33,41
01372.png,2,16
01376.png,8,29
01378.png,34,22
01385.png,4,5
01389.png,18,13
01390.png,8,4
01393.png,5,3
01395.png,42,41
01397.png,35,16
01399.png,12,25
01402.png,30,25
01403.png,2,1
01411.png,7,1
01413.png,34,22
01417.png,3,1
01420.png,12,2
01425.png,14,16
01428.png,17,25
01431.png,27,28
01432.png,17,41
01442.png,18,26
01445.png,31,25
01449.png,12,25
01454.png,2,4
01455.png,18,22
01458.png,38,16
01462.png,42,41
01463.png,34,16
01466.png,8,2
01468.png,7,16
01469.png,20,19
01474.png,13,12
01477.png,35,38
01485.png,12,22
01490.png,12,25
01492.png,5,16
01495.png,34,33
01498.png,2,1
01499.png,8,7
01501.png,8,4
01512.png,18,25
01519.png,0,1
01520.png,8,4
01526.png,38,13
01527.png,2,25
01529.png,38,41
01537.png,39,25
01540.png,10,16
01542.png,3,2
01543.png,9,41
01551.png,10,41
01553.png,3,1
01554.png,38,25
01557.png,28,13
01559.png,20,19
01560.png,42,41
01562.png,38,12
01563.png,38,13
01567.png,10,13
01568.png,2,32
01569.png,5,1
01571.png,1,4
01576.png,38,16
01577.png,28,1
01578.png,3,1
01579.png,28,22
01583.png,21,1
01584.png,2,15
01586.png,17,12
01592.png,17,12
01601.png,6,41
01602.png,1,2
01604.png,7,1
01610.png,16,9
01612.png,42,41
01617.png,32,12
01627.png,38,12
01628.png,21,23
01633.png,12,25
01634.png,20,19
01635.png,5,1
01638.png,23,16
01639.png,9,41
01640.png,33,22
01646.png,34,25
01649.png,1,16
01651.png,17,9
01659.png,14,1
01662.png,17,2
01663.png,31,20
01682.png,17,38
01690.png,7,1
01691.png,34,33
01692.png,9,10
01693.png,17,15
01694.png,5,10
01696.png,17,25
01698.png,38,25
01699.png,27,31
01706.png,18,22
01708.png,8,2
01709.png,30,25
01713.png,30,12
01714.png,42,12
01718.png,11,22
01726.png,10,9
01728.png,31,18
01729.png,4,2
01734.png,2,13
01738.png,17,41
01741.png,36,38
01743.png,2,15
01745.png,5,2
01746.png,39,38
01750.png,26,18
01751.png,20,19
01753.png,18,25
01754.png,38,16
01758.png,36,38
01759.png,21,13
01760.png,20,19
01761.png,37,33
01762.png,17,16
