Name,Orig_Label,Pred_Label
00003.png,33,38
00005.png,38,39
00014.png,4,2
00017.png,20,19
00030.png,5,10
00032.png,34,35
00033.png,23,31
00050.png,25,20
00069.png,28,20
00072.png,30,11
00099.png,33,34
00107.png,25,23
00108.png,33,34
00114.png,30,31
00117.png,29,23
00119.png,17,9
00127.png,30,25
00131.png,3,5
00140.png,41,9
00143.png,18,26
00152.png,11,25
00163.png,25,23
00164.png,18,28
00176.png,3,5
00191.png,29,23
00198.png,18,21
00211.png,38,13
00232.png,33,34
00237.png,30,36
00242.png,20,11
00243.png,0,1
00250.png,20,29
00252.png,0,1
00266.png,5,7
00268.png,2,5
00272.png,34,33
00287.png,30,25
00308.png,7,9
00309.png,38,23
00318.png,17,9
00328.png,8,5
00339.png,22,25
00341.png,29,23
00363.png,39,38
00366.png,7,8
00368.png,19,4
00374.png,26,13
00375.png,1,2
00376.png,41,42
00380.png,19,20
00384.png,35,33
00393.png,2,3
00403.png,0,8
00406.png,8,5
00413.png,26,25
00421.png,4,9
00422.png,19,20
00429.png,34,33
00437.png,10,5
00443.png,30,25
00449.png,8,10
00450.png,9,15
00459.png,6,42
00473.png,1,5
00488.png,9,4
00492.png,4,2
00501.png,30,28
00506.png,32,13
00513.png,22,25
00515.png,33,37
00520.png,18,27
00527.png,5,1
00535.png,31,30
00550.png,4,2
00554.png,38,39
00559.png,24,25
00563.png,18,31
00582.png,7,8
00584.png,35,33
00586.png,2,1
00590.png,35,33
00595.png,3,5
00596.png,4,2
00604.png,3,2
00606.png,7,5
00613.png,29,23
00624.png,7,8
00627.png,8,10
00659.png,10,1
00660.png,5,13
00670.png,15,13
00675.png,0,1
00678.png,29,28
00682.png,35,34
00689.png,34,33
00696.png,5,3
00699.png,2,5
00702.png,39,38
00705.png,16,9
00708.png,18,26
00741.png,1,4
00745.png,17,13
00747.png,2,4
00770.png,10,12
00773.png,28,2
00778.png,0,1
00781.png,39,38
00794.png,1,2
00805.png,2,1
00806.png,26,25
00807.png,0,1
00809.png,0,1
00815.png,1,3
00828.png,38,39
00829.png,27,25
00830.png,37,36
00834.png,28,25
00839.png,11,23
00849.png,23,11
00865.png,33,34
00886.png,33,34
