Name,Orig_Label,Pred_Label
00003.png,33,40
00011.png,7,26
00012.png,23,11
00014.png,4,9
00016.png,21,12
00017.png,20,19
00020.png,4,11
00021.png,33,35
00023.png,3,11
00032.png,34,38
00039.png,8,20
00041.png,30,11
00044.png,24,18
00045.png,25,23
00046.png,3,8
00050.png,25,20
00052.png,15,18
00059.png,16,26
00062.png,4,1
00066.png,26,11
00067.png,2,11
00069.png,28,19
00070.png,11,13
00071.png,25,18
00072.png,30,25
00073.png,34,33
00074.png,5,1
00076.png,1,2
00077.png,10,9
00078.png,25,22
00080.png,21,11
00085.png,35,38
00088.png,22,11
00089.png,13,11
00090.png,3,10
00096.png,3,11
00099.png,33,35
00102.png,5,8
00103.png,11,26
00104.png,33,35
00106.png,35,38
00107.png,25,11
00108.png,33,35
00109.png,4,26
00110.png,1,9
00112.png,16,9
00113.png,10,15
00114.png,30,31
00115.png,3,9
00116.png,27,28
00117.png,29,18
00126.png,10,9
00127.png,30,20
00129.png,6,20
00130.png,36,38
00135.png,10,11
00137.png,40,38
00138.png,2,12
00139.png,38,35
00143.png,18,25
00145.png,25,11
00150.png,7,9
00153.png,25,19
00155.png,3,12
00156.png,6,42
00159.png,4,14
00162.png,4,1
00163.png,25,28
00165.png,9,13
00167.png,14,12
00168.png,29,11
00172.png,26,11
00173.png,25,11
00174.png,33,38
00175.png,1,28
00176.png,3,5
00177.png,40,38
00181.png,4,15
00184.png,20,18
00186.png,18,12
00188.png,10,9
00191.png,29,23
00199.png,28,27
00202.png,4,8
00207.png,31,11
00217.png,5,1
00220.png,2,11
00221.png,4,11
00222.png,5,21
00226.png,12,18
00227.png,5,2
00229.png,36,35
00230.png,25,11
00231.png,13,29
00232.png,33,34
00235.png,19,13
00237.png,30,18
00239.png,18,11
00243.png,0,9
00246.png,5,18
00247.png,8,5
00250.png,20,11
00252.png,0,4
00253.png,36,33
00254.png,34,33
00255.png,28,11
00260.png,35,38
00262.png,18,26
00264.png,1,13
00265.png,12,18
00268.png,2,1
00270.png,18,25
00272.png,34,33
00273.png,9,18
00275.png,18,13
00276.png,34,13
00277.png,39,38
00279.png,1,23
00280.png,9,3
00283.png,26,11
00287.png,30,11
00294.png,5,26
00296.png,33,37
00300.png,12,13
00304.png,4,9
00305.png,3,41
00306.png,32,11
00319.png,4,3
00323.png,6,42
00332.png,3,11
00333.png,25,13
00339.png,22,25
00341.png,29,11
00345.png,38,35
00349.png,28,18
00351.png,2,7
00352.png,16,9
00355.png,40,38
00357.png,3,15
00361.png,38,11
00363.png,39,38
00367.png,38,13
00368.png,19,11
00370.png,10,20
00371.png,18,11
00376.png,41,12
00380.png,19,11
00383.png,4,18
00387.png,12,11
00393.png,2,11
00394.png,1,11
00395.png,5,26
00396.png,4,18
00402.png,10,11
00403.png,0,1
00405.png,36,35
00406.png,8,2
00410.png,25,18
00418.png,9,11
00419.png,2,7
00420.png,3,1
00421.png,4,12
00422.png,19,20
00427.png,20,19
00429.png,34,38
00433.png,34,33
00435.png,6,30
00436.png,10,12
00439.png,3,11
00443.png,30,18
00447.png,38,37
00449.png,8,13
00452.png,2,17
00457.png,8,11
00459.png,6,20
00465.png,38,39
00466.png,7,18
00467.png,13,25
00475.png,12,38
00476.png,35,36
00477.png,36,15
00478.png,24,11
00481.png,2,1
00489.png,14,17
00492.png,4,11
00493.png,3,11
00495.png,5,32
00496.png,30,26
00498.png,31,18
00499.png,40,34
00500.png,22,18
00501.png,30,13
00503.png,7,6
00504.png,23,18
00505.png,4,30
00510.png,8,4
00512.png,25,18
00514.png,38,39
00515.png,33,38
00517.png,1,11
00522.png,31,11
00525.png,13,25
00526.png,3,1
00529.png,4,26
00535.png,31,11
00537.png,6,11
00538.png,10,4
00542.png,5,15
00545.png,1,8
00550.png,4,13
00554.png,38,11
00555.png,4,8
00559.png,24,25
00562.png,10,18
00563.png,18,11
00565.png,23,11
00570.png,3,8
00575.png,33,35
00576.png,3,5
00577.png,2,1
00579.png,0,1
00582.png,7,15
00583.png,1,18
00586.png,2,1
00587.png,30,28
00588.png,5,1
00589.png,5,1
00592.png,16,17
00596.png,4,11
00597.png,29,28
00600.png,2,1
00603.png,19,11
00608.png,28,25
00609.png,9,10
00611.png,41,42
00612.png,1,11
00615.png,10,9
00616.png,25,11
00620.png,30,11
00630.png,5,9
00633.png,8,10
00635.png,7,8
00636.png,16,11
00637.png,29,15
00644.png,2,17
00648.png,1,18
00649.png,2,1
00653.png,5,25
00656.png,29,23
00660.png,5,8
00669.png,4,2
00670.png,15,17
00672.png,36,35
00673.png,35,39
00674.png,26,11
00675.png,0,1
00676.png,25,11
00678.png,29,28
00679.png,8,11
00680.png,13,11
00682.png,35,38
00684.png,35,36
00687.png,25,11
00689.png,34,38
00690.png,5,9
00692.png,4,11
00694.png,29,28
00696.png,5,11
00698.png,1,25
00699.png,2,1
00705.png,16,9
00708.png,18,26
00710.png,2,5
00713.png,39,38
00714.png,4,2
00715.png,6,20
00716.png,2,18
00717.png,36,37
00720.png,10,11
00722.png,5,1
00723.png,30,11
00724.png,38,12
00725.png,13,25
00738.png,4,8
00739.png,1,2
00740.png,3,11
00741.png,1,2
00745.png,17,11
00749.png,30,28
00750.png,10,18
00753.png,28,11
00754.png,22,9
00757.png,12,18
00758.png,3,1
00760.png,3,11
00764.png,12,18
00767.png,5,2
00768.png,3,10
00769.png,9,3
00770.png,10,9
00772.png,13,12
00775.png,4,18
00778.png,0,1
00781.png,39,35
00783.png,38,12
00789.png,38,36
00790.png,2,3
00791.png,5,14
00792.png,1,15
00800.png,38,13
00803.png,5,1
00804.png,12,11
00805.png,2,1
00806.png,26,1
00809.png,0,1
00815.png,1,11
00819.png,2,9
00820.png,4,17
00822.png,3,11
00830.png,37,36
00845.png,4,12
00846.png,1,9
00847.png,38,35
00849.png,23,11
00850.png,10,11
00851.png,2,1
00852.png,1,12
00858.png,3,8
00859.png,11,30
00862.png,9,13
00869.png,16,9
00870.png,42,11
00872.png,10,9
00877.png,5,2
00878.png,3,1
00881.png,1,9
00883.png,30,13
00886.png,33,35
00892.png,33,35
00894.png,35,25
00897.png,31,11
00898.png,33,25
00899.png,42,13
00901.png,24,11
00904.png,27,11
00908.png,38,11
00911.png,13,12
00914.png,18,12
00918.png,35,38
00921.png,25,30
00922.png,4,19
00923.png,1,9
00928.png,3,42
