Name,Orig_Label,Pred_Label,Pred_Blurred_5_Label,Pred_Blurred_10_Label,Pred_Blurred_15_Label,Pred_Blurred_20_Label,Pred_Dark_1_Label,Pred_Dark_2_Label,Pred_Dark_3_Label,Pred_Bright_1_Label,Pred_Bright_2_Label,Pred_Bright_3_Label,Pred_Bright_4_Label,Pred_Bright_5_Label,Pred_Bright_6_Label,Pred_Bright_7_Label,Pred_Occl_5_Label,Pred_Occl_10_Label,Pred_Occl_15_Label,Pred_Occl_20_Label,Pred_Occl_25_Label
00000.png,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
00001.png,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1
00002.png,38,38,39,39,38,38,38,38,39,38,38,38,38,38,38,38,38,38,38,38,35
00003.png,33,38,38,38,38,38,38,38,33,12,33,40,2,1,1,1,2,38,38,40,11
00004.png,11,11,11,11,11,11,11,11,11,11,11,11,11,11,28,11,11,11,11,11,11
00005.png,38,38,39,39,39,38,39,39,38,38,38,38,38,38,38,38,38,38,38,38,37
00006.png,18,18,18,18,18,18,18,18,18,22,22,26,18,18,18,25,22,18,18,18,18
00007.png,12,12,12,12,12,12,12,12,12,2,12,12,12,41,12,12,12,12,18,12,12
00008.png,25,25,25,26,11,25,25,25,25,25,25,25,25,25,25,25,25,23,18,25,25
00009.png,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
00010.png,12,12,12,12,12,12,12,12,42,12,12,12,12,12,12,12,12,12,12,12,12
00011.png,7,7,7,7,7,8,7,7,7,7,7,7,7,7,7,10,1,7,24,26,7
00012.png,23,23,23,23,31,31,23,23,19,23,23,23,23,23,23,23,23,23,23,11,23
00013.png,7,8,8,7,7,8,7,7,32,8,7,7,7,7,7,7,7,7,7,7,9
00014.png,4,4,4,4,2,13,2,2,4,0,4,4,4,4,4,1,4,2,9,9,4
00015.png,9,9,9,10,9,10,9,10,9,10,9,9,9,9,9,9,9,26,9,9,11
00016.png,21,19,21,11,25,23,21,21,21,23,21,19,19,23,1,25,21,11,23,12,25
00017.png,20,19,19,19,20,20,19,20,26,20,20,19,19,1,19,19,19,28,20,19,11
00018.png,27,27,11,27,27,20,27,27,5,27,27,27,27,27,22,18,27,11,11,27,25
00019.png,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,33,38,38,39,38,35
00020.png,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,18,11,4
00021.png,33,34,34,34,34,34,33,34,33,33,33,34,33,33,33,2,35,33,33,35,39
00022.png,9,9,9,9,9,9,9,9,10,9,9,9,9,9,9,9,9,15,10,9,11
00023.png,3,3,3,3,5,10,3,3,3,3,3,42,3,3,3,3,3,3,18,11,3
00024.png,1,1,1,1,1,1,1,1,1,1,1,4,15,16,15,13,1,1,1,1,9
00025.png,11,11,1,11,11,1,11,11,11,11,11,22,25,4,25,25,11,11,25,11,11
00026.png,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
00027.png,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
00028.png,9,9,5,9,9,10,9,9,10,9,9,9,9,9,9,10,9,9,9,9,9
00029.png,11,11,11,11,25,28,11,11,11,11,11,25,11,25,42,1,11,11,11,11,11
00030.png,5,5,5,5,8,5,10,5,5,5,5,5,5,5,2,2,5,5,2,5,5
00031.png,17,17,17,28,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
00032.png,34,34,34,34,34,34,35,34,33,34,34,34,33,16,25,16,34,34,34,38,34
00033.png,23,31,23,31,10,31,31,13,19,23,23,23,23,23,25,23,23,23,18,23,26
00034.png,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
00035.png,17,17,17,17,17,17,17,17,17,17,17,9,15,15,15,38,17,17,17,17,17
00036.png,3,3,3,3,5,3,3,3,3,3,3,3,3,2,3,4,3,3,3,3,3
00037.png,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
00038.png,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,25,16,16,9,16,12
00039.png,8,8,5,5,5,8,8,8,8,5,8,2,8,1,2,2,18,4,2,20,8
00040.png,7,7,7,8,7,5,7,7,42,8,7,7,7,7,7,7,7,7,7,7,7
00041.png,30,30,30,30,30,30,30,30,28,30,30,30,30,30,30,30,30,30,18,11,11
00042.png,18,18,18,18,19,25,18,18,18,18,18,25,18,18,25,41,18,18,18,18,18
00043.png,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,42,12,11
00044.png,24,24,24,25,18,18,24,24,24,24,24,24,24,21,24,24,24,24,25,18,28
00045.png,25,25,25,25,25,1,25,25,25,24,25,25,12,25,25,25,25,25,22,23,25
00046.png,3,5,3,3,3,7,3,3,3,3,3,3,3,3,3,3,3,1,10,8,3
00047.png,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,10,10,9,10,10
00048.png,18,18,13,18,30,18,18,18,13,18,18,18,18,18,27,18,18,18,18,18,12
00049.png,8,8,8,8,31,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
00050.png,25,38,23,20,8,13,20,18,20,20,20,41,18,24,18,12,20,20,11,20,11
00051.png,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
00052.png,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,18,15
00053.png,9,9,9,9,9,10,9,9,9,9,9,9,9,9,9,10,9,9,8,9,17
