Name,Orig_Label,Pred_Label
00006.png,18,22
00016.png,21,11
00017.png,20,22
00018.png,27,25
00021.png,33,34
00025.png,11,21
00033.png,23,10
00036.png,3,1
00039.png,8,5
00057.png,26,18
00068.png,5,7
00072.png,30,11
00082.png,25,30
00088.png,22,26
00099.png,33,34
00114.png,30,20
00117.png,29,23
00127.png,30,20
00128.png,1,5
00141.png,4,3
00143.png,18,26
00145.png,25,20
00150.png,7,8
00159.png,4,1
00162.png,4,13
00163.png,25,28
00184.png,20,19
00186.png,18,30
00189.png,8,13
00191.png,29,23
00193.png,38,39
00195.png,2,1
00198.png,18,21
00212.png,25,12
00228.png,8,7
00232.png,33,34
00237.png,30,12
00242.png,20,19
00243.png,0,1
00256.png,35,38
00258.png,25,21
00266.png,5,7
00273.png,9,4
00275.png,18,26
00286.png,33,34
00302.png,2,8
00308.png,7,5
00309.png,38,40
00310.png,19,20
00320.png,8,3
00332.png,3,5
00339.png,22,25
00349.png,28,12
00363.png,39,38
00367.png,38,13
00376.png,41,42
00385.png,25,22
00393.png,2,1
00394.png,1,4
00403.png,0,3
00407.png,25,23
00421.png,4,1
00422.png,19,20
00430.png,11,30
00433.png,34,33
00443.png,30,23
00454.png,1,5
00459.png,6,42
00475.png,12,38
00476.png,35,40
00492.png,4,2
00496.png,30,20
00499.png,40,34
00537.png,6,42
00540.png,8,5
00542.png,5,3
00550.png,4,2
00571.png,8,5
00576.png,3,2
00586.png,2,1
00589.png,5,4
00597.png,29,22
00604.png,3,2
00606.png,7,8
00607.png,38,33
00611.png,41,42
00637.png,29,23
00647.png,7,5
00653.png,5,1
00660.png,5,8
00675.png,0,1
00676.png,25,17
00678.png,29,4
00679.png,8,4
00682.png,35,38
00691.png,4,1
00703.png,12,13
00708.png,18,26
00713.png,39,38
00727.png,11,25
00733.png,38,34
00740.png,3,8
00741.png,1,2
00763.png,3,1
00764.png,12,18
00770.png,10,8
00778.png,0,1
00781.png,39,38
00790.png,2,1
00794.png,1,2
00805.png,2,1
00807.png,0,1
00809.png,0,1
00829.png,27,25
00830.png,37,36
00834.png,28,13
00844.png,25,11
00858.png,3,5
00859.png,11,30
00861.png,6,42
00871.png,35,38
00878.png,3,2
00882.png,10,20
00892.png,33,34
00904.png,27,28
00908.png,38,13
00918.png,35,38
00943.png,0,1
00951.png,31,20
00954.png,31,3
00957.png,36,34
00959.png,20,26
00975.png,8,5
00990.png,0,4
00991.png,23,25
01008.png,12,18
01019.png,5,3
01022.png,11,30
01032.png,11,28
01051.png,18,22
01052.png,4,5
01073.png,39,38
01079.png,21,29
01088.png,5,2
01091.png,33,34
01115.png,33,34
01119.png,32,6
01131.png,8,2
01140.png,8,5
01141.png,33,35
01150.png,32,4
01167.png,38,33
01168.png,2,3
01169.png,20,11
01174.png,38,35
01177.png,18,26
01184.png,37,36
01200.png,5,1
01204.png,3,5
01205.png,29,26
01212.png,39,38
01218.png,9,10
01231.png,5,2
01235.png,34,33
01242.png,37,36
01245.png,28,30
01252.png,8,5
01254.png,37,36
01287.png,10,13
01303.png,1,3
01314.png,34,35
01322.png,15,7
01327.png,26,28
01341.png,9,8
01354.png,2,1
01363.png,11,27
01364.png,8,5
01370.png,33,34
01383.png,38,39
01384.png,7,8
01390.png,8,5
01395.png,42,6
01402.png,30,25
01415.png,12,41
01416.png,3,5
01418.png,4,5
01431.png,27,25
01451.png,11,25
01456.png,38,13
01477.png,35,38
01489.png,12,13
01495.png,34,36
01496.png,38,13
01507.png,5,10
01512.png,18,27
01548.png,25,29
01572.png,20,18
01573.png,3,5
01584.png,2,1
01592.png,17,5
01613.png,16,3
01618.png,12,36
01625.png,25,30
01628.png,21,23
01630.png,11,23
01634.png,20,19
01640.png,33,34
01657.png,26,22
01660.png,7,8
01663.png,31,20
01671.png,10,5
01678.png,38,39
01679.png,13,42
01685.png,38,39
01708.png,8,5
01710.png,1,3
01731.png,33,34
01734.png,2,1
01746.png,39,38
01760.png,20,19
01761.png,37,40
01771.png,3,5
01776.png,11,25
01777.png,3,2
01780.png,33,34
01781.png,38,13
01790.png,40,34
01794.png,25,30
01798.png,7,5
01807.png,16,7
01817.png,18,21
01819.png,6,42
01834.png,4,5
01840.png,27,22
01841.png,33,34
01844.png,5,2
01845.png,11,25
01851.png,28,23
01853.png,0,8
01855.png,5,2
01861.png,42,6
01862.png,5,1
01867.png,33,34
01872.png,9,10
01889.png,39,38
01909.png,8,4
01910.png,22,23
01924.png,4,2
01926.png,34,35
01939.png,5,2
01947.png,18,25
01968.png,1,0
01969.png,40,37
01986.png,2,3
01996.png,35,34
01999.png,3,2
02001.png,38,39
02002.png,8,5
02045.png,0,4
02057.png,36,38
02063.png,2,1
02065.png,18,25
02069.png,18,21
02076.png,33,34
02090.png,31,20
02095.png,37,36
02100.png,29,28
02101.png,31,28
02108.png,36,37
02112.png,18,26
02121.png,18,26
02124.png,11,30
02145.png,4,10
02157.png,27,25
02165.png,2,3
02167.png,16,10
02178.png,5,8
02182.png,3,17
02188.png,6,42
02190.png,4,8
02199.png,4,5
02216.png,11,13
02227.png,8,5
02247.png,13,33
02248.png,38,13
02256.png,2,1
02294.png,33,34
02326.png,19,20
02331.png,38,39
02332.png,42,41
02336.png,5,1
02340.png,7,8
02351.png,33,34
02352.png,5,2
02353.png,4,3
02358.png,33,34
02361.png,30,8
02368.png,8,7
02378.png,25,23
02390.png,18,5
02397.png,3,5
02423.png,22,13
02427.png,33,34
02434.png,5,2
02453.png,25,24
02460.png,11,30
02467.png,9,10
02472.png,2,1
02494.png,2,1
02503.png,39,38
02510.png,8,5
02538.png,3,5
02562.png,35,33
02577.png,4,25
02584.png,19,18
02585.png,2,1
02597.png,25,18
02618.png,34,33
02632.png,1,4
02637.png,5,8
02641.png,11,30
02653.png,9,10
02670.png,42,11
02679.png,1,5
02682.png,30,20
02684.png,33,34
02688.png,7,15
02689.png,2,1
02700.png,5,2
02702.png,37,36
02706.png,33,34
02708.png,26,29
02725.png,35,40
02738.png,28,22
02748.png,27,25
02751.png,24,25
02753.png,5,20
02757.png,18,31
02760.png,30,28
02776.png,25,7
02782.png,18,30
02787.png,31,23
02803.png,5,13
02805.png,41,32
02812.png,7,5
02814.png,39,38
02826.png,2,1
02833.png,17,13
02845.png,8,5
02847.png,27,28
02859.png,34,35
02861.png,4,1
02864.png,30,20
02880.png,39,38
02887.png,4,2
02891.png,39,38
02903.png,2,1
02906.png,37,36
02918.png,23,20
02919.png,1,2
02921.png,11,22
02931.png,1,4
02954.png,23,31
02956.png,11,25
02972.png,29,31
02978.png,36,33
02983.png,7,4
02989.png,26,11
02993.png,30,18
02995.png,20,19
03000.png,11,18
03007.png,33,34
03030.png,18,13
03047.png,5,1
03049.png,30,31
03053.png,38,13
03059.png,20,25
03086.png,8,5
03088.png,38,35
03092.png,33,34
03109.png,39,38
03119.png,38,34
03143.png,20,25
03144.png,4,5
03147.png,1,8
03151.png,2,1
03152.png,2,5
03162.png,33,36
03172.png,18,30
03177.png,26,18
03184.png,3,5
03196.png,28,11
03198.png,1,5
03207.png,31,17
03210.png,7,8
03215.png,4,10
03238.png,23,30
03242.png,7,5
03250.png,27,28
03257.png,8,5
03258.png,36,37
03264.png,34,35
03287.png,8,5
03309.png,2,3
03310.png,25,11
03337.png,20,19
03341.png,39,38
03353.png,37,36
03355.png,7,4
03360.png,41,6
03363.png,29,23
03367.png,29,22
03373.png,23,20
03389.png,5,2
03405.png,19,20
03421.png,28,23
03423.png,2,12
03433.png,11,28
03441.png,2,1
03459.png,35,38
03474.png,0,8
03490.png,11,30
03497.png,9,10
03522.png,1,5
03524.png,1,5
03525.png,5,1
03543.png,8,4
03552.png,19,20
03567.png,30,20
03577.png,8,5
03584.png,38,39
03590.png,17,38
03591.png,7,8
03593.png,41,42
03595.png,3,2
03596.png,38,40
03605.png,37,36
03608.png,9,10
03612.png,38,39
03630.png,35,40
03633.png,5,8
03636.png,7,2
03643.png,18,28
03660.png,8,5
03672.png,33,34
03680.png,2,1
03694.png,2,1
03695.png,41,42
03704.png,40,25
03711.png,2,17
03713.png,11,28
03719.png,28,20
03730.png,25,27
03741.png,25,23
03751.png,34,40
03752.png,28,23
03764.png,38,39
03772.png,1,36
03776.png,0,8
03778.png,30,20
03783.png,23,20
03791.png,5,1
03799.png,30,20
03804.png,20,19
03805.png,3,5
03819.png,4,1
03824.png,17,38
03829.png,38,40
03833.png,7,8
03835.png,20,23
03841.png,11,25
03853.png,34,33
03858.png,4,9
03863.png,0,1
03867.png,41,42
03869.png,33,35
03877.png,1,2
03890.png,13,18
03911.png,3,5
03926.png,20,19
03928.png,7,5
03930.png,8,5
03935.png,38,40
03960.png,18,21
03967.png,3,5
03971.png,34,38
03973.png,36,37
03979.png,35,36
03986.png,17,18
03987.png,31,10
03988.png,16,10
03994.png,35,34
03999.png,4,5
04005.png,29,28
04011.png,30,20
04036.png,38,13
