Name,Orig_Label,Pred_Label
00003.png,33,17
00008.png,25,1
00012.png,23,25
00014.png,4,2
00016.png,21,25
00017.png,20,19
00018.png,27,19
00025.png,11,25
00029.png,11,1
00030.png,5,2
00032.png,34,15
00035.png,17,15
00036.png,3,1
00038.png,16,0
00039.png,8,7
00042.png,18,21
00050.png,25,38
00055.png,35,13
00056.png,5,1
00057.png,26,13
00066.png,26,18
00068.png,5,15
00072.png,30,11
00073.png,34,33
00076.png,1,2
00080.png,21,23
00081.png,33,11
00090.png,3,5
00092.png,2,15
00095.png,32,41
00104.png,33,1
00105.png,4,2
00108.png,33,17
00109.png,4,5
00113.png,10,1
00114.png,30,39
00115.png,3,2
00116.png,27,21
00117.png,29,25
00118.png,1,15
00119.png,17,12
00122.png,1,12
00130.png,36,15
00132.png,14,11
00134.png,11,18
00137.png,40,33
00139.png,38,12
00140.png,41,15
00141.png,4,2
00142.png,6,1
00145.png,25,38
00146.png,2,15
00147.png,41,15
00148.png,11,41
00154.png,17,15
00157.png,9,10
00160.png,13,15
00163.png,25,21
00167.png,14,25
00168.png,29,18
00169.png,17,1
00172.png,26,16
00175.png,1,25
00176.png,3,5
00182.png,36,13
00183.png,25,17
00184.png,20,28
00187.png,1,15
00191.png,29,20
00194.png,31,18
00195.png,2,1
00196.png,8,2
00198.png,18,21
00199.png,28,18
00200.png,17,12
00204.png,17,41
00213.png,5,15
00217.png,5,2
00220.png,2,1
00222.png,5,2
00225.png,12,18
00227.png,5,1
00228.png,8,1
00232.png,33,17
00237.png,30,25
00240.png,12,13
00242.png,20,19
00245.png,40,38
00246.png,5,3
00249.png,38,12
00250.png,20,19
00252.png,0,4
00253.png,36,1
00254.png,34,12
00255.png,28,41
00256.png,35,13
00257.png,13,25
00266.png,5,12
00270.png,18,28
00272.png,34,33
00274.png,25,41
00276.png,34,17
00277.png,39,16
00281.png,35,37
00283.png,26,18
00285.png,1,13
00286.png,33,35
00287.png,30,25
00288.png,17,13
00291.png,31,11
00297.png,28,18
00298.png,35,12
00299.png,26,19
00304.png,4,17
00305.png,3,1
00306.png,32,12
00310.png,19,20
00311.png,11,1
00314.png,1,15
00318.png,17,13
00322.png,5,1
00325.png,35,1
00329.png,2,15
00331.png,18,12
00332.png,3,5
00334.png,10,12
00335.png,6,38
00337.png,34,11
00338.png,4,1
00339.png,22,13
00341.png,29,25
00342.png,9,1
00344.png,38,35
00345.png,38,11
00349.png,28,15
00356.png,35,12
00360.png,9,2
00363.png,39,38
00366.png,7,2
00373.png,5,1
00377.png,13,12
00378.png,1,2
00380.png,19,21
00385.png,25,2
00386.png,34,12
00389.png,9,12
00393.png,2,1
00394.png,1,12
00401.png,36,17
00405.png,36,1
00406.png,8,4
00407.png,25,31
00408.png,5,15
00409.png,2,4
00410.png,25,18
00411.png,14,1
00417.png,14,12
00421.png,4,1
00422.png,19,21
00425.png,13,22
00426.png,13,17
