Name,Orig_Label,Pred_Label
00008.png,25,11
00009.png,35,38
00016.png,21,11
00018.png,27,31
00033.png,23,31
00039.png,8,3
00044.png,24,25
00050.png,25,20
00069.png,28,23
00076.png,1,2
00114.png,30,23
00117.png,29,23
00127.png,30,20
00131.png,3,5
00145.png,25,13
00153.png,25,27
00156.png,6,42
00159.png,4,1
00196.png,8,5
00198.png,18,21
00199.png,28,24
00211.png,38,40
00229.png,36,33
00232.png,33,34
00237.png,30,20
00243.png,0,1
00247.png,8,3
00250.png,20,23
00252.png,0,1
00254.png,34,35
00256.png,35,40
00263.png,25,13
00270.png,18,25
00271.png,18,30
00272.png,34,33
00273.png,9,10
00277.png,39,38
00286.png,33,34
00290.png,1,3
00297.png,28,11
00304.png,4,0
00306.png,32,41
00309.png,38,40
00316.png,2,1
00321.png,4,5
00325.png,35,39
00335.png,6,12
00339.png,22,23
00355.png,40,34
00358.png,38,40
00361.png,38,13
00363.png,39,38
00367.png,38,20
00368.png,19,25
00379.png,18,11
00380.png,19,20
00393.png,2,3
00395.png,5,10
00398.png,4,10
00403.png,0,8
00406.png,8,7
00407.png,25,27
00418.png,9,10
00429.png,34,33
00430.png,11,30
00433.png,34,33
00459.png,6,42
00475.png,12,18
00492.png,4,1
00496.png,30,31
00499.png,40,34
00510.png,8,10
00511.png,2,4
00513.png,22,23
00540.png,8,5
00550.png,4,0
00579.png,0,1
00587.png,30,25
00589.png,5,1
00596.png,4,23
00603.png,19,23
00606.png,7,3
00611.png,41,42
00620.png,30,31
00624.png,7,8
00637.png,29,23
00656.png,29,13
00660.png,5,7
00669.png,4,2
00672.png,36,37
00673.png,35,37
00675.png,0,4
00676.png,25,28
00734.png,15,9
00745.png,17,13
00752.png,9,4
00763.png,3,5
00767.png,5,1
00774.png,3,1
00778.png,0,1
00781.png,39,38
00787.png,10,8
00790.png,2,1
00796.png,15,17
00805.png,2,1
00809.png,0,1
00811.png,31,20
00829.png,27,25
00834.png,28,25
00865.png,33,34
00873.png,28,11
00875.png,1,5
00876.png,7,8
00883.png,30,23
00892.png,33,34
00894.png,35,13
00904.png,27,28
00908.png,38,11
00914.png,18,23
00935.png,11,25
00940.png,35,2
00944.png,38,35
00948.png,34,35
00956.png,42,6
00957.png,36,35
00959.png,20,19
00990.png,0,4
00992.png,7,10
01010.png,8,5
01022.png,11,30
01025.png,30,25
01033.png,41,42
01043.png,7,5
01069.png,41,42
01073.png,39,38
01086.png,18,12
01091.png,33,35
01095.png,37,36
01101.png,20,19
01104.png,23,3
01122.png,35,34
01140.png,8,7
01141.png,33,39
01152.png,25,28
01157.png,35,25
01166.png,26,11
01169.png,20,19
01184.png,37,36
01200.png,5,2
01209.png,11,30
01212.png,39,38
01231.png,5,1
01234.png,3,5
01235.png,34,33
01242.png,37,36
01252.png,8,5
01254.png,37,36
01270.png,2,17
01276.png,18,21
01280.png,2,1
01289.png,34,33
01310.png,5,3
01311.png,8,5
01313.png,10,8
01363.png,11,30
01364.png,8,5
01369.png,2,8
01370.png,33,34
01373.png,41,42
01385.png,4,5
01386.png,4,1
01389.png,18,26
01390.png,8,5
01402.png,30,25
01422.png,30,18
01431.png,27,28
01434.png,23,20
01468.png,7,5
01477.png,35,1
01496.png,38,13
01508.png,38,39
01512.png,18,19
01514.png,30,31
01517.png,42,6
01533.png,14,12
01543.png,9,2
01553.png,3,2
01561.png,2,8
01564.png,22,23
01568.png,2,5
01573.png,3,5
01592.png,17,2
01612.png,42,32
01613.png,16,42
01634.png,20,19
01637.png,2,1
01640.png,33,39
01660.png,7,8
01663.png,31,20
01664.png,2,5
01672.png,9,10
01683.png,23,30
01702.png,32,6
01710.png,1,7
01713.png,30,22
01716.png,9,10
01725.png,38,39
01734.png,2,1
01736.png,4,3
01737.png,15,13
01745.png,5,3
01746.png,39,38
01747.png,12,3
01760.png,20,19
01763.png,41,32
01777.png,3,5
01781.png,38,12
01790.png,40,34
01801.png,22,23
01802.png,24,25
01817.png,18,21
01819.png,6,42
01820.png,5,4
01830.png,7,13
01832.png,5,2
01841.png,33,34
01848.png,14,17
01851.png,28,29
01853.png,0,1
01859.png,38,40
01869.png,25,18
01879.png,25,29
01884.png,5,2
01889.png,39,38
01925.png,11,25
01935.png,17,7
01939.png,5,1
01951.png,25,28
01956.png,4,11
01961.png,20,23
01963.png,26,18
02010.png,36,35
02028.png,4,5
02045.png,0,4
02057.png,36,35
02065.png,18,26
02069.png,18,21
02090.png,31,20
02095.png,37,36
02096.png,25,28
02100.png,29,20
02102.png,7,9
02108.png,36,37
02109.png,30,23
02120.png,38,40
02124.png,11,30
02131.png,9,16
02135.png,35,36
02203.png,10,15
02209.png,23,27
02212.png,35,13
02246.png,5,3
02248.png,38,13
02272.png,4,2
02294.png,33,34
02318.png,3,5
02321.png,3,5
02326.png,19,20
02327.png,2,4
02332.png,42,12
02342.png,18,21
02344.png,25,11
02347.png,29,18
02352.png,5,2
02363.png,31,25
02372.png,1,2
02373.png,25,11
02375.png,33,34
02376.png,4,1
02378.png,25,20
02379.png,12,13
02386.png,4,7
02397.png,3,4
02398.png,7,2
02425.png,18,29
02432.png,35,39
02434.png,5,2
02466.png,2,5
02471.png,25,28
02472.png,2,1
02486.png,9,3
02494.png,2,1
02503.png,39,38
02509.png,5,2
02528.png,25,28
02531.png,25,11
02532.png,10,5
02533.png,1,5
02577.png,4,2
02584.png,19,20
02600.png,30,20
02601.png,38,13
02615.png,12,18
02635.png,5,2
02637.png,5,1
02646.png,5,3
02652.png,25,20
02660.png,30,29
02663.png,1,2
02667.png,3,5
02669.png,18,26
02679.png,1,2
02682.png,30,10
02684.png,33,38
02689.png,2,1
02702.png,37,38
02708.png,26,19
02725.png,35,12
02739.png,1,3
02741.png,2,5
02751.png,24,26
02752.png,0,1
02753.png,5,13
02787.png,31,23
02805.png,41,42
02810.png,19,18
02812.png,7,3
02814.png,39,38
02816.png,1,33
02847.png,27,28
02859.png,34,33
02880.png,39,38
02881.png,2,1
02887.png,4,2
02891.png,39,38
02898.png,15,10
02906.png,37,33
02913.png,18,25
02936.png,18,22
02940.png,8,5
02946.png,5,4
02954.png,23,28
02967.png,2,4
02978.png,36,35
02980.png,41,42
03007.png,33,34
03009.png,0,1
03012.png,27,28
03018.png,25,18
03021.png,6,13
03024.png,5,2
03025.png,30,22
03054.png,38,35
03061.png,38,39
03067.png,35,33
03093.png,2,1
03109.png,39,38
03119.png,38,34
03123.png,4,8
03132.png,1,4
03143.png,20,19
03147.png,1,2
03157.png,11,21
03161.png,10,20
03162.png,33,34
03172.png,18,30
03173.png,38,35
03200.png,5,1
03210.png,7,8
03220.png,24,21
03242.png,7,5
03258.png,36,37
03277.png,1,7
03294.png,21,11
03296.png,3,5
03303.png,6,42
03333.png,31,26
03337.png,20,19
03341.png,39,38
03351.png,1,4
03353.png,37,36
03361.png,31,30
03363.png,29,23
03367.png,29,28
03389.png,5,1
03414.png,10,1
03437.png,18,6
03444.png,8,9
03457.png,22,25
03501.png,32,41
03502.png,8,5
03526.png,10,5
03535.png,35,38
03571.png,11,18
03574.png,12,2
03577.png,8,5
03584.png,38,39
03586.png,18,26
03589.png,3,5
03590.png,17,38
03593.png,41,32
03596.png,38,33
03603.png,4,5
03605.png,37,36
03616.png,37,36
03633.png,5,8
03643.png,18,26
03672.png,33,34
03689.png,4,14
03694.png,2,1
03704.png,40,2
03711.png,2,4
03713.png,11,30
03720.png,41,42
03722.png,28,25
03732.png,3,2
03733.png,11,20
03739.png,18,21
03742.png,25,31
03745.png,30,29
03746.png,28,23
03752.png,28,29
03776.png,0,8
03778.png,30,20
03779.png,0,1
03786.png,25,11
03787.png,13,26
03793.png,12,13
03794.png,9,10
03796.png,5,2
03804.png,20,19
03812.png,3,1
03815.png,35,40
03817.png,18,26
03819.png,4,1
03831.png,1,2
03833.png,7,3
03834.png,5,2
03835.png,20,19
03849.png,38,40
03864.png,39,38
03867.png,41,42
03871.png,33,37
03894.png,25,20
03896.png,22,25
03904.png,28,30
03922.png,0,4
03926.png,20,19
03930.png,8,5
03935.png,38,33
03960.png,18,21
03973.png,36,35
03981.png,18,29
03986.png,17,13
03991.png,42,6
04000.png,25,30
04001.png,34,33
04011.png,30,20
04020.png,28,24
04037.png,2,1
04040.png,34,35
04060.png,8,5
04061.png,9,15
04067.png,2,1
04068.png,36,40
04072.png,8,5
04079.png,18,26
04100.png,15,1
04116.png,5,4
04130.png,39,40
04132.png,33,34
04134.png,2,1
04147.png,21,25
04153.png,33,35
04175.png,17,14
04180.png,0,8
04183.png,4,1
04190.png,11,15
04195.png,5,1
04230.png,9,10
04234.png,1,5
04235.png,8,10
04245.png,5,8
04257.png,5,4
04267.png,3,1
