Name,Orig_Label,Pred_Label
00002.png,38,39
00003.png,33,40
00008.png,25,21
00011.png,7,8
00014.png,4,0
00017.png,20,1
00021.png,33,35
00039.png,8,9
00044.png,24,26
00050.png,25,11
00055.png,35,34
00067.png,2,5
00068.png,5,1
00071.png,25,28
00085.png,35,34
00092.png,2,1
00098.png,9,15
00100.png,1,2
00104.png,33,34
00108.png,33,34
00109.png,4,5
00114.png,30,20
00117.png,29,23
00118.png,1,4
00127.png,30,25
00140.png,41,9
00145.png,25,28
00146.png,2,1
00164.png,18,26
00168.png,29,11
00174.png,33,35
00176.png,3,5
00182.png,36,38
00183.png,25,27
00201.png,9,3
00211.png,38,13
00215.png,13,18
00222.png,5,1
00223.png,1,11
00229.png,36,40
00232.png,33,34
00235.png,19,23
00237.png,30,10
00242.png,20,19
00243.png,0,1
00252.png,0,1
00262.png,18,23
00270.png,18,24
00272.png,34,33
00273.png,9,13
00274.png,25,22
00286.png,33,34
00287.png,30,11
00290.png,1,2
00295.png,1,5
00304.png,4,23
00306.png,32,41
00308.png,7,5
00309.png,38,40
00310.png,19,20
00324.png,31,18
00325.png,35,13
00329.png,2,1
00337.png,34,35
00339.png,22,27
00355.png,40,13
00358.png,38,37
00361.png,38,13
00363.png,39,38
00367.png,38,13
00368.png,19,20
00374.png,26,18
00376.png,41,42
00378.png,1,3
00385.png,25,23
00393.png,2,1
00403.png,0,1
00406.png,8,7
00409.png,2,1
00410.png,25,27
00421.png,4,2
00422.png,19,20
00430.png,11,30
00433.png,34,36
00443.png,30,29
00446.png,31,11
00478.png,24,18
00485.png,10,20
00492.png,4,2
00496.png,30,31
00499.png,40,34
00500.png,22,18
00506.png,32,13
00518.png,8,7
00533.png,1,3
00537.png,6,42
00540.png,8,5
00550.png,4,1
00563.png,18,11
00565.png,23,25
00569.png,23,11
00586.png,2,1
00606.png,7,8
00611.png,41,42
00624.png,7,8
00637.png,29,23
00644.png,2,39
00660.png,5,8
00662.png,2,1
00663.png,7,9
00670.png,15,17
00673.png,35,36
00675.png,0,1
00689.png,34,33
00699.png,2,1
00703.png,12,13
00708.png,18,26
00717.png,36,35
00723.png,30,28
00733.png,38,33
00745.png,17,15
00758.png,3,5
00760.png,3,30
00770.png,10,14
00774.png,3,2
00778.png,0,8
00780.png,2,4
00781.png,39,38
00788.png,2,5
00790.png,2,1
00801.png,25,21
00803.png,5,1
00805.png,2,11
00822.png,3,5
00827.png,2,1
00830.png,37,35
00855.png,10,5
00857.png,28,18
00859.png,11,30
00862.png,9,4
00863.png,2,5
00865.png,33,34
00868.png,25,28
00883.png,30,28
00885.png,24,25
00889.png,2,1
00892.png,33,34
00894.png,35,18
00904.png,27,26
00908.png,38,35
00912.png,23,29
00914.png,18,29
00917.png,38,35
00918.png,35,38
00941.png,29,28
00944.png,38,39
00948.png,34,33
00951.png,31,20
00957.png,36,38
00959.png,20,19
00976.png,23,11
00981.png,7,8
00990.png,0,1
01004.png,10,13
01007.png,3,2
01018.png,35,38
01022.png,11,28
01026.png,11,18
01044.png,12,10
01054.png,40,36
01070.png,8,7
01071.png,2,4
01073.png,39,38
01085.png,8,7
01091.png,33,34
01095.png,37,36
01097.png,9,4
01098.png,18,31
01101.png,20,19
01108.png,38,35
01115.png,33,35
01125.png,7,2
01127.png,8,5
01131.png,8,5
01149.png,31,18
01150.png,32,42
01153.png,1,15
01156.png,4,1
01160.png,32,4
01169.png,20,19
01174.png,38,34
01184.png,37,36
01187.png,5,8
