Name,Orig_Label,Pred_Label
00014.png,4,1
00023.png,3,8
00030.png,5,8
00033.png,23,31
00039.png,8,5
00050.png,25,12
00057.png,26,25
00072.png,30,31
00073.png,34,37
00099.png,33,34
00103.png,11,20
00104.png,33,36
00108.png,33,34
00113.png,10,1
00114.png,30,25
00127.png,30,20
00129.png,6,42
00131.png,3,35
00145.png,25,20
00150.png,7,8
00159.png,4,1
00163.png,25,28
00164.png,18,26
00168.png,29,11
00173.png,25,20
00182.png,36,35
00189.png,8,5
00218.png,4,25
00229.png,36,35
00232.png,33,34
00237.png,30,18
00242.png,20,19
00244.png,10,20
00252.png,0,1
00253.png,36,35
00266.png,5,7
00270.png,18,25
00294.png,5,8
00304.png,4,2
00309.png,38,35
00314.png,1,2
00335.png,6,42
00339.png,22,12
00358.png,38,39
00363.png,39,38
00368.png,19,31
00385.png,25,28
00393.png,2,3
00394.png,1,4
00402.png,10,8
00403.png,0,1
00430.png,11,30
00433.png,34,33
00455.png,38,40
00459.png,6,42
00475.png,12,13
00496.png,30,20
00499.png,40,13
00503.png,7,8
00513.png,22,25
00516.png,3,5
00537.png,6,42
00550.png,4,1
00565.png,23,20
00567.png,10,5
00576.png,3,5
00586.png,2,1
00591.png,13,29
00600.png,2,1
00602.png,4,2
00604.png,3,5
00628.png,2,8
00644.png,2,36
00648.png,1,2
00675.png,0,1
00682.png,35,38
00708.png,18,26
00715.png,6,42
00719.png,5,2
00727.png,11,30
00733.png,38,33
00734.png,15,10
00745.png,17,2
00759.png,23,19
00767.png,5,1
00768.png,3,35
00778.png,0,1
00781.png,39,38
00790.png,2,1
00802.png,5,1
00805.png,2,1
00810.png,26,11
00820.png,4,1
00834.png,28,25
00837.png,9,10
00844.png,25,11
00858.png,3,5
00859.png,11,30
00861.png,6,42
00865.png,33,34
00877.png,5,2
00878.png,3,2
00879.png,23,25
00886.png,33,38
00892.png,33,34
00898.png,33,36
00901.png,24,25
00907.png,21,31
00924.png,19,20
00951.png,31,20
00957.png,36,38
00959.png,20,19
00966.png,32,41
00975.png,8,7
00990.png,0,1
00998.png,9,16
01001.png,1,9
01008.png,12,38
01012.png,2,5
01013.png,10,20
01017.png,4,5
01022.png,11,30
01069.png,41,42
01073.png,39,38
01081.png,2,8
01088.png,5,2
01091.png,33,34
01097.png,9,15
01101.png,20,19
01115.png,33,35
01133.png,4,1
01136.png,17,14
01141.png,33,39
01166.png,26,24
01167.png,38,39
01174.png,38,39
01177.png,18,24
01182.png,31,20
01184.png,37,36
01192.png,2,1
01196.png,14,17
01209.png,11,30
01212.png,39,38
01221.png,17,10
01231.png,5,2
01234.png,3,12
01242.png,37,36
01246.png,28,31
01252.png,8,5
01254.png,37,36
01265.png,38,39
01268.png,2,3
01275.png,8,2
01276.png,18,21
01286.png,11,25
01297.png,33,34
01304.png,33,36
01305.png,16,1
01308.png,23,24
01321.png,9,10
01333.png,9,15
01369.png,2,5
01370.png,33,35
01374.png,16,1
01375.png,18,26
01385.png,4,3
01390.png,8,5
01394.png,2,5
01398.png,10,15
01402.png,30,20
01411.png,7,8
01427.png,4,10
01451.png,11,28
01456.png,38,13
01476.png,2,1
01477.png,35,40
01495.png,34,13
01496.png,38,13
01508.png,38,11
01524.png,30,31
01532.png,11,25
01535.png,3,5
01541.png,29,28
01573.png,3,5
01576.png,38,39
01584.png,2,1
01612.png,42,6
01615.png,2,4
01617.png,32,41
01628.png,21,20
01634.png,20,19
01638.png,23,28
01640.png,33,34
01661.png,28,18
01682.png,17,2
01697.png,30,20
01704.png,16,10
01705.png,35,36
01709.png,30,29
01710.png,1,2
01713.png,30,22
01717.png,10,9
01719.png,10,5
01725.png,38,39
01736.png,4,7
01746.png,39,38
01747.png,12,13
01753.png,18,26
01760.png,20,19
01761.png,37,36
01762.png,17,38
01764.png,23,25
01769.png,18,25
01772.png,39,38
01774.png,4,2
01780.png,33,34
01782.png,8,4
01790.png,40,34
01797.png,31,21
01805.png,28,20
01817.png,18,25
01818.png,13,18
01820.png,5,8
01825.png,4,5
01830.png,7,8
01841.png,33,34
01851.png,28,29
01853.png,0,1
01856.png,24,25
01861.png,42,11
01867.png,33,34
01884.png,5,2
01889.png,39,38
01904.png,36,39
01917.png,16,10
01922.png,5,10
01924.png,4,2
01932.png,1,8
01940.png,5,1
01946.png,25,18
01951.png,25,28
01968.png,1,0
01969.png,40,36
01985.png,25,28
02000.png,34,33
02002.png,8,5
02025.png,4,1
02032.png,38,13
02036.png,26,25
02045.png,0,1
02057.png,36,35
02068.png,15,22
02069.png,18,11
02076.png,33,34
02095.png,37,36
02101.png,31,25
02105.png,6,42
02108.png,36,37
02112.png,18,24
02116.png,26,23
02124.png,11,30
02157.png,27,25
02190.png,4,5
02202.png,33,36
02235.png,8,5
02256.png,2,1
02281.png,5,1
02291.png,14,9
02294.png,33,40
02313.png,1,0
02326.png,19,22
02327.png,2,4
02340.png,7,8
02342.png,18,21
02348.png,4,1
02351.png,33,34
02362.png,5,31
02371.png,2,1
02375.png,33,35
02378.png,25,20
02381.png,11,12
02388.png,31,20
02397.png,3,5
02400.png,28,27
02407.png,23,25
02427.png,33,34
02428.png,5,20
02434.png,5,2
02435.png,11,20
02442.png,11,13
02460.png,11,30
02467.png,9,3
02470.png,10,15
02471.png,25,21
02472.png,2,1
02479.png,31,20
02483.png,17,12
02493.png,2,1
02494.png,2,1
02500.png,32,41
02503.png,39,38
02518.png,17,9
02522.png,3,2
02528.png,25,18
02529.png,5,8
02530.png,26,18
02531.png,25,18
02538.png,3,5
02547.png,17,38
02550.png,1,2
02559.png,23,31
02577.png,4,13
02585.png,2,1
02595.png,5,3
02599.png,30,25
02608.png,33,34
02615.png,12,13
02648.png,11,18
02660.png,30,28
02669.png,18,29
02671.png,9,15
02676.png,25,24
02679.png,1,2
02684.png,33,34
02694.png,1,2
02699.png,5,8
02700.png,5,2
02702.png,37,36
02706.png,33,34
02707.png,29,28
02725.png,35,40
02739.png,1,2
02743.png,9,10
02752.png,0,1
02753.png,5,8
02758.png,5,2
02771.png,29,11
02777.png,18,26
02780.png,8,5
02787.png,31,28
02805.png,41,42
02814.png,39,38
02841.png,38,39
02842.png,11,36
02847.png,27,28
02876.png,9,4
02880.png,39,38
02881.png,2,1
02885.png,25,18
02891.png,39,38
02896.png,12,38
02906.png,37,36
02907.png,17,9
02918.png,23,20
02921.png,11,13
02922.png,7,8
02931.png,1,7
02948.png,15,2
02976.png,2,1
02991.png,7,10
02996.png,18,38
03008.png,21,23
03009.png,0,1
03025.png,30,28
03030.png,18,13
03039.png,42,28
03043.png,30,13
03077.png,2,4
03086.png,8,4
03089.png,10,7
03095.png,35,36
03106.png,31,25
03109.png,39,38
03133.png,25,18
03135.png,1,2
03143.png,20,19
03144.png,4,5
03147.png,1,3
03150.png,22,23
03159.png,5,1
03161.png,10,20
03162.png,33,34
03172.png,18,30
03173.png,38,35
03185.png,12,20
03194.png,24,25
03200.png,5,1
03210.png,7,8
03217.png,24,18
03231.png,23,31
03246.png,20,19
03257.png,8,3
03278.png,18,25
03280.png,35,33
03287.png,8,5
03294.png,21,25
03296.png,3,5
03302.png,1,9
03303.png,6,42
03308.png,7,1
03329.png,25,1
03337.png,20,19
03340.png,0,1
03341.png,39,38
03353.png,37,36
03360.png,41,42
03363.png,29,41
03389.png,5,2
03407.png,5,8
03410.png,28,25
03420.png,0,2
03421.png,28,38
03453.png,8,3
03454.png,40,36
03486.png,15,9
03490.png,11,30
03499.png,8,5
03520.png,2,1
03552.png,19,23
03558.png,22,26
03560.png,17,14
03564.png,27,25
03567.png,30,14
03577.png,8,5
03590.png,17,12
03604.png,2,5
03605.png,37,33
03615.png,4,10
03616.png,37,36
03624.png,11,25
03643.png,18,25
03660.png,8,5
03670.png,35,38
03672.png,33,39
03677.png,0,1
03694.png,2,1
03695.png,41,13
03696.png,4,1
03704.png,40,13
03707.png,3,2
03711.png,2,4
03713.png,11,25
03719.png,28,29
03730.png,25,13
03732.png,3,5
03739.png,18,21
03745.png,30,22
03752.png,28,29
03776.png,0,1
03777.png,11,30
03785.png,1,5
03787.png,13,25
03789.png,37,36
03799.png,30,20
03804.png,20,19
03806.png,11,25
03815.png,35,40
03816.png,18,26
03819.png,4,1
03831.png,1,5
03834.png,5,1
03855.png,38,34
03857.png,5,4
03858.png,4,25
03869.png,33,36
03873.png,27,18
03896.png,22,21
03897.png,1,2
03901.png,25,20
03907.png,17,12
03915.png,4,10
03926.png,20,19
03930.png,8,5
03956.png,31,20
03960.png,18,21
03980.png,31,7
03981.png,18,14
03986.png,17,12
03991.png,42,6
04004.png,8,2
04005.png,29,23
04011.png,30,20
04012.png,0,1
04055.png,22,25
04068.png,36,39
04071.png,1,3
04072.png,8,5
04077.png,29,28
04079.png,18,25
04104.png,38,39
04105.png,41,9
04111.png,17,13
04112.png,23,25
04117.png,36,35
04125.png,21,23
04130.png,39,38
04132.png,33,34
04136.png,33,34
04138.png,40,36
04158.png,4,1
04175.png,17,14
04180.png,0,1
04184.png,41,32
04198.png,31,3
04245.png,5,7
04252.png,18,26
04260.png,11,12
04269.png,17,14
04281.png,8,5
04283.png,4,2
04306.png,15,14
04312.png,20,19
04314.png,26,31
04316.png,42,41
04320.png,7,8
04326.png,5,1
04332.png,0,4
04333.png,0,1
04355.png,12,11
04363.png,3,10
04365.png,38,39
04371.png,9,10
04382.png,2,4
04383.png,30,20
04385.png,8,5
04387.png,1,5
04414.png,19,20
04418.png,33,34
04422.png,5,4
04427.png,12,13
04440.png,5,1
04447.png,2,4
04449.png,3,2
04451.png,12,11
04458.png,37,35
04476.png,2,3
04492.png,38,40
04504.png,0,11
04509.png,30,28
04511.png,30,25
04512.png,0,1
04515.png,40,35
04535.png,18,11
04545.png,16,10
04550.png,38,39
04560.png,5,2
04561.png,3,10
04569.png,25,11
04570.png,0,1
04575.png,8,5
04579.png,30,23
04581.png,15,25
04583.png,17,8
04585.png,27,25
04588.png,3,2
04591.png,26,11
04598.png,5,1
04601.png,4,1
04602.png,29,13
04611.png,33,35
04614.png,38,40
04620.png,19,20
04629.png,7,8
04635.png,20,19
04636.png,33,34
04643.png,19,20
04644.png,5,4
04658.png,37,33
04659.png,5,2
04662.png,6,42
04667.png,40,38
04673.png,4,10
04691.png,21,11
04693.png,38,35
04700.png,33,34
04716.png,7,8
04723.png,4,2
04731.png,21,31
04732.png,19,3
04753.png,26,25
04767.png,17,9
04771.png,3,7
04785.png,38,39
04789.png,7,8
04794.png,25,20
04795.png,0,1
04803.png,4,20
04812.png,5,2
04820.png,11,30
04825.png,4,8
04828.png,35,34
04833.png,30,28
04864.png,1,2
04866.png,9,2
04874.png,1,2
04878.png,33,34
04883.png,18,27
04886.png,18,21
04887.png,11,30
04888.png,1,5
04889.png,19,31
04892.png,18,13
04897.png,4,3
04910.png,13,31
04922.png,12,38
04925.png,31,30
04940.png,9,3
04943.png,14,17
04953.png,30,20
04984.png,2,1
04985.png,30,28
04987.png,25,13
04993.png,3,5
05014.png,3,7
05019.png,26,25
05021.png,33,34
05033.png,18,29
05057.png,27,28
05068.png,19,26
05077.png,28,31
05079.png,4,8
05085.png,2,13
05092.png,10,9
05095.png,22,23
05101.png,18,25
05113.png,5,1
05127.png,40,12
05134.png,22,38
05135.png,3,5
05143.png,13,11
05149.png,18,21
05154.png,3,4
05156.png,28,11
05161.png,5,2
05189.png,20,2
05195.png,36,35
05217.png,17,14
05218.png,40,34
05223.png,26,18
05233.png,27,25
05237.png,2,3
05248.png,40,34
05261.png,38,34
05262.png,3,2
05271.png,23,18
05283.png,38,33
05293.png,20,19
05298.png,13,25
05312.png,1,2
05313.png,30,29
05318.png,18,25
05321.png,2,3
05325.png,31,20
05332.png,25,5
05333.png,1,2
05337.png,22,21
05338.png,31,20
05339.png,9,10
05340.png,25,28
05342.png,24,25
05343.png,1,5
05352.png,11,30
05356.png,4,8
05357.png,17,38
05360.png,4,2
05363.png,30,20
05369.png,40,35
05372.png,1,2
05379.png,24,18
05381.png,20,19
05404.png,20,27
05405.png,21,25
05406.png,34,33
05413.png,18,11
05420.png,37,33
05428.png,5,1
05430.png,31,21
05434.png,4,1
05443.png,11,25
05459.png,28,31
05466.png,36,35
05481.png,5,17
05485.png,5,4
05490.png,40,34
05499.png,33,34
05504.png,11,22
05507.png,25,12
05510.png,38,13
05515.png,19,31
05518.png,27,25
05521.png,6,20
05530.png,9,15
05531.png,7,8
05537.png,1,5
05538.png,11,28
05554.png,11,25
05555.png,39,33
05557.png,25,27
05558.png,33,34
05565.png,8,5
05596.png,7,2
05608.png,40,34
05620.png,29,13
05628.png,37,36
05641.png,3,5
05644.png,20,19
