Name,Orig_Label,Pred_Label
00003.png,33,34
00008.png,25,26
00016.png,21,23
00017.png,20,19
00024.png,1,2
00025.png,11,25
00029.png,11,28
00032.png,34,33
00035.png,17,5
00039.png,8,1
00050.png,25,18
00055.png,35,17
00066.png,26,18
00068.png,5,13
00072.png,30,25
00073.png,34,33
00079.png,25,28
00089.png,13,12
00095.png,32,41
00099.png,33,34
00100.png,1,41
00104.png,33,34
00108.png,33,7
00114.png,30,23
00115.png,3,2
00117.png,29,18
00119.png,17,5
00122.png,1,12
00127.png,30,20
00129.png,6,12
00130.png,36,35
00140.png,41,9
00143.png,18,25
00145.png,25,27
00147.png,41,32
00163.png,25,27
00167.png,14,12
00168.png,29,28
00174.png,33,36
00175.png,1,2
00176.png,3,5
00181.png,4,2
00182.png,36,35
00184.png,20,19
00187.png,1,4
00191.png,29,28
00197.png,38,5
00198.png,18,21
00199.png,28,18
00200.png,17,1
00203.png,1,4
00204.png,17,14
00207.png,31,25
00222.png,5,2
00225.png,12,4
00229.png,36,38
00232.png,33,12
00235.png,19,20
00237.png,30,18
00241.png,13,20
00242.png,20,19
00246.png,5,25
00248.png,12,41
00252.png,0,4
00254.png,34,12
00255.png,28,26
00256.png,35,41
00258.png,25,11
00266.png,5,2
00276.png,34,38
00277.png,39,38
00282.png,31,11
00287.png,30,25
00296.png,33,40
00298.png,35,40
00304.png,4,1
00310.png,19,20
00311.png,11,28
00315.png,42,1
00328.png,8,5
00337.png,34,40
00339.png,22,2
00341.png,29,23
00356.png,35,40
00363.png,39,38
00368.png,19,20
00373.png,5,1
00380.png,19,20
00385.png,25,21
00386.png,34,38
00394.png,1,17
00398.png,4,3
00406.png,8,4
00408.png,5,41
00429.png,34,33
00430.png,11,28
00432.png,34,12
00433.png,34,40
00443.png,30,31
00449.png,8,5
00455.png,38,12
00458.png,39,38
00461.png,25,11
00463.png,17,16
00475.png,12,38
00482.png,35,1
00490.png,17,2
00492.png,4,38
00496.png,30,23
00499.png,40,34
00501.png,30,31
00506.png,32,5
00512.png,25,27
00513.png,22,28
00515.png,33,2
00517.png,1,15
00518.png,8,4
00519.png,4,10
00521.png,26,18
00524.png,11,23
00527.png,5,4
00539.png,35,12
00540.png,8,4
00550.png,4,2
00565.png,23,38
00570.png,3,1
00571.png,8,4
00572.png,41,9
00573.png,6,5
00576.png,3,2
00583.png,1,4
00586.png,2,1
00588.png,5,1
