Name,Orig_Label,Pred_Label
00003.png,33,35
00014.png,4,2
00017.png,20,19
00021.png,33,34
00030.png,5,3
00033.png,23,19
00050.png,25,38
00072.png,30,11
00073.png,34,37
00091.png,1,2
00095.png,32,41
00103.png,11,26
00108.png,33,34
00114.png,30,10
00127.png,30,20
00145.png,25,20
00151.png,24,23
00155.png,3,5
00159.png,4,3
00163.png,25,20
00172.png,26,18
00176.png,3,4
00184.png,20,11
00198.png,18,25
00222.png,5,1
00232.png,33,34
00237.png,30,10
00243.png,0,4
00252.png,0,8
00256.png,35,40
00265.png,12,20
00277.png,39,38
00279.png,1,2
00286.png,33,34
00287.png,30,25
00295.png,1,5
00321.png,4,8
00325.png,35,37
00328.png,8,5
00335.png,6,42
00336.png,7,8
00338.png,4,10
00339.png,22,25
00355.png,40,34
00357.png,3,5
00361.png,38,13
00363.png,39,33
00367.png,38,13
00368.png,19,31
00372.png,3,8
00376.png,41,42
00378.png,1,2
00380.png,19,31
00384.png,35,33
00393.png,2,3
00403.png,0,8
00404.png,38,36
00421.png,4,3
00422.png,19,20
00454.png,1,5
00475.png,12,38
00492.png,4,2
00496.png,30,31
00501.png,30,13
00508.png,1,2
00513.png,22,25
00520.png,18,11
00537.png,6,42
00550.png,4,1
00553.png,13,12
00575.png,33,36
00576.png,3,5
00579.png,0,1
00586.png,2,4
00594.png,11,18
00596.png,4,8
00597.png,29,28
00600.png,2,1
00633.png,8,4
00640.png,7,10
00663.png,7,3
00668.png,11,31
00672.png,36,37
00673.png,35,37
00675.png,0,3
00676.png,25,30
00677.png,18,13
00682.png,35,34
00684.png,35,36
00687.png,25,28
00688.png,17,14
00696.png,5,3
00713.png,39,38
00717.png,36,33
00725.png,13,18
00731.png,2,5
00734.png,15,10
00736.png,39,38
00752.png,9,10
00760.png,3,5
00778.png,0,1
00780.png,2,4
00781.png,39,38
00789.png,38,12
00790.png,2,3
00794.png,1,2
00796.png,15,13
00805.png,2,1
00806.png,26,25
00809.png,0,1
00820.png,4,1
00827.png,2,5
00829.png,27,29
00830.png,37,36
00848.png,12,23
00856.png,1,5
00858.png,3,5
00859.png,11,25
00861.png,6,42
00862.png,9,5
00863.png,2,5
00867.png,9,4
00870.png,42,6
00879.png,23,20
00886.png,33,35
00892.png,33,35
00894.png,35,37
00900.png,11,18
00904.png,27,25
00908.png,38,12
00923.png,1,2
00941.png,29,25
00943.png,0,4
00948.png,34,33
00957.png,36,38
00958.png,7,3
00979.png,2,5
00981.png,7,8
00988.png,7,8
00989.png,39,38
00990.png,0,1
00998.png,9,10
01005.png,5,7
01022.png,11,25
01023.png,35,33
01035.png,2,8
01051.png,18,17
01066.png,31,20
01067.png,32,42
01069.png,41,42
01070.png,8,2
01073.png,39,38
01078.png,11,30
01088.png,5,9
01095.png,37,36
01096.png,30,31
01097.png,9,5
01122.png,35,34
01136.png,17,11
01140.png,8,4
01150.png,32,41
01164.png,4,8
01169.png,20,19
01175.png,39,38
01177.png,18,26
01180.png,26,23
01184.png,37,36
01191.png,2,5
01209.png,11,30
01212.png,39,38
01231.png,5,1
01234.png,3,5
01242.png,37,36
01251.png,1,5
01275.png,8,4
01276.png,18,25
01278.png,5,1
01279.png,0,5
01280.png,2,1
01284.png,11,25
01294.png,7,5
01303.png,1,5
01311.png,8,5
01315.png,35,36
01317.png,25,11
01319.png,35,33
01323.png,5,2
01352.png,25,27
01356.png,28,20
01370.png,33,34
01372.png,2,1
01402.png,30,18
01416.png,3,4
01456.png,38,13
01462.png,42,6
01466.png,8,4
01471.png,2,1
01476.png,2,1
01477.png,35,40
01484.png,8,7
01496.png,38,11
01508.png,38,12
01516.png,3,5
01519.png,0,1
01537.png,39,38
01560.png,42,32
01561.png,2,8
01568.png,2,1
01573.png,3,5
01618.png,12,38
01628.png,21,28
01630.png,11,25
01640.png,33,34
01661.png,28,25
01662.png,17,13
01664.png,2,5
01682.png,17,13
01685.png,38,39
01688.png,1,5
01691.png,34,37
01697.png,30,31
01702.png,32,42
01706.png,18,13
01709.png,30,25
01710.png,1,4
01711.png,1,5
01712.png,40,38
01713.png,30,25
01732.png,18,31
01743.png,2,8
01746.png,39,38
01751.png,20,19
01760.png,20,19
01761.png,37,36
01762.png,17,13
01767.png,2,1
01772.png,39,38
01774.png,4,3
01780.png,33,34
01781.png,38,13
01782.png,8,3
01784.png,35,36
01811.png,4,8
01817.png,18,21
01819.png,6,42
01824.png,30,20
01825.png,4,8
01841.png,33,34
01853.png,0,1
01865.png,21,25
01869.png,25,19
01884.png,5,3
01885.png,1,3
01886.png,18,31
01889.png,39,38
01893.png,4,10
01898.png,21,31
01909.png,8,2
01935.png,17,13
01939.png,5,42
01950.png,15,10
01969.png,40,38
01985.png,25,29
01991.png,2,5
01996.png,35,38
01997.png,12,2
02000.png,34,33
02002.png,8,5
02007.png,2,9
02009.png,35,33
02012.png,38,36
02025.png,4,1
02035.png,35,36
02045.png,0,4
02050.png,39,38
02057.png,36,35
02061.png,9,4
02063.png,2,5
02065.png,18,26
02069.png,18,26
02076.png,33,34
02095.png,37,36
02112.png,18,26
02114.png,2,8
02121.png,18,26
02176.png,17,14
02193.png,11,17
02200.png,7,4
02201.png,38,39
02202.png,33,36
02214.png,4,3
02224.png,35,38
02235.png,8,5
02240.png,1,5
02242.png,22,29
02255.png,12,18
02288.png,30,25
02294.png,33,34
02301.png,1,2
02307.png,1,8
02335.png,1,2
02342.png,18,29
02346.png,5,2
02347.png,29,20
02351.png,33,34
02356.png,1,2
02360.png,30,28
02372.png,1,2
02373.png,25,22
02376.png,4,3
02378.png,25,20
02388.png,31,20
02398.png,7,8
02416.png,38,40
02424.png,6,42
02425.png,18,13
02428.png,5,8
02429.png,1,5
02434.png,5,2
02440.png,11,26
02448.png,19,22
02450.png,11,31
02457.png,2,4
02467.png,9,7
02472.png,2,1
02476.png,23,19
02483.png,17,12
02494.png,2,1
02500.png,32,41
02503.png,39,38
02514.png,2,1
02518.png,17,12
02531.png,25,30
02538.png,3,5
02544.png,39,38
02545.png,17,14
02553.png,4,8
02577.png,4,35
02584.png,19,20
02585.png,2,5
02601.png,38,3
02604.png,2,8
02607.png,33,37
02610.png,27,31
02615.png,12,38
02618.png,34,33
02626.png,7,8
02633.png,23,22
02635.png,5,3
02637.png,5,1
02645.png,3,1
02655.png,30,25
02656.png,25,30
02660.png,30,22
02667.png,3,2
02679.png,1,3
02682.png,30,31
02699.png,5,7
02702.png,37,35
02716.png,5,8
02717.png,23,25
02734.png,5,7
02744.png,5,3
02751.png,24,18
02752.png,0,2
02756.png,4,3
02758.png,5,2
02760.png,30,23
02796.png,7,8
02802.png,28,29
02805.png,41,42
02814.png,39,38
02817.png,19,26
02829.png,35,38
02836.png,5,10
02841.png,38,39
02844.png,8,10
02847.png,27,28
02848.png,2,5
02854.png,18,11
02860.png,5,1
02863.png,23,30
02864.png,30,20
02872.png,14,1
02876.png,9,4
02880.png,39,38
02881.png,2,3
02882.png,8,7
02891.png,39,38
02906.png,37,36
02907.png,17,14
02919.png,1,5
02921.png,11,30
02922.png,7,8
02930.png,0,1
02931.png,1,2
02949.png,17,12
02950.png,2,4
02951.png,8,4
02956.png,11,31
02961.png,3,4
02978.png,36,35
02981.png,5,7
02990.png,9,10
02991.png,7,8
02996.png,18,13
02998.png,41,42
03004.png,11,30
03007.png,33,34
03011.png,9,2
03016.png,2,9
03017.png,26,28
03021.png,6,42
03025.png,30,18
03027.png,8,3
03030.png,18,24
03034.png,9,10
03039.png,42,6
03051.png,1,7
03057.png,13,20
03067.png,35,33
03078.png,2,5
03086.png,8,5
03092.png,33,34
03095.png,35,33
03101.png,18,13
03109.png,39,38
03112.png,23,19
03114.png,23,19
03119.png,38,40
03136.png,1,2
03143.png,20,26
03147.png,1,8
03152.png,2,8
03157.png,11,22
03161.png,10,20
03162.png,33,34
03170.png,10,5
03172.png,18,13
03173.png,38,13
03184.png,3,2
03193.png,5,3
03198.png,1,5
03210.png,7,9
03211.png,1,2
03224.png,11,30
03247.png,1,2
03259.png,2,5
03262.png,2,3
03273.png,30,31
03278.png,18,28
03294.png,21,23
03298.png,18,21
03302.png,1,4
03303.png,6,42
03308.png,7,8
03309.png,2,3
03316.png,3,35
03323.png,1,2
03324.png,35,33
03341.png,39,38
03349.png,11,19
03350.png,3,5
03353.png,37,36
03356.png,2,5
03360.png,41,42
03370.png,12,13
03376.png,3,4
03378.png,40,38
03384.png,4,8
03389.png,5,2
03390.png,4,3
03392.png,4,10
03405.png,19,20
03415.png,1,2
03420.png,0,5
03437.png,18,5
03439.png,1,8
03444.png,8,7
03453.png,8,7
03457.png,22,25
03490.png,11,30
03500.png,2,5
03520.png,2,1
03521.png,24,18
03523.png,6,42
03525.png,5,1
03545.png,13,3
03556.png,2,3
03561.png,6,42
03562.png,5,9
03564.png,27,25
03567.png,30,10
03577.png,8,5
03580.png,24,25
03581.png,35,38
03590.png,17,38
03594.png,14,17
03605.png,37,6
03615.png,4,5
03616.png,37,36
03617.png,21,25
03620.png,16,10
03633.png,5,10
03639.png,38,39
03643.png,18,26
03649.png,7,10
03660.png,8,5
03672.png,33,34
03688.png,4,2
03695.png,41,42
03704.png,40,11
03713.png,11,30
03715.png,33,36
03719.png,28,30
03722.png,28,13
03725.png,11,30
03728.png,18,26
03729.png,10,8
03730.png,25,27
03734.png,38,26
03739.png,18,21
03748.png,12,11
03776.png,0,30
03777.png,11,30
03779.png,0,4
03789.png,37,36
03799.png,30,23
03816.png,18,29
03819.png,4,3
03824.png,17,13
03831.png,1,5
03837.png,6,42
03841.png,11,30
03853.png,34,33
03858.png,4,1
03863.png,0,4
03867.png,41,42
03879.png,7,5
03886.png,5,3
03894.png,25,20
03898.png,15,2
03904.png,28,11
03907.png,17,12
03909.png,33,38
03926.png,20,19
03930.png,8,4
03955.png,12,4
03960.png,18,21
03981.png,18,29
03986.png,17,13
03991.png,42,6
03992.png,9,10
04000.png,25,31
04001.png,34,33
04011.png,30,20
04012.png,0,4
04040.png,34,33
04067.png,2,1
04068.png,36,38
04070.png,30,11
04072.png,8,4
04085.png,7,10
04086.png,21,11
04104.png,38,39
04111.png,17,38
04117.png,36,38
04130.png,39,38
04131.png,11,25
04132.png,33,34
04158.png,4,5
04173.png,2,0
04175.png,17,14
04180.png,0,4
04184.png,41,42
04211.png,17,1
04241.png,18,26
04245.png,5,3
04252.png,18,31
04268.png,31,18
04269.png,17,12
04277.png,10,31
04279.png,17,14
04285.png,2,8
04295.png,2,5
04300.png,23,31
04306.png,15,18
04316.png,42,13
04323.png,8,9
04329.png,35,33
04332.png,0,4
04333.png,0,4
04338.png,4,8
04342.png,33,34
04352.png,1,5
04362.png,38,40
04380.png,25,31
04383.png,30,20
04400.png,21,11
04401.png,15,2
04406.png,5,1
04408.png,3,2
04414.png,19,20
04415.png,11,25
04438.png,33,36
04442.png,38,34
04443.png,21,28
04449.png,3,5
04458.png,37,36
04463.png,8,5
04466.png,14,17
04470.png,26,42
04479.png,21,28
04484.png,5,4
04494.png,34,33
04504.png,0,1
04506.png,2,5
04509.png,30,28
04511.png,30,28
04512.png,0,4
04518.png,10,4
04525.png,30,28
04535.png,18,25
04543.png,3,5
04552.png,2,0
04553.png,18,31
04562.png,27,28
04570.png,0,1
04575.png,8,4
04579.png,30,20
04581.png,15,2
04588.png,3,5
04591.png,26,11
04601.png,4,1
04605.png,0,4
04612.png,37,36
04613.png,37,36
04629.png,7,8
04636.png,33,34
04637.png,35,33
04639.png,30,25
04643.png,19,31
04645.png,39,38
04658.png,37,36
04659.png,5,2
04666.png,33,34
04667.png,40,5
04675.png,39,38
04680.png,1,2
04700.png,33,34
04704.png,1,5
04711.png,3,5
04722.png,4,2
04731.png,21,25
04754.png,19,20
04762.png,20,25
04767.png,17,9
04793.png,39,38
04794.png,25,20
04795.png,0,4
04803.png,4,3
04828.png,35,34
04857.png,38,37
04860.png,33,38
04886.png,18,25
04887.png,11,30
04895.png,11,26
04897.png,4,10
04898.png,40,5
04906.png,5,3
04919.png,1,2
04932.png,42,6
04953.png,30,11
04955.png,9,32
04962.png,5,7
04982.png,2,5
04983.png,12,42
04984.png,2,9
04985.png,30,28
04993.png,3,5
05010.png,29,25
05021.png,33,34
05033.png,18,11
05044.png,35,37
05068.png,19,11
05085.png,2,5
05095.png,22,25
05109.png,25,28
05121.png,1,5
05127.png,40,16
05132.png,39,38
05134.png,22,25
05149.png,18,21
05161.png,5,2
05163.png,11,25
05180.png,18,21
05193.png,17,9
05201.png,2,0
05217.png,17,9
05230.png,9,10
05233.png,27,25
05237.png,2,8
05239.png,18,26
05240.png,4,8
05246.png,20,25
05248.png,40,34
05269.png,1,2
05284.png,17,13
05288.png,15,3
05295.png,20,18
05304.png,17,13
05313.png,30,28
05318.png,18,25
05319.png,18,26
05337.png,22,25
05346.png,33,34
05352.png,11,30
05353.png,4,2
05357.png,17,13
05369.png,40,34
05373.png,1,5
05374.png,9,15
05381.png,20,19
05397.png,35,36
