Name,Orig_Label,Pred_Label
00003.png,33,40
00005.png,38,25
00008.png,25,11
00013.png,7,15
00015.png,9,15
00016.png,21,11
00017.png,20,12
00018.png,27,10
00019.png,38,25
00021.png,33,38
00022.png,9,15
00024.png,1,13
00028.png,9,15
00033.png,23,31
00036.png,3,5
00038.png,16,13
00039.png,8,5
00041.png,30,25
00043.png,12,42
00045.png,25,12
00047.png,10,13
00050.png,25,12
00058.png,9,2
00059.png,16,9
00066.png,26,42
00068.png,5,9
00072.png,30,12
00073.png,34,37
00077.png,10,9
00079.png,25,11
00080.png,21,11
00082.png,25,11
00083.png,7,12
00085.png,35,36
00087.png,7,15
00090.png,3,11
00091.png,1,9
00093.png,14,17
00095.png,32,12
00097.png,38,12
00099.png,33,35
00100.png,1,12
00102.png,5,12
00104.png,33,35
00107.png,25,17
00108.png,33,38
00113.png,10,15
00114.png,30,12
00116.png,27,11
00117.png,29,23
00118.png,1,25
00119.png,17,12
00125.png,10,17
00127.png,30,13
00129.png,6,42
00130.png,36,35
00131.png,3,13
00135.png,10,12
00136.png,18,17
00137.png,40,12
00141.png,4,8
00143.png,18,11
00145.png,25,12
00146.png,2,1
00149.png,21,13
00152.png,11,13
00155.png,3,12
00156.png,6,42
00158.png,7,12
00159.png,4,12
00161.png,16,11
00163.png,25,13
00164.png,18,13
00171.png,38,12
00172.png,26,11
00174.png,33,37
00176.png,3,13
00178.png,13,25
00182.png,36,38
00184.png,20,11
00186.png,18,13
00187.png,1,15
00191.png,29,13
00192.png,12,15
00196.png,8,15
00198.png,18,13
00199.png,28,11
00203.png,1,11
00204.png,17,11
00206.png,2,25
00211.png,38,12
00214.png,25,13
00217.png,5,13
00218.png,4,12
00220.png,2,4
00221.png,4,11
00222.png,5,15
00227.png,5,2
00229.png,36,12
00232.png,33,11
00233.png,18,13
00235.png,19,12
00237.png,30,14
00239.png,18,13
00240.png,12,13
00241.png,13,25
00242.png,20,19
00243.png,0,9
00245.png,40,12
00246.png,5,12
00247.png,8,26
00248.png,12,25
00252.png,0,1
00253.png,36,35
00254.png,34,38
00255.png,28,11
00256.png,35,37
00258.png,25,11
00259.png,15,10
00260.png,35,13
00264.png,1,12
00265.png,12,13
00269.png,18,11
00271.png,18,13
00272.png,34,35
00273.png,9,12
00274.png,25,11
00275.png,18,13
00276.png,34,35
00277.png,39,33
00279.png,1,17
00280.png,9,11
00283.png,26,11
00287.png,30,12
00291.png,31,11
00295.png,1,17
00296.png,33,38
00297.png,28,13
00304.png,4,12
00305.png,3,11
00307.png,1,13
00308.png,7,15
00309.png,38,12
00310.png,19,42
00312.png,38,12
00313.png,38,12
00319.png,4,12
00320.png,8,11
00322.png,5,2
00326.png,9,36
00327.png,38,35
00328.png,8,12
00331.png,18,11
00332.png,3,12
00333.png,25,13
00334.png,10,1
00335.png,6,42
00337.png,34,35
00339.png,22,25
00341.png,29,28
00342.png,9,2
00343.png,2,15
00346.png,18,29
00355.png,40,12
00357.png,3,10
00358.png,38,35
00361.png,38,11
00363.png,39,12
00365.png,11,13
00367.png,38,13
00372.png,3,12
00375.png,1,11
00379.png,18,11
00384.png,35,12
00389.png,9,25
00390.png,4,1
00391.png,33,35
00393.png,2,12
00394.png,1,12
00395.png,5,12
00401.png,36,35
00402.png,10,17
00403.png,0,15
00405.png,36,35
00408.png,5,1
00409.png,2,1
00410.png,25,13
00415.png,10,17
00418.png,9,11
00420.png,3,13
00421.png,4,2
00422.png,19,11
00423.png,9,15
00424.png,10,15
00430.png,11,30
00432.png,34,35
00435.png,6,13
00438.png,8,10
00439.png,3,12
00443.png,30,13
00444.png,25,11
00446.png,31,18
00449.png,8,12
00450.png,9,17
00452.png,2,12
00453.png,40,33
00455.png,38,37
00459.png,6,42
00465.png,38,35
00466.png,7,12
00469.png,7,12
00470.png,8,7
00474.png,35,38
00475.png,12,13
00476.png,35,12
