Name,Orig_Label,Pred_Label
00003.png,33,38
00005.png,38,39
00006.png,18,25
00008.png,25,18
00011.png,7,8
00012.png,23,19
00013.png,7,5
00015.png,9,17
00016.png,21,23
00017.png,20,11
00018.png,27,20
00020.png,4,8
00021.png,33,34
00022.png,9,10
00023.png,3,8
00024.png,1,7
00025.png,11,28
00028.png,9,10
00029.png,11,23
00030.png,5,2
00036.png,3,5
00042.png,18,20
00044.png,24,18
00045.png,25,19
00048.png,18,20
00050.png,25,38
00052.png,15,5
00053.png,9,10
00055.png,35,34
00056.png,5,8
00057.png,26,25
00059.png,16,10
00062.png,4,8
00063.png,9,10
00066.png,26,1
00067.png,2,5
00068.png,5,8
00069.png,28,12
00070.png,11,28
00072.png,30,2
00073.png,34,36
00074.png,5,4
00076.png,1,10
00078.png,25,11
00079.png,25,28
00080.png,21,23
00081.png,33,34
00083.png,7,16
00085.png,35,34
00088.png,22,26
00090.png,3,10
00096.png,3,5
00099.png,33,34
00102.png,5,8
00103.png,11,20
00104.png,33,34
00105.png,4,8
00106.png,35,40
00107.png,25,28
00108.png,33,38
00109.png,4,8
00112.png,16,10
00114.png,30,10
00116.png,27,13
00117.png,29,13
00127.png,30,20
00129.png,6,42
00131.png,3,42
00134.png,11,28
00136.png,18,31
00137.png,40,38
00141.png,4,8
00143.png,18,25
00145.png,25,41
00151.png,24,25
00152.png,11,30
00155.png,3,13
00158.png,7,5
00159.png,4,1
00160.png,13,17
00161.png,16,10
00163.png,25,13
00164.png,18,31
00168.png,29,23
00171.png,38,2
00172.png,26,1
00173.png,25,18
00174.png,33,34
00176.png,3,8
00177.png,40,16
00181.png,4,2
00186.png,18,30
00187.png,1,8
00190.png,10,5
00191.png,29,23
00192.png,12,1
00193.png,38,39
00194.png,31,20
00196.png,8,5
00197.png,38,1
00198.png,18,11
00201.png,9,10
00202.png,4,8
00203.png,1,5
00207.png,31,20
00212.png,25,18
00213.png,5,8
00218.png,4,8
00221.png,4,8
00222.png,5,8
00224.png,14,17
00225.png,12,13
00228.png,8,7
00229.png,36,38
00232.png,33,34
00234.png,33,34
00237.png,30,17
00238.png,4,8
00242.png,20,11
00243.png,0,8
00245.png,40,34
