Name,Orig_Label,Pred_Label
00003.png,33,40
00006.png,18,22
00016.png,21,23
00017.png,20,19
00025.png,11,25
00029.png,11,18
00032.png,34,33
00035.png,17,15
00036.png,3,5
00039.png,8,2
00049.png,8,7
00050.png,25,18
00055.png,35,15
00065.png,9,4
00068.png,5,1
00083.png,7,2
00104.png,33,34
00106.png,35,38
00108.png,33,15
00117.png,29,18
00119.png,17,15
00122.png,1,25
00124.png,2,1
00132.png,14,4
00140.png,41,9
00145.png,25,23
00147.png,41,9
00163.png,25,24
00167.png,14,16
00169.png,17,5
00175.png,1,2
00176.png,3,5
00181.png,4,9
00184.png,20,19
00189.png,8,7
00191.png,29,22
00196.png,8,2
00198.png,18,31
00199.png,28,22
00213.png,5,1
00217.png,5,1
00225.png,12,18
00232.png,33,12
00235.png,19,31
00237.png,30,11
00242.png,20,11
00247.png,8,2
00248.png,12,32
00249.png,38,16
00250.png,20,19
00252.png,0,1
00254.png,34,15
00255.png,28,19
00256.png,35,15
00257.png,13,15
00258.png,25,1
00266.png,5,2
00270.png,18,19
00272.png,34,33
00276.png,34,18
00277.png,39,31
00279.png,1,2
00281.png,35,33
00287.png,30,31
00288.png,17,13
00301.png,5,9
00311.png,11,28
00313.png,38,33
00315.png,42,6
00318.png,17,15
00328.png,8,5
00332.png,3,5
00335.png,6,41
00337.png,34,38
00339.png,22,21
00341.png,29,26
00342.png,9,1
00356.png,35,38
00363.png,39,38
00368.png,19,20
00376.png,41,42
00382.png,38,39
00385.png,25,22
00386.png,34,33
00393.png,2,3
00394.png,1,18
00403.png,0,1
00406.png,8,2
00408.png,5,15
00432.png,34,15
00443.png,30,41
00446.png,31,28
00447.png,38,15
00455.png,38,13
00458.png,39,38
00463.png,17,15
00475.png,12,15
00477.png,36,38
00482.png,35,41
00486.png,12,13
00487.png,31,28
00490.png,17,1
00491.png,26,18
00492.png,4,1
00496.png,30,13
00499.png,40,38
00501.png,30,25
00517.png,1,4
00527.png,5,1
00537.png,6,41
00549.png,12,15
00550.png,4,1
00567.png,10,3
00569.png,23,28
00572.png,41,9
00576.png,3,2
00579.png,0,4
00580.png,17,12
00583.png,1,2
00585.png,10,1
00596.png,4,20
00600.png,2,1
00603.png,19,25
00604.png,3,2
00613.png,29,22
00619.png,38,15
00622.png,1,2
00632.png,25,30
00634.png,4,3
00635.png,7,2
00637.png,29,18
00638.png,17,12
00642.png,17,15
00645.png,13,15
00651.png,17,1
00655.png,11,29
00660.png,5,9
00668.png,11,13
00670.png,15,2
00675.png,0,1
00681.png,14,41
00682.png,35,40
00688.png,17,9
00689.png,34,33
00699.png,2,1
00702.png,39,38
00712.png,11,21
00713.png,39,38
00716.png,2,4
00719.png,5,2
00723.png,30,11
00736.png,39,15
00739.png,1,2
00745.png,17,38
00749.png,30,15
00760.png,3,2
00763.png,3,1
00764.png,12,15
00767.png,5,2
00768.png,3,35
00770.png,10,1
00778.png,0,1
00781.png,39,38
00784.png,7,1
00794.png,1,2
00800.png,38,15
00803.png,5,1
00805.png,2,1
00807.png,0,1
00810.png,26,22
00819.png,2,4
00822.png,3,2
