Name,Orig_Label,Pred_Label
00012.png,23,31
00017.png,20,19
00050.png,25,20
00059.png,16,10
00064.png,15,10
00072.png,30,11
00081.png,33,34
00092.png,2,1
00099.png,33,34
00104.png,33,34
00110.png,1,2
00114.png,30,23
00117.png,29,12
00124.png,2,1
00127.png,30,31
00145.png,25,12
00147.png,41,9
00156.png,6,42
00172.png,26,11
00174.png,33,40
00196.png,8,5
00197.png,38,7
00204.png,17,13
00205.png,9,10
00211.png,38,5
00229.png,36,35
00232.png,33,34
00237.png,30,17
00242.png,20,19
00243.png,0,1
00252.png,0,1
00265.png,12,13
00272.png,34,37
00286.png,33,34
00287.png,30,13
00304.png,4,23
00320.png,8,11
00335.png,6,42
00338.png,4,3
00339.png,22,9
00357.png,3,5
00363.png,39,38
00375.png,1,2
00379.png,18,24
00386.png,34,38
00393.png,2,1
00394.png,1,4
00403.png,0,1
00406.png,8,7
00413.png,26,18
00421.png,4,38
00443.png,30,22
00464.png,2,1
00475.png,12,18
00492.png,4,1
00495.png,5,6
00496.png,30,11
00499.png,40,5
00508.png,1,5
00513.png,22,25
00515.png,33,38
00520.png,18,24
00532.png,23,30
00537.png,6,42
00541.png,6,42
00542.png,5,3
00550.png,4,1
00551.png,5,4
00571.png,8,4
00579.png,0,1
00582.png,7,4
00586.png,2,1
00596.png,4,9
00600.png,2,1
00604.png,3,2
00605.png,9,10
00611.png,41,42
00631.png,35,34
00636.png,16,10
00637.png,29,23
00655.png,11,25
00672.png,36,37
00675.png,0,1
00676.png,25,24
00713.png,39,38
00741.png,1,2
00745.png,17,13
00747.png,2,4
00773.png,28,22
00778.png,0,1
00780.png,2,4
00781.png,39,38
00794.png,1,2
00795.png,42,6
00802.png,5,12
00805.png,2,1
00806.png,26,25
00809.png,0,1
00813.png,13,42
00829.png,27,25
00830.png,37,36
00839.png,11,25
00852.png,1,3
00859.png,11,30
00865.png,33,34
00879.png,23,30
00883.png,30,28
00892.png,33,34
00899.png,42,18
00904.png,27,25
00905.png,7,8
00908.png,38,9
00914.png,18,29
00935.png,11,12
00938.png,42,1
00939.png,12,38
00947.png,1,5
00948.png,34,35
