Name,Orig_Label,Pred_Label
00003.png,33,38
00008.png,25,31
00014.png,4,25
00017.png,20,19
00018.png,27,19
00020.png,4,31
00025.png,11,28
00029.png,11,31
00033.png,23,11
00036.png,3,1
00039.png,8,2
00041.png,30,28
00044.png,24,26
00045.png,25,19
00047.png,10,2
00050.png,25,12
00057.png,26,11
00069.png,28,25
00072.png,30,11
00073.png,34,33
00074.png,5,1
00078.png,25,13
00081.png,33,36
00087.png,7,8
00097.png,38,36
00103.png,11,27
00108.png,33,34
00112.png,16,9
00113.png,10,1
00114.png,30,31
00115.png,3,2
00117.png,29,28
00122.png,1,4
00123.png,8,7
00127.png,30,26
00131.png,3,5
00143.png,18,11
00145.png,25,19
00149.png,21,18
00152.png,11,28
00159.png,4,1
00163.png,25,28
00164.png,18,11
00166.png,13,23
00167.png,14,17
00168.png,29,28
00175.png,1,3
00177.png,40,1
00184.png,20,19
00187.png,1,2
00189.png,8,4
00191.png,29,28
00198.png,18,21
00199.png,28,27
00201.png,9,8
00207.png,31,18
00213.png,5,4
00217.png,5,4
00232.png,33,38
00235.png,19,31
00237.png,30,14
00242.png,20,19
00243.png,0,1
00247.png,8,4
00248.png,12,18
00252.png,0,1
00264.png,1,2
00265.png,12,38
00266.png,5,28
00270.png,18,26
00272.png,34,33
00285.png,1,13
00287.png,30,26
00300.png,12,18
00305.png,3,4
00309.png,38,12
00310.png,19,4
00313.png,38,40
00314.png,1,0
00320.png,8,3
00322.png,5,4
00325.png,35,40
00337.png,34,35
00339.png,22,25
00341.png,29,28
00343.png,2,1
00351.png,2,11
00361.png,38,13
00363.png,39,38
00371.png,18,28
00372.png,3,5
00375.png,1,2
00376.png,41,9
00380.png,19,28
00382.png,38,36
00386.png,34,38
00393.png,2,3
00403.png,0,8
00405.png,36,35
00406.png,8,5
00408.png,5,4
00413.png,26,18
00414.png,29,28
00421.png,4,2
00422.png,19,20
00427.png,20,25
00428.png,38,39
00429.png,34,36
00430.png,11,13
00439.png,3,5
00453.png,40,35
00459.png,6,42
00460.png,35,38
00461.png,25,28
00462.png,25,11
00476.png,35,40
00484.png,2,4
00488.png,9,13
00492.png,4,1
00496.png,30,11
00501.png,30,28
00504.png,23,11
00509.png,3,8
00513.png,22,25
00514.png,38,35
00515.png,33,38
00518.png,8,1
00520.png,18,24
00529.png,4,9
00535.png,31,6
00537.png,6,41
00545.png,1,4
00546.png,1,2
00550.png,4,1
00551.png,5,2
00554.png,38,40
00567.png,10,3
00568.png,1,11
00575.png,33,36
00576.png,3,1
00579.png,0,1
00585.png,10,16
00586.png,2,14
00587.png,30,28
00589.png,5,1
00592.png,16,0
00596.png,4,9
00600.png,2,12
00603.png,19,20
00606.png,7,3
00608.png,28,13
00610.png,27,31
00611.png,41,12
00612.png,1,3
00624.png,7,8
00627.png,8,13
00628.png,2,1
00629.png,17,13
00637.png,29,28
00640.png,7,2
00649.png,2,1
00650.png,32,41
00653.png,5,1
00656.png,29,28
00664.png,13,25
00669.png,4,2
00671.png,10,14
00675.png,0,1
00694.png,29,28
00696.png,5,3
00709.png,16,2
00716.png,2,1
00722.png,5,17
00740.png,3,5
00745.png,17,12
00746.png,4,2
00749.png,30,29
00756.png,2,13
00758.png,3,2
00768.png,3,5
00770.png,10,5
00774.png,3,4
00775.png,4,3
00781.png,39,38
00783.png,38,40
00790.png,2,1
00794.png,1,2
00796.png,15,13
00801.png,25,28
00803.png,5,1
00805.png,2,1
00809.png,0,1
00812.png,4,2
00819.png,2,4
00825.png,4,2
00828.png,38,39
00829.png,27,23
00830.png,37,36
00832.png,1,2
00840.png,12,25
00841.png,10,9
00845.png,4,12
00849.png,23,29
00853.png,29,28
00854.png,24,26
00855.png,10,14
00860.png,5,3
00871.png,35,36
00877.png,5,3
00878.png,3,14
00879.png,23,30
00881.png,1,2
00883.png,30,28
00886.png,33,38
00892.png,33,34
00894.png,35,40
00899.png,42,28
00901.png,24,11
00902.png,38,40
00904.png,27,25
00908.png,38,13
00912.png,23,22
00914.png,18,28
00922.png,4,2
00928.png,3,5
00941.png,29,28
00951.png,31,28
00958.png,7,11
00959.png,20,19
00960.png,27,26
00964.png,10,14
00965.png,5,2
00970.png,12,13
00975.png,8,2
00976.png,23,27
00982.png,1,10
00983.png,5,3
00988.png,7,5
00990.png,0,1
01007.png,3,2
01010.png,8,2
01019.png,5,3
01022.png,11,13
01030.png,18,12
01032.png,11,25
01033.png,41,42
01034.png,10,1
01038.png,35,40
01044.png,12,2
01065.png,7,11
01068.png,4,2
01073.png,39,40
01075.png,42,1
01080.png,2,1
01086.png,18,30
01088.png,5,2
01095.png,37,36
01100.png,35,38
01101.png,20,19
01104.png,23,28
01105.png,5,2
01115.png,33,38
01116.png,8,7
01121.png,41,4
01129.png,1,0
01131.png,8,5
01136.png,17,14
01139.png,35,33
01140.png,8,1
01141.png,33,35
01143.png,15,13
01148.png,5,8
01156.png,4,3
01159.png,1,2
01167.png,38,39
01168.png,2,4
01169.png,20,19
01171.png,41,9
01176.png,1,4
01177.png,18,19
01182.png,31,18
01183.png,24,18
01184.png,37,36
01186.png,22,28
01189.png,12,13
01197.png,9,4
01200.png,5,2
01201.png,5,0
01205.png,29,28
01208.png,35,33
01209.png,11,25
01212.png,39,38
01222.png,29,28
01229.png,10,1
01231.png,5,1
01234.png,3,23
01235.png,34,40
01242.png,37,36
01252.png,8,5
01254.png,37,36
01256.png,31,11
01259.png,5,3
01265.png,38,39
01268.png,2,3
01274.png,42,1
01275.png,8,2
01276.png,18,31
01277.png,14,12
01278.png,5,2
01280.png,2,3
01288.png,8,2
01290.png,4,2
01298.png,28,8
01301.png,18,31
01304.png,33,38
01308.png,23,20
01311.png,8,4
01314.png,34,38
01316.png,5,2
01317.png,25,15
01323.png,5,2
01326.png,42,41
01327.png,26,11
01334.png,1,5
01338.png,42,6
01361.png,3,5
01362.png,8,41
01363.png,11,30
01364.png,8,3
01365.png,10,14
01370.png,33,35
01372.png,2,1
01373.png,41,42
01375.png,18,13
01378.png,34,35
01379.png,31,18
01383.png,38,39
01389.png,18,26
01390.png,8,3
01402.png,30,26
01405.png,10,9
01420.png,12,25
01423.png,14,33
01426.png,10,9
01431.png,27,28
01448.png,8,5
01451.png,11,25
01456.png,38,23
01462.png,42,1
01466.png,8,5
01467.png,5,4
01468.png,7,2
01469.png,20,28
01470.png,15,13
01477.png,35,40
01478.png,4,2
01483.png,2,4
01487.png,32,13
01492.png,5,2
01501.png,8,9
01512.png,18,19
01514.png,30,25
01522.png,17,14
01544.png,25,11
01546.png,2,4
01552.png,5,2
01553.png,3,2
01555.png,1,2
01557.png,28,11
01558.png,2,14
01559.png,20,29
01560.png,42,41
01563.png,38,40
01564.png,22,23
01567.png,10,17
01573.png,3,2
01575.png,38,40
01582.png,30,23
01590.png,10,9
01593.png,10,3
01597.png,26,11
01602.png,1,4
01611.png,23,28
01612.png,42,16
01614.png,12,36
01617.png,32,41
01618.png,12,13
01619.png,2,1
01634.png,20,19
01636.png,10,15
01639.png,9,2
01640.png,33,34
01646.png,34,35
01653.png,10,9
01663.png,31,20
01677.png,1,18
01679.png,13,12
01691.png,34,33
01700.png,6,4
01705.png,35,38
01709.png,30,28
01710.png,1,2
01711.png,1,2
01713.png,30,28
01715.png,10,9
01716.png,9,10
01723.png,15,0
01725.png,38,39
01726.png,10,14
01728.png,31,23
01731.png,33,40
01734.png,2,1
01742.png,25,24
01745.png,5,2
01746.png,39,38
01750.png,26,18
01751.png,20,19
01752.png,31,28
01753.png,18,21
01757.png,7,4
01760.png,20,19
01761.png,37,35
01762.png,17,15
01763.png,41,4
01764.png,23,25
01770.png,3,2
01774.png,4,1
01780.png,33,34
01781.png,38,14
01782.png,8,5
01783.png,10,14
01794.png,25,11
01796.png,14,17
01797.png,31,11
01802.png,24,18
01812.png,12,13
01814.png,36,35
01815.png,10,9
01816.png,8,1
01819.png,6,12
01820.png,5,7
01831.png,5,3
01832.png,5,2
01851.png,28,29
01853.png,0,1
01855.png,5,2
01861.png,42,12
01862.png,5,2
01865.png,21,23
01871.png,33,37
01878.png,7,4
01880.png,5,11
01884.png,5,2
01887.png,8,4
01889.png,39,38
01899.png,38,2
01904.png,36,38
01907.png,31,11
01908.png,38,40
01909.png,8,2
01910.png,22,28
01911.png,25,28
