Name,Orig_Label,Pred_Label,Pred_Blurred_5_Label,Pred_Blurred_10_Label,Pred_Blurred_15_Label,Pred_Blurred_20_Label,Pred_Dark_1_Label,Pred_Dark_2_Label,Pred_Dark_3_Label,Pred_Bright_1_Label,Pred_Bright_2_Label,Pred_Bright_3_Label,Pred_Bright_4_Label,Pred_Bright_5_Label,Pred_Bright_6_Label,Pred_Bright_7_Label,Pred_Occl_5_Label,Pred_Occl_10_Label,Pred_Occl_15_Label,Pred_Occl_20_Label,Pred_Occl_25_Label
00000.png,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,3,16
00001.png,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
00002.png,38,38,38,38,38,38,38,38,39,38,38,38,38,38,38,38,38,38,38,38,40
00003.png,33,33,38,38,38,38,33,33,33,33,33,40,1,25,15,25,38,37,38,40,40
00004.png,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
00005.png,38,38,38,38,39,39,38,38,38,38,38,38,38,38,38,38,39,38,38,38,38
00006.png,18,18,18,11,18,25,18,18,18,18,18,22,18,18,18,18,18,18,18,18,18
00007.png,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,41,12,12,12,12,12
00008.png,25,25,25,26,25,18,25,23,11,21,21,25,25,1,1,25,25,23,31,25,28
00009.png,35,35,35,35,36,35,35,35,35,35,35,35,35,35,35,35,35,35,35,33,38
00010.png,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,12,12,12,12
00011.png,7,7,7,7,7,8,7,7,7,7,7,7,7,2,7,7,7,7,7,7,8
00012.png,23,23,23,10,23,19,31,23,19,23,23,23,23,23,23,23,23,23,23,23,23
00013.png,7,7,7,9,7,5,7,7,32,3,7,7,7,7,7,7,8,7,7,7,8
00014.png,4,2,2,2,1,4,4,13,3,4,4,4,4,2,2,1,4,4,25,19,4
00015.png,9,9,9,9,10,17,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
00016.png,21,11,21,21,21,23,21,21,21,21,21,23,21,11,25,15,21,21,21,21,21
00017.png,20,20,19,20,20,11,19,20,19,19,19,19,19,19,19,19,11,20,19,19,19
00018.png,27,27,27,27,20,20,27,27,27,27,27,27,31,27,27,27,27,11,19,27,27
00019.png,38,38,38,38,36,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
00020.png,4,4,4,4,4,8,4,4,4,4,4,4,4,4,4,4,4,4,31,28,4
00021.png,33,33,33,34,34,34,33,33,34,33,34,33,33,33,33,2,33,35,33,33,40
00022.png,9,9,9,9,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
