Name,Orig_Label,Pred_Label
00003.png,33,37
00004.png,11,25
00009.png,35,38
00010.png,12,42
00012.png,23,31
00013.png,7,10
00014.png,4,8
00015.png,9,10
00017.png,20,19
00021.png,33,34
00022.png,9,10
00032.png,34,33
00033.png,23,31
00039.png,8,5
00048.png,18,20
00050.png,25,20
00067.png,2,5
00072.png,30,11
00076.png,1,5
00081.png,33,34
00082.png,25,18
00083.png,7,10
00088.png,22,31
00091.png,1,2
00098.png,9,10
00099.png,33,6
00106.png,35,13
00113.png,10,4
00114.png,30,13
00116.png,27,4
00117.png,29,11
00122.png,1,10
00127.png,30,13
00129.png,6,38
00137.png,40,34
00145.png,25,38
00148.png,11,18
00156.png,6,3
00159.png,4,10
00161.png,16,7
00171.png,38,32
00174.png,33,34
00175.png,1,5
00176.png,3,8
00177.png,40,6
00194.png,31,11
00199.png,28,20
00209.png,15,13
00211.png,38,13
00233.png,18,11
00237.png,30,12
00238.png,4,10
00242.png,20,19
00243.png,0,4
00245.png,40,6
00252.png,0,8
00254.png,34,33
00255.png,28,11
00270.png,18,32
00271.png,18,31
00272.png,34,33
00277.png,39,38
00281.png,35,36
00286.png,33,34
00287.png,30,20
00294.png,5,3
00300.png,12,13
00304.png,4,2
00305.png,3,10
00309.png,38,1
00312.png,38,12
00313.png,38,40
00317.png,40,6
00319.png,4,7
00322.png,5,3
00323.png,6,4
00325.png,35,36
00328.png,8,10
00339.png,22,31
00342.png,9,7
00355.png,40,6
00358.png,38,40
00361.png,38,3
00363.png,39,17
00365.png,11,12
00367.png,38,13
00372.png,3,13
00373.png,5,3
00375.png,1,2
00376.png,41,42
00379.png,18,10
00384.png,35,13
00386.png,34,33
00393.png,2,3
00394.png,1,4
00395.png,5,6
00398.png,4,10
00400.png,38,17
00406.png,8,7
00425.png,13,12
00427.png,20,30
00428.png,38,40
00430.png,11,30
00433.png,34,33
00437.png,10,17
00439.png,3,5
00443.png,30,22
00446.png,31,11
00448.png,38,36
00450.png,9,16
00452.png,2,5
00455.png,38,40
00461.png,25,18
00474.png,35,13
00476.png,35,13
00483.png,6,4
00484.png,2,5
00492.png,4,9
00493.png,3,5
00496.png,30,11
00499.png,40,13
00501.png,30,31
00505.png,4,10
00507.png,42,4
00510.png,8,7
00513.png,22,25
00520.png,18,19
00531.png,15,9
00535.png,31,17
00536.png,38,36
00540.png,8,10
00541.png,6,3
00550.png,4,2
00565.png,23,20
00568.png,1,2
00570.png,3,8
00575.png,33,34
00586.png,2,3
00596.png,4,10
00597.png,29,22
00600.png,2,3
00604.png,3,5
00606.png,7,10
00608.png,28,31
00609.png,9,3
00610.png,27,31
00622.png,1,5
00624.png,7,3
00628.png,2,4
00630.png,5,3
00633.png,8,7
00637.png,29,11
00644.png,2,5
00660.png,5,10
00673.png,35,33
00682.png,35,3
00689.png,34,38
00710.png,2,4
00713.png,39,38
00726.png,14,7
00731.png,2,3
00734.png,15,10
00735.png,38,12
00736.png,39,38
00742.png,35,36
00745.png,17,13
00749.png,30,29
00755.png,42,6
00758.png,3,5
00763.png,3,5
00765.png,4,8
00773.png,28,13
00776.png,15,10
00780.png,2,4
00781.png,39,13
00792.png,1,3
00794.png,1,2
00802.png,5,8
00805.png,2,3
00806.png,26,20
00807.png,0,8
00809.png,0,8
00814.png,17,8
00815.png,1,12
00820.png,4,3
00830.png,37,36
00833.png,18,20
00846.png,1,5
00852.png,1,4
00857.png,28,26
00859.png,11,30
00860.png,5,3
00865.png,33,42
00875.png,1,10
00876.png,7,5
00882.png,10,13
00883.png,30,18
00886.png,33,38
00897.png,31,19
00904.png,27,25
00905.png,7,8
00908.png,38,3
00912.png,23,11
00914.png,18,11
00918.png,35,18
00931.png,5,3
00936.png,31,13
00948.png,34,33
00956.png,42,10
00957.png,36,33
00959.png,20,19
00960.png,27,21
00961.png,15,10
00990.png,0,8
00991.png,23,20
00992.png,7,8
00995.png,38,33
00997.png,38,37
01008.png,12,38
01012.png,2,5
01017.png,4,3
01025.png,30,11
01038.png,35,13
01043.png,7,20
01049.png,35,36
01053.png,34,33
01055.png,11,25
01069.png,41,42
01072.png,8,5
01073.png,39,38
01079.png,21,20
01080.png,2,1
01085.png,8,7
01088.png,5,2
01090.png,16,10
01091.png,33,34
01092.png,1,8
01095.png,37,36
01098.png,18,26
01101.png,20,19
01102.png,2,5
01104.png,23,17
01106.png,8,7
01108.png,38,39
01122.png,35,13
01131.png,8,5
01156.png,4,17
01157.png,35,10
01171.png,41,32
01173.png,34,33
01177.png,18,26
01182.png,31,19
01183.png,24,18
01184.png,37,38
01186.png,22,31
01192.png,2,3
01199.png,14,17
01206.png,40,6
01210.png,18,24
01212.png,39,38
01218.png,9,10
01219.png,11,18
01231.png,5,2
01235.png,34,33
01242.png,37,36
01248.png,3,5
01252.png,8,5
01254.png,37,36
01268.png,2,3
01275.png,8,5
01276.png,18,11
01277.png,14,17
01278.png,5,2
01281.png,1,5
01282.png,14,3
01289.png,34,33
01290.png,4,3
01291.png,38,33
01298.png,28,24
01303.png,1,5
01307.png,19,13
01309.png,6,20
01311.png,8,7
01314.png,34,33
01315.png,35,17
01317.png,25,27
01319.png,35,38
01320.png,38,10
01323.png,5,3
01331.png,4,10
01336.png,34,33
01338.png,42,13
01339.png,31,10
01359.png,2,4
01363.png,11,30
01364.png,8,5
01369.png,2,3
01370.png,33,34
01371.png,25,31
01372.png,2,1
01378.png,34,33
01381.png,9,10
01384.png,7,15
01385.png,4,10
01389.png,18,26
01395.png,42,41
01400.png,33,34
01402.png,30,18
01403.png,2,4
01409.png,1,5
01422.png,30,11
01423.png,14,7
01434.png,23,31
01452.png,5,3
01469.png,20,1
01475.png,18,20
01477.png,35,38
01496.png,38,6
01504.png,7,3
01506.png,1,5
01508.png,38,11
01514.png,30,11
01517.png,42,13
01518.png,16,9
01521.png,8,4
01524.png,30,19
01527.png,2,1
01537.png,39,38
01558.png,2,3
01561.png,2,4
01567.png,10,9
01573.png,3,5
01579.png,28,11
01580.png,6,13
01585.png,7,10
01592.png,17,10
01595.png,8,4
01600.png,38,40
01602.png,1,3
01608.png,8,7
01614.png,12,17
01615.png,2,5
01630.png,11,25
01637.png,2,3
01639.png,9,17
01640.png,33,34
01646.png,34,33
01650.png,35,33
01656.png,7,8
01660.png,7,10
01663.png,31,20
01666.png,16,9
01669.png,38,17
01671.png,10,3
01676.png,7,20
01682.png,17,9
01683.png,23,19
01686.png,7,8
01688.png,1,3
01697.png,30,25
01709.png,30,29
01710.png,1,5
01712.png,40,38
01713.png,30,29
01727.png,40,6
01728.png,31,18
01734.png,2,1
01736.png,4,8
01741.png,36,38
01743.png,2,5
01746.png,39,38
01751.png,20,19
01753.png,18,26
01755.png,5,13
01759.png,21,19
01760.png,20,19
01761.png,37,36
01762.png,17,6
01765.png,34,33
01766.png,14,10
01768.png,1,4
01770.png,3,4
01773.png,10,5
01776.png,11,30
01778.png,35,38
01779.png,35,13
01781.png,38,12
01782.png,8,16
01784.png,35,18
01805.png,28,25
01807.png,16,8
01814.png,36,33
01816.png,8,5
01817.png,18,21
01820.png,5,6
01823.png,35,18
01824.png,30,13
01830.png,7,4
01839.png,35,33
01853.png,0,5
01861.png,42,6
01863.png,1,4
01865.png,21,25
01869.png,25,27
01870.png,10,13
01877.png,2,9
01879.png,25,18
01884.png,5,3
01889.png,39,38
01898.png,21,19
01899.png,38,3
01904.png,36,37
01916.png,29,23
01926.png,34,33
01929.png,1,3
01934.png,2,5
01935.png,17,38
01936.png,8,7
01938.png,5,8
01947.png,18,21
01950.png,15,8
01969.png,40,11
01974.png,34,33
01976.png,30,11
01982.png,10,3
01985.png,25,18
01986.png,2,5
01991.png,2,5
01996.png,35,3
01998.png,3,10
02002.png,8,5
02010.png,36,38
02015.png,38,12
02024.png,1,4
02025.png,4,1
02028.png,4,3
02031.png,7,10
02032.png,38,6
02035.png,35,12
02036.png,26,11
02037.png,35,36
02045.png,0,4
02050.png,39,38
02052.png,25,18
02054.png,18,31
02056.png,32,41
02057.png,36,38
02060.png,14,1
02065.png,18,20
02069.png,18,26
02072.png,30,25
02073.png,1,5
