Name,Orig_Label,Pred_Label
00005.png,38,33
00008.png,25,21
00009.png,35,39
00021.png,33,35
00023.png,3,16
00030.png,5,13
00032.png,34,35
00033.png,23,20
00039.png,8,4
00049.png,8,7
00050.png,25,38
00051.png,13,23
00061.png,10,9
00068.png,5,1
00072.png,30,11
00079.png,25,23
00083.png,7,5
00090.png,3,4
00092.png,2,4
00108.png,33,34
00114.png,30,20
00129.png,6,42
00131.png,3,5
00146.png,2,1
00159.png,4,1
00164.png,18,24
00168.png,29,28
00177.png,40,34
00182.png,36,35
00184.png,20,19
00196.png,8,4
00198.png,18,21
00207.png,31,20
00216.png,10,9
00217.png,5,4
00231.png,13,15
00232.png,33,39
00235.png,19,18
00237.png,30,13
00242.png,20,22
00245.png,40,36
00247.png,8,5
00252.png,0,4
00253.png,36,37
00277.png,39,38
00280.png,9,32
00300.png,12,23
00302.png,2,4
00306.png,32,13
00309.png,38,40
00310.png,19,20
00319.png,4,5
00321.png,4,8
00324.png,31,18
00338.png,4,3
00339.png,22,25
00355.png,40,34
00363.png,39,38
00367.png,38,36
00376.png,41,42
00378.png,1,2
00393.png,2,18
00394.png,1,4
00395.png,5,10
00403.png,0,4
00404.png,38,40
00405.png,36,35
00409.png,2,1
00413.png,26,18
00421.png,4,2
00433.png,34,33
00443.png,30,29
00446.png,31,18
00453.png,40,36
00455.png,38,12
00461.png,25,18
00476.png,35,38
00480.png,33,37
00492.png,4,2
00496.png,30,11
00499.png,40,35
00500.png,22,19
00501.png,30,29
00505.png,4,10
00509.png,3,8
00510.png,8,5
00513.png,22,25
00517.png,1,0
00522.png,31,19
00550.png,4,23
00568.png,1,5
00569.png,23,11
00575.png,33,36
00576.png,3,5
00586.png,2,1
00597.png,29,28
00602.png,4,2
00637.png,29,30
00672.png,36,39
00673.png,35,36
00710.png,2,5
00713.png,39,38
00716.png,2,5
00717.png,36,37
00723.png,30,18
00726.png,14,17
00727.png,11,21
00730.png,25,18
00736.png,39,38
00749.png,30,13
00754.png,22,25
00755.png,42,32
00758.png,3,5
00778.png,0,2
00780.png,2,4
00781.png,39,38
00783.png,38,35
00791.png,5,3
00792.png,1,7
00796.png,15,9
00805.png,2,1
00809.png,0,1
00815.png,1,2
00829.png,27,25
00830.png,37,35
00834.png,28,29
00847.png,38,36
00858.png,3,5
00865.png,33,37
00868.png,25,27
00876.png,7,2
00878.png,3,5
00882.png,10,38
00883.png,30,18
00886.png,33,35
00889.png,2,1
00892.png,33,34
00903.png,4,3
00904.png,27,25
00905.png,7,8
00914.png,18,11
00923.png,1,4
00924.png,19,20
00925.png,3,5
00930.png,38,39
00933.png,38,13
00934.png,1,2
00943.png,0,2
00948.png,34,33
00957.png,36,37
00959.png,20,19
00976.png,23,21
00977.png,10,16
00982.png,1,28
00990.png,0,1
00999.png,16,15
01006.png,38,40
01022.png,11,30
01025.png,30,18
01033.png,41,42
01034.png,10,5
01035.png,2,8
01043.png,7,5
01053.png,34,35
01056.png,11,18
01057.png,33,35
01070.png,8,7
01072.png,8,5
01073.png,39,38
