Name,Orig_Label,Pred_Label
00003.png,33,34
00012.png,23,31
00013.png,7,16
00014.png,4,1
00015.png,9,10
00019.png,38,37
00020.png,4,8
00021.png,33,34
00023.png,3,5
00024.png,1,9
00025.png,11,25
00033.png,23,10
00039.png,8,5
00040.png,7,8
00042.png,18,4
00046.png,3,5
00048.png,18,30
00050.png,25,8
00053.png,9,10
00059.png,16,10
00063.png,9,10
00066.png,26,10
00067.png,2,10
00068.png,5,7
00069.png,28,23
00071.png,25,26
00072.png,30,11
00074.png,5,1
00076.png,1,5
00078.png,25,11
00080.png,21,11
00081.png,33,34
00083.png,7,16
00088.png,22,19
00098.png,9,10
00099.png,33,34
00104.png,33,34
00106.png,35,36
00108.png,33,34
00109.png,4,8
00114.png,30,10
00116.png,27,28
00117.png,29,11
00122.png,1,2
00127.png,30,20
00131.png,3,5
00136.png,18,25
00137.png,40,34
00141.png,4,8
00143.png,18,26
00145.png,25,6
00147.png,41,32
00149.png,21,31
00150.png,7,8
00151.png,24,25
00155.png,3,5
00158.png,7,10
00159.png,4,1
00163.png,25,20
00164.png,18,26
00174.png,33,34
00176.png,3,8
00181.png,4,10
00186.png,18,31
00187.png,1,2
00192.png,12,17
00195.png,2,1
00196.png,8,5
00197.png,38,5
00198.png,18,11
00199.png,28,20
00201.png,9,10
00202.png,4,8
00207.png,31,20
00211.png,38,33
00213.png,5,4
00221.png,4,9
00223.png,1,5
00227.png,5,2
00232.png,33,34
00233.png,18,12
00234.png,33,34
00237.png,30,13
00238.png,4,8
00242.png,20,25
00243.png,0,10
00247.png,8,5
00252.png,0,8
00255.png,28,11
00262.png,18,19
00264.png,1,5
00265.png,12,13
00266.png,5,7
00268.png,2,10
00269.png,18,26
00270.png,18,27
00271.png,18,26
00272.png,34,35
00273.png,9,10
00275.png,18,31
00278.png,31,20
00280.png,9,10
00281.png,35,36
00282.png,31,20
00283.png,26,11
00286.png,33,34
00287.png,30,42
00293.png,35,34
00296.png,33,34
00297.png,28,29
00302.png,2,5
00304.png,4,2
00305.png,3,8
00306.png,32,6
00309.png,38,40
00310.png,19,20
00313.png,38,40
00317.png,40,34
00319.png,4,8
00321.png,4,8
00328.png,8,16
00330.png,4,8
00332.png,3,5
00338.png,4,30
00339.png,22,2
00342.png,9,10
00345.png,38,39
00347.png,7,10
00351.png,2,5
00357.png,3,5
00358.png,38,34
00363.png,39,38
00368.png,19,20
00369.png,13,17
00371.png,18,26
00374.png,26,31
00376.png,41,42
00382.png,38,34
00389.png,9,7
00391.png,33,36
00392.png,28,23
00393.png,2,1
00394.png,1,4
00396.png,4,5
00397.png,38,39
00403.png,0,4
00404.png,38,36
00405.png,36,38
00406.png,8,5
00408.png,5,8
00413.png,26,18
00419.png,2,5
00421.png,4,20
