Name,Orig_Label,Pred_Label
00001.png,1,4
00003.png,33,13
00009.png,35,38
00016.png,21,2
00017.png,20,19
00018.png,27,21
00019.png,38,33
00024.png,1,13
00025.png,11,18
00027.png,10,9
00029.png,11,25
00030.png,5,1
00032.png,34,13
00034.png,2,1
00035.png,17,15
00039.png,8,5
00042.png,18,28
00046.png,3,7
00050.png,25,38
00055.png,35,41
00057.png,26,28
00064.png,15,4
00066.png,26,11
00068.png,5,16
00072.png,30,11
00073.png,34,33
00076.png,1,2
00081.png,33,38
00092.png,2,13
00095.png,32,41
00100.png,1,25
00104.png,33,12
00105.png,4,2
00108.png,33,13
00110.png,1,3
00113.png,10,41
00114.png,30,25
00116.png,27,21
00117.png,29,41
00118.png,1,41
00119.png,17,16
00122.png,1,13
00127.png,30,11
00130.png,36,16
00132.png,14,13
00139.png,38,13
00142.png,6,41
00146.png,2,25
00147.png,41,32
00154.png,17,15
00157.png,9,16
00160.png,13,16
00167.png,14,25
00169.png,17,26
00172.png,26,12
00175.png,1,13
00176.png,3,5
00180.png,8,4
00181.png,4,25
00182.png,36,38
00184.png,20,22
00187.png,1,41
00189.png,8,7
00191.png,29,13
00195.png,2,1
00196.png,8,2
00197.png,38,41
00198.png,18,19
00199.png,28,18
00200.png,17,41
00204.png,17,41
00209.png,15,38
00213.png,5,41
00216.png,10,9
00218.png,4,2
00222.png,5,1
00225.png,12,13
00229.png,36,37
00230.png,25,28
00232.png,33,41
00235.png,19,21
00240.png,12,2
00242.png,20,11
00247.png,8,5
00248.png,12,13
00249.png,38,40
00250.png,20,41
00253.png,36,38
00254.png,34,25
00255.png,28,25
00256.png,35,41
00257.png,13,28
00259.png,15,4
00265.png,12,38
00266.png,5,41
00270.png,18,25
00271.png,18,22
00272.png,34,36
00274.png,25,12
00276.png,34,13
00277.png,39,38
00280.png,9,16
00285.png,1,13
00287.png,30,11
00288.png,17,25
00297.png,28,21
00298.png,35,13
00299.png,26,25
00304.png,4,25
00306.png,32,16
00309.png,38,40
00310.png,19,11
00313.png,38,40
00314.png,1,41
00316.png,2,1
00318.png,17,13
00322.png,5,1
00325.png,35,41
00329.png,2,25
00331.png,18,19
00334.png,10,41
00335.png,6,40
00337.png,34,13
00339.png,22,25
00340.png,10,9
00341.png,29,25
00342.png,9,3
00349.png,28,25
00356.png,35,13
00360.png,9,16
00363.png,39,38
00366.png,7,4
00374.png,26,25
00375.png,1,2
00377.png,13,25
00378.png,1,4
00380.png,19,20
00386.png,34,13
00389.png,9,25
00393.png,2,3
00394.png,1,13
00401.png,36,35
00403.png,0,2
00404.png,38,39
00406.png,8,4
00407.png,25,19
00408.png,5,15
00411.png,14,12
00417.png,14,12
00421.png,4,1
00427.png,20,19
00428.png,38,40
00429.png,34,33
00432.png,34,13
00433.png,34,35
00435.png,6,41
00441.png,17,41
00443.png,30,25
00451.png,10,25
00455.png,38,13
00458.png,39,38
00461.png,25,11
00463.png,17,15
00465.png,38,39
00467.png,13,11
00473.png,1,13
00475.png,12,13
00476.png,35,40
00477.png,36,41
00482.png,35,41
00486.png,12,13
00490.png,17,32
00491.png,26,23
00492.png,4,13
00495.png,5,1
00499.png,40,38
00501.png,30,18
00511.png,2,15
00513.png,22,21
00514.png,38,25
00515.png,33,38
00517.png,1,32
00518.png,8,2
00519.png,4,5
00521.png,26,18
00523.png,14,13
00527.png,5,15
00533.png,1,0
00538.png,10,3
00539.png,35,13
00540.png,8,2
00541.png,6,5
00543.png,12,13
00549.png,12,25
00550.png,4,1
00551.png,5,2
00557.png,8,4
00568.png,1,2
00571.png,8,2
00572.png,41,16
00573.png,6,41
00576.png,3,2
00580.png,17,41
00583.png,1,41
00586.png,2,1
00589.png,5,1
00592.png,16,3
00593.png,17,16
00594.png,11,25
00599.png,26,11
00604.png,3,41
00607.png,38,36
00610.png,27,21
00613.png,29,25
00619.png,38,13
00621.png,14,13
00622.png,1,13
00624.png,7,3
00626.png,28,23
00631.png,35,13
00632.png,25,20
00633.png,8,9
00635.png,7,1
00637.png,29,12
00638.png,17,41
00641.png,8,4
00642.png,17,13
00645.png,13,25
00646.png,12,13
00648.png,1,16
00649.png,2,25
00651.png,17,1
00653.png,5,2
00654.png,12,13
00656.png,29,22
00658.png,13,22
00659.png,10,25
00660.png,5,17
00662.png,2,1
00668.png,11,18
00669.png,4,1
00670.png,15,13
00671.png,10,16
00672.png,36,37
00673.png,35,36
00676.png,25,18
00677.png,18,13
00678.png,29,13
00679.png,8,2
00680.png,13,29
00681.png,14,25
00682.png,35,34
00685.png,35,13
00686.png,14,12
00687.png,25,11
00688.png,17,25
00689.png,34,33
00690.png,5,1
00697.png,8,1
00699.png,2,13
00700.png,3,1
00702.png,39,41
00708.png,18,25
00711.png,36,13
00712.png,11,3
00713.png,39,13
00714.png,4,2
00718.png,1,25
00719.png,5,16
00720.png,10,16
00722.png,5,1
00725.png,13,25
00733.png,38,39
00734.png,15,18
00735.png,38,41
00736.png,39,13
00737.png,38,39
00740.png,3,5
00742.png,35,18
00745.png,17,13
00746.png,4,41
00747.png,2,25
00749.png,30,18
00751.png,28,22
00753.png,28,25
00756.png,2,4
00757.png,12,13
00758.png,3,41
00759.png,23,19
00763.png,3,25
00764.png,12,13
00766.png,1,25
00767.png,5,15
00768.png,3,40
00770.png,10,41
00773.png,28,23
00777.png,15,35
00779.png,33,36
00780.png,2,32
00781.png,39,38
00782.png,12,13
00784.png,7,2
00788.png,2,1
00789.png,38,18
00791.png,5,1
00792.png,1,18
00796.png,15,9
00800.png,38,16
00803.png,5,1
00804.png,12,13
00807.png,0,41
00809.png,0,1
00810.png,26,18
00814.png,17,12
00815.png,1,2
00819.png,2,25
00825.png,4,2
00826.png,15,13
00829.png,27,25
00830.png,37,36
00831.png,7,1
00834.png,28,23
00839.png,11,29
00840.png,12,13
00842.png,13,25
00845.png,4,2
00847.png,38,13
00851.png,2,41
00853.png,29,25
00858.png,3,5
00859.png,11,21
00865.png,33,38
00872.png,10,9
00873.png,28,11
00876.png,7,4
00877.png,5,1
00878.png,3,38
00879.png,23,31
00880.png,1,25
00881.png,1,22
00882.png,10,5
00883.png,30,25
00884.png,35,25
00886.png,33,13
00892.png,33,13
00893.png,17,41
00894.png,35,41
00895.png,5,1
00896.png,15,13
00897.png,31,27
00898.png,33,12
00899.png,42,25
00900.png,11,18
00902.png,38,13
00904.png,27,25
00906.png,13,25
00909.png,38,12
00910.png,1,15
00914.png,18,13
00915.png,13,41
00920.png,12,25
00921.png,25,27
00922.png,4,41
00929.png,17,16
00930.png,38,13
00934.png,1,41
00938.png,42,41
00939.png,12,25
00940.png,35,41
00941.png,29,11
00943.png,0,41
00944.png,38,13
00947.png,1,2
00948.png,34,13
00950.png,12,25
00952.png,15,13
00956.png,42,41
00957.png,36,41
00959.png,20,19
00960.png,27,19
00965.png,5,1
00968.png,7,2
00975.png,8,1
00978.png,39,13
00984.png,31,26
00986.png,5,2
00988.png,7,2
00989.png,39,22
00990.png,0,1
00991.png,23,25
00995.png,38,41
00997.png,38,13
01000.png,17,18
01001.png,1,12
01003.png,12,13
01006.png,38,13
01007.png,3,1
01008.png,12,13
01010.png,8,2
01015.png,35,13
01021.png,1,12
01024.png,38,16
01029.png,1,25
01034.png,10,9
01036.png,8,38
01037.png,2,25
01038.png,35,36
01040.png,38,13
01048.png,17,41
01053.png,34,3
01061.png,12,13
01065.png,7,3
01066.png,31,20
01073.png,39,38
01076.png,4,5
01077.png,7,2
01079.png,21,19
01088.png,5,16
01089.png,4,2
01092.png,1,25
01095.png,37,36
01100.png,35,41
01101.png,20,19
01102.png,2,13
01103.png,20,19
01105.png,5,41
01109.png,12,13
01110.png,35,13
01114.png,12,25
01115.png,33,16
01117.png,38,32
01118.png,3,0
01127.png,8,4
01129.png,1,25
01131.png,8,4
01134.png,4,2
01135.png,5,2
01136.png,17,13
01137.png,18,13
01140.png,8,4
01141.png,33,41
01146.png,9,41
01148.png,5,2
01150.png,32,35
01153.png,1,41
01155.png,33,38
01160.png,32,15
01161.png,4,2
01162.png,13,22
01163.png,17,41
01165.png,6,41
01167.png,38,13
01169.png,20,19
01172.png,38,13
01173.png,34,13
01174.png,38,13
01175.png,39,13
01177.png,18,25
01180.png,26,22
01183.png,24,21
01184.png,37,38
01186.png,22,23
01187.png,5,1
01189.png,12,13
01190.png,10,1
01195.png,10,16
01200.png,5,4
01201.png,5,2
01203.png,4,1
01205.png,29,18
01212.png,39,38
01213.png,12,25
01221.png,17,19
01224.png,17,41
01231.png,5,41
01234.png,3,2
01235.png,34,33
01240.png,12,25
01241.png,22,25
01242.png,37,36
01246.png,28,29
01252.png,8,2
01263.png,5,2
01265.png,38,13
01268.png,2,1
01273.png,2,4
01275.png,8,5
01278.png,5,32
01279.png,0,25
01280.png,2,1
01283.png,36,13
01284.png,11,25
01287.png,10,41
01288.png,8,4
01289.png,34,25
01290.png,4,13
01291.png,38,16
01292.png,14,17
01295.png,17,42
01297.png,33,38
01306.png,4,1
01308.png,23,19
01310.png,5,1
01313.png,10,32
01314.png,34,3
01316.png,5,4
01321.png,9,16
01323.png,5,15
01324.png,14,2
01327.png,26,18
01329.png,17,41
01333.png,9,2
01335.png,2,13
01336.png,34,11
01344.png,38,39
01345.png,8,2
01346.png,35,13
01347.png,38,41
01348.png,7,1
01349.png,2,25
01350.png,5,32
01351.png,12,13
01352.png,25,28
01357.png,12,13
01358.png,2,1
01359.png,2,13
01360.png,26,22
01361.png,3,1
01363.png,11,23
01364.png,8,5
01365.png,10,41
01366.png,12,16
01370.png,33,13
01372.png,2,25
