Name,Orig_Label,Pred_Label
00009.png,35,37
00015.png,9,10
00017.png,20,19
00032.png,34,33
00039.png,8,5
00049.png,8,5
00050.png,25,20
00051.png,13,12
00055.png,35,38
00063.png,9,10
00066.png,26,10
00068.png,5,1
00072.png,30,11
00076.png,1,2
00087.png,7,8
00108.png,33,39
00114.png,30,20
00119.png,17,10
00127.png,30,20
00129.png,6,10
00132.png,14,17
00137.png,40,34
00143.png,18,26
00145.png,25,11
00181.png,4,1
00182.png,36,33
00187.png,1,8
00198.png,18,21
00211.png,38,32
00229.png,36,37
00237.png,30,12
00242.png,20,19
00252.png,0,8
00253.png,36,37
00256.png,35,36
00268.png,2,5
00270.png,18,26
00271.png,18,25
00272.png,34,33
00282.png,31,20
00283.png,26,18
00286.png,33,38
00288.png,17,10
00301.png,5,3
00302.png,2,5
00304.png,4,0
00307.png,1,5
00312.png,38,39
00313.png,38,40
00316.png,2,1
00330.png,4,8
00331.png,18,25
00339.png,22,25
00347.png,7,10
00355.png,40,34
00357.png,3,5
00363.png,39,38
00386.png,34,33
00393.png,2,3
00405.png,36,33
00412.png,2,8
00418.png,9,17
00421.png,4,38
00430.png,11,18
00433.png,34,40
00448.png,38,40
00471.png,35,40
00474.png,35,36
00475.png,12,38
00477.png,36,35
00492.png,4,7
00496.png,30,11
00499.png,40,35
00513.png,22,31
00514.png,38,39
00517.png,1,5
00520.png,18,26
00536.png,38,33
00550.png,4,0
00565.png,23,20
00567.png,10,3
00576.png,3,5
00582.png,7,2
00584.png,35,37
00600.png,2,3
00603.png,19,18
00604.png,3,5
00608.png,28,11
00637.png,29,30
00649.png,2,5
00653.png,5,1
00656.png,29,25
00660.png,5,6
00662.png,2,4
00669.png,4,2
00672.png,36,37
00673.png,35,36
00677.png,18,13
00682.png,35,40
00689.png,34,33
00713.png,39,38
00717.png,36,37
00729.png,35,33
00736.png,39,38
00737.png,38,39
00745.png,17,13
00749.png,30,29
00751.png,28,18
00758.png,3,4
00768.png,3,1
00778.png,0,8
00780.png,2,4
00781.png,39,38
00789.png,38,42
00794.png,1,5
00801.png,25,31
00815.png,1,6
00829.png,27,25
00830.png,37,36
00853.png,29,11
00859.png,11,30
00865.png,33,34
00872.png,10,9
00873.png,28,25
00879.png,23,30
00883.png,30,29
00892.png,33,34
00903.png,4,5
00904.png,27,25
00908.png,38,13
00909.png,38,40
00914.png,18,13
00938.png,42,41
00948.png,34,33
00957.png,36,37
00959.png,20,21
00960.png,27,21
00989.png,39,38
00992.png,7,17
00997.png,38,40
01006.png,38,40
01010.png,8,5
01011.png,10,13
01022.png,11,30
01023.png,35,40
01026.png,11,18
01038.png,35,33
01040.png,38,40
01049.png,35,38
01068.png,4,7
01069.png,41,42
01073.png,39,38
01079.png,21,19
01081.png,2,3
01087.png,4,10
01088.png,5,2
01091.png,33,34
01101.png,20,19
01102.png,2,1
01103.png,20,11
01104.png,23,19
01131.png,8,5
01134.png,4,10
01136.png,17,4
01153.png,1,5
01172.png,38,40
01174.png,38,39
01177.png,18,26
01194.png,7,5
01203.png,4,8
01212.png,39,38
01231.png,5,2
01238.png,7,8
01242.png,37,36
01245.png,28,25
01246.png,28,31
01247.png,2,3
01252.png,8,5
01254.png,37,36
01270.png,2,1
01276.png,18,21
01277.png,14,17
01278.png,5,1
01280.png,2,1
01284.png,11,18
01293.png,2,8
01298.png,28,18
01303.png,1,5
01305.png,16,9
01306.png,4,5
01312.png,8,10
01314.png,34,33
01317.png,25,11
01323.png,5,2
01339.png,31,13
01350.png,5,1
01359.png,2,4
01363.png,11,30
01364.png,8,5
01370.png,33,34
01378.png,34,33
01380.png,9,10
01385.png,4,2
01390.png,8,5
01404.png,38,39
01431.png,27,28
01434.png,23,8
01455.png,18,11
01462.png,42,6
01469.png,20,19
01472.png,3,10
01475.png,18,20
01496.png,38,13
01500.png,2,7
01512.png,18,27
01518.png,16,10
01519.png,0,8
01531.png,1,2
01537.png,39,33
01545.png,38,39
01557.png,28,25
01561.png,2,6
01563.png,38,40
01567.png,10,9
01573.png,3,5
01579.png,28,25
01583.png,21,22
01598.png,2,4
01616.png,9,10
01618.png,12,38
01628.png,21,25
01640.png,33,38
01662.png,17,38
01663.png,31,20
01685.png,38,39
01689.png,25,11
01698.png,38,40
01709.png,30,28
01710.png,1,6
01711.png,1,4
01713.png,30,18
01729.png,4,3
01736.png,4,5
01740.png,13,15
01741.png,36,37
01746.png,39,38
01751.png,20,26
01760.png,20,19
01779.png,35,13
01782.png,8,5
01784.png,35,36
01785.png,25,31
01789.png,7,8
01790.png,40,34
01801.png,22,11
01814.png,36,37
01817.png,18,21
01819.png,6,41
01841.png,33,34
01850.png,35,36
01851.png,28,23
01860.png,9,2
01861.png,42,6
01863.png,1,4
01865.png,21,31
01866.png,9,41
01875.png,38,34
01884.png,5,3
01886.png,18,31
01889.png,39,38
01903.png,2,3
01904.png,36,37
01926.png,34,33
01936.png,8,7
01939.png,5,2
01946.png,25,27
01947.png,18,21
01955.png,1,3
01969.png,40,12
01970.png,9,16
01974.png,34,33
01976.png,30,31
01988.png,8,7
01991.png,2,5
01996.png,35,34
01998.png,3,10
02000.png,34,33
02002.png,8,5
02016.png,8,5
02025.png,4,2
02026.png,1,5
02032.png,38,13
02035.png,35,38
02036.png,26,11
02037.png,35,38
02045.png,0,13
02048.png,2,4
02057.png,36,34
02063.png,2,5
02065.png,18,24
02090.png,31,20
02095.png,37,36
02104.png,2,1
02108.png,36,37
02109.png,30,31
02135.png,35,38
02147.png,18,31
02149.png,33,35
02153.png,7,8
02155.png,5,7
02157.png,27,11
02162.png,9,10
02175.png,2,1
02202.png,33,36
02227.png,8,2
02231.png,8,7
02235.png,8,5
02240.png,1,4
02242.png,22,29
02248.png,38,42
02250.png,1,10
02256.png,2,5
02262.png,6,10
02266.png,2,1
02272.png,4,2
02276.png,25,26
02282.png,13,10
02288.png,30,25
02323.png,2,8
02327.png,2,4
02342.png,18,4
02347.png,29,25
02351.png,33,34
02362.png,5,8
02363.png,31,19
02367.png,1,2
02378.png,25,20
02381.png,11,21
02383.png,7,1
02388.png,31,20
02406.png,34,33
02407.png,23,25
02430.png,4,10
02457.png,2,14
02472.png,2,3
02494.png,2,3
02503.png,39,38
02505.png,31,11
02509.png,5,8
02515.png,11,25
02519.png,8,5
02522.png,3,7
02526.png,4,2
02538.png,3,5
02544.png,39,38
02545.png,17,4
02574.png,2,1
02575.png,29,11
02577.png,4,2
02602.png,35,40
02604.png,2,5
02605.png,2,4
02606.png,28,30
02616.png,1,17
02621.png,25,11
02623.png,5,1
02632.png,1,4
02637.png,5,1
02647.png,31,19
02653.png,9,16
02655.png,30,20
02660.png,30,28
02663.png,1,9
02667.png,3,5
02670.png,42,12
02682.png,30,11
02684.png,33,36
02692.png,38,39
02701.png,35,39
02702.png,37,36
02703.png,38,39
02706.png,33,38
02714.png,1,5
02725.png,35,15
02738.png,28,18
02739.png,1,5
02741.png,2,4
02748.png,27,28
02751.png,24,18
02753.png,5,12
02758.png,5,1
02759.png,36,37
02763.png,16,8
02778.png,4,3
02784.png,38,40
02796.png,7,4
02812.png,7,8
02814.png,39,38
02816.png,1,2
02817.png,19,21
02821.png,8,7
02822.png,35,38
02824.png,38,39
02826.png,2,5
02864.png,30,20
02871.png,25,31
02874.png,1,2
02880.png,39,38
02891.png,39,38
02901.png,34,35
02906.png,37,36
02918.png,23,18
02920.png,35,33
02922.png,7,8
02931.png,1,5
02946.png,5,4
02948.png,15,4
02954.png,23,19
02959.png,4,9
02977.png,38,39
02978.png,36,39
02988.png,36,33
02993.png,30,18
03004.png,11,31
03011.png,9,10
03019.png,38,39
03025.png,30,28
03027.png,8,3
03037.png,1,11
03042.png,2,8
03043.png,30,29
03052.png,25,27
03063.png,28,25
03067.png,35,8
03071.png,1,15
03076.png,34,38
03077.png,2,5
03080.png,9,15
03082.png,34,33
03086.png,8,4
03088.png,38,39
03101.png,18,13
03109.png,39,38
03117.png,36,37
03119.png,38,40
03120.png,2,1
03121.png,8,7
03142.png,28,25
03147.png,1,8
03148.png,35,36
03161.png,10,13
03162.png,33,34
03163.png,38,39
03166.png,16,9
03172.png,18,31
03173.png,38,13
03174.png,35,10
03193.png,5,3
03220.png,24,18
03246.png,20,11
03250.png,27,25
03258.png,36,37
03260.png,10,3
03272.png,35,36
03276.png,2,3
03279.png,17,14
03283.png,12,25
03298.png,18,21
03309.png,2,10
03320.png,25,31
03341.png,39,38
03345.png,2,10
03353.png,37,36
03376.png,3,5
03385.png,36,38
03389.png,5,1
03392.png,4,3
03394.png,28,18
03410.png,28,25
03411.png,8,3
03423.png,2,1
03431.png,4,5
03451.png,2,1
03455.png,5,10
03457.png,22,25
03467.png,38,40
03469.png,36,37
03478.png,11,23
03525.png,5,1
03531.png,4,31
03562.png,5,7
03564.png,27,25
03567.png,30,20
03579.png,38,39
03605.png,37,38
03616.png,37,36
03628.png,5,1
03631.png,10,5
03643.png,18,26
03652.png,17,4
03655.png,3,5
03660.png,8,5
03672.png,33,34
03683.png,4,3
03689.png,4,8
03694.png,2,1
03695.png,41,42
03700.png,35,36
03704.png,40,7
03706.png,35,38
03711.png,2,1
03713.png,11,25
03722.png,28,25
03736.png,17,18
03739.png,18,23
03746.png,28,25
03752.png,28,25
03772.png,1,4
03777.png,11,30
03778.png,30,10
03779.png,0,5
03782.png,30,18
03787.png,13,11
03796.png,5,2
03799.png,30,11
03800.png,25,18
03815.png,35,38
03819.png,4,3
03822.png,15,10
03826.png,35,38
03829.png,38,40
03831.png,1,5
03838.png,2,1
03839.png,2,4
03840.png,23,13
03853.png,34,33
03867.png,41,42
03869.png,33,34
03874.png,7,8
03889.png,24,11
03896.png,22,25
03905.png,41,12
03906.png,38,40
03913.png,35,36
03915.png,4,3
03930.png,8,5
03932.png,35,38
03954.png,38,39
03959.png,4,5
03960.png,18,27
03965.png,26,10
03973.png,36,37
03980.png,31,26
03981.png,18,13
03994.png,35,38
03996.png,10,9
04001.png,34,33
04003.png,2,3
04014.png,13,25
04025.png,38,37
04030.png,6,13
04040.png,34,33
04043.png,26,11
04045.png,24,11
04050.png,29,28
04055.png,22,25
04068.png,36,38
04070.png,30,23
04072.png,8,5
04082.png,4,8
04104.png,38,39
04108.png,25,31
04116.png,5,8
04117.png,36,38
04118.png,14,17
04125.png,21,11
04129.png,6,42
04130.png,39,38
04132.png,33,34
04133.png,30,11
04147.png,21,12
04184.png,41,10
04185.png,21,19
04192.png,11,13
04200.png,2,5
04216.png,31,27
04219.png,13,12
04221.png,7,8
04233.png,1,4
04234.png,1,2
04236.png,2,1
04241.png,18,24
04242.png,2,1
04245.png,5,2
04283.png,4,8
04284.png,1,5
04306.png,15,24
04308.png,11,23
04314.png,26,25
04316.png,42,41
04320.png,7,5
04323.png,8,7
04352.png,1,5
04360.png,36,37
04363.png,3,5
04367.png,30,20
04373.png,8,7
04377.png,1,8
04383.png,30,20
04385.png,8,10
04400.png,21,11
04406.png,5,3
04413.png,42,32
04415.png,11,18
04429.png,20,19
04434.png,0,4
04443.png,21,19
04449.png,3,5
04456.png,27,24
04462.png,38,39
04466.png,14,11
04479.png,21,20
04490.png,36,37
04504.png,0,4
04505.png,2,1
04506.png,2,5
04509.png,30,28
04511.png,30,28
04528.png,35,37
04543.png,3,5
04544.png,7,5
04548.png,14,12
04555.png,36,38
04560.png,5,2
04561.png,3,5
04567.png,8,10
04570.png,0,2
04579.png,30,20
04585.png,27,25
04588.png,3,5
04601.png,4,36
04612.png,37,36
04613.png,37,36
04617.png,21,18
04619.png,11,25
04620.png,19,20
04622.png,4,3
04643.png,19,11
04645.png,39,38
04646.png,2,5
04647.png,4,18
04658.png,37,38
04659.png,5,4
04667.png,40,34
04699.png,26,31
04721.png,3,5
04723.png,4,6
04756.png,18,28
04775.png,36,37
04783.png,25,11
04784.png,2,1
04789.png,7,10
04803.png,4,5
04812.png,5,2
04820.png,11,21
04833.png,30,11
04848.png,11,25
04868.png,32,10
04872.png,4,8
04878.png,33,34
04883.png,18,26
04886.png,18,21
04889.png,19,20
04893.png,24,18
04897.png,4,42
04906.png,5,8
04917.png,9,7
04920.png,1,5
04929.png,34,33
04932.png,42,41
04933.png,39,35
04946.png,5,7
04953.png,30,13
04968.png,10,9
04992.png,2,1
04993.png,3,5
05012.png,38,39
05014.png,3,5
05023.png,25,11
05033.png,18,3
05047.png,29,18
05068.png,19,20
05070.png,10,5
05073.png,13,12
05089.png,9,10
05091.png,2,5
05095.png,22,25
05107.png,38,33
05108.png,35,40
05109.png,25,18
05113.png,5,7
05122.png,1,5
05132.png,39,38
05134.png,22,23
05147.png,38,39
05149.png,18,21
