Name,Orig_Label,Pred_Label
00009.png,35,39
00012.png,23,18
00014.png,4,18
00018.png,27,31
00019.png,38,35
00020.png,4,18
00023.png,3,10
00028.png,9,15
00032.png,34,35
00039.png,8,5
00041.png,30,18
00044.png,24,18
00048.png,18,11
00050.png,25,12
00051.png,13,28
00053.png,9,10
00055.png,35,33
00059.png,16,10
00062.png,4,1
00066.png,26,11
00067.png,2,3
00069.png,28,11
00070.png,11,18
00072.png,30,11
00074.png,5,1
00078.png,25,28
00086.png,3,1
00088.png,22,18
00103.png,11,18
00104.png,33,35
00107.png,25,24
00108.png,33,35
00109.png,4,15
00113.png,10,17
00114.png,30,20
00115.png,3,1
00116.png,27,11
00117.png,29,11
00125.png,10,15
00127.png,30,11
00129.png,6,11
00130.png,36,35
00132.png,14,18
00135.png,10,15
00137.png,40,36
00138.png,2,1
00139.png,38,35
00141.png,4,6
00142.png,6,42
00145.png,25,18
00152.png,11,30
00155.png,3,10
00156.png,6,42
00158.png,7,8
00159.png,4,1
00162.png,4,30
00163.png,25,28
00168.png,29,23
00172.png,26,18
00173.png,25,18
00175.png,1,35
00176.png,3,5
00177.png,40,38
00179.png,2,10
00181.png,4,18
00184.png,20,26
00203.png,1,4
00206.png,2,7
00207.png,31,12
00217.png,5,3
00220.png,2,10
00221.png,4,15
00222.png,5,2
00227.png,5,1
00230.png,25,11
00232.png,33,34
00235.png,19,18
00237.png,30,13
00242.png,20,19
00243.png,0,15
00246.png,5,18
00247.png,8,3
00249.png,38,39
00250.png,20,13
00254.png,34,35
00255.png,28,18
00263.png,25,28
00264.png,1,18
00268.png,2,8
00271.png,18,11
00273.png,9,10
00277.png,39,38
00279.png,1,5
00280.png,9,15
00281.png,35,36
00283.png,26,13
00286.png,33,35
00287.png,30,13
00294.png,5,10
00299.png,26,18
00305.png,3,18
00306.png,32,42
00310.png,19,20
00311.png,11,18
00312.png,38,12
00317.png,40,35
00319.png,4,8
00320.png,8,7
00327.png,38,33
00328.png,8,16
00332.png,3,18
00335.png,6,42
00339.png,22,11
00340.png,10,17
00341.png,29,24
00343.png,2,1
00345.png,38,35
