Name,Orig_Label,Pred_Label
00003.png,33,38
00009.png,35,33
00010.png,12,14
00012.png,23,9
00013.png,7,10
00014.png,4,5
00015.png,9,10
00017.png,20,11
00018.png,27,23
00020.png,4,8
00021.png,33,34
00023.png,3,5
00024.png,1,8
00028.png,9,8
00029.png,11,10
00033.png,23,20
00036.png,3,5
00038.png,16,10
00040.png,7,10
00044.png,24,14
00045.png,25,9
00048.png,18,11
00049.png,8,7
00050.png,25,20
00059.png,16,10
00062.png,4,8
00066.png,26,11
00068.png,5,7
00069.png,28,41
00072.png,30,11
00074.png,5,1
00076.png,1,5
00078.png,25,26
00079.png,25,18
00080.png,21,11
00081.png,33,34
00083.png,7,12
00088.png,22,31
00096.png,3,5
00099.png,33,34
00104.png,33,34
00105.png,4,7
00107.png,25,11
00109.png,4,8
00113.png,10,9
00114.png,30,13
00116.png,27,26
00117.png,29,18
00122.png,1,8
00127.png,30,10
00131.png,3,35
00137.png,40,34
00141.png,4,8
00143.png,18,26
00145.png,25,20
00147.png,41,42
00148.png,11,14
00149.png,21,23
00150.png,7,10
00151.png,24,18
00152.png,11,30
00155.png,3,5
00158.png,7,8
00159.png,4,1
00160.png,13,14
00162.png,4,8
00163.png,25,20
00164.png,18,26
00166.png,13,18
00171.png,38,34
00172.png,26,25
00174.png,33,34
00176.png,3,7
00177.png,40,34
00184.png,20,18
00186.png,18,31
00187.png,1,5
00192.png,12,17
00196.png,8,5
00198.png,18,26
00202.png,4,8
00203.png,1,5
00204.png,17,14
00206.png,2,1
00207.png,31,20
00211.png,38,36
00217.png,5,1
00218.png,4,8
00221.png,4,1
00228.png,8,7
00229.png,36,2
00233.png,18,13
00235.png,19,4
00237.png,30,17
00238.png,4,8
00243.png,0,5
00244.png,10,5
00246.png,5,7
00251.png,14,17
00252.png,0,8
00255.png,28,26
00258.png,25,23
00262.png,18,10
00268.png,2,5
00271.png,18,25
00274.png,25,23
00275.png,18,25
00277.png,39,38
00283.png,26,12
00284.png,1,8
00285.png,1,13
00286.png,33,35
00287.png,30,36
00290.png,1,8
00299.png,26,11
00300.png,12,42
00302.png,2,5
00304.png,4,1
00305.png,3,10
00307.png,1,8
00310.png,19,20
00311.png,11,5
00317.png,40,38
00319.png,4,16
00321.png,4,8
00330.png,4,8
00331.png,18,20
00332.png,3,5
00334.png,10,14
00338.png,4,7
00339.png,22,25
00340.png,10,5
00341.png,29,28
00349.png,28,26
00356.png,35,34
00357.png,3,5
00363.png,39,38
00364.png,3,8
00365.png,11,12
00368.png,19,10
00370.png,10,5
00371.png,18,26
00372.png,3,5
00376.png,41,12
00378.png,1,8
00379.png,18,14
00380.png,19,31
00382.png,38,33
00383.png,4,8
00384.png,35,36
00385.png,25,21
00387.png,12,13
00389.png,9,10
00391.png,33,34
00393.png,2,1
00395.png,5,8
00396.png,4,8
00398.png,4,8
00403.png,0,8
00405.png,36,40
00406.png,8,5
00407.png,25,21
00411.png,14,17
00414.png,29,28
00418.png,9,10
00419.png,2,5
00420.png,3,2
00421.png,4,14
00422.png,19,20
00429.png,34,36
00430.png,11,13
00433.png,34,35
00435.png,6,41
00439.png,3,5
00442.png,7,8
00443.png,30,23
00448.png,38,40
00451.png,10,8
00455.png,38,34
00458.png,39,38
00462.png,25,23
00472.png,3,5
00473.png,1,8
00474.png,35,36
00475.png,12,38
