Name,Orig_Label,Pred_Label
00002.png,38,39
00010.png,12,35
00016.png,21,18
00017.png,20,19
00019.png,38,39
00026.png,13,11
00028.png,9,10
00039.png,8,5
00044.png,24,25
00048.png,18,20
00050.png,25,20
00051.png,13,28
00066.png,26,18
00068.png,5,1
00072.png,30,11
00076.png,1,4
00083.png,7,3
00086.png,3,1
00097.png,38,1
00099.png,33,34
00104.png,33,34
00107.png,25,11
00108.png,33,35
00116.png,27,13
00117.png,29,13
00119.png,17,12
00122.png,1,4
00125.png,10,9
00129.png,6,42
00137.png,40,34
00140.png,41,32
00145.png,25,7
00159.png,4,1
00167.png,14,12
00175.png,1,5
00187.png,1,2
00196.png,8,4
00197.png,38,12
00213.png,5,1
00216.png,10,14
00217.png,5,2
00225.png,12,4
00229.png,36,37
00232.png,33,15
00235.png,19,20
00237.png,30,11
00242.png,20,19
00246.png,5,1
00252.png,0,1
00254.png,34,33
00257.png,13,12
00270.png,18,21
00272.png,34,33
00274.png,25,42
00275.png,18,20
00276.png,34,33
00277.png,39,38
00283.png,26,11
00304.png,4,0
00309.png,38,39
00310.png,19,20
00313.png,38,40
00318.png,17,32
00325.png,35,38
00327.png,38,39
00333.png,25,41
00335.png,6,41
00336.png,7,9
00337.png,34,33
00339.png,22,28
00341.png,29,22
00345.png,38,39
00358.png,38,37
00363.png,39,38
00368.png,19,20
00373.png,5,7
00378.png,1,0
00380.png,19,20
00382.png,38,36
00386.png,34,33
00393.png,2,1
00394.png,1,41
00408.png,5,1
00412.png,2,4
00422.png,19,20
00429.png,34,33
00440.png,22,26
00443.png,30,18
00458.png,39,38
00482.png,35,15
00490.png,17,15
00492.png,4,3
00496.png,30,11
00498.png,31,30
00501.png,30,18
00505.png,4,13
00507.png,42,41
00516.png,3,0
00517.png,1,4
00521.png,26,22
00527.png,5,1
00536.png,38,39
00539.png,35,38
00550.png,4,1
00565.png,23,25
00570.png,3,1
00572.png,41,9
00576.png,3,5
00579.png,0,1
00603.png,19,20
00604.png,3,1
00613.png,29,28
00619.png,38,40
00622.png,1,2
00642.png,17,15
00645.png,13,17
00670.png,15,1
00672.png,36,37
00675.png,0,1
00678.png,29,12
00679.png,8,1
00691.png,4,1
00702.png,39,38
00711.png,36,33
00712.png,11,21
00713.png,39,38
00717.png,36,37
00722.png,5,2
00736.png,39,38
00749.png,30,28
00753.png,28,20
00758.png,3,2
00767.png,5,1
00779.png,33,35
00780.png,2,15
00781.png,39,38
00791.png,5,1
00794.png,1,2
00800.png,38,42
00806.png,26,18
00826.png,15,12
00830.png,37,36
00834.png,28,23
00854.png,24,25
00859.png,11,30
00860.png,5,4
00872.png,10,16
00878.png,3,2
00883.png,30,29
00886.png,33,38
00899.png,42,1
00902.png,38,12
00908.png,38,36
00923.png,1,2
00933.png,38,39
00934.png,1,2
00940.png,35,15
00941.png,29,25
00956.png,42,41
00957.png,36,32
00959.png,20,19
00966.png,32,15
00975.png,8,7
00978.png,39,38
00989.png,39,38
00993.png,38,39
00995.png,38,35
01006.png,38,40
01022.png,11,30
01023.png,35,38
01040.png,38,40
01045.png,31,32
01046.png,2,1
01053.png,34,33
01055.png,11,28
01073.png,39,38
01077.png,7,1
01088.png,5,2
01091.png,33,36
01095.png,37,36
01103.png,20,19
01105.png,5,1
01115.png,33,34
01131.png,8,7
01136.png,17,15
01151.png,3,1
01161.png,4,1
01167.png,38,39
01169.png,20,19
01171.png,41,9
01174.png,38,40
01175.png,39,38
01177.png,18,26
01209.png,11,25
01210.png,18,21
01212.png,39,38
01231.png,5,4
01235.png,34,33
01242.png,37,35
01246.png,28,31
01256.png,31,30
01259.png,5,1
01266.png,42,41
01275.png,8,0
01278.png,5,1
01281.png,1,4
01282.png,14,17
01287.png,10,9
01288.png,8,5
01289.png,34,33
01291.png,38,15
01296.png,29,11
01297.png,33,36
01304.png,33,36
01314.png,34,33
01317.png,25,11
01323.png,5,2
01326.png,42,41
01336.png,34,33
01339.png,31,25
01346.png,35,38
01350.png,5,2
01360.png,26,25
01361.png,3,2
01363.png,11,30
01372.png,2,1
01393.png,5,7
01395.png,42,41
01397.png,35,15
01413.png,34,38
01435.png,18,25
01440.png,5,10
01462.png,42,41
01463.png,34,33
01468.png,7,8
01469.png,20,19
01475.png,18,24
01477.png,35,2
01492.png,5,15
01495.png,34,33
01502.png,8,2
01519.png,0,4
01537.png,39,38
01546.png,2,9
01547.png,5,1
01557.png,28,12
01563.png,38,40
01568.png,2,17
01573.png,3,5
01579.png,28,27
01587.png,35,38
01598.png,2,1
01612.png,42,41
01617.png,32,12
01634.png,20,19
01638.png,23,13
01648.png,10,9
01650.png,35,38
01671.png,10,3
01676.png,7,10
01694.png,5,2
01699.png,27,31
01709.png,30,25
01712.png,40,38
01713.png,30,31
01725.png,38,37
01734.png,2,4
01741.png,36,37
01745.png,5,7
01746.png,39,38
01752.png,31,17
01758.png,36,33
01760.png,20,19
01763.png,41,15
01765.png,34,33
01770.png,3,5
01772.png,39,38
01781.png,38,36
01784.png,35,37
01797.png,31,18
01807.png,16,1
01814.png,36,38
01824.png,30,18
01830.png,7,5
01831.png,5,1
01832.png,5,4
01859.png,38,15
01861.png,42,41
01862.png,5,1
01863.png,1,2
01866.png,9,16
01867.png,33,38
01876.png,38,17
01884.png,5,4
01889.png,39,38
01891.png,10,5
01896.png,23,22
01904.png,36,15
01910.png,22,18
01914.png,34,33
01926.png,34,33
01931.png,8,7
01939.png,5,41
01949.png,10,16
01961.png,20,19
01964.png,38,39
01969.png,40,12
01974.png,34,33
01985.png,25,27
01988.png,8,4
01994.png,11,28
02001.png,38,39
02010.png,36,37
02015.png,38,40
02025.png,4,2
02028.png,4,5
02029.png,25,22
02044.png,3,2
02050.png,39,38
02053.png,3,5
02054.png,18,26
02057.png,36,41
02063.png,2,4
02065.png,18,26
02067.png,12,14
02069.png,18,11
02076.png,33,38
02095.png,37,36
02100.png,29,11
02108.png,36,37
02119.png,3,2
02120.png,38,35
02158.png,3,1
02182.png,3,16
02193.png,11,12
02195.png,13,18
02204.png,33,34
02206.png,14,12
02213.png,10,9
02220.png,8,4
02223.png,18,17
02227.png,8,2
02235.png,8,5
02254.png,3,5
02259.png,10,13
02263.png,23,22
02274.png,20,19
02299.png,36,35
02318.png,3,4
02326.png,19,20
02327.png,2,15
02330.png,28,41
02331.png,38,37
02332.png,42,41
02335.png,1,3
02337.png,38,39
02342.png,18,21
02344.png,25,11
02352.png,5,2
02353.png,4,8
02378.png,25,20
02386.png,4,9
02388.png,31,13
02393.png,17,41
02402.png,8,7
02404.png,38,39
02408.png,2,4
02410.png,38,40
02416.png,38,32
02427.png,33,38
02432.png,35,37
02434.png,5,41
02450.png,11,22
02457.png,2,15
02460.png,11,23
02468.png,5,7
02472.png,2,1
02482.png,25,11
02486.png,9,3
02494.png,2,1
02497.png,4,1
02503.png,39,38
02509.png,5,7
02512.png,5,2
02518.png,17,41
02534.png,8,5
02550.png,1,4
02556.png,7,8
02565.png,5,1
02575.png,29,18
02597.png,25,19
02602.png,35,15
02603.png,4,15
02604.png,2,4
02610.png,27,28
02617.png,5,1
02618.png,34,33
02623.png,5,13
02625.png,5,4
02628.png,34,33
02632.png,1,2
02635.png,5,4
02637.png,5,1
02638.png,28,18
02643.png,34,33
02656.png,25,31
02660.png,30,28
02670.png,42,32
02678.png,41,9
02690.png,35,34
02692.png,38,39
02700.png,5,1
02701.png,35,15
02702.png,37,36
02703.png,38,39
02707.png,29,18
02716.png,5,7
02720.png,17,1
02725.png,35,15
02726.png,10,16
02734.png,5,2
02736.png,2,5
02737.png,3,2
02753.png,5,10
02758.png,5,1
02759.png,36,38
02760.png,30,25
02765.png,31,25
02766.png,24,18
02784.png,38,40
02787.png,31,27
02794.png,34,33
02802.png,28,27
02804.png,39,38
02814.png,39,38
02816.png,1,15
02817.png,19,20
02819.png,38,39
02824.png,38,39
02827.png,1,32
02832.png,34,37
02833.png,17,13
02834.png,42,32
02842.png,11,12
02860.png,5,1
02872.png,14,4
02880.png,39,38
02891.png,39,38
02893.png,22,13
02906.png,37,36
02907.png,17,20
02924.png,5,9
02938.png,4,10
02940.png,8,7
02944.png,39,38
02946.png,5,1
02951.png,8,5
02962.png,22,2
02966.png,26,22
02970.png,18,13
02972.png,29,11
02973.png,11,18
02977.png,38,40
02978.png,36,15
02981.png,5,7
03001.png,36,37
03002.png,1,2
03018.png,25,27
03019.png,38,39
03025.png,30,22
03030.png,18,12
03032.png,38,9
03039.png,42,41
03043.png,30,28
03052.png,25,20
03055.png,31,11
03056.png,19,13
03072.png,2,4
03077.png,2,9
03083.png,2,4
03086.png,8,5
03109.png,39,38
03117.png,36,37
03119.png,38,15
03129.png,38,12
03135.png,1,15
03138.png,7,10
03139.png,10,5
03143.png,20,19
03152.png,2,4
03156.png,3,5
03160.png,29,22
03162.png,33,38
03163.png,38,17
03173.png,38,36
03178.png,34,33
03184.png,3,2
03211.png,1,2
03218.png,38,39
03224.png,11,23
03225.png,23,11
03227.png,35,34
03233.png,25,22
03258.png,36,37
03273.png,30,21
03278.png,18,13
03287.png,8,9
03296.png,3,4
03298.png,18,11
03306.png,34,33
03310.png,25,11
03313.png,33,34
03316.png,3,5
03319.png,11,41
03336.png,2,1
03337.png,20,11
03341.png,39,38
03348.png,5,3
03353.png,37,36
03378.png,40,38
03380.png,38,32
03389.png,5,4
03392.png,4,3
03395.png,13,2
03410.png,28,13
03427.png,4,5
03450.png,8,2
03451.png,2,1
03453.png,8,7
03455.png,5,1
03457.png,22,31
03459.png,35,34
03469.png,36,35
03481.png,20,19
03485.png,18,38
03490.png,11,24
03502.png,8,5
03503.png,10,15
03525.png,5,1
03535.png,35,37
03539.png,17,9
03562.png,5,7
03567.png,30,10
03577.png,8,5
03580.png,24,18
03587.png,11,22
03593.png,41,32
03605.png,37,36
03607.png,8,30
03616.png,37,36
03622.png,3,1
03628.png,5,1
03630.png,35,38
03631.png,10,9
03643.png,18,26
03644.png,17,9
03652.png,17,7
03680.png,2,4
03685.png,5,4
03694.png,2,1
03700.png,35,36
03701.png,21,11
03704.png,40,13
03716.png,2,1
03719.png,28,22
03728.png,18,11
03732.png,3,2
03739.png,18,11
03745.png,30,22
03750.png,35,38
03752.png,28,22
03753.png,29,11
03755.png,9,16
03771.png,7,8
03786.png,25,31
03796.png,5,1
03799.png,30,20
03804.png,20,19
03807.png,10,9
03816.png,18,25
03819.png,4,1
03824.png,17,12
03834.png,5,1
03835.png,20,19
03841.png,11,13
03849.png,38,32
03853.png,34,33
03857.png,5,2
03863.png,0,3
03864.png,39,38
03891.png,14,17
03906.png,38,40
03914.png,4,8
03926.png,20,19
03939.png,9,16
03953.png,38,40
03954.png,38,39
03955.png,12,25
03960.png,18,21
03962.png,1,3
03965.png,26,42
03970.png,8,5
03971.png,34,38
03972.png,17,15
03973.png,36,37
03987.png,31,25
03992.png,9,38
03993.png,39,38
03994.png,35,37
04001.png,34,33
04012.png,0,1
04020.png,28,18
04025.png,38,40
04031.png,1,2
04036.png,38,4
04037.png,2,1
04060.png,8,10
04067.png,2,1
04068.png,36,15
04070.png,30,25
04072.png,8,5
04075.png,1,4
04077.png,29,26
04105.png,41,9
04116.png,5,7
04117.png,36,12
04123.png,34,33
04126.png,14,12
04130.png,39,36
04132.png,33,34
04135.png,3,5
04170.png,4,8
04189.png,1,2
04192.png,11,22
04204.png,3,5
04211.png,17,41
04219.png,13,40
04227.png,1,2
04234.png,1,2
04236.png,2,15
04239.png,38,35
04245.png,5,2
04251.png,11,12
04252.png,18,19
04257.png,5,2
04260.png,11,19
04267.png,3,1
04271.png,6,38
04278.png,36,37
04279.png,17,9
04281.png,8,7
04283.png,4,0
04290.png,29,26
04291.png,35,38
04306.png,15,13
04312.png,20,19
04313.png,39,38
04320.png,7,10
04335.png,41,9
04342.png,33,34
04343.png,14,17
04356.png,13,23
04360.png,36,37
04372.png,18,26
04378.png,35,38
04398.png,39,38
04400.png,21,23
04403.png,4,5
04413.png,42,32
04422.png,5,1
04429.png,20,19
04440.png,5,1
04455.png,2,1
04461.png,5,2
04467.png,12,42
04472.png,38,32
04473.png,17,9
04476.png,2,1
04490.png,36,35
04503.png,3,10
04509.png,30,28
04511.png,30,28
04531.png,35,32
04555.png,36,37
04560.png,5,9
04561.png,3,1
04575.png,8,5
04585.png,27,18
04588.png,3,2
04591.png,26,18
04597.png,3,5
04598.png,5,1
04601.png,4,1
04603.png,34,33
04609.png,5,1
04610.png,13,41
04611.png,33,34
04612.png,37,36
04614.png,38,32
04619.png,11,28
04636.png,33,15
04640.png,8,7
04645.png,39,38
04659.png,5,1
04666.png,33,34
04667.png,40,34
04668.png,1,4
04671.png,25,19
04675.png,39,38
04693.png,38,40
04699.png,26,19
04700.png,33,38
04706.png,39,38
04719.png,14,17
04721.png,3,1
04734.png,1,0
04736.png,7,12
04745.png,38,15
04754.png,19,20
04756.png,18,27
04761.png,8,7
04767.png,17,9
04771.png,3,1
04775.png,36,37
04781.png,4,1
04785.png,38,35
04793.png,39,38
04794.png,25,20
04795.png,0,1
04798.png,38,40
04803.png,4,9
04804.png,17,41
04807.png,25,18
04812.png,5,1
04813.png,5,1
04831.png,7,14
04833.png,30,28
04849.png,29,22
04865.png,9,10
04875.png,14,12
04886.png,18,11
04887.png,11,23
04889.png,19,10
04891.png,38,39
04893.png,24,18
04895.png,11,18
04897.png,4,10
04908.png,16,10
04912.png,10,9
04928.png,2,3
04929.png,34,33
04932.png,42,2
04935.png,5,1
04963.png,12,2
04982.png,2,1
04985.png,30,29
04990.png,2,15
04991.png,39,38
04993.png,3,5
04998.png,3,5
05000.png,26,18
05004.png,5,1
05008.png,35,38
05012.png,38,39
05016.png,4,2
05021.png,33,35
05039.png,35,36
05041.png,5,1
05068.png,19,20
05082.png,10,9
05103.png,5,2
05105.png,25,22
05125.png,39,38
05132.png,39,38
05134.png,22,23
05137.png,25,22
05145.png,4,2
05156.png,28,25
05161.png,5,1
05170.png,3,1
05171.png,38,39
05180.png,18,21
05189.png,20,22
05190.png,14,17
05195.png,36,15
05224.png,2,4
05227.png,11,31
05250.png,38,32
05272.png,1,4
05280.png,30,29
05291.png,25,11
05292.png,34,33
05293.png,20,19
05298.png,13,25
05300.png,18,12
05313.png,30,28
05322.png,3,2
05329.png,25,11
05331.png,25,11
05332.png,25,29
05339.png,9,10
05340.png,25,22
05346.png,33,38
05349.png,23,28
05352.png,11,27
05353.png,4,0
05357.png,17,12
05362.png,3,4
05364.png,6,16
05365.png,34,33
05369.png,40,34
05374.png,9,10
05381.png,20,19
05384.png,9,2
05396.png,8,10
05418.png,15,20
05420.png,37,35
05428.png,5,1
05434.png,4,1
05439.png,1,4
05453.png,8,5
05465.png,34,33
05466.png,36,37
05470.png,22,11
05472.png,25,22
05485.png,5,8
05495.png,38,33
05507.png,25,20
05520.png,34,33
05521.png,6,38
05533.png,38,39
05548.png,34,33
05555.png,39,38
05556.png,18,30
05558.png,33,15
05565.png,8,5
05578.png,33,36
05585.png,1,2
05586.png,1,12
05591.png,4,2
05593.png,36,37
05598.png,5,1
05600.png,28,22
05607.png,17,15
05620.png,29,23
05622.png,8,4
05627.png,3,2
05641.png,3,5
05644.png,20,19
05651.png,5,3
05658.png,37,36
05668.png,5,1
05673.png,8,7
05689.png,2,4
05705.png,41,9
05712.png,20,19
05714.png,5,4
05720.png,35,38
05727.png,42,13
05751.png,1,2
05760.png,21,25
05766.png,39,38
05768.png,33,34
05772.png,36,37
05779.png,30,28
05780.png,34,33
05786.png,42,41
05791.png,37,36
05807.png,25,20
05809.png,38,39
05810.png,38,40
05849.png,4,5
05863.png,38,39
05865.png,3,1
05875.png,35,39
05882.png,38,39
05890.png,5,1
05892.png,13,12
05893.png,18,26
05912.png,5,2
05924.png,6,41
05927.png,29,25
05931.png,17,9
05933.png,2,4
05935.png,35,36
05946.png,2,1
05959.png,5,1
05962.png,16,1
05966.png,41,9
05967.png,19,20
05971.png,1,4
05981.png,39,38
05983.png,25,11
06005.png,1,20
06006.png,2,9
06010.png,36,37
06012.png,4,2
06014.png,5,1
06027.png,34,35
06047.png,10,9
06066.png,12,14
06068.png,36,41
06090.png,30,20
06105.png,38,15
06111.png,41,38
06114.png,3,2
06129.png,38,36
06141.png,26,18
06143.png,11,23
06146.png,30,28
06149.png,18,21
06155.png,25,11
06165.png,36,35
06174.png,38,40
06177.png,3,2
06183.png,38,40
06193.png,10,12
06197.png,36,38
06208.png,34,33
06215.png,10,9
06217.png,22,25
06221.png,5,2
06222.png,4,1
06238.png,25,22
06253.png,4,1
06255.png,6,38
06261.png,41,9
06269.png,23,11
06271.png,12,32
06273.png,8,5
06276.png,35,15
06277.png,35,32
06285.png,21,11
06291.png,8,5
06302.png,35,38
06309.png,11,20
06318.png,38,12
06321.png,42,41
06327.png,31,30
06336.png,34,33
06337.png,21,11
06339.png,8,5
06341.png,25,20
06346.png,8,4
06353.png,25,21
06356.png,26,13
06358.png,14,12
06360.png,36,37
06389.png,10,9
06400.png,25,19
06403.png,3,1
06405.png,10,3
06406.png,17,15
06408.png,4,10
06409.png,2,9
06418.png,36,38
06421.png,0,4
06423.png,5,15
06446.png,1,2
06447.png,17,13
06451.png,5,4
06452.png,13,14
06456.png,26,18
06457.png,25,28
06461.png,4,1
06467.png,5,1
06470.png,35,33
06472.png,34,33
06477.png,31,18
06485.png,38,39
06491.png,34,33
06496.png,23,20
06501.png,34,33
06503.png,33,40
06518.png,0,16
06521.png,36,37
06529.png,30,22
06530.png,22,25
06537.png,38,36
06540.png,2,1
06544.png,41,42
06550.png,18,25
06582.png,10,9
06592.png,3,1
06603.png,30,11
06605.png,2,1
06613.png,3,5
06614.png,5,2
06616.png,42,41
06632.png,24,4
06633.png,19,20
06641.png,20,19
06649.png,4,10
06659.png,25,22
06665.png,34,38
06669.png,36,33
06675.png,37,35
06679.png,25,18
06684.png,11,2
06687.png,20,19
06693.png,41,42
06696.png,37,36
06698.png,34,33
06702.png,20,11
06704.png,33,38
06719.png,14,17
06727.png,2,5
06729.png,37,36
06734.png,2,1
06739.png,25,27
06751.png,34,33
06773.png,13,14
06778.png,39,38
06779.png,14,17
06781.png,38,39
06783.png,33,34
06785.png,14,17
06787.png,24,23
06792.png,31,25
06808.png,38,12
06811.png,1,2
06814.png,38,36
06823.png,2,1
06836.png,30,18
06838.png,18,12
06848.png,17,12
06852.png,38,39
06853.png,3,2
06854.png,0,1
06857.png,2,4
06862.png,39,38
06865.png,17,15
06869.png,5,4
06878.png,18,21
06888.png,7,8
06896.png,4,10
06899.png,32,42
06901.png,22,25
06903.png,1,9
06905.png,2,4
06906.png,4,7
06910.png,7,18
06919.png,1,3
06921.png,36,37
06933.png,5,3
06936.png,1,10
06941.png,25,18
06942.png,5,1
06952.png,17,14
06956.png,38,34
06958.png,39,38
06973.png,1,2
06979.png,14,12
06980.png,22,23
07009.png,1,12
07026.png,17,1
07033.png,5,1
07041.png,31,26
07047.png,3,2
07051.png,38,37
07062.png,14,1
07063.png,33,7
07066.png,1,15
07071.png,3,5
07086.png,5,1
07087.png,5,4
07090.png,30,28
07098.png,25,23
07101.png,3,5
07102.png,10,14
07105.png,1,7
07119.png,3,5
07126.png,17,15
07129.png,37,36
07141.png,4,2
07142.png,26,18
07143.png,33,34
07147.png,31,30
07150.png,12,15
07154.png,3,9
07157.png,8,5
07158.png,17,9
07163.png,3,5
07189.png,11,26
07252.png,22,19
07257.png,2,4
07258.png,42,32
07269.png,8,5
07270.png,34,33
07271.png,36,38
07277.png,18,3
07292.png,1,12
07295.png,36,38
07304.png,41,9
07305.png,42,12
07309.png,1,11
07323.png,5,1
07329.png,22,27
07330.png,7,8
07338.png,3,4
07345.png,2,1
07348.png,39,38
07351.png,35,33
07361.png,38,40
07404.png,36,37
07411.png,37,36
07421.png,8,5
07428.png,31,22
07444.png,25,13
07456.png,4,2
07460.png,41,9
07461.png,30,29
07467.png,20,19
07473.png,3,2
07480.png,31,23
07485.png,21,10
07498.png,37,36
07504.png,42,41
07505.png,29,23
07511.png,23,18
07514.png,38,36
07515.png,13,42
07516.png,36,15
07517.png,1,4
07518.png,36,37
07520.png,18,31
07521.png,23,29
07527.png,29,23
07531.png,38,39
07536.png,25,22
07540.png,39,38
07546.png,1,9
07553.png,27,25
07554.png,12,38
07559.png,30,29
07563.png,25,31
07571.png,21,18
07578.png,22,25
07579.png,2,1
07588.png,31,26
07593.png,26,11
07594.png,39,38
07596.png,36,32
07597.png,31,30
07599.png,38,40
07611.png,28,11
07630.png,1,4
07633.png,11,30
07657.png,4,13
07658.png,17,13
07670.png,5,1
07671.png,5,2
07675.png,7,8
07684.png,1,4
07690.png,7,8
07694.png,38,17
07695.png,40,35
07703.png,38,34
07712.png,0,4
07725.png,18,31
07735.png,10,9
07741.png,20,19
07747.png,36,35
07753.png,2,1
07756.png,8,10
07760.png,28,25
07770.png,9,15
07774.png,3,2
07790.png,38,9
07798.png,37,36
07806.png,38,35
07813.png,7,5
07828.png,35,15
07833.png,39,38
07836.png,35,15
07840.png,25,11
07842.png,5,4
07846.png,7,8
07848.png,40,34
07851.png,5,2
07854.png,38,39
07858.png,33,35
07861.png,5,1
07867.png,4,1
07873.png,34,33
07874.png,14,17
07877.png,37,38
07883.png,17,10
07884.png,30,23
07886.png,18,31
07906.png,5,1
07907.png,30,29
07917.png,22,31
07918.png,35,15
07927.png,35,38
07928.png,6,38
07954.png,12,41
07957.png,8,2
07964.png,13,12
07969.png,18,24
07973.png,23,11
07975.png,4,10
07979.png,2,4
08003.png,38,40
08006.png,20,19
08007.png,26,18
08011.png,13,12
08021.png,34,35
08030.png,35,36
08032.png,7,3
08045.png,36,35
08049.png,35,38
08056.png,39,38
08058.png,18,30
08059.png,29,26
08066.png,9,2
08067.png,35,15
08068.png,22,23
08081.png,9,3
08083.png,38,9
08102.png,11,25
08105.png,12,2
08121.png,1,4
08135.png,41,9
08138.png,15,9
08145.png,9,10
08168.png,37,36
08172.png,38,39
08173.png,11,23
08178.png,35,12
08196.png,3,2
08205.png,42,41
08208.png,6,41
08210.png,19,31
08212.png,5,7
08215.png,38,33
08225.png,17,15
08229.png,10,9
08232.png,1,4
08237.png,16,4
08254.png,41,42
08256.png,2,1
08272.png,38,40
08278.png,8,5
08281.png,3,5
08288.png,38,39
08292.png,18,29
08304.png,34,33
08309.png,18,24
08315.png,1,4
08316.png,1,2
08320.png,34,33
08322.png,29,23
08335.png,38,39
08337.png,39,38
08344.png,40,34
08352.png,21,12
08354.png,2,41
08355.png,31,20
08357.png,33,34
08361.png,20,19
08368.png,28,25
08372.png,33,34
08375.png,20,19
08379.png,9,16
08382.png,39,38
08389.png,5,1
08396.png,13,9
