Name,Orig_Label,Pred_Label
00010.png,12,42
00012.png,23,31
00013.png,7,10
00017.png,20,19
00018.png,27,31
00029.png,11,20
00039.png,8,5
00041.png,30,29
00044.png,24,20
00048.png,18,31
00049.png,8,3
00050.png,25,20
00066.png,26,2
00068.png,5,3
00069.png,28,31
00072.png,30,13
00074.png,5,3
00076.png,1,5
00083.png,7,10
00087.png,7,8
00099.png,33,3
00106.png,35,10
00114.png,30,13
00116.png,27,18
00117.png,29,26
00118.png,1,8
00127.png,30,13
00128.png,1,5
00129.png,6,1
00131.png,3,9
00137.png,40,38
00138.png,2,1
00143.png,18,3
00145.png,25,19
00156.png,6,13
00157.png,9,10
00159.png,4,1
00163.png,25,10
00169.png,17,10
00175.png,1,10
00176.png,3,4
00183.png,25,28
00184.png,20,19
00187.png,1,7
00189.png,8,10
00198.png,18,11
00229.png,36,14
00233.png,18,31
00237.png,30,13
00243.png,0,4
00244.png,10,13
00245.png,40,36
00250.png,20,19
00252.png,0,8
00254.png,34,33
00256.png,35,15
00262.png,18,13
00263.png,25,18
00271.png,18,20
00272.png,34,33
00277.png,39,38
00281.png,35,36
00283.png,26,18
00287.png,30,13
00293.png,35,38
00294.png,5,3
00300.png,12,15
00305.png,3,10
00309.png,38,1
00315.png,42,10
00317.png,40,6
00322.png,5,10
00323.png,6,13
00328.png,8,7
00332.png,3,4
00339.png,22,31
00342.png,9,10
00343.png,2,10
00345.png,38,39
00351.png,2,10
00355.png,40,3
00361.png,38,13
00363.png,39,13
00365.png,11,26
00367.png,38,17
00371.png,18,25
00374.png,26,18
00376.png,41,42
00386.png,34,33
00387.png,12,10
00391.png,33,38
00393.png,2,14
00400.png,38,14
00403.png,0,8
00405.png,36,17
00408.png,5,3
00423.png,9,17
00429.png,34,38
00430.png,11,1
00433.png,34,33
00437.png,10,17
00443.png,30,31
00449.png,8,7
00454.png,1,5
00458.png,39,38
00476.png,35,3
00480.png,33,36
00483.png,6,17
00492.png,4,9
00496.png,30,13
00499.png,40,34
00501.png,30,29
00502.png,9,10
00503.png,7,10
00507.png,42,9
00510.png,8,10
00513.png,22,11
00535.png,31,17
00537.png,6,4
00540.png,8,5
00541.png,6,1
00542.png,5,8
00550.png,4,20
00563.png,18,26
00565.png,23,20
00569.png,23,11
00576.png,3,5
00586.png,2,14
00587.png,30,28
00590.png,35,36
00596.png,4,10
00600.png,2,1
00605.png,9,10
00606.png,7,10
00608.png,28,18
00611.png,41,42
00622.png,1,5
00636.png,16,9
00640.png,7,8
00644.png,2,3
00650.png,32,10
00660.png,5,10
00663.png,7,3
00672.png,36,37
00673.png,35,36
00675.png,0,8
00677.png,18,13
00678.png,29,11
00679.png,8,10
00682.png,35,10
00689.png,34,10
00702.png,39,38
00707.png,12,17
00711.png,36,33
00713.png,39,38
00726.png,14,17
00727.png,11,27
00728.png,11,26
00731.png,2,8
00736.png,39,38
00745.png,17,13
00749.png,30,29
00773.png,28,31
00778.png,0,4
00779.png,33,35
00780.png,2,4
00781.png,39,17
00790.png,2,1
00794.png,1,2
00797.png,15,9
00805.png,2,17
00809.png,0,4
00820.png,4,1
00827.png,2,4
00830.png,37,36
00839.png,11,13
00845.png,4,2
00852.png,1,3
00859.png,11,30
00860.png,5,1
