Name,Orig_Label,Pred_Label
00001.png,1,13
00008.png,25,23
00014.png,4,12
00017.png,20,19
00030.png,5,1
00032.png,34,35
00038.png,16,7
00039.png,8,17
00047.png,10,9
00050.png,25,20
00068.png,5,9
00072.png,30,11
00083.png,7,3
00107.png,25,11
00108.png,33,34
00114.png,30,20
00123.png,8,3
00127.png,30,20
00137.png,40,34
00150.png,7,10
00158.png,7,8
00159.png,4,1
00163.png,25,27
00173.png,25,18
00175.png,1,9
00177.png,40,35
00179.png,2,1
00184.png,20,19
00190.png,10,8
00196.png,8,4
00216.png,10,9
00232.png,33,34
00234.png,33,34
00242.png,20,11
00252.png,0,4
00267.png,25,27
00275.png,18,11
00287.png,30,20
00299.png,26,11
00304.png,4,0
00335.png,6,38
00337.png,34,35
00338.png,4,10
00339.png,22,23
00346.png,18,11
00361.png,38,9
00363.png,39,38
00367.png,38,36
00394.png,1,4
00395.png,5,2
00403.png,0,2
00404.png,38,39
00405.png,36,37
00408.png,5,1
00409.png,2,1
00422.png,19,20
00428.png,38,33
00433.png,34,35
00446.png,31,26
00450.png,9,1
00478.png,24,26
00492.png,4,2
00493.png,3,1
00496.png,30,11
00499.png,40,34
00512.png,25,24
00513.png,22,27
00550.png,4,2
00551.png,5,1
00576.png,3,5
00582.png,7,8
00586.png,2,9
00592.png,16,9
00596.png,4,10
00597.png,29,28
00600.png,2,1
00604.png,3,5
00614.png,11,31
00616.png,25,18
00637.png,29,28
00660.png,5,8
00672.png,36,35
00675.png,0,8
00678.png,29,22
00691.png,4,1
00699.png,2,4
00702.png,39,38
00710.png,2,4
00713.png,39,38
00717.png,36,37
00722.png,5,16
00723.png,30,18
00727.png,11,23
00749.png,30,29
00755.png,42,12
00759.png,23,18
00766.png,1,2
00768.png,3,7
00775.png,4,10
00778.png,0,4
00779.png,33,34
00780.png,2,4
00781.png,39,38
00788.png,2,5
00794.png,1,2
00805.png,2,1
00810.png,26,11
00813.png,13,38
00817.png,8,10
00820.png,4,1
00827.png,2,1
00830.png,37,36
00832.png,1,6
00845.png,4,5
00849.png,23,18
00853.png,29,0
00859.png,11,27
00866.png,3,4
00871.png,35,38
00883.png,30,28
00889.png,2,1
00892.png,33,37
00894.png,35,39
00908.png,38,36
00911.png,13,12
00913.png,13,4
00914.png,18,13
00931.png,5,3
00942.png,38,33
00957.png,36,37
00959.png,20,19
00976.png,23,21
00990.png,0,4
01022.png,11,30
01051.png,18,25
01073.png,39,38
01080.png,2,1
01088.png,5,2
01096.png,30,11
01115.png,33,35
01117.png,38,39
01121.png,41,32
01131.png,8,7
01132.png,40,35
01137.png,18,12
01139.png,35,33
01149.png,31,20
01168.png,2,10
01169.png,20,19
01172.png,38,33
01174.png,38,33
01183.png,24,18
01186.png,22,26
01187.png,5,1
01205.png,29,28
01206.png,40,34
01209.png,11,27
01210.png,18,11
01212.png,39,38
01229.png,10,9
01234.png,3,35
01238.png,7,2
01242.png,37,36
01252.png,8,5
01256.png,31,18
01260.png,5,10
01270.png,2,1
01276.png,18,21
01277.png,14,17
01278.png,5,1
01280.png,2,1
01290.png,4,12
01298.png,28,11
01305.png,16,9
01307.png,19,26
01317.png,25,11
01321.png,9,10
01327.png,26,18
01345.png,8,7
01347.png,38,33
01354.png,2,1
01359.png,2,4
01363.png,11,30
01370.png,33,34
01372.png,2,12
01376.png,8,3
01395.png,42,41
01421.png,10,9
01434.png,23,31
01436.png,11,25
01455.png,18,22
01460.png,10,9
01466.png,8,7
01471.png,2,1
01475.png,18,20
01477.png,35,38
01489.png,12,41
01490.png,12,13
01502.png,8,10
01524.png,30,11
01534.png,5,10
01541.png,29,11
01557.png,28,11
01560.png,42,13
01567.png,10,9
01568.png,2,1
01572.png,20,19
01574.png,9,10
01578.png,3,5
01587.png,35,38
01599.png,4,3
01628.png,21,20
01640.png,33,34
01650.png,35,33
01657.png,26,28
01665.png,25,27
01666.png,16,9
01675.png,22,18
01689.png,25,27
01706.png,18,13
01709.png,30,29
01713.png,30,29
01716.png,9,10
01730.png,2,1
01732.png,18,31
01741.png,36,33
01746.png,39,38
01750.png,26,18
01751.png,20,11
01760.png,20,19
01765.png,34,33
01769.png,18,11
01772.png,39,38
01774.png,4,12
01778.png,35,38
01780.png,33,13
01781.png,38,36
01784.png,35,38
01786.png,31,20
01788.png,1,9
01814.png,36,37
01817.png,18,27
01829.png,38,39
01836.png,15,32
01840.png,27,28
01845.png,11,18
01853.png,0,8
01863.png,1,2
01869.png,25,22
01871.png,33,34
01873.png,12,38
01876.png,38,39
01889.png,39,38
01892.png,1,5
01893.png,4,7
01894.png,2,1
01904.png,36,37
01909.png,8,7
01910.png,22,20
01912.png,9,10
01916.png,29,22
01918.png,25,28
01927.png,31,11
01946.png,25,24
01947.png,18,11
01984.png,10,41
01985.png,25,22
01992.png,22,26
01993.png,11,25
02000.png,34,33
02002.png,8,5
02010.png,36,37
02017.png,7,5
02025.png,4,0
02036.png,26,11
02038.png,25,27
02054.png,18,26
02057.png,36,37
02065.png,18,26
02069.png,18,26
02076.png,33,35
02085.png,31,18
02092.png,9,17
02098.png,18,20
02100.png,29,28
02101.png,31,10
02105.png,6,10
02107.png,4,3
02116.png,26,21
02119.png,3,5
02120.png,38,33
02124.png,11,23
02127.png,5,18
02130.png,16,9
02138.png,36,33
02139.png,1,24
02157.png,27,11
02167.png,16,10
02172.png,18,13
02191.png,5,2
02196.png,2,4
02207.png,38,39
02220.png,8,4
02235.png,8,2
02241.png,13,15
02250.png,1,2
02254.png,3,10
02258.png,12,41
02294.png,33,38
02299.png,36,37
02308.png,34,33
02313.png,1,0
02314.png,4,1
02320.png,5,4
02321.png,3,2
02326.png,19,20
02327.png,2,4
02330.png,28,25
02342.png,18,28
02347.png,29,28
02354.png,10,8
02367.png,1,2
02374.png,8,7
02382.png,2,3
02384.png,22,21
02397.png,3,1
02432.png,35,37
02435.png,11,18
02448.png,19,20
02451.png,35,38
02460.png,11,30
02462.png,10,9
02463.png,2,4
