Name,Orig_Label,Pred_Label
00003.png,33,34
00012.png,23,20
00014.png,4,2
00016.png,21,28
00018.png,27,28
00020.png,4,5
00021.png,33,34
00023.png,3,5
00025.png,11,28
00029.png,11,28
00033.png,23,20
00039.png,8,5
00040.png,7,20
00044.png,24,18
00046.png,3,5
00048.png,18,31
00050.png,25,38
00056.png,5,8
00057.png,26,23
00059.png,16,10
00067.png,2,8
00068.png,5,7
00069.png,28,29
00072.png,30,11
00074.png,5,1
00075.png,12,28
00081.png,33,34
00083.png,7,10
00088.png,22,19
00096.png,3,14
00099.png,33,34
00100.png,1,4
00102.png,5,8
00104.png,33,34
00108.png,33,35
00112.png,16,10
00114.png,30,20
00115.png,3,5
00116.png,27,25
00117.png,29,11
00118.png,1,7
00122.png,1,7
00127.png,30,20
00131.png,3,7
00134.png,11,28
00137.png,40,34
00141.png,4,8
00142.png,6,41
00143.png,18,25
00145.png,25,20
00150.png,7,5
00151.png,24,27
00152.png,11,30
00153.png,25,23
00155.png,3,5
00159.png,4,1
00163.png,25,20
00164.png,18,26
00168.png,29,28
00174.png,33,34
00176.png,3,5
00177.png,40,34
00186.png,18,31
00187.png,1,8
00190.png,10,5
00191.png,29,28
00195.png,2,8
00198.png,18,21
00199.png,28,23
00202.png,4,5
00206.png,2,4
00207.png,31,20
00213.png,5,7
00217.png,5,1
00229.png,36,40
00233.png,18,12
00235.png,19,31
00237.png,30,20
00243.png,0,8
00246.png,5,7
00247.png,8,5
00249.png,38,34
00252.png,0,1
00263.png,25,18
00270.png,18,25
00271.png,18,26
00275.png,18,31
00278.png,31,20
00279.png,1,2
00280.png,9,16
00282.png,31,20
00283.png,26,13
00286.png,33,34
00287.png,30,11
00299.png,26,23
00300.png,12,6
00304.png,4,1
00305.png,3,10
00310.png,19,20
00313.png,38,40
00317.png,40,34
00321.png,4,8
00324.png,31,25
00326.png,9,38
00330.png,4,8
00332.png,3,5
00338.png,4,8
00339.png,22,23
00341.png,29,28
00343.png,2,8
00351.png,2,5
00355.png,40,34
00357.png,3,5
00358.png,38,40
00363.png,39,38
00364.png,3,9
00368.png,19,20
00370.png,10,5
00371.png,18,26
00376.png,41,42
00378.png,1,4
00379.png,18,27
00380.png,19,31
00381.png,13,17
00385.png,25,21
00390.png,4,7
00391.png,33,34
00393.png,2,1
00394.png,1,4
00396.png,4,8
00398.png,4,8
00399.png,12,13
00403.png,0,4
00406.png,8,5
00407.png,25,28
00413.png,26,27
00416.png,10,13
00418.png,9,10
00421.png,4,1
00422.png,19,20
00427.png,20,25
00428.png,38,40
00430.png,11,30
00435.png,6,41
00439.png,3,5
00443.png,30,28
00446.png,31,11
00448.png,38,34
00454.png,1,8
00455.png,38,34
00462.png,25,21
00473.png,1,8
00474.png,35,36
00475.png,12,38
00477.png,36,1
00492.png,4,10
00493.png,3,5
00496.png,30,20
00497.png,9,10
00498.png,31,20
00499.png,40,35
00501.png,30,13
00502.png,9,8
00503.png,7,8
00505.png,4,8
00511.png,2,5
00513.png,22,25
00514.png,38,39
00515.png,33,34
00517.png,1,2
00527.png,5,8
00528.png,18,30
00529.png,4,8
00535.png,31,21
00541.png,6,42
00546.png,1,8
00550.png,4,2
00552.png,9,10
00559.png,24,18
00563.png,18,13
00565.png,23,20
00575.png,33,38
00576.png,3,5
00579.png,0,8
00583.png,1,8
00586.png,2,1
00587.png,30,26
00588.png,5,1
00594.png,11,2
00596.png,4,20
00600.png,2,1
00602.png,4,2
00603.png,19,20
00606.png,7,12
00608.png,28,25
00610.png,27,28
00614.png,11,30
00620.png,30,26
00624.png,7,10
00633.png,8,7
00634.png,4,8
00636.png,16,1
00637.png,29,28
00643.png,11,26
00648.png,1,7
00653.png,5,3
00655.png,11,28
00659.png,10,14
00667.png,13,12
00668.png,11,28
00675.png,0,8
00678.png,29,28
00682.png,35,34
00692.png,4,8
00698.png,1,8
00702.png,39,38
00710.png,2,5
00712.png,11,1
00716.png,2,5
00718.png,1,4
00719.png,5,2
00727.png,11,30
00731.png,2,5
00738.png,4,8
00739.png,1,2
00740.png,3,5
00741.png,1,4
00745.png,17,38
00749.png,30,13
00752.png,9,5
00758.png,3,5
00759.png,23,20
00760.png,3,5
00763.png,3,5
00764.png,12,14
00766.png,1,8
00768.png,3,7
00770.png,10,14
00773.png,28,23
00775.png,4,8
00778.png,0,1
00779.png,33,34
00780.png,2,8
00781.png,39,38
00788.png,2,5
00789.png,38,34
00790.png,2,14
00791.png,5,1
00793.png,3,5
00794.png,1,2
00801.png,25,18
00803.png,5,1
00804.png,12,13
00805.png,2,1
00806.png,26,25
00807.png,0,4
00809.png,0,8
00811.png,31,20
00815.png,1,4
00820.png,4,17
00823.png,4,8
00825.png,4,8
00827.png,2,14
00829.png,27,25
00830.png,37,36
00833.png,18,26
00834.png,28,25
00836.png,10,5
00839.png,11,23
00845.png,4,9
00853.png,29,28
00857.png,28,13
00858.png,3,5
00859.png,11,14
00861.png,6,42
00864.png,1,5
00866.png,3,5
00878.png,3,5
00882.png,10,5
00883.png,30,28
00885.png,24,18
00886.png,33,35
00892.png,33,34
00897.png,31,20
00898.png,33,34
00899.png,42,41
00901.png,24,18
00904.png,27,28
00908.png,38,13
00910.png,1,2
00912.png,23,19
00914.png,18,35
00923.png,1,2
00924.png,19,20
00926.png,9,10
00928.png,3,5
00934.png,1,7
00935.png,11,13
00937.png,2,5
00943.png,0,8
00945.png,10,5
00951.png,31,20
00953.png,13,9
00957.png,36,38
00959.png,20,21
00960.png,27,28
00975.png,8,7
00979.png,2,4
00986.png,5,8
00989.png,39,38
00990.png,0,1
00992.png,7,10
00995.png,38,33
01008.png,12,38
01011.png,10,5
01012.png,2,5
01017.png,4,8
01021.png,1,8
01022.png,11,30
01028.png,12,10
01030.png,18,27
01038.png,35,40
01045.png,31,20
01050.png,4,8
01065.png,7,10
01069.png,41,42
01071.png,2,5
01073.png,39,38
01078.png,11,12
01083.png,10,5
01084.png,2,5
01086.png,18,31
01087.png,4,8
01091.png,33,34
01095.png,37,36
01096.png,30,23
01097.png,9,2
01103.png,20,25
01104.png,23,20
01106.png,8,7
01112.png,11,30
01115.png,33,34
01120.png,31,20
01122.png,35,34
01133.png,4,8
01135.png,5,7
01141.png,33,38
01150.png,32,41
01151.png,3,2
01155.png,33,35
01161.png,4,1
01164.png,4,8
01165.png,6,41
01172.png,38,12
01179.png,9,10
01180.png,26,20
01182.png,31,10
01184.png,37,38
01188.png,8,7
01189.png,12,41
01203.png,4,8
01204.png,3,7
01205.png,29,28
01209.png,11,41
01210.png,18,27
01212.png,39,38
01218.png,9,10
01222.png,29,27
01225.png,26,21
01231.png,5,7
01232.png,4,8
01233.png,4,8
01234.png,3,5
01235.png,34,37
01242.png,37,36
01245.png,28,29
01246.png,28,22
01252.png,8,5
01254.png,37,34
01267.png,18,13
01270.png,2,8
01275.png,8,5
01276.png,18,21
01278.png,5,8
01279.png,0,4
01281.png,1,5
01290.png,4,12
01297.png,33,34
01298.png,28,30
01304.png,33,34
01305.png,16,2
01307.png,19,20
01311.png,8,7
01315.png,35,38
01332.png,4,2
01334.png,1,8
01338.png,42,6
01341.png,9,7
01348.png,7,8
01350.png,5,8
01352.png,25,28
01359.png,2,9
01360.png,26,20
01361.png,3,5
01363.png,11,14
01364.png,8,5
01370.png,33,34
01371.png,25,30
01375.png,18,2
01377.png,3,5
01381.png,9,10
01383.png,38,39
01384.png,7,10
01385.png,4,5
01389.png,18,26
01390.png,8,9
01392.png,25,11
01393.png,5,7
01402.png,30,36
01403.png,2,5
01412.png,18,26
01416.png,3,7
01427.png,4,8
01430.png,13,9
01431.png,27,25
01434.png,23,11
01435.png,18,26
01442.png,18,26
01445.png,31,20
01449.png,12,38
01453.png,4,8
01455.png,18,27
01457.png,5,7
01462.png,42,41
01469.png,20,26
01471.png,2,5
01472.png,3,5
01475.png,18,31
01477.png,35,7
01489.png,12,41
01491.png,2,8
01493.png,5,8
01496.png,38,13
01500.png,2,8
01512.png,18,28
01519.png,0,8
01525.png,18,27
01527.png,2,1
01531.png,1,8
01535.png,3,5
01537.png,39,38
01542.png,3,5
01545.png,38,39
01546.png,2,4
01549.png,25,26
01551.png,10,17
01553.png,3,5
01557.png,28,21
01559.png,20,25
01560.png,42,41
01565.png,1,8
01568.png,2,8
01571.png,1,7
01573.png,3,8
01574.png,9,10
