Name,Orig_Label,Pred_Label
00003.png,33,34
00006.png,18,25
00016.png,21,23
00017.png,20,19
00018.png,27,12
00021.png,33,34
00039.png,8,5
00046.png,3,1
00050.png,25,20
00055.png,35,15
00056.png,5,10
00068.png,5,1
00071.png,25,30
00072.png,30,11
00082.png,25,30
00087.png,7,1
00090.png,3,4
00104.png,33,34
00108.png,33,34
00115.png,3,1
00119.png,17,41
00122.png,1,4
00131.png,3,5
00145.png,25,20
00147.png,41,9
00149.png,21,25
00157.png,9,10
00159.png,4,1
00167.png,14,9
00172.png,26,13
00176.png,3,7
00184.png,20,19
00193.png,38,39
00197.png,38,40
00198.png,18,21
00213.png,5,1
00217.png,5,1
00220.png,2,4
00229.png,36,37
00232.png,33,40
00234.png,33,35
00235.png,19,20
00242.png,20,23
00247.png,8,5
00248.png,12,38
00252.png,0,4
00256.png,35,38
00272.png,34,33
00276.png,34,33
00277.png,39,38
00301.png,5,20
00304.png,4,1
00305.png,3,2
00306.png,32,13
00309.png,38,40
00310.png,19,20
00318.png,17,41
00327.png,38,39
00335.png,6,5
00336.png,7,5
00337.png,34,33
00339.png,22,21
00341.png,29,22
00358.png,38,40
00363.png,39,38
00368.png,19,20
00372.png,3,5
00380.png,19,20
00386.png,34,33
00389.png,9,41
00393.png,2,3
00394.png,1,4
00404.png,38,39
00408.png,5,1
00414.png,29,24
00416.png,10,7
00419.png,2,5
00421.png,4,1
00428.png,38,40
00443.png,30,28
00452.png,2,17
00454.png,1,5
00455.png,38,17
00458.png,39,38
00482.png,35,13
00484.png,2,8
00490.png,17,41
00492.png,4,1
00496.png,30,11
00499.png,40,34
00501.png,30,28
00513.png,22,19
00522.png,31,25
00524.png,11,22
00526.png,3,2
00527.png,5,1
00528.png,18,32
00563.png,18,25
00564.png,12,41
00566.png,10,3
00573.png,6,41
00576.png,3,2
00603.png,19,20
00604.png,3,5
00619.png,38,36
00622.png,1,2
00627.png,8,4
00642.png,17,15
00672.png,36,37
00681.png,14,13
00687.png,25,18
00690.png,5,1
00702.png,39,38
00708.png,18,22
00712.png,11,25
00713.png,39,38
00719.png,5,1
00723.png,30,11
00727.png,11,30
00736.png,39,38
00737.png,38,39
00745.png,17,38
00749.png,30,28
00758.png,3,5
00767.png,5,2
00773.png,28,13
00781.png,39,38
00814.png,17,14
00817.png,8,7
00819.png,2,4
00826.png,15,9
00830.png,37,36
00848.png,12,13
00851.png,2,1
00853.png,29,23
00859.png,11,30
00862.png,9,16
00863.png,2,5
00878.png,3,2
00883.png,30,13
00902.png,38,41
00904.png,27,28
00908.png,38,36
00910.png,1,2
00923.png,1,2
00924.png,19,20
00930.png,38,34
00934.png,1,4
00940.png,35,15
00941.png,29,13
00943.png,0,1
00951.png,31,25
00957.png,36,38
00959.png,20,19
00978.png,39,38
00983.png,5,2
00989.png,39,38
00997.png,38,35
01010.png,8,10
01022.png,11,30
01027.png,4,15
01030.png,18,13
01040.png,38,40
01053.png,34,35
01063.png,13,35
01067.png,32,6
01069.png,41,42
01073.png,39,38
01077.png,7,2
01088.png,5,1
01091.png,33,34
01100.png,35,33
01101.png,20,22
01103.png,20,19
01105.png,5,41
01112.png,11,18
01115.png,33,38
01131.png,8,7
01136.png,17,12
01142.png,3,1
01146.png,9,12
01155.png,33,34
01173.png,34,33
01174.png,38,15
01175.png,39,38
01177.png,18,25
01203.png,4,7
01210.png,18,21
01212.png,39,38
01228.png,11,13
01231.png,5,2
01242.png,37,36
01252.png,8,3
01254.png,37,36
01270.png,2,17
01275.png,8,5
01276.png,18,21
01278.png,5,1
01282.png,14,10
01289.png,34,40
01297.png,33,34
01307.png,19,20
01309.png,6,20
01313.png,10,9
01314.png,34,1
01316.png,5,9
01317.png,25,11
01323.png,5,1
01325.png,26,25
01336.png,34,33
01338.png,42,38
01347.png,38,12
01350.png,5,4
01363.png,11,30
01364.png,8,5
01378.png,34,33
01385.png,4,2
01390.png,8,5
01397.png,35,15
01400.png,33,38
01404.png,38,39
01411.png,7,4
01431.png,27,28
01447.png,1,4
01451.png,11,24
01462.png,42,41
01469.png,20,21
01475.png,18,24
01477.png,35,41
01492.png,5,15
01512.png,18,24
01526.png,38,15
01527.png,2,4
01535.png,3,1
01537.png,39,38
01540.png,10,2
01546.png,2,4
01547.png,5,1
01553.png,3,2
01559.png,20,11
01567.png,10,9
01572.png,20,19
01573.png,3,2
01578.png,3,2
01593.png,10,4
01612.png,42,41
01620.png,7,8
01635.png,5,2
01637.png,2,1
01640.png,33,35
01643.png,19,20
01650.png,35,38
01656.png,7,9
01662.png,17,41
01663.png,31,23
01682.png,17,12
01691.png,34,37
01693.png,17,9
01694.png,5,2
01701.png,5,2
01709.png,30,18
01711.png,1,13
01713.png,30,13
01720.png,10,7
01725.png,38,39
01731.png,33,34
01734.png,2,4
01738.png,17,15
01743.png,2,1
01746.png,39,38
01751.png,20,13
01752.png,31,11
01759.png,21,14
01761.png,37,36
01767.png,2,9
01772.png,39,38
01777.png,3,2
01781.png,38,13
01782.png,8,3
01797.png,31,21
01812.png,12,13
01814.png,36,38
01817.png,18,28
01819.png,6,41
01825.png,4,8
01832.png,5,1
01859.png,38,15
01861.png,42,41
01863.png,1,2
01867.png,33,15
01876.png,38,15
01880.png,5,1
01884.png,5,15
01888.png,16,9
01889.png,39,38
01904.png,36,15
01909.png,8,25
01914.png,34,33
01924.png,4,0
01936.png,8,5
01939.png,5,1
01947.png,18,21
01960.png,1,4
01968.png,1,2
01969.png,40,33
01972.png,5,7
01974.png,34,33
01977.png,12,13
01981.png,17,13
01993.png,11,25
02002.png,8,5
02010.png,36,37
02050.png,39,38
02054.png,18,26
02056.png,32,41
02057.png,36,15
02064.png,5,1
02069.png,18,26
02076.png,33,15
02080.png,2,1
02095.png,37,36
02108.png,36,35
02119.png,3,2
02120.png,38,15
02131.png,9,10
02139.png,1,2
02153.png,7,8
02157.png,27,21
02167.png,16,10
02171.png,2,1
02176.png,17,15
02182.png,3,4
02202.png,33,37
02204.png,33,34
02205.png,12,17
02206.png,14,17
02233.png,10,9
02235.png,8,3
02266.png,2,15
02267.png,12,16
02285.png,38,14
02294.png,33,38
02303.png,17,12
02318.png,3,2
02327.png,2,15
02332.png,42,41
02338.png,8,15
02342.png,18,21
02344.png,25,21
02352.png,5,1
02353.png,4,8
02357.png,11,22
02368.png,8,2
02370.png,21,18
02371.png,2,1
02374.png,8,4
02375.png,33,38
02378.png,25,38
02381.png,11,28
02382.png,2,1
02384.png,22,18
02388.png,31,30
02393.png,17,15
02406.png,34,35
02416.png,38,15
02420.png,12,32
02427.png,33,15
02434.png,5,14
02444.png,35,38
02447.png,6,4
02457.png,2,15
02460.png,11,28
02472.png,2,1
02474.png,16,1
02482.png,25,11
02500.png,32,13
02503.png,39,38
02509.png,5,2
02510.png,8,10
02512.png,5,2
02514.png,2,0
02518.png,17,41
02520.png,3,5
02529.png,5,2
02539.png,25,13
02544.png,39,38
02545.png,17,12
02553.png,4,5
02571.png,23,18
02575.png,29,22
02577.png,4,41
02582.png,34,33
02583.png,33,37
02594.png,2,1
02602.png,35,13
02605.png,2,4
02608.png,33,34
02611.png,24,25
02617.png,5,2
02625.png,5,4
02628.png,34,33
02630.png,7,8
02635.png,5,2
02637.png,5,2
02640.png,12,13
02643.png,34,33
02650.png,37,36
02655.png,30,11
02660.png,30,22
02662.png,13,17
02663.png,1,2
02667.png,3,1
02673.png,4,25
02685.png,38,15
02691.png,10,9
02699.png,5,3
02700.png,5,1
02701.png,35,15
02702.png,37,36
02725.png,35,12
02736.png,2,4
02737.png,3,2
02741.png,2,4
02743.png,9,2
02748.png,27,12
02753.png,5,17
02758.png,5,2
02759.png,36,41
02784.png,38,40
02792.png,2,1
02804.png,39,38
02810.png,19,20
02814.png,39,38
02816.png,1,16
02829.png,35,34
02845.png,8,2
02847.png,27,28
02860.png,5,3
02872.png,14,17
02880.png,39,38
02882.png,8,1
02891.png,39,38
02901.png,34,33
02905.png,25,22
02906.png,37,36
02907.png,17,15
02913.png,18,25
02915.png,17,9
02930.png,0,4
02944.png,39,38
02946.png,5,1
02948.png,15,41
02957.png,28,13
02963.png,17,15
02965.png,3,1
02978.png,36,15
02993.png,30,25
02994.png,17,9
03004.png,11,23
03025.png,30,22
03030.png,18,13
03032.png,38,9
03039.png,42,41
03043.png,30,28
03052.png,25,11
03056.png,19,20
03059.png,20,19
03072.png,2,4
03076.png,34,38
03082.png,34,33
03086.png,8,2
03087.png,4,1
03089.png,10,1
03092.png,33,34
03108.png,38,36
03109.png,39,38
03117.png,36,37
03119.png,38,15
03120.png,2,9
03121.png,8,5
03132.png,1,5
03135.png,1,15
03143.png,20,25
03144.png,4,8
03152.png,2,1
03159.png,5,2
03162.png,33,38
03163.png,38,12
03169.png,4,3
03172.png,18,20
03178.png,34,33
03220.png,24,25
03230.png,31,20
03257.png,8,7
03258.png,36,35
03260.png,10,3
03264.png,34,33
03282.png,2,1
03287.png,8,4
03288.png,31,13
03290.png,26,11
03294.png,21,31
03296.png,3,2
03300.png,25,22
03306.png,34,33
03313.png,33,34
03319.png,11,35
03329.png,25,13
03337.png,20,19
03341.png,39,38
03353.png,37,36
03363.png,29,22
03380.png,38,15
03386.png,42,41
03389.png,5,1
03395.png,13,25
03408.png,1,2
03410.png,28,27
03421.png,28,18
03431.png,4,7
03432.png,5,1
03434.png,5,4
03439.png,1,8
03457.png,22,19
03461.png,1,2
03476.png,16,1
03481.png,20,22
03484.png,4,3
03491.png,2,1
03493.png,24,18
03520.png,2,1
03525.png,5,1
03539.png,17,13
03552.png,19,20
03560.png,17,41
03564.png,27,25
03571.png,11,22
03577.png,8,5
03587.png,11,22
03589.png,3,1
03593.png,41,32
03605.png,37,36
03616.png,37,34
03619.png,2,1
03621.png,23,2
03628.png,5,2
03630.png,35,15
03638.png,1,4
03639.png,38,39
03644.png,17,12
03652.png,17,15
03663.png,31,11
03672.png,33,34
03683.png,4,2
03684.png,39,38
03694.png,2,1
03695.png,41,6
03700.png,35,37
03704.png,40,13
03714.png,19,20
03719.png,28,11
03723.png,38,15
03733.png,11,22
03734.png,38,36
03739.png,18,28
03745.png,30,29
03758.png,10,9
03777.png,11,13
03781.png,18,25
03789.png,37,36
03790.png,15,2
03796.png,5,1
03805.png,3,2
03812.png,3,2
03815.png,35,38
03824.png,17,13
03826.png,35,38
03829.png,38,15
03834.png,5,2
03835.png,20,19
03838.png,2,1
03842.png,12,13
03849.png,38,15
03857.png,5,2
03864.png,39,38
03866.png,10,1
03896.png,22,19
03907.png,17,12
03913.png,35,37
03926.png,20,19
03930.png,8,5
03940.png,11,18
03944.png,7,5
03951.png,17,9
03955.png,12,13
03960.png,18,21
03971.png,34,33
03972.png,17,15
03973.png,36,37
03978.png,31,22
03985.png,1,2
03991.png,42,41
03992.png,9,2
03993.png,39,38
03994.png,35,36
03998.png,4,7
04005.png,29,23
04025.png,38,15
04029.png,16,1
04036.png,38,15
04039.png,5,3
04040.png,34,33
04053.png,5,1
04055.png,22,31
04057.png,28,12
04060.png,8,4
04067.png,2,17
04068.png,36,12
04069.png,30,28
04072.png,8,3
04075.png,1,2
04077.png,29,13
04079.png,18,25
04095.png,1,13
04104.png,38,33
04105.png,41,1
04116.png,5,7
04117.png,36,41
04121.png,7,17
04123.png,34,33
04126.png,14,12
04127.png,4,7
04130.png,39,35
04132.png,33,34
04135.png,3,1
04164.png,5,1
04175.png,17,41
04180.png,0,8
04197.png,13,32
04211.png,17,15
04235.png,8,4
04242.png,2,1
04245.png,5,1
04250.png,25,11
04257.png,5,1
04260.png,11,12
04265.png,15,13
04267.png,3,1
04269.png,17,12
04271.png,6,38
04272.png,8,5
04275.png,38,12
04281.png,8,2
04283.png,4,2
04285.png,2,7
04291.png,35,15
04306.png,15,13
04312.png,20,19
04313.png,39,38
04316.png,42,41
04317.png,11,25
04324.png,35,18
04328.png,9,13
04330.png,31,28
04333.png,0,4
04334.png,8,7
04335.png,41,9
04342.png,33,34
04343.png,14,21
04351.png,4,2
04358.png,13,12
04360.png,36,37
04361.png,10,2
04383.png,30,20
04398.png,39,38
04408.png,3,5
04422.png,5,2
04429.png,20,19
04437.png,20,19
04449.png,3,5
04456.png,27,28
04470.png,26,13
04471.png,33,34
04472.png,38,15
04473.png,17,9
04490.png,36,37
04499.png,1,41
04504.png,0,4
04509.png,30,22
04511.png,30,22
04515.png,40,34
04531.png,35,15
04532.png,10,3
04553.png,18,31
04555.png,36,37
04560.png,5,1
04562.png,27,25
04566.png,25,19
04583.png,17,15
04598.png,5,4
04601.png,4,1
04602.png,29,28
04603.png,34,35
04605.png,0,4
04611.png,33,34
04612.png,37,36
04613.png,37,34
04614.png,38,13
04620.png,19,20
04636.png,33,41
04643.png,19,20
04645.png,39,38
04650.png,4,2
04652.png,25,13
04658.png,37,36
04659.png,5,2
04666.png,33,34
04667.png,40,34
04673.png,4,2
04675.png,39,38
04681.png,10,7
04700.png,33,38
04701.png,4,1
04706.png,39,38
04719.png,14,13
04722.png,4,5
04727.png,18,2
04732.png,19,20
04745.png,38,16
04753.png,26,13
04755.png,7,5
04756.png,18,21
04760.png,7,1
04763.png,10,9
04767.png,17,15
04775.png,36,37
04783.png,25,11
04791.png,31,13
04793.png,39,38
04795.png,0,4
04803.png,4,0
04812.png,5,1
04820.png,11,30
04823.png,2,20
04833.png,30,13
04847.png,9,2
04868.png,32,13
04869.png,39,38
04875.png,14,13
04886.png,18,21
04897.png,4,10
04898.png,40,36
04919.png,1,4
04929.png,34,40
04932.png,42,4
04933.png,39,38
04935.png,5,4
04945.png,19,20
04966.png,39,38
04985.png,30,29
04991.png,39,38
04993.png,3,5
04995.png,26,18
05006.png,1,0
05008.png,35,15
05012.png,38,39
05021.png,33,15
05053.png,2,1
05057.png,27,25
05065.png,13,30
05077.png,28,25
05089.png,9,2
05095.png,22,2
05097.png,2,5
05111.png,1,8
05125.png,39,38
05132.png,39,38
05134.png,22,23
05149.png,18,21
05157.png,5,2
05160.png,34,35
05161.png,5,1
05165.png,28,29
05180.png,18,21
05189.png,20,18
05190.png,14,17
05193.png,17,15
05195.png,36,15
05227.png,11,18
05236.png,4,1
05239.png,18,26
05241.png,38,13
05246.png,20,19
05261.png,38,33
05264.png,10,25
05272.png,1,13
05278.png,5,4
05280.png,30,29
05290.png,18,11
05292.png,34,33
05301.png,11,28
05302.png,33,34
05304.png,17,13
05313.png,30,29
05318.png,18,13
05337.png,22,25
05340.png,25,19
05346.png,33,15
05352.png,11,27
05353.png,4,12
05365.png,34,33
05370.png,5,2
05381.png,20,19
05395.png,7,10
05404.png,20,19
05405.png,21,23
05420.png,37,35
05426.png,36,33
05428.png,5,1
05439.png,1,2
05465.png,34,33
05466.png,36,37
05481.png,5,2
05485.png,5,2
05490.png,40,34
05498.png,26,18
05507.png,25,20
05515.png,19,20
05518.png,27,18
05520.png,34,38
05526.png,11,25
05528.png,37,33
05537.png,1,2
05538.png,11,18
05548.png,34,33
