Name,Orig_Label,Pred_Label
00010.png,12,42
00012.png,23,25
00014.png,4,8
00015.png,9,10
00021.png,33,38
00029.png,11,20
00033.png,23,25
00039.png,8,13
00048.png,18,31
00050.png,25,20
00056.png,5,3
00066.png,26,18
00067.png,2,5
00069.png,28,29
00072.png,30,25
00075.png,12,29
00076.png,1,5
00083.png,7,15
00087.png,7,8
00099.png,33,10
00106.png,35,13
00109.png,4,3
00112.png,16,10
00114.png,30,31
00116.png,27,31
00122.png,1,4
00127.png,30,26
00129.png,6,3
00131.png,3,9
00145.png,25,20
00156.png,6,3
00159.png,4,1
00164.png,18,31
00171.png,38,32
00172.png,26,18
00174.png,33,36
00176.png,3,8
00177.png,40,34
00184.png,20,19
00186.png,18,13
00194.png,31,25
00198.png,18,31
00218.png,4,8
00229.png,36,3
00235.png,19,31
00237.png,30,25
00243.png,0,4
00244.png,10,5
00245.png,40,36
00247.png,8,5
00252.png,0,3
00254.png,34,33
00256.png,35,15
00269.png,18,26
00277.png,39,38
00281.png,35,18
00285.png,1,5
00286.png,33,34
00287.png,30,25
00293.png,35,33
00294.png,5,3
00295.png,1,4
00297.png,28,25
00307.png,1,4
00309.png,38,4
00310.png,19,31
00312.png,38,10
00314.png,1,5
00319.png,4,8
00323.png,6,4
00336.png,7,8
00339.png,22,25
00340.png,10,3
00355.png,40,3
00360.png,9,10
00361.png,38,3
00363.png,39,13
00365.png,11,13
00367.png,38,13
00368.png,19,20
00376.png,41,42
00380.png,19,13
00386.png,34,33
00393.png,2,3
00394.png,1,4
00400.png,38,13
00405.png,36,5
00406.png,8,10
00415.png,10,13
00421.png,4,2
00422.png,19,20
00430.png,11,30
00433.png,34,33
00443.png,30,29
00447.png,38,12
00449.png,8,5
00455.png,38,40
00460.png,35,38
00462.png,25,13
00475.png,12,38
00476.png,35,5
00478.png,24,18
00483.png,6,13
00492.png,4,7
00496.png,30,11
00499.png,40,35
00501.png,30,29
00503.png,7,3
00507.png,42,13
00509.png,3,8
00510.png,8,10
00513.png,22,25
00532.png,23,31
00535.png,31,20
00537.png,6,13
00541.png,6,5
00547.png,1,4
00550.png,4,2
00552.png,9,10
00559.png,24,18
00565.png,23,20
00566.png,10,9
00579.png,0,8
00586.png,2,4
00587.png,30,29
00590.png,35,13
00591.png,13,29
00596.png,4,20
00602.png,4,3
00603.png,19,20
00606.png,7,10
00609.png,9,5
00615.png,10,17
00622.png,1,7
00628.png,2,3
00630.png,5,7
00636.png,16,10
00637.png,29,9
00644.png,2,5
00647.png,7,5
00653.png,5,7
00663.png,7,5
00672.png,36,37
00674.png,26,18
00682.png,35,3
00689.png,34,42
00707.png,12,10
00710.png,2,5
00713.png,39,38
00717.png,36,37
00723.png,30,20
00726.png,14,7
00727.png,11,30
00731.png,2,5
00733.png,38,1
00734.png,15,10
00736.png,39,38
00745.png,17,13
00749.png,30,29
00752.png,9,10
00756.png,2,5
00763.png,3,8
00767.png,5,3
00775.png,4,13
00778.png,0,8
00780.png,2,4
00781.png,39,5
00788.png,2,5
00790.png,2,3
00794.png,1,5
00797.png,15,13
00805.png,2,10
00806.png,26,25
00809.png,0,4
00813.png,13,42
00817.png,8,10
00818.png,1,3
00820.png,4,8
00827.png,2,5
00829.png,27,28
00830.png,37,36
00838.png,15,10
00839.png,11,30
00845.png,4,5
00857.png,28,25
00859.png,11,30
00863.png,2,5
00865.png,33,3
00867.png,9,10
00877.png,5,8
00879.png,23,30
00883.png,30,29
00898.png,33,8
00899.png,42,13
00903.png,4,3
00904.png,27,28
00908.png,38,13
00918.png,35,18
00926.png,9,8
00931.png,5,13
00935.png,11,18
00937.png,2,3
00938.png,42,10
00940.png,35,36
00943.png,0,5
00948.png,34,33
00955.png,1,3
00956.png,42,3
00957.png,36,15
00958.png,7,3
00960.png,27,18
00970.png,12,13
00979.png,2,7
00988.png,7,5
00989.png,39,40
00990.png,0,8
00992.png,7,8
01001.png,1,5
01005.png,5,13
01011.png,10,31
01012.png,2,5
01022.png,11,30
01033.png,41,13
01038.png,35,3
01049.png,35,13
01057.png,33,40
01065.png,7,3
01067.png,32,12
01069.png,41,42
01071.png,2,4
01073.png,39,13
01078.png,11,13
01080.png,2,10
01081.png,2,3
01084.png,2,3
01085.png,8,7
01086.png,18,13
01089.png,4,3
01095.png,37,36
01103.png,20,30
01104.png,23,25
01105.png,5,3
01106.png,8,7
01119.png,32,13
01122.png,35,17
01127.png,8,5
01131.png,8,5
01133.png,4,3
01146.png,9,10
01150.png,32,42
01156.png,4,13
01157.png,35,13
01159.png,1,5
01169.png,20,19
01175.png,39,38
01177.png,18,26
01182.png,31,13
01184.png,37,36
01191.png,2,5
01196.png,14,7
01200.png,5,8
01201.png,5,7
01206.png,40,38
01209.png,11,30
01210.png,18,24
01212.png,39,13
01218.png,9,10
01220.png,13,20
01222.png,29,24
01228.png,11,13
01235.png,34,33
01242.png,37,35
01243.png,35,38
01247.png,2,5
01254.png,37,36
01270.png,2,8
01273.png,2,10
01274.png,42,41
01276.png,18,21
01278.png,5,3
01280.png,2,3
01282.png,14,7
01284.png,11,27
01288.png,8,7
01289.png,34,33
01291.png,38,33
01294.png,7,10
01302.png,14,12
01303.png,1,3
01307.png,19,31
01309.png,6,13
01311.png,8,5
01312.png,8,10
01314.png,34,33
01315.png,35,3
01319.png,35,13
01320.png,38,13
01323.png,5,10
01326.png,42,10
01331.png,4,8
01333.png,9,10
01337.png,1,2
01338.png,42,13
01339.png,31,20
01341.png,9,10
01354.png,2,7
01363.png,11,30
01364.png,8,3
01368.png,40,33
01373.png,41,42
01378.png,34,33
01384.png,7,17
01385.png,4,3
01391.png,38,12
01395.png,42,13
01402.png,30,31
01418.png,4,3
01420.png,12,17
01422.png,30,25
01423.png,14,7
