Name,Orig_Label,Pred_Label
00003.png,33,38
00004.png,11,42
00012.png,23,18
00014.png,4,1
00017.png,20,19
00018.png,27,28
00020.png,4,2
00022.png,9,12
00023.png,3,10
00024.png,1,17
00025.png,11,25
00028.png,9,15
00030.png,5,2
00032.png,34,33
00038.png,16,9
00041.png,30,18
00042.png,18,13
00044.png,24,18
00046.png,3,30
00047.png,10,17
00048.png,18,25
00049.png,8,1
00058.png,9,13
00059.png,16,10
00066.png,26,11
00067.png,2,3
00069.png,28,13
00070.png,11,18
00076.png,1,10
00078.png,25,28
00080.png,21,13
00086.png,3,1
00088.png,22,18
00095.png,32,13
00104.png,33,35
00105.png,4,1
00107.png,25,24
00108.png,33,34
00109.png,4,3
00110.png,1,2
00113.png,10,17
00114.png,30,20
00115.png,3,2
00116.png,27,31
00117.png,29,13
00125.png,10,35
00126.png,10,15
00127.png,30,13
00128.png,1,17
00129.png,6,13
00130.png,36,37
00132.png,14,17
00135.png,10,16
00138.png,2,12
00139.png,38,35
00141.png,4,0
00142.png,6,42
00143.png,18,26
00145.png,25,13
00147.png,41,32
00150.png,7,12
00155.png,3,26
00156.png,6,42
00157.png,9,15
00159.png,4,14
00161.png,16,13
00163.png,25,28
00172.png,26,13
00173.png,25,18
00175.png,1,17
00179.png,2,14
00180.png,8,7
00181.png,4,12
00182.png,36,35
00184.png,20,18
00185.png,25,12
00193.png,38,39
00198.png,18,21
00202.png,4,3
00204.png,17,14
00206.png,2,12
00207.png,31,13
00217.png,5,2
00220.png,2,1
00221.png,4,17
00222.png,5,1
00223.png,1,17
00227.png,5,17
00230.png,25,18
00232.png,33,35
00233.png,18,12
00235.png,19,18
00237.png,30,14
00240.png,12,13
00243.png,0,1
00244.png,10,13
00246.png,5,12
00247.png,8,31
00250.png,20,41
00254.png,34,35
00255.png,28,18
00264.png,1,12
00271.png,18,13
00272.png,34,33
00273.png,9,10
00275.png,18,13
00277.png,39,38
00280.png,9,35
00283.png,26,13
00286.png,33,35
00287.png,30,13
00290.png,1,5
00293.png,35,33
00295.png,1,17
00299.png,26,11
00305.png,3,42
00306.png,32,13
00310.png,19,20
00311.png,11,18
00316.png,2,1
00317.png,40,35
00319.png,4,3
00320.png,8,5
00323.png,6,42
00325.png,35,37
00327.png,38,35
00332.png,3,13
00336.png,7,8
00337.png,34,35
00339.png,22,25
00341.png,29,13
00343.png,2,1
00345.png,38,40
00349.png,28,18
00354.png,12,13
00355.png,40,38
00357.png,3,8
00361.png,38,13
00363.png,39,38
00365.png,11,30
00367.png,38,17
00368.png,19,18
00371.png,18,13
00376.png,41,42
00378.png,1,5
00380.png,19,18
00383.png,4,10
00385.png,25,17
00391.png,33,12
00393.png,2,15
00394.png,1,13
00395.png,5,8
00396.png,4,13
00397.png,38,35
00401.png,36,35
00402.png,10,15
00404.png,38,33
00405.png,36,12
00408.png,5,4
00409.png,2,1
00410.png,25,18
00418.png,9,8
00419.png,2,17
00421.png,4,13
00423.png,9,17
00427.png,20,22
00429.png,34,33
00430.png,11,13
00433.png,34,33
00439.png,3,18
00443.png,30,18
00447.png,38,13
00449.png,8,13
00450.png,9,18
00452.png,2,24
00459.png,6,42
00468.png,14,17
00469.png,7,14
00477.png,36,1
00478.png,24,18
00481.png,2,3
00483.png,6,18
00484.png,2,23
00492.png,4,18
00493.png,3,18
00496.png,30,13
00498.png,31,18
00501.png,30,13
00502.png,9,10
00503.png,7,18
00504.png,23,21
00510.png,8,7
00512.png,25,11
00513.png,22,25
00514.png,38,33
00517.png,1,13
00521.png,26,18
00527.png,5,10
00529.png,4,13
00534.png,12,13
00535.png,31,18
00537.png,6,42
00540.png,8,18
00542.png,5,10
00545.png,1,12
00550.png,4,2
00555.png,4,8
00556.png,13,17
00562.png,10,15
00565.png,23,13
00570.png,3,13
00575.png,33,42
00576.png,3,5
00577.png,2,14
00579.png,0,8
00582.png,7,3
00583.png,1,24
00586.png,2,1
00589.png,5,1
00592.png,16,17
00597.png,29,18
00603.png,19,13
00604.png,3,5
00608.png,28,13
00609.png,9,5
00611.png,41,42
00616.png,25,13
00619.png,38,35
00620.png,30,25
00623.png,12,25
00630.png,5,7
00632.png,25,13
00633.png,8,15
00635.png,7,14
00636.png,16,10
00637.png,29,25
00638.png,17,13
00639.png,9,10
00644.png,2,20
00645.png,13,29
00648.png,1,13
00649.png,2,13
00651.png,17,13
00653.png,5,10
00661.png,13,12
00672.png,36,35
00678.png,29,13
00687.png,25,24
00689.png,34,35
00691.png,4,13
00694.png,29,28
00696.png,5,13
00698.png,1,24
00702.png,39,35
00704.png,7,13
00705.png,16,13
00712.png,11,28
00714.png,4,13
00716.png,2,1
00717.png,36,37
00722.png,5,13
00724.png,38,13
00727.png,11,23
00738.png,4,8
00739.png,1,5
00740.png,3,8
00741.png,1,5
00745.png,17,18
00749.png,30,29
00750.png,10,13
00753.png,28,18
00754.png,22,18
00758.png,3,17
00759.png,23,17
00763.png,3,17
00769.png,9,42
00775.png,4,18
00776.png,15,13
00780.png,2,4
00781.png,39,35
00786.png,2,13
00788.png,2,5
00789.png,38,35
00790.png,2,14
00794.png,1,2
00795.png,42,4
00803.png,5,3
00804.png,12,13
00805.png,2,17
00809.png,0,2
00810.png,26,18
00815.png,1,12
00820.png,4,12
00824.png,25,11
00829.png,27,13
00830.png,37,36
00837.png,9,13
00839.png,11,13
00845.png,4,3
00846.png,1,14
00847.png,38,12
00849.png,23,18
00851.png,2,15
00858.png,3,5
00859.png,11,30
00862.png,9,17
00865.png,33,34
00867.png,9,10
00869.png,16,10
00870.png,42,11
00878.png,3,5
00879.png,23,13
00883.png,30,13
00886.png,33,12
00894.png,35,11
00896.png,15,13
00897.png,31,18
00898.png,33,38
00899.png,42,28
00901.png,24,18
00904.png,27,13
00908.png,38,12
00910.png,1,2
00914.png,18,13
00918.png,35,12
00921.png,25,30
00923.png,1,13
00926.png,9,15
00931.png,5,8
00933.png,38,12
00935.png,11,13
00936.png,31,11
00937.png,2,3
00941.png,29,13
00942.png,38,35
00943.png,0,29
00944.png,38,35
00947.png,1,14
00948.png,34,33
00951.png,31,13
00954.png,31,17
00957.png,36,35
00960.png,27,26
00966.png,32,13
00971.png,7,10
00979.png,2,17
00981.png,7,14
00982.png,1,12
00984.png,31,13
00986.png,5,10
00991.png,23,28
00997.png,38,12
01001.png,1,17
01002.png,12,13
01006.png,38,35
01007.png,3,24
01008.png,12,13
01010.png,8,10
01012.png,2,5
01019.png,5,24
01020.png,14,17
01021.png,1,17
01022.png,11,30
01023.png,35,12
01026.png,11,13
01031.png,8,7
01033.png,41,42
01036.png,8,13
01043.png,7,3
01044.png,12,13
01045.png,31,13
01046.png,2,1
01050.png,4,1
01051.png,18,13
01053.png,34,35
01058.png,15,17
01060.png,5,3
01065.png,7,3
01066.png,31,13
01069.png,41,42
01071.png,2,14
01073.png,39,38
01077.png,7,13
01078.png,11,13
01080.png,2,1
01081.png,2,3
01083.png,10,18
01088.png,5,2
01090.png,16,42
01095.png,37,36
01096.png,30,18
01097.png,9,10
01098.png,18,17
01101.png,20,19
01104.png,23,20
01107.png,9,17
01108.png,38,35
01115.png,33,37
01119.png,32,13
01125.png,7,13
01133.png,4,3
01134.png,4,3
01135.png,5,3
01137.png,18,13
01140.png,8,13
01141.png,33,38
01142.png,3,14
01146.png,9,15
01148.png,5,14
01150.png,32,13
01151.png,3,25
01153.png,1,14
01156.png,4,2
01158.png,9,17
01161.png,4,13
01165.png,6,17
01166.png,26,18
01167.png,38,35
01169.png,20,19
01171.png,41,12
01172.png,38,33
01174.png,38,35
01177.png,18,26
01179.png,9,30
01180.png,26,17
01181.png,17,13
01182.png,31,18
01183.png,24,18
01185.png,12,13
01187.png,5,1
01191.png,2,4
01192.png,2,12
01199.png,14,12
01200.png,5,1
01201.png,5,13
01204.png,3,17
01205.png,29,18
01212.png,39,38
01213.png,12,13
01217.png,9,10
01218.png,9,10
01222.png,29,18
01232.png,4,7
01233.png,4,25
01234.png,3,13
01235.png,34,33
01236.png,23,11
01241.png,22,13
01242.png,37,36
01245.png,28,25
01248.png,3,2
01252.png,8,14
01253.png,17,13
01254.png,37,36
01256.png,31,21
01257.png,11,13
01258.png,9,10
01259.png,5,7
01262.png,9,17
01263.png,5,1
01271.png,12,38
01275.png,8,10
01278.png,5,14
01283.png,36,35
01284.png,11,18
01289.png,34,37
01291.png,38,13
01294.png,7,18
01298.png,28,18
01300.png,38,35
01306.png,4,3
01307.png,19,20
01308.png,23,25
01311.png,8,10
01312.png,8,4
01313.png,10,17
01315.png,35,36
01327.png,26,14
01331.png,4,17
01332.png,4,13
01335.png,2,13
01337.png,1,42
01338.png,42,13
01345.png,8,5
01348.png,7,14
01350.png,5,1
01352.png,25,18
01353.png,8,24
01354.png,2,14
01356.png,28,11
01360.png,26,18
01361.png,3,5
01363.png,11,30
01369.png,2,8
01370.png,33,35
01371.png,25,1
01372.png,2,1
01373.png,41,42
01374.png,16,13
01376.png,8,10
01378.png,34,35
01380.png,9,15
01384.png,7,10
01385.png,4,5
01392.png,25,11
01393.png,5,3
01394.png,2,15
01399.png,12,13
01400.png,33,35
01402.png,30,14
01403.png,2,1
01409.png,1,3
01410.png,15,13
01414.png,38,35
01416.png,3,5
01418.png,4,15
01421.png,10,1
01427.png,4,3
01429.png,7,13
01431.png,27,25
01433.png,8,7
01434.png,23,11
01436.png,11,18
01437.png,38,35
01444.png,11,18
01445.png,31,18
01447.png,1,2
01449.png,12,13
01452.png,5,3
01453.png,4,1
01455.png,18,13
01464.png,31,11
01465.png,26,17
01466.png,8,10
01475.png,18,25
01477.png,35,15
01479.png,31,13
01480.png,25,18
01483.png,2,1
01484.png,8,7
01485.png,12,13
01489.png,12,13
01491.png,2,5
01492.png,5,9
01493.png,5,3
01494.png,7,8
01496.png,38,13
01499.png,8,17
01501.png,8,13
01502.png,8,13
01509.png,17,13
01512.png,18,17
01514.png,30,26
01517.png,42,41
01519.png,0,2
01520.png,8,14
01521.png,8,7
01524.png,30,18
01531.png,1,3
01534.png,5,2
01536.png,38,35
01539.png,25,13
01545.png,38,35
01546.png,2,12
01549.png,25,17
01551.png,10,16
01558.png,2,13
01562.png,38,35
01564.png,22,18
01566.png,25,12
01567.png,10,13
01570.png,17,13
01571.png,1,2
01572.png,20,21
01573.png,3,5
01574.png,9,15
01575.png,38,12
01585.png,7,10
01597.png,26,13
01599.png,4,10
01608.png,8,7
01611.png,23,11
01612.png,42,13
01614.png,12,17
01616.png,9,10
01617.png,32,17
01618.png,12,17
01628.png,21,25
01635.png,5,1
01636.png,10,13
01638.png,23,13
01639.png,9,15
01640.png,33,34
01642.png,35,38
