Name,Orig_Label,Pred_Label,Pred_Blurred_5_Label,Pred_Blurred_10_Label,Pred_Blurred_15_Label,Pred_Blurred_20_Label,Pred_Dark_1_Label,Pred_Dark_2_Label,Pred_Dark_3_Label,Pred_Bright_1_Label,Pred_Bright_2_Label,Pred_Bright_3_Label,Pred_Bright_4_Label,Pred_Bright_5_Label,Pred_Bright_6_Label,Pred_Bright_7_Label,Pred_Occl_5_Label,Pred_Occl_10_Label,Pred_Occl_15_Label,Pred_Occl_20_Label,Pred_Occl_25_Label
00000.png,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
00001.png,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,14
00002.png,38,38,38,38,38,38,38,38,38,38,38,38,33,38,38,38,38,38,38,38,35
00003.png,33,33,34,34,34,38,38,33,33,33,34,33,12,40,13,13,34,38,33,38,38
00004.png,11,11,11,11,11,28,11,11,11,11,11,25,11,11,20,11,18,18,11,42,11
00005.png,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,37
00006.png,18,18,18,25,18,18,18,18,18,18,25,18,18,18,18,18,18,18,18,18,18
00007.png,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
00008.png,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,11,25,11
00009.png,35,35,35,35,35,35,35,35,35,35,35,35,35,35,36,38,35,38,35,35,39
00010.png,12,12,12,12,12,14,12,12,42,12,12,12,12,12,12,12,12,12,12,12,12
00011.png,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,7,7
00012.png,23,23,23,10,20,23,23,23,25,23,23,23,23,23,25,23,23,23,13,18,23
00013.png,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
00014.png,4,4,4,0,2,2,4,8,8,4,4,4,4,2,4,2,8,8,2,1,0
