Name,Orig_Label,Pred_Label
00003.png,33,36
00008.png,25,28
00009.png,35,36
00012.png,23,31
00017.png,20,19
00033.png,23,26
00039.png,8,5
00046.png,3,2
00050.png,25,20
00072.png,30,11
00092.png,2,1
00102.png,5,8
00114.png,30,13
00127.png,30,20
00145.png,25,20
00157.png,9,10
00159.png,4,1
00163.png,25,26
00172.png,26,18
00201.png,9,10
00203.png,1,6
00213.png,5,2
00221.png,4,3
00229.png,36,33
00232.png,33,34
00235.png,19,20
00237.png,30,11
00244.png,10,20
00247.png,8,10
00252.png,0,8
00269.png,18,26
00273.png,9,10
00281.png,35,38
00286.png,33,34
00304.png,4,2
00307.png,1,7
00310.png,19,20
00313.png,38,33
00324.png,31,25
00327.png,38,39
00335.png,6,42
00339.png,22,25
00347.png,7,8
00351.png,2,3
00355.png,40,34
00363.png,39,38
00368.png,19,20
00380.png,19,18
00389.png,9,10
00393.png,2,3
00394.png,1,4
00404.png,38,37
00408.png,5,2
00422.png,19,20
00423.png,9,10
00427.png,20,31
00449.png,8,10
00453.png,40,33
00488.png,9,10
00492.png,4,9
00496.png,30,20
00497.png,9,10
00499.png,40,34
00501.png,30,29
00504.png,23,22
00513.png,22,25
00517.png,1,5
00518.png,8,7
00527.png,5,3
00528.png,18,31
00534.png,12,38
00536.png,38,17
00538.png,10,3
00540.png,8,7
00550.png,4,2
00552.png,9,17
00557.png,8,2
00589.png,5,3
00597.png,29,11
00600.png,2,1
00603.png,19,20
00604.png,3,5
00619.png,38,36
00633.png,8,5
00660.png,5,3
00663.png,7,8
00672.png,36,37
00678.png,29,11
00682.png,35,34
00692.png,4,1
00696.png,5,3
00698.png,1,3
00712.png,11,13
00717.png,36,37
00727.png,11,27
00730.png,25,24
00733.png,38,40
00741.png,1,2
00749.png,30,29
00750.png,10,5
00754.png,22,11
00758.png,3,2
00779.png,33,34
00780.png,2,4
00781.png,39,38
00791.png,5,3
00805.png,2,1
00807.png,0,4
00809.png,0,1
00810.png,26,11
00820.png,4,1
00821.png,14,11
00825.png,4,10
00830.png,37,36
00834.png,28,25
00858.png,3,2
00859.png,11,30
00867.png,9,10
00877.png,5,2
00878.png,3,2
00883.png,30,13
00892.png,33,34
00899.png,42,12
00908.png,38,12
00914.png,18,13
00922.png,4,2
00924.png,19,20
00943.png,0,8
00944.png,38,39
00945.png,10,5
00958.png,7,3
00959.png,20,19
00960.png,27,21
00990.png,0,1
01021.png,1,17
01022.png,11,30
01038.png,35,36
01051.png,18,31
01063.png,13,34
01065.png,7,5
01069.png,41,42
01073.png,39,38
01087.png,4,8
01088.png,5,2
01095.png,37,36
01101.png,20,31
01104.png,23,31
01107.png,9,10
