Name,Orig_Label,Pred_Label
00002.png,38,39
00003.png,33,1
00008.png,25,11
00016.png,21,28
00018.png,27,31
00019.png,38,14
00032.png,34,33
00035.png,17,9
00039.png,8,5
00050.png,25,38
00055.png,35,41
00066.png,26,11
00068.png,5,9
00074.png,5,1
00076.png,1,4
00099.png,33,35
00108.png,33,17
00110.png,1,2
00112.png,16,3
00114.png,30,11
00117.png,29,31
00119.png,17,5
00122.png,1,14
00124.png,2,7
00127.png,30,25
00145.png,25,20
00148.png,11,13
00151.png,24,18
00167.png,14,12
00175.png,1,2
00184.png,20,19
00187.png,1,2
00191.png,29,28
00196.png,8,4
00198.png,18,21
00199.png,28,12
00203.png,1,2
00213.png,5,2
00217.png,5,2
00222.png,5,29
00225.png,12,4
00232.png,33,15
00235.png,19,20
00242.png,20,19
00243.png,0,8
00250.png,20,19
00254.png,34,38
00256.png,35,17
00263.png,25,27
00266.png,5,2
00267.png,25,11
00276.png,34,35
00277.png,39,38
00280.png,9,16
00286.png,33,34
00291.png,31,28
00294.png,5,3
00304.png,4,2
00305.png,3,10
00309.png,38,1
00310.png,19,20
00318.png,17,15
00328.png,8,3
00337.png,34,33
00339.png,22,21
00341.png,29,18
00345.png,38,39
00358.png,38,39
00363.png,39,38
00364.png,3,5
00368.png,19,18
00370.png,10,16
00379.png,18,25
00380.png,19,20
00382.png,38,40
00386.png,34,33
00389.png,9,10
00394.png,1,5
00401.png,36,33
00403.png,0,16
00405.png,36,38
00408.png,5,15
00409.png,2,4
00421.png,4,0
00422.png,19,22
00427.png,20,22
00428.png,38,40
00432.png,34,35
00443.png,30,31
00448.png,38,33
00452.png,2,14
00453.png,40,33
00454.png,1,7
00455.png,38,12
00458.png,39,38
00459.png,6,4
00461.png,25,12
00463.png,17,9
00465.png,38,39
00471.png,35,38
00476.png,35,12
00482.png,35,17
00490.png,17,5
00491.png,26,11
00492.png,4,2
00496.png,30,11
00498.png,31,11
00501.png,30,13
00506.png,32,13
00513.png,22,25
00517.png,1,4
00527.png,5,4
00536.png,38,36
00539.png,35,33
00544.png,4,3
00550.png,4,2
00558.png,13,26
00565.png,23,31
00570.png,3,5
00599.png,26,11
00600.png,2,1
00603.png,19,20
00604.png,3,2
00606.png,7,3
00613.png,29,28
00619.png,38,40
00622.png,1,2
00630.png,5,1
00632.png,25,28
00637.png,29,28
00641.png,8,13
00642.png,17,5
00644.png,2,5
00651.png,17,14
00653.png,5,2
00654.png,12,32
00670.png,15,18
00672.png,36,37
00675.png,0,2
00678.png,29,22
00681.png,14,12
00688.png,17,9
00689.png,34,33
00702.png,39,38
00713.png,39,38
00714.png,4,2
00717.png,36,38
00731.png,2,5
00735.png,38,40
00736.png,39,38
00738.png,4,7
00749.png,30,25
00763.png,3,2
00766.png,1,2
00767.png,5,1
00777.png,15,9
00779.png,33,34
00781.png,39,38
00791.png,5,2
00794.png,1,2
00826.png,15,14
00829.png,27,28
00830.png,37,36
00834.png,28,25
00849.png,23,20
00859.png,11,30
00865.png,33,34
00867.png,9,10
00868.png,25,11
00870.png,42,41
00878.png,3,2
00883.png,30,31
00886.png,33,38
00892.png,33,38
00895.png,5,1
00896.png,15,9
00898.png,33,34
00899.png,42,41
00904.png,27,25
00908.png,38,36
00910.png,1,15
00912.png,23,22
00914.png,18,11
00921.png,25,31
00924.png,19,20
00933.png,38,39
00934.png,1,2
00940.png,35,41
00941.png,29,28
00942.png,38,35
00948.png,34,33
00957.png,36,38
00959.png,20,19
00960.png,27,21
00978.png,39,38
00984.png,31,2
00989.png,39,38
00990.png,0,8
00993.png,38,39
00995.png,38,5
01024.png,38,12
01034.png,10,9
01038.png,35,36
01053.png,34,33
01073.png,39,38
01087.png,4,3
01088.png,5,2
01095.png,37,36
01100.png,35,5
01101.png,20,11
01104.png,23,31
01105.png,5,9
01112.png,11,17
01114.png,12,13
01115.png,33,40
01118.png,3,1
01121.png,41,9
01136.png,17,12
01137.png,18,12
01140.png,8,12
01141.png,33,38
01150.png,32,41
01151.png,3,38
01153.png,1,0
01158.png,9,10
01159.png,1,2
01168.png,2,4
01169.png,20,19
01171.png,41,9
01172.png,38,12
01173.png,34,33
01174.png,38,18
01175.png,39,38
01177.png,18,11
01180.png,26,18
01186.png,22,19
01200.png,5,2
01201.png,5,2
01212.png,39,38
01222.png,29,31
01231.png,5,1
01234.png,3,5
01237.png,4,2
01240.png,12,17
01242.png,37,36
01252.png,8,2
01254.png,37,36
01263.png,5,2
01270.png,2,17
01275.png,8,5
01276.png,18,28
01278.png,5,1
01287.png,10,9
01288.png,8,2
01289.png,34,35
01301.png,18,31
