Name,Orig_Label,Pred_Label
00006.png,18,13
00012.png,23,31
00014.png,4,3
00015.png,9,10
00021.png,33,34
00039.png,8,5
00050.png,25,20
00068.png,5,4
00072.png,30,11
00082.png,25,26
00104.png,33,34
00110.png,1,2
00112.png,16,10
00114.png,30,31
00116.png,27,25
00117.png,29,28
00127.png,30,11
00131.png,3,7
00132.png,14,18
00137.png,40,34
00140.png,41,32
00141.png,4,5
00151.png,24,4
00163.png,25,11
00171.png,38,42
00182.png,36,35
00184.png,20,19
00187.png,1,2
00198.png,18,11
00235.png,19,31
00237.png,30,20
00247.png,8,5
00264.png,1,2
00266.png,5,7
00270.png,18,31
00272.png,34,33
00277.png,39,40
00281.png,35,33
00287.png,30,20
00309.png,38,1
00314.png,1,2
00320.png,8,4
00329.png,2,1
00332.png,3,5
00339.png,22,23
00355.png,40,34
00358.png,38,39
00361.png,38,36
00363.png,39,13
00380.png,19,20
00393.png,2,3
00405.png,36,35
00408.png,5,3
00421.png,4,9
00422.png,19,28
00429.png,34,33
00443.png,30,29
00444.png,25,26
00454.png,1,2
00483.png,6,32
00491.png,26,17
00492.png,4,14
00496.png,30,11
00499.png,40,34
00501.png,30,28
00506.png,32,41
00508.png,1,5
00513.png,22,25
00514.png,38,39
00520.png,18,12
00532.png,23,30
00546.png,1,4
00550.png,4,0
00565.png,23,31
00573.png,6,42
00589.png,5,3
00599.png,26,30
00600.png,2,1
00603.png,19,20
00637.png,29,28
00647.png,7,8
00649.png,2,3
00660.png,5,42
00672.png,36,37
00675.png,0,1
00682.png,35,34
00710.png,2,5
00713.png,39,38
00727.png,11,25
00736.png,39,40
00746.png,4,1
00749.png,30,29
00760.png,3,5
00763.png,3,1
00781.png,39,38
00794.png,1,2
00798.png,4,2
00809.png,0,2
00814.png,17,13
00815.png,1,2
00821.png,14,10
00829.png,27,28
00830.png,37,36
00845.png,4,9
00849.png,23,11
00858.png,3,2
00859.png,11,30
00863.png,2,4
00866.png,3,5
00883.png,30,31
00886.png,33,35
00899.png,42,41
00908.png,38,13
00935.png,11,12
00943.png,0,1
00959.png,20,19
00961.png,15,9
00965.png,5,7
00979.png,2,5
00988.png,7,13
00990.png,0,1
00993.png,38,39
00995.png,38,7
01022.png,11,30
01069.png,41,42
01073.png,39,8
01079.png,21,12
01084.png,2,3
01086.png,18,13
01088.png,5,2
01091.png,33,34
01095.png,37,33
01101.png,20,19
01104.png,23,31
01108.png,38,33
01133.png,4,8
01137.png,18,31
01150.png,32,41
01167.png,38,33
01169.png,20,19
01177.png,18,26
01183.png,24,18
01206.png,40,34
01209.png,11,30
01210.png,18,21
01212.png,39,38
01231.png,5,2
01235.png,34,33
01241.png,22,20
01242.png,37,36
01248.png,3,2
01251.png,1,5
01252.png,8,10
01275.png,8,3
01279.png,0,1
01291.png,38,33
01303.png,1,2
01312.png,8,3
01314.png,34,35
01317.png,25,18
01323.png,5,3
01359.png,2,4
01363.png,11,25
01364.png,8,5
01370.png,33,34
01371.png,25,31
01372.png,2,1
01381.png,9,10
01385.png,4,31
01395.png,42,13
01402.png,30,20
01404.png,38,39
01409.png,1,2
01427.png,4,3
01431.png,27,28
01435.png,18,13
01449.png,12,40
01456.png,38,13
01469.png,20,3
01471.png,2,3
01476.png,2,1
01477.png,35,15
01478.png,4,3
01495.png,34,36
01496.png,38,12
01504.png,7,8
01519.png,0,4
01529.png,38,39
01535.png,3,5
01537.png,39,38
01539.png,25,30
01548.png,25,22
01553.png,3,2
01558.png,2,15
01567.png,10,9
01574.png,9,7
01606.png,18,20
01612.png,42,41
01618.png,12,13
01620.png,7,8
01636.png,10,16
01639.png,9,8
01640.png,33,34
01643.png,19,18
01646.png,34,35
01662.png,17,8
01675.png,22,11
01682.png,17,14
01688.png,1,3
01694.png,5,2
01698.png,38,40
01709.png,30,29
01711.png,1,3
01713.png,30,29
01716.png,9,5
01719.png,10,16
01724.png,12,11
01727.png,40,34
01728.png,31,18
01734.png,2,1
01746.png,39,38
01751.png,20,19
01760.png,20,11
01761.png,37,36
01765.png,34,33
01772.png,39,38
01781.png,38,42
01788.png,1,3
01790.png,40,34
01799.png,9,10
01804.png,11,26
01817.png,18,27
01819.png,6,42
01820.png,5,8
01841.png,33,34
01853.png,0,3
01873.png,12,6
01889.png,39,38
01903.png,2,3
01904.png,36,33
01908.png,38,34
01925.png,11,20
01932.png,1,2
01939.png,5,2
01942.png,1,3
01947.png,18,21
01961.png,20,19
01969.png,40,38
01976.png,30,31
01983.png,7,5
01993.png,11,25
01999.png,3,2
02000.png,34,33
02002.png,8,5
02010.png,36,37
02020.png,3,5
02024.png,1,2
02025.png,4,11
02032.png,38,13
02038.png,25,27
02051.png,1,2
02057.png,36,33
02065.png,18,26
02069.png,18,26
02078.png,38,40
02084.png,10,6
02091.png,28,30
02095.png,37,36
02099.png,1,3
02108.png,36,37
02118.png,9,10
02124.png,11,30
02130.png,16,10
02138.png,36,37
02167.png,16,10
02219.png,28,8
02220.png,8,7
02235.png,8,3
02248.png,38,13
02249.png,7,10
02274.png,20,19
02281.png,5,3
02283.png,9,8
02292.png,10,3
02294.png,33,34
02299.png,36,37
02305.png,1,7
02306.png,4,8
02327.png,2,4
02337.png,38,39
02339.png,16,10
02342.png,18,21
02348.png,4,1
02353.png,4,8
02372.png,1,3
02373.png,25,11
02376.png,4,9
02378.png,25,20
02402.png,8,3
02407.png,23,25
02425.png,18,13
02428.png,5,3
02434.png,5,2
02455.png,9,3
02457.png,2,3
02462.png,10,5
02467.png,9,10
02474.png,16,9
02479.png,31,13
02494.png,2,1
02503.png,39,38
02514.png,2,1
02532.png,10,5
02555.png,18,13
02568.png,25,18
02570.png,26,13
02577.png,4,1
02578.png,22,11
02582.png,34,35
02584.png,19,20
02589.png,26,11
02594.png,2,10
02597.png,25,13
02601.png,38,11
02608.png,33,34
02617.png,5,3
02635.png,5,3
02637.png,5,2
02638.png,28,32
02643.png,34,35
02648.png,11,17
02650.png,37,36
02660.png,30,28
02684.png,33,34
02690.png,35,33
02700.png,5,2
02702.png,37,36
02704.png,38,39
02706.png,33,34
02723.png,9,10
02725.png,35,15
02741.png,2,8
02751.png,24,18
02752.png,0,8
02753.png,5,8
02758.png,5,1
02759.png,36,33
02786.png,13,20
02791.png,38,39
02799.png,8,5
02803.png,5,7
02810.png,19,20
02812.png,7,3
02814.png,39,38
02819.png,38,39
02824.png,38,39
02826.png,2,5
02834.png,42,41
02842.png,11,32
02845.png,8,16
02849.png,1,3
02857.png,18,31
02859.png,34,33
02864.png,30,11
02877.png,16,10
02880.png,39,38
02887.png,4,13
02891.png,39,38
02906.png,37,36
02912.png,26,13
02918.png,23,20
02931.png,1,5
02946.png,5,1
02949.png,17,9
02959.png,4,2
02978.png,36,33
02995.png,20,19
03004.png,11,30
03006.png,34,33
03011.png,9,10
03018.png,25,27
03019.png,38,40
03025.png,30,23
03027.png,8,7
03037.png,1,7
03043.png,30,29
03052.png,25,11
03073.png,10,42
03086.png,8,5
03088.png,38,39
03109.png,39,38
03114.png,23,31
03117.png,36,35
03119.png,38,33
03123.png,4,8
03138.png,7,10
03147.png,1,8
03152.png,2,5
03156.png,3,10
03159.png,5,3
03162.png,33,34
03169.png,4,1
03172.png,18,20
03173.png,38,11
03178.png,34,33
03198.png,1,5
03245.png,9,10
03250.png,27,25
03258.png,36,37
03278.png,18,20
03298.png,18,21
03328.png,9,10
03337.png,20,11
03341.png,39,38
03348.png,5,3
03351.png,1,3
03353.png,37,36
03363.png,29,28
03373.png,23,30
03389.png,5,1
03393.png,9,10
03398.png,7,8
03399.png,5,2
03405.png,19,20
03408.png,1,7
03410.png,28,13
03415.png,1,5
03418.png,36,35
03419.png,2,5
03433.png,11,31
03434.png,5,3
03435.png,2,11
03439.png,1,5
03453.png,8,7
03454.png,40,33
03457.png,22,25
03486.png,15,9
03492.png,18,31
03497.png,9,16
03525.png,5,1
03560.png,17,14
03564.png,27,28
03577.png,8,5
03581.png,35,38
03592.png,35,36
03594.png,14,10
03596.png,38,33
03605.png,37,38
03614.png,35,33
03616.png,37,36
03630.png,35,33
03636.png,7,13
03644.png,17,41
03660.png,8,5
03667.png,14,12
03672.png,33,34
03678.png,10,8
03688.png,4,2
03694.png,2,1
03695.png,41,42
03700.png,35,33
03704.png,40,5
03710.png,17,14
03713.png,11,30
03734.png,38,13
03739.png,18,31
03745.png,30,29
03747.png,12,5
03752.png,28,25
03753.png,29,25
03772.png,1,5
03776.png,0,1
03777.png,11,30
03779.png,0,3
03799.png,30,20
03804.png,20,19
03810.png,1,4
03815.png,35,38
03819.png,4,1
03831.png,1,5
03835.png,20,28
03838.png,2,3
03841.png,11,13
03844.png,13,31
03852.png,9,10
03873.png,27,31
03880.png,28,25
03894.png,25,20
03896.png,22,20
03912.png,28,31
03930.png,8,5
03934.png,9,10
03960.png,18,21
03970.png,8,10
03979.png,35,36
03981.png,18,13
03984.png,1,8
03992.png,9,5
03994.png,35,36
03998.png,4,3
04000.png,25,13
04001.png,34,35
04004.png,8,3
04033.png,5,3
04040.png,34,33
04055.png,22,25
04056.png,10,9
04057.png,28,25
04066.png,38,39
04067.png,2,3
04068.png,36,33
04072.png,8,5
04091.png,12,32
04096.png,8,7
04109.png,1,2
04116.png,5,8
04117.png,36,33
04122.png,20,31
04130.png,39,13
04132.png,33,34
04133.png,30,11
04156.png,25,11
04160.png,11,13
04164.png,5,1
04173.png,2,1
04181.png,8,7
04205.png,2,1
04208.png,31,10
04211.png,17,14
04233.png,1,3
04238.png,13,20
04241.png,18,20
04245.png,5,1
04252.png,18,26
04260.png,11,42
04283.png,4,8
04306.png,15,18
04307.png,9,10
04312.png,20,19
04316.png,42,41
04323.png,8,7
04325.png,4,8
04334.png,8,4
04360.png,36,37
04370.png,5,8
04373.png,8,4
04376.png,5,4
04383.png,30,31
04389.png,4,31
04400.png,21,26
04414.png,19,20
04415.png,11,13
04422.png,5,3
04429.png,20,28
04443.png,21,22
04456.png,27,28
04457.png,3,2
04466.png,14,17
04476.png,2,3
04479.png,21,31
04482.png,9,10
04490.png,36,37
04492.png,38,40
04494.png,34,33
04501.png,25,31
04502.png,28,31
04503.png,3,10
04506.png,2,5
04509.png,30,29
04511.png,30,25
04512.png,0,8
04532.png,10,42
04534.png,8,7
04535.png,18,25
04538.png,5,17
04545.png,16,10
04555.png,36,37
04560.png,5,2
04561.png,3,2
04562.png,27,28
04569.png,25,27
04580.png,5,10
04585.png,27,28
04587.png,24,18
04588.png,3,5
04597.png,3,4
04601.png,4,18
04612.png,37,38
04613.png,37,36
04617.png,21,18
04642.png,28,31
04645.png,39,38
04658.png,37,35
04666.png,33,34
04674.png,9,10
04679.png,7,6
04708.png,38,20
04715.png,16,20
04723.png,4,8
04728.png,5,8
04732.png,19,20
04754.png,19,20
04762.png,20,22
04775.png,36,37
04778.png,38,40
04783.png,25,27
04793.png,39,35
04795.png,0,4
04803.png,4,42
04814.png,5,3
04820.png,11,27
04824.png,4,10
04831.png,7,9
04832.png,8,4
04833.png,30,29
04834.png,7,8
04853.png,12,38
04862.png,4,3
04874.png,1,2
04876.png,15,9
04878.png,33,35
04887.png,11,30
04892.png,18,11
04897.png,4,10
04917.png,9,7
04920.png,1,2
04933.png,39,38
04935.png,5,2
04940.png,9,10
04945.png,19,18
04953.png,30,20
04955.png,9,3
04959.png,2,1
04976.png,4,8
04978.png,23,31
04980.png,40,33
04983.png,12,32
04985.png,30,29
04993.png,3,10
04997.png,4,9
05006.png,1,5
05008.png,35,33
05020.png,28,18
05026.png,18,31
05038.png,2,5
05058.png,9,10
05068.png,19,20
05070.png,10,20
05071.png,11,23
05073.png,13,12
05075.png,15,9
05091.png,2,5
05093.png,23,25
05095.png,22,28
05097.png,2,8
05109.png,25,27
05110.png,38,32
05118.png,4,6
05121.png,1,5
05125.png,39,35
05127.png,40,34
05132.png,39,38
05134.png,22,25
05144.png,38,12
05157.png,5,8
05161.png,5,1
05172.png,23,11
05180.png,18,21
05189.png,20,19
05212.png,25,8
05215.png,1,2
05216.png,9,10
05230.png,9,10
05246.png,20,31
05247.png,5,7
05259.png,38,33
05263.png,2,5
05280.png,30,29
05289.png,23,31
05290.png,18,26
05292.png,34,33
05293.png,20,19
05299.png,36,37
05303.png,7,5
05304.png,17,31
05313.png,30,29
05332.png,25,31
05333.png,1,0
05338.png,31,20
05348.png,4,3
05353.png,4,29
05354.png,33,34
05363.png,30,31
05369.png,40,34
05374.png,9,10
05381.png,20,19
05386.png,35,37
05392.png,2,5
05403.png,26,31
05420.png,37,36
05428.png,5,1
05434.png,4,1
05437.png,10,5
05455.png,26,18
05459.png,28,31
05464.png,23,12
05466.png,36,37
05470.png,22,18
05473.png,2,1
05475.png,4,1
05478.png,21,11
05490.png,40,34
05499.png,33,34
05503.png,26,18
05507.png,25,20
05510.png,38,11
05519.png,28,25
05528.png,37,36
05536.png,2,3
05537.png,1,5
05540.png,29,22
05542.png,5,8
05543.png,14,17
05555.png,39,38
05573.png,7,8
05574.png,18,31
05579.png,2,0
05593.png,36,37
05622.png,8,7
05628.png,37,36
05646.png,8,5
05658.png,37,36
05675.png,8,5
05712.png,20,18
05736.png,23,30
05761.png,5,2
05769.png,33,36
05771.png,37,36
05776.png,7,42
05779.png,30,29
05786.png,42,18
05791.png,37,36
05797.png,24,25
05801.png,33,34
05806.png,30,31
05816.png,31,6
05819.png,37,36
05837.png,2,8
05847.png,2,3
05853.png,2,1
05875.png,35,33
05883.png,28,25
05886.png,35,33
05888.png,5,3
05889.png,38,32
05890.png,5,3
05891.png,7,8
05895.png,27,11
05900.png,16,17
05902.png,1,2
05907.png,38,33
05911.png,10,42
05915.png,18,21
05945.png,0,1
05946.png,2,4
05950.png,29,28
05981.png,39,38
05993.png,1,5
06000.png,1,3
06006.png,2,3
06010.png,36,37
06053.png,25,20
06057.png,35,34
06062.png,40,33
06068.png,36,33
06077.png,33,34
06087.png,25,26
06088.png,5,10
06089.png,10,38
06098.png,23,31
06106.png,5,8
06111.png,41,42
06116.png,0,8
06126.png,2,3
06129.png,38,13
06132.png,15,10
06133.png,17,2
06143.png,11,30
06146.png,30,15
06149.png,18,21
06177.png,3,5
06178.png,4,3
06190.png,21,13
06221.png,5,3
06222.png,4,1
06223.png,29,18
06233.png,38,32
06244.png,23,31
06246.png,2,9
06253.png,4,2
06258.png,26,18
06261.png,41,32
06267.png,40,33
06284.png,10,2
06286.png,1,4
06291.png,8,5
06298.png,25,12
06304.png,38,39
06310.png,30,11
06318.png,38,33
06329.png,7,10
06336.png,34,33
06339.png,8,5
06340.png,9,15
06343.png,5,13
06360.png,36,37
06369.png,25,27
06392.png,33,35
06395.png,19,22
06408.png,4,8
06418.png,36,33
06427.png,1,2
06428.png,7,8
06433.png,2,3
06439.png,9,8
06442.png,31,25
06451.png,5,3
06454.png,1,5
06463.png,9,10
06467.png,5,1
06492.png,33,34
06496.png,23,19
06509.png,27,25
06511.png,18,11
06529.png,30,28
06530.png,22,23
06537.png,38,13
06539.png,35,36
06545.png,8,7
06550.png,18,25
06553.png,5,3
06555.png,7,3
06576.png,38,42
06580.png,8,3
06597.png,4,17
06612.png,27,11
06613.png,3,5
06614.png,5,3
06633.png,19,20
06638.png,5,1
06641.png,20,19
06644.png,23,20
06665.png,34,36
06677.png,25,31
06689.png,37,36
06696.png,37,36
06729.png,37,36
06737.png,1,5
06738.png,25,28
06741.png,2,4
06745.png,18,13
06766.png,18,21
06778.png,39,38
06787.png,24,18
06800.png,37,36
06804.png,9,10
06814.png,38,11
06823.png,2,3
06830.png,12,32
06847.png,1,3
06853.png,3,2
06854.png,0,8
06862.png,39,38
06869.png,5,2
06879.png,14,17
06901.png,22,25
06910.png,7,8
06919.png,1,4
06921.png,36,37
06925.png,5,3
06936.png,1,5
06946.png,0,4
06954.png,31,20
06958.png,39,40
06967.png,25,18
06968.png,18,12
06980.png,22,25
06989.png,1,4
07000.png,9,10
07006.png,2,3
07016.png,34,33
07033.png,5,1
07038.png,7,8
07062.png,14,10
07063.png,33,38
07075.png,38,40
07083.png,4,8
07085.png,42,16
07087.png,5,10
07090.png,30,29
07097.png,8,5
07110.png,3,8
07113.png,23,11
07131.png,9,10
07141.png,4,3
07142.png,26,13
07145.png,3,10
07148.png,33,34
07155.png,5,1
07157.png,8,5
07160.png,7,5
07164.png,18,26
07181.png,22,1
07189.png,11,26
07194.png,25,31
07200.png,33,34
07203.png,28,25
07216.png,3,1
07225.png,27,25
07241.png,9,10
07242.png,1,2
07244.png,13,8
07248.png,33,34
07252.png,22,31
07254.png,38,39
07288.png,5,16
07295.png,36,38
07302.png,11,13
07305.png,42,13
07308.png,10,5
07309.png,1,2
07328.png,4,8
07329.png,22,25
07330.png,7,8
07337.png,9,10
07341.png,33,35
07353.png,38,33
07367.png,22,13
07371.png,4,10
07402.png,25,11
07404.png,36,35
07408.png,2,3
07411.png,37,36
07421.png,8,5
07430.png,28,18
07435.png,11,31
07445.png,25,31
07461.png,30,29
07463.png,7,8
07468.png,3,2
07469.png,12,13
07471.png,38,33
07481.png,33,34
07487.png,35,36
07488.png,8,5
07497.png,18,30
07498.png,37,36
07507.png,2,5
07516.png,36,38
07524.png,25,27
07525.png,30,20
07538.png,8,10
07541.png,18,21
07553.png,27,28
07559.png,30,28
07568.png,23,31
07572.png,12,6
07575.png,42,6
07578.png,22,24
07579.png,2,1
07596.png,36,38
07599.png,38,39
07600.png,3,10
07619.png,38,39
07621.png,34,33
07623.png,1,7
07633.png,11,30
07636.png,38,42
07648.png,2,3
07660.png,38,4
07671.png,5,1
07681.png,4,8
07683.png,7,8
07695.png,40,35
07714.png,25,21
07721.png,38,35
07725.png,18,21
07739.png,28,31
07741.png,20,19
07747.png,36,38
07753.png,2,1
07755.png,7,8
07756.png,8,5
07758.png,2,5
07760.png,28,31
07763.png,39,38
07788.png,34,33
07790.png,38,42
07798.png,37,36
07806.png,38,33
07830.png,1,5
07833.png,39,38
07835.png,5,3
07848.png,40,34
07850.png,38,13
07851.png,5,2
07854.png,38,37
07859.png,38,42
07861.png,5,1
07863.png,11,18
07867.png,4,1
07873.png,34,35
07884.png,30,29
07885.png,20,19
07898.png,5,10
07907.png,30,22
07909.png,34,33
07910.png,21,20
07917.png,22,25
07918.png,35,40
07921.png,16,9
07924.png,16,8
07925.png,37,36
07926.png,5,9
07935.png,40,34
07943.png,38,39
07949.png,42,41
07955.png,37,36
07957.png,8,5
07974.png,2,3
07976.png,9,10
07977.png,30,20
07978.png,34,33
07979.png,2,9
07985.png,24,30
07987.png,19,20
07988.png,10,13
07995.png,23,31
07997.png,18,26
08001.png,5,1
08003.png,38,40
08006.png,20,19
08007.png,26,11
08013.png,21,31
08017.png,2,4
08019.png,40,38
08027.png,38,40
08045.png,36,37
08046.png,11,25
08047.png,24,18
08066.png,9,10
08068.png,22,31
08079.png,2,8
08080.png,2,10
08085.png,7,8
08126.png,30,20
08139.png,9,10
08150.png,35,40
08167.png,25,31
08168.png,37,36
08184.png,19,11
08192.png,9,10
08205.png,42,41
08210.png,19,20
08214.png,9,13
08220.png,1,3
08222.png,2,3
08236.png,28,11
08254.png,41,42
08278.png,8,5
08297.png,11,12
08305.png,35,18
08311.png,1,5
08333.png,4,3
08337.png,39,38
08343.png,25,30
08345.png,7,8
08350.png,9,10
08354.png,2,1
08365.png,23,31
08369.png,2,5
08372.png,33,34
08375.png,20,19
08376.png,18,21
08382.png,39,38
08392.png,4,2
08402.png,12,13
08422.png,27,25
08424.png,37,36
08432.png,38,33
08442.png,13,4
08444.png,34,33
08451.png,4,10
08454.png,9,10
08455.png,1,2
08470.png,1,3
08472.png,8,5
08474.png,9,10
08486.png,6,42
08494.png,2,5
08515.png,7,8
08520.png,36,33
08525.png,39,38
08531.png,4,1
08544.png,39,38
08555.png,38,33
08574.png,27,21
08583.png,7,3
08587.png,26,1
08590.png,18,13
08599.png,24,25
08624.png,30,6
08632.png,2,1
08651.png,2,5
08659.png,8,5
08660.png,19,20
08679.png,2,1
08684.png,41,42
08695.png,5,4
08703.png,33,34
08713.png,12,18
08716.png,9,10
08722.png,30,11
08727.png,41,42
08734.png,16,10
08736.png,5,20
08738.png,22,31
08747.png,33,34
08749.png,18,25
08750.png,25,31
08768.png,15,9
08777.png,38,11
08785.png,7,9
08802.png,5,2
08815.png,6,42
08818.png,30,20
08819.png,18,19
08831.png,38,39
08833.png,34,33
08834.png,4,3
08852.png,33,34
08856.png,26,30
08861.png,39,38
08869.png,39,38
08873.png,25,30
08882.png,12,13
08895.png,24,11
08915.png,7,8
08923.png,8,5
08925.png,10,13
08932.png,38,11
08937.png,2,1
08938.png,42,41
08941.png,33,35
08945.png,4,13
08946.png,5,8
08953.png,34,33
08963.png,2,1
08974.png,30,29
08976.png,4,8
08978.png,8,7
08984.png,21,11
08991.png,19,31
08998.png,25,31
09006.png,23,31
09019.png,26,31
09023.png,3,1
09029.png,5,3
09048.png,22,25
09055.png,37,36
09073.png,18,20
09075.png,1,8
09079.png,5,3
09084.png,3,1
09087.png,18,13
09088.png,10,14
09099.png,3,5
09103.png,22,31
09111.png,11,30
09117.png,0,1
09118.png,36,33
09119.png,5,2
09138.png,2,4
09139.png,3,10
09145.png,14,17
09147.png,24,26
09157.png,11,30
09162.png,1,0
09164.png,37,36
09172.png,5,1
09173.png,38,1
09179.png,10,16
09183.png,39,38
09196.png,38,33
09210.png,7,3
09213.png,23,31
09217.png,37,36
09223.png,13,17
09234.png,1,4
09235.png,4,3
09238.png,2,1
09239.png,22,25
09244.png,2,3
09253.png,18,13
09254.png,18,26
09270.png,21,22
09303.png,18,17
09307.png,31,20
09310.png,37,36
09314.png,5,8
09324.png,3,5
09329.png,34,35
09335.png,30,11
09346.png,13,4
09358.png,13,2
09364.png,33,39
09371.png,18,31
09373.png,38,39
09376.png,4,10
09383.png,18,19
09392.png,2,4
09396.png,7,8
09400.png,36,37
09409.png,25,13
09411.png,30,20
09420.png,1,3
09432.png,2,8
09433.png,31,20
09437.png,35,3
09440.png,5,3
09452.png,25,33
09483.png,4,8
09489.png,16,10
09493.png,42,6
09494.png,20,19
09509.png,27,28
09525.png,35,33
09535.png,38,32
09536.png,20,31
09543.png,32,13
09563.png,5,1
09602.png,2,1
09609.png,36,39
09611.png,20,19
09619.png,11,25
09628.png,18,13
09641.png,5,3
09653.png,35,33
09659.png,22,25
09668.png,22,11
09670.png,5,2
09701.png,8,3
09702.png,33,34
09705.png,7,8
09714.png,38,37
09720.png,33,37
09726.png,18,31
09740.png,8,5
09747.png,36,35
09757.png,5,1
09766.png,31,18
09769.png,30,31
09774.png,7,8
09782.png,4,1
09784.png,1,5
09790.png,37,36
09791.png,20,19
09795.png,38,40
09797.png,11,25
09804.png,25,31
09805.png,38,33
09809.png,38,13
09836.png,23,25
09841.png,28,31
09842.png,16,10
09844.png,36,37
09848.png,37,36
09849.png,32,6
09864.png,33,34
09875.png,9,42
09876.png,4,1
09880.png,39,38
09889.png,33,35
09898.png,7,8
09911.png,1,3
09920.png,7,8
09926.png,22,31
09936.png,19,20
09949.png,9,10
09956.png,8,3
09960.png,4,9
09966.png,31,13
09974.png,11,30
09976.png,13,12
10002.png,20,19
10016.png,30,29
10020.png,1,3
10021.png,38,2
10026.png,38,42
10028.png,18,26
10031.png,9,10
10032.png,4,3
10036.png,11,31
10044.png,9,15
10045.png,8,3
10056.png,39,38
10057.png,5,2
10067.png,25,20
10077.png,36,35
10089.png,11,25
10099.png,38,13
10113.png,11,25
10124.png,11,30
10135.png,3,5
10136.png,7,5
10156.png,22,25
10173.png,26,17
10175.png,22,13
10180.png,5,8
10193.png,5,10
10196.png,33,34
10199.png,4,8
10208.png,13,42
10209.png,1,8
10223.png,30,13
10255.png,38,39
10262.png,9,10
10263.png,22,31
10264.png,30,20
10269.png,38,35
10276.png,21,31
10281.png,37,36
10301.png,1,8
10316.png,36,37
10326.png,33,34
10328.png,18,11
10332.png,18,31
10343.png,33,34
10357.png,3,2
10359.png,12,13
10365.png,4,9
10381.png,0,1
10388.png,4,3
10389.png,33,38
10396.png,23,13
10399.png,4,12
10401.png,1,5
10403.png,2,3
10410.png,17,32
10416.png,32,42
10425.png,21,19
10427.png,8,7
10429.png,2,1
10436.png,1,5
10440.png,35,36
10443.png,36,37
10453.png,23,13
10471.png,2,4
10474.png,4,1
10476.png,4,10
10477.png,18,28
10480.png,18,21
10484.png,39,35
10485.png,38,42
10488.png,28,25
10489.png,30,28
10504.png,9,7
10506.png,39,38
10538.png,15,9
10540.png,4,3
10541.png,11,13
10545.png,18,13
10546.png,1,4
10550.png,9,15
10561.png,4,2
10562.png,36,33
10564.png,39,38
10566.png,11,24
10582.png,39,38
10584.png,30,20
10600.png,2,4
10603.png,1,5
10605.png,9,16
10623.png,1,13
10628.png,8,7
10633.png,28,25
10650.png,2,4
10659.png,30,20
10672.png,5,1
10675.png,25,31
10686.png,25,31
10690.png,2,3
10691.png,20,23
10698.png,41,32
10709.png,5,10
10714.png,18,21
10721.png,39,38
10728.png,38,42
10759.png,25,26
10760.png,5,2
10770.png,38,39
10775.png,38,35
10783.png,7,10
10787.png,28,25
10788.png,8,7
10795.png,11,31
10810.png,35,12
10823.png,18,26
10825.png,30,26
10826.png,7,8
10835.png,40,35
10837.png,39,38
10845.png,39,38
10851.png,10,6
10856.png,25,18
10871.png,1,3
10872.png,1,5
10885.png,2,4
10886.png,5,3
10904.png,8,7
10911.png,1,2
10927.png,35,15
10928.png,5,3
10929.png,7,3
10930.png,1,5
10957.png,36,37
10968.png,30,11
10980.png,37,36
10983.png,23,30
10985.png,1,4
10995.png,18,21
11001.png,8,7
11002.png,19,31
11003.png,9,10
11008.png,17,14
11017.png,8,5
11020.png,33,34
11042.png,25,31
11045.png,19,20
11056.png,5,7
11060.png,16,9
11061.png,1,2
11069.png,5,2
11071.png,9,3
11086.png,37,36
11087.png,12,17
11089.png,18,21
11094.png,5,8
11109.png,23,21
11115.png,37,12
11130.png,16,15
11132.png,25,20
11141.png,4,5
11142.png,5,3
11167.png,36,12
11168.png,33,35
11173.png,30,20
11181.png,9,3
11192.png,21,31
11195.png,17,14
11204.png,3,1
11210.png,8,7
11212.png,5,17
11213.png,3,20
11233.png,28,25
11238.png,8,5
11239.png,23,8
11247.png,1,4
11257.png,5,8
11268.png,11,30
11269.png,7,5
11272.png,39,38
11283.png,9,10
11285.png,7,10
11286.png,22,31
11306.png,10,8
11329.png,7,4
11331.png,5,2
11332.png,11,25
11349.png,12,38
11361.png,8,5
11365.png,9,10
11366.png,27,28
11377.png,36,37
11381.png,14,17
11382.png,36,35
11384.png,34,33
11389.png,4,2
11393.png,21,31
11394.png,20,19
11403.png,18,26
11408.png,4,10
11422.png,35,38
11426.png,10,3
11428.png,2,1
11435.png,30,20
11436.png,36,37
11439.png,30,20
11453.png,19,20
