Name,Orig_Label,Pred_Label
00001.png,1,2
00002.png,38,35
00003.png,33,35
00008.png,25,11
00011.png,7,8
00014.png,4,8
00015.png,9,11
00016.png,21,11
00017.png,20,13
00018.png,27,13
00022.png,9,15
00023.png,3,6
00028.png,9,17
00032.png,34,35
00033.png,23,19
00038.png,16,11
00039.png,8,3
00040.png,7,20
00041.png,30,11
00044.png,24,25
00045.png,25,12
00046.png,3,12
00047.png,10,18
00048.png,18,13
00049.png,8,20
00050.png,25,13
00053.png,9,17
00058.png,9,11
00064.png,15,17
00066.png,26,15
00067.png,2,7
00068.png,5,1
00072.png,30,11
00073.png,34,33
00076.png,1,14
00079.png,25,13
00080.png,21,26
00082.png,25,11
00088.png,22,13
00090.png,3,18
00100.png,1,14
00102.png,5,10
00103.png,11,18
00107.png,25,11
00108.png,33,35
00113.png,10,13
00114.png,30,13
00116.png,27,26
00117.png,29,31
00118.png,1,13
00124.png,2,1
00127.png,30,18
00129.png,6,42
00131.png,3,10
00135.png,10,15
00136.png,18,11
00137.png,40,38
00140.png,41,42
00145.png,25,13
00146.png,2,12
00149.png,21,11
00156.png,6,42
00157.png,9,16
00158.png,7,13
00159.png,4,14
00161.png,16,17
00163.png,25,28
00164.png,18,11
00171.png,38,12
00176.png,3,1
00184.png,20,11
00186.png,18,13
00187.png,1,11
00191.png,29,13
00193.png,38,35
00194.png,31,21
00196.png,8,10
00198.png,18,11
00199.png,28,12
00201.png,9,13
00203.png,1,18
00204.png,17,11
00205.png,9,15
00206.png,2,20
00209.png,15,17
00211.png,38,12
00213.png,5,1
00214.png,25,13
00217.png,5,17
00218.png,4,14
00220.png,2,14
00221.png,4,13
00222.png,5,12
00232.png,33,35
00233.png,18,13
00235.png,19,13
00237.png,30,20
00239.png,18,13
00242.png,20,19
00243.png,0,1
00247.png,8,5
00248.png,12,14
00250.png,20,13
00252.png,0,1
00256.png,35,33
00258.png,25,11
00265.png,12,13
00266.png,5,12
00269.png,18,13
00271.png,18,13
00272.png,34,35
00273.png,9,10
00274.png,25,11
00275.png,18,13
00276.png,34,35
00277.png,39,35
00279.png,1,10
00280.png,9,12
00283.png,26,13
00286.png,33,34
00287.png,30,17
00291.png,31,11
00295.png,1,7
00297.png,28,18
00299.png,26,18
00301.png,5,1
00304.png,4,13
00305.png,3,42
00306.png,32,13
00307.png,1,13
00308.png,7,17
00309.png,38,35
00310.png,19,13
00312.png,38,35
00313.png,38,35
00317.png,40,33
00318.png,17,12
00319.png,4,35
00320.png,8,15
00324.png,31,11
00326.png,9,35
00328.png,8,13
00331.png,18,17
00332.png,3,11
00333.png,25,13
00334.png,10,17
00337.png,34,35
00339.png,22,25
00341.png,29,18
00344.png,38,35
00346.png,18,11
00352.png,16,34
00354.png,12,11
00357.png,3,1
00358.png,38,35
00361.png,38,13
00363.png,39,35
00364.png,3,11
00365.png,11,12
00366.png,7,10
00367.png,38,13
00368.png,19,31
00375.png,1,11
00376.png,41,42
00378.png,1,38
00379.png,18,13
00380.png,19,20
00382.png,38,35
00386.png,34,33
00389.png,9,10
00390.png,4,15
00393.png,2,17
00394.png,1,14
00395.png,5,13
00398.png,4,25
00401.png,36,35
00403.png,0,11
00408.png,5,12
00409.png,2,10
00410.png,25,11
00415.png,10,18
00417.png,14,18
00418.png,9,13
00419.png,2,3
00420.png,3,13
00421.png,4,38
00422.png,19,11
00423.png,9,15
00424.png,10,13
00427.png,20,11
00428.png,38,40
00429.png,34,33
00430.png,11,30
00432.png,34,35
00433.png,34,33
00435.png,6,11
00442.png,7,24
00443.png,30,11
00444.png,25,18
00448.png,38,35
00449.png,8,11
00450.png,9,35
00452.png,2,1
00453.png,40,33
00457.png,8,7
00459.png,6,42
00460.png,35,33
00461.png,25,11
00462.png,25,11
00465.png,38,35
00466.png,7,10
00469.png,7,18
00470.png,8,42
00476.png,35,12
00479.png,13,12
00481.png,2,14
00484.png,2,11
00485.png,10,13
00487.png,31,13
00488.png,9,10
00491.png,26,13
00492.png,4,2
00494.png,10,13
00496.png,30,18
00497.png,9,16
00498.png,31,18
00499.png,40,35
00500.png,22,18
00501.png,30,13
00502.png,9,10
00506.png,32,13
00509.png,3,35
00513.png,22,25
00515.png,33,35
00516.png,3,35
00517.png,1,11
00526.png,3,10
00527.png,5,2
00529.png,4,20
00532.png,23,30
00535.png,31,13
00537.png,6,13
00538.png,10,42
00540.png,8,2
00542.png,5,10
00546.png,1,4
00548.png,12,35
00550.png,4,25
00552.png,9,17
00554.png,38,33
00563.png,18,13
00565.png,23,19
00573.png,6,11
00576.png,3,17
00577.png,2,1
00579.png,0,1
00583.png,1,9
00587.png,30,18
00588.png,5,3
00589.png,5,1
00591.png,13,11
00592.png,16,11
00596.png,4,18
00597.png,29,12
00598.png,2,14
00600.png,2,12
00602.png,4,17
00603.png,19,42
00604.png,3,5
00605.png,9,10
00606.png,7,16
00608.png,28,13
00610.png,27,11
00611.png,41,13
00612.png,1,5
00616.png,25,13
00617.png,1,11
00618.png,10,42
00626.png,28,18
00627.png,8,42
00632.png,25,11
00634.png,4,11
00636.png,16,10
00637.png,29,11
00639.png,9,13
00649.png,2,11
00653.png,5,1
00655.png,11,12
00659.png,10,12
00660.png,5,38
00663.png,7,18
00665.png,10,17
00671.png,10,17
00672.png,36,35
00674.png,26,18
00675.png,0,1
00676.png,25,12
00679.png,8,15
00687.png,25,26
00688.png,17,11
00689.png,34,35
00690.png,5,10
00691.png,4,14
00694.png,29,11
00695.png,4,3
00696.png,5,16
00701.png,4,11
00702.png,39,38
00705.png,16,17
00709.png,16,17
00713.png,39,38
00715.png,6,42
00716.png,2,11
00717.png,36,35
00719.png,5,14
00720.png,10,42
00723.png,30,26
00724.png,38,12
00725.png,13,11
00728.png,11,42
00734.png,15,11
00736.png,39,38
00737.png,38,12
00738.png,4,13
00740.png,3,18
00741.png,1,18
00744.png,4,10
00745.png,17,11
00749.png,30,29
00754.png,22,18
00755.png,42,12
00756.png,2,17
00757.png,12,17
00758.png,3,17
00759.png,23,11
00760.png,3,36
00763.png,3,15
00764.png,12,13
00765.png,4,35
00766.png,1,14
00768.png,3,17
00769.png,9,35
00773.png,28,13
00774.png,3,1
00775.png,4,18
00778.png,0,35
00779.png,33,35
00781.png,39,38
00783.png,38,13
00785.png,10,15
00789.png,38,35
00790.png,2,11
00792.png,1,11
00793.png,3,1
00796.png,15,13
00800.png,38,13
00801.png,25,13
00802.png,5,7
00804.png,12,13
00805.png,2,14
00806.png,26,17
00807.png,0,1
00809.png,0,1
00813.png,13,35
00814.png,17,13
00817.png,8,15
00820.png,4,26
00822.png,3,17
00824.png,25,18
00826.png,15,11
00827.png,2,14
00828.png,38,35
00829.png,27,11
00830.png,37,35
00831.png,7,35
00833.png,18,13
00834.png,28,17
00836.png,10,18
00844.png,25,18
00845.png,4,38
00846.png,1,11
00849.png,23,11
00850.png,10,17
00853.png,29,11
00854.png,24,11
