Name,Orig_Label,Pred_Label
00003.png,33,38
00009.png,35,33
00013.png,7,10
00018.png,27,30
00021.png,33,34
00023.png,3,8
00033.png,23,20
00039.png,8,5
00044.png,24,26
00050.png,25,20
00059.png,16,10
00063.png,9,8
00072.png,30,11
00083.png,7,5
00088.png,22,31
00093.png,14,12
00098.png,9,10
00099.png,33,34
00104.png,33,34
00108.png,33,34
00116.png,27,31
00117.png,29,28
00135.png,10,5
00137.png,40,34
00143.png,18,24
00145.png,25,38
00155.png,3,5
00159.png,4,14
00163.png,25,5
00164.png,18,26
00176.png,3,2
00184.png,20,19
00186.png,18,25
00189.png,8,10
00196.png,8,4
00198.png,18,31
00204.png,17,14
00205.png,9,15
00207.png,31,13
00216.png,10,17
00222.png,5,2
00232.png,33,34
00235.png,19,20
00237.png,30,14
00239.png,18,17
00247.png,8,5
00252.png,0,1
00260.png,35,34
00271.png,18,25
00277.png,39,38
00286.png,33,34
00296.png,33,34
00304.png,4,2
00305.png,3,8
00307.png,1,4
00309.png,38,40
00310.png,19,20
00314.png,1,5
00321.png,4,13
00332.png,3,5
00339.png,22,12
00344.png,38,39
00345.png,38,39
00355.png,40,38
00361.png,38,11
00363.png,39,38
00367.png,38,13
00368.png,19,20
00379.png,18,21
00380.png,19,20
00389.png,9,10
00391.png,33,34
00393.png,2,1
00398.png,4,5
00403.png,0,4
00406.png,8,5
00421.png,4,1
00422.png,19,20
00427.png,20,23
00430.png,11,30
00439.png,3,5
00446.png,31,5
00453.png,40,34
00454.png,1,2
00459.png,6,41
00469.png,7,8
00475.png,12,38
00476.png,35,40
00488.png,9,10
00491.png,26,28
00492.png,4,2
00495.png,5,42
00499.png,40,34
00501.png,30,25
00502.png,9,7
00505.png,4,8
00513.png,22,25
00550.png,4,2
00552.png,9,10
00559.png,24,26
00563.png,18,26
00565.png,23,20
00567.png,10,6
00568.png,1,5
00570.png,3,10
00576.png,3,5
00579.png,0,1
00586.png,2,1
00587.png,30,25
00600.png,2,1
00603.png,19,20
00604.png,3,5
00611.png,41,42
00628.png,2,1
00635.png,7,10
00636.png,16,10
00637.png,29,28
00639.png,9,10
00644.png,2,5
00648.png,1,2
00661.png,13,32
00663.png,7,8
00670.png,15,1
00675.png,0,1
00678.png,29,23
00702.png,39,38
00713.png,39,38
00726.png,14,17
00727.png,11,30
00738.png,4,1
00739.png,1,5
00758.png,3,5
00760.png,3,5
00763.png,3,5
00768.png,3,5
00775.png,4,8
00778.png,0,4
00780.png,2,4
00781.png,39,38
00801.png,25,11
00805.png,2,1
00806.png,26,31
00809.png,0,1
00811.png,31,13
00821.png,14,12
00823.png,4,8
00829.png,27,25
00830.png,37,36
00833.png,18,31
00834.png,28,13
00839.png,11,30
00852.png,1,2
00854.png,24,26
00859.png,11,30
00865.png,33,34
00867.png,9,10
00869.png,16,9
00878.png,3,5
00882.png,10,8
00887.png,1,2
00892.png,33,34
00897.png,31,20
00898.png,33,34
00899.png,42,41
00904.png,27,11
00908.png,38,42
00914.png,18,13
00918.png,35,38
00922.png,4,2
00924.png,19,20
00934.png,1,2
00940.png,35,33
00941.png,29,28
00943.png,0,4
00959.png,20,21
00960.png,27,26
00968.png,7,5
00973.png,4,5
00975.png,8,5
00976.png,23,28
00980.png,13,12
00983.png,5,2
00988.png,7,10
00989.png,39,38
00990.png,0,4
