Name,Orig_Label,Pred_Label
00003.png,33,15
00007.png,12,41
00017.png,20,19
00019.png,38,37
00024.png,1,16
00025.png,11,25
00032.png,34,38
00034.png,2,16
00035.png,17,15
00039.png,8,5
00050.png,25,39
00053.png,9,10
00055.png,35,15
00068.png,5,32
00073.png,34,33
00076.png,1,2
00090.png,3,5
00092.png,2,13
00095.png,32,15
00100.png,1,16
00104.png,33,12
00105.png,4,2
00108.png,33,15
00109.png,4,9
00110.png,1,2
00113.png,10,41
00114.png,30,23
00116.png,27,18
00117.png,29,22
00119.png,17,15
00120.png,13,11
00121.png,7,2
00122.png,1,41
00124.png,2,1
00130.png,36,25
00132.png,14,38
00142.png,6,42
00145.png,25,27
00154.png,17,13
00157.png,9,10
00159.png,4,13
00160.png,13,25
00162.png,4,2
00167.png,14,13
00168.png,29,23
00169.png,17,26
00172.png,26,28
00175.png,1,16
00181.png,4,41
00182.png,36,33
00184.png,20,19
00187.png,1,15
00191.png,29,13
00194.png,31,13
00196.png,8,4
00197.png,38,41
00198.png,18,21
00199.png,28,18
00200.png,17,41
00203.png,1,2
00204.png,17,14
00213.png,5,15
00216.png,10,9
00217.png,5,41
00222.png,5,2
00225.png,12,1
00232.png,33,41
00235.png,19,20
00242.png,20,19
00245.png,40,33
00248.png,12,13
00249.png,38,16
00250.png,20,22
00254.png,34,25
00255.png,28,13
00256.png,35,15
00263.png,25,18
00266.png,5,41
00272.png,34,33
00276.png,34,3
00277.png,39,25
00279.png,1,2
00285.png,1,2
00288.png,17,41
00298.png,35,13
00309.png,38,40
00310.png,19,20
00313.png,38,36
00317.png,40,36
00318.png,17,15
00325.png,35,38
00334.png,10,2
00335.png,6,40
00337.png,34,13
00338.png,4,2
00339.png,22,19
00341.png,29,18
00342.png,9,16
00344.png,38,39
00349.png,28,25
00356.png,35,13
00358.png,38,39
00360.png,9,15
00363.png,39,38
00366.png,7,2
00368.png,19,20
00372.png,3,5
00377.png,13,16
00379.png,18,31
00380.png,19,20
00386.png,34,13
00389.png,9,41
00391.png,33,35
00394.png,1,13
00401.png,36,40
00406.png,8,1
00408.png,5,15
00409.png,2,41
00426.png,13,19
00429.png,34,38
00432.png,34,13
00433.png,34,33
00435.png,6,41
00443.png,30,25
00447.png,38,15
00455.png,38,13
00458.png,39,41
00463.png,17,15
00465.png,38,39
00467.png,13,41
00471.png,35,33
00475.png,12,13
00477.png,36,38
00478.png,24,25
00482.png,35,15
00490.png,17,16
00492.png,4,13
00496.png,30,11
00499.png,40,34
00501.png,30,25
00506.png,32,41
00510.png,8,7
00513.png,22,21
00514.png,38,41
00517.png,1,41
00518.png,8,2
00521.png,26,18
00526.png,3,2
00527.png,5,15
00531.png,15,9
00539.png,35,13
00540.png,8,9
00549.png,12,25
00550.png,4,1
00551.png,5,2
00563.png,18,31
00565.png,23,30
00568.png,1,41
00571.png,8,2
00576.png,3,1
00579.png,0,1
00583.png,1,15
00586.png,2,1
00589.png,5,2
00603.png,19,20
00604.png,3,1
00607.png,38,36
00610.png,27,21
00613.png,29,18
00619.png,38,13
00622.png,1,13
00626.png,28,22
00631.png,35,22
00632.png,25,31
00635.png,7,1
00637.png,29,13
00638.png,17,13
00642.png,17,32
00643.png,11,23
00646.png,12,1
00648.png,1,15
00649.png,2,13
00651.png,17,2
00653.png,5,2
00654.png,12,15
00659.png,10,16
00669.png,4,2
00670.png,15,1
00673.png,35,38
00678.png,29,22
00679.png,8,4
00681.png,14,18
00685.png,35,38
00688.png,17,15
00689.png,34,33
00698.png,1,2
00699.png,2,41
00702.png,39,13
00711.png,36,15
00712.png,11,18
00713.png,39,15
00714.png,4,2
00718.png,1,25
00719.png,5,2
00721.png,13,25
00722.png,5,1
00727.png,11,23
00728.png,11,21
00731.png,2,8
00733.png,38,40
00734.png,15,12
00736.png,39,13
00741.png,1,2
00742.png,35,1
00745.png,17,38
00746.png,4,2
00749.png,30,18
00751.png,28,25
00753.png,28,21
00757.png,12,13
00758.png,3,2
00760.png,3,1
00763.png,3,1
00764.png,12,13
00767.png,5,1
00768.png,3,1
00770.png,10,41
00773.png,28,22
00777.png,15,13
00780.png,2,15
00781.png,39,38
00782.png,12,13
00784.png,7,1
00791.png,5,2
00792.png,1,2
00797.png,15,10
00800.png,38,32
00806.png,26,25
00810.png,26,22
00815.png,1,2
00819.png,2,16
00826.png,15,13
00829.png,27,25
00830.png,37,36
00834.png,28,23
00840.png,12,13
00842.png,13,41
00847.png,38,13
00851.png,2,41
00853.png,29,19
00858.png,3,2
00859.png,11,28
00860.png,5,1
00877.png,5,2
00878.png,3,2
00880.png,1,25
00883.png,30,18
00884.png,35,13
00885.png,24,11
00886.png,33,41
00892.png,33,15
00893.png,17,41
00895.png,5,1
00896.png,15,13
00898.png,33,38
00899.png,42,2
00902.png,38,15
00904.png,27,28
00909.png,38,32
00910.png,1,15
00914.png,18,13
00918.png,35,36
00922.png,4,2
00924.png,19,20
00929.png,17,15
00930.png,38,2
00934.png,1,38
00939.png,12,41
00940.png,35,15
00941.png,29,13
00943.png,0,15
00944.png,38,15
00948.png,34,38
00952.png,15,25
00957.png,36,15
00958.png,7,5
00959.png,20,19
00960.png,27,21
00965.png,5,2
00966.png,32,15
00968.png,7,1
00975.png,8,4
00978.png,39,16
00983.png,5,1
00984.png,31,18
00986.png,5,4
00989.png,39,13
00995.png,38,41
00997.png,38,25
01000.png,17,15
01003.png,12,13
01006.png,38,13
01008.png,12,13
01010.png,8,1
01015.png,35,13
01018.png,35,40
01021.png,1,15
01022.png,11,24
01024.png,38,15
01040.png,38,13
01053.png,34,16
01073.png,39,38
01077.png,7,2
01080.png,2,5
01084.png,2,3
01088.png,5,41
01092.png,1,15
01095.png,37,36
01100.png,35,32
01101.png,20,19
01105.png,5,32
01110.png,35,32
01114.png,12,25
01115.png,33,15
01120.png,31,25
01127.png,8,1
01131.png,8,2
01135.png,5,1
01136.png,17,15
01137.png,18,13
01140.png,8,2
01141.png,33,32
01144.png,12,32
01145.png,14,1
01146.png,9,16
01150.png,32,15
01159.png,1,41
01160.png,32,15
01163.png,17,41
01167.png,38,16
01169.png,20,19
01170.png,11,28
01172.png,38,13
01173.png,34,13
01174.png,38,13
01175.png,39,13
01177.png,18,26
01180.png,26,18
01182.png,31,38
01189.png,12,13
01200.png,5,2
01205.png,29,18
01209.png,11,25
01210.png,18,21
01212.png,39,38
01224.png,17,41
01225.png,26,22
01231.png,5,41
01234.png,3,5
01235.png,34,33
01240.png,12,3
01241.png,22,25
01242.png,37,36
01245.png,28,25
01252.png,8,9
01254.png,37,36
01263.png,5,1
01265.png,38,16
01268.png,2,1
01275.png,8,5
01276.png,18,21
01277.png,14,13
01278.png,5,15
01280.png,2,1
01283.png,36,38
01287.png,10,16
01288.png,8,2
01289.png,34,13
01290.png,4,2
01291.png,38,13
01295.png,17,41
01310.png,5,2
01313.png,10,16
01314.png,34,18
01316.png,5,2
01321.png,9,10
01323.png,5,15
01327.png,26,12
01334.png,1,4
01336.png,34,25
01344.png,38,34
01345.png,8,2
01346.png,35,15
01347.png,38,41
01350.png,5,15
01353.png,8,1
01359.png,2,15
01361.png,3,25
01363.png,11,23
01364.png,8,5
01365.png,10,9
01366.png,12,41
01370.png,33,38
01372.png,2,25
01376.png,8,4
01378.png,34,13
01385.png,4,2
01389.png,18,25
01392.png,25,27
01395.png,42,41
01397.png,35,15
01399.png,12,42
01404.png,38,39
01411.png,7,1
