Name,Orig_Label,Pred_Label
00003.png,33,34
00009.png,35,36
00016.png,21,13
00019.png,38,39
00025.png,11,25
00039.png,8,5
00041.png,30,25
00050.png,25,20
00058.png,9,10
00063.png,9,10
00072.png,30,25
00073.png,34,38
00081.png,33,35
00091.png,1,5
00097.png,38,42
00099.png,33,35
00109.png,4,8
00113.png,10,2
00117.png,29,23
00140.png,41,16
00143.png,18,14
00156.png,6,10
00159.png,4,1
00175.png,1,5
00177.png,40,33
00180.png,8,4
00189.png,8,3
00190.png,10,20
00201.png,9,10
00213.png,5,1
00232.png,33,34
00234.png,33,35
00235.png,19,18
00256.png,35,40
00277.png,39,38
00305.png,3,7
00307.png,1,2
00309.png,38,40
00319.png,4,3
00332.png,3,5
00339.png,22,23
00355.png,40,34
00358.png,38,39
00361.png,38,10
00363.png,39,6
00367.png,38,13
00368.png,19,20
00372.png,3,5
00375.png,1,5
00378.png,1,4
00380.png,19,31
00394.png,1,4
00403.png,0,4
00404.png,38,36
00405.png,36,37
00408.png,5,1
00419.png,2,5
00422.png,19,20
00430.png,11,30
00458.png,39,38
00459.png,6,42
00464.png,2,1
00465.png,38,39
00477.png,36,33
00492.png,4,41
00493.png,3,2
00496.png,30,11
00499.png,40,34
00502.png,9,5
00512.png,25,30
00513.png,22,25
00514.png,38,35
00519.png,4,8
00526.png,3,13
00532.png,23,30
00533.png,1,2
00537.png,6,41
00540.png,8,10
00550.png,4,1
00573.png,6,42
00576.png,3,5
00586.png,2,4
00592.png,16,10
00600.png,2,1
00603.png,19,20
00604.png,3,1
00611.png,41,42
00630.png,5,8
00672.png,36,37
00682.png,35,38
00699.png,2,1
00711.png,36,33
00713.png,39,38
00736.png,39,38
00752.png,9,10
00753.png,28,27
00758.png,3,5
00760.png,3,2
00768.png,3,5
00771.png,4,10
00778.png,0,4
00780.png,2,4
00781.png,39,38
00794.png,1,2
00809.png,0,1
00825.png,4,8
00829.png,27,25
00830.png,37,36
00859.png,11,30
00869.png,16,9
00878.png,3,5
00883.png,30,22
00892.png,33,34
00899.png,42,41
00904.png,27,25
00905.png,7,5
00908.png,38,42
00914.png,18,13
00925.png,3,4
00935.png,11,13
00959.png,20,25
00981.png,7,2
00988.png,7,10
00990.png,0,1
01022.png,11,30
01058.png,15,9
01063.png,13,15
01066.png,31,20
01070.png,8,7
01073.png,39,38
01117.png,38,39
01134.png,4,9
01135.png,5,2
01141.png,33,38
01149.png,31,18
01155.png,33,34
01161.png,4,9
01167.png,38,39
01169.png,20,19
01176.png,1,10
01179.png,9,10
01209.png,11,27
01212.png,39,38
01231.png,5,2
01232.png,4,8
01242.png,37,36
01248.png,3,1
01254.png,37,36
01262.png,9,10
01275.png,8,5
01276.png,18,31
01277.png,14,12
01278.png,5,2
01306.png,4,2
01307.png,19,20
01350.png,5,2
01354.png,2,4
01359.png,2,4
01363.png,11,30
01364.png,8,10
01370.png,33,38
01376.png,8,4
01379.png,31,28
01385.png,4,10
01386.png,4,1
01402.png,30,13
01417.png,3,2
01431.png,27,28
01462.png,42,41
01477.png,35,34
01495.png,34,33
01496.png,38,13
01499.png,8,10
01508.png,38,17
01511.png,10,8
01514.png,30,31
01541.png,29,11
01551.png,10,12
01578.png,3,2
01585.png,7,8
01601.png,6,41
01628.png,21,11
01640.png,33,34
01667.png,6,20
01679.png,13,28
01681.png,25,13
01709.png,30,28
01714.png,42,41
01738.png,17,12
01746.png,39,38
01761.png,37,36
01763.png,41,6
01764.png,23,25
01784.png,35,36
01794.png,25,28
01814.png,36,38
01819.png,6,41
01820.png,5,8
01840.png,27,18
01841.png,33,34
01846.png,4,10
01856.png,24,11
01865.png,21,31
01867.png,33,34
01876.png,38,39
01879.png,25,20
01884.png,5,2
01889.png,39,38
01896.png,23,28
01909.png,8,7
01923.png,13,31
01939.png,5,2
01947.png,18,31
01963.png,26,18
01966.png,7,5
01972.png,5,8
01985.png,25,28
01992.png,22,28
02001.png,38,39
02002.png,8,5
02021.png,25,30
02025.png,4,12
02034.png,14,13
02035.png,35,38
02038.png,25,31
02042.png,7,8
02043.png,1,5
02045.png,0,2
02047.png,7,5
02056.png,32,12
02057.png,36,38
02065.png,18,26
02069.png,18,26
02095.png,37,36
02108.png,36,37
02109.png,30,26
02119.png,3,5
02124.png,11,27
02128.png,16,10
02157.png,27,20
02159.png,40,33
02160.png,0,2
02167.png,16,10
02172.png,18,26
02212.png,35,40
02227.png,8,10
02228.png,26,25
02235.png,8,5
02272.png,4,10
02294.png,33,34
02308.png,34,33
02310.png,5,4
02318.png,3,1
02327.png,2,4
02337.png,38,39
02342.png,18,21
02353.png,4,8
02374.png,8,5
02388.png,31,13
02396.png,24,18
02427.png,33,34
02440.png,11,31
02446.png,26,18
02454.png,2,9
02460.png,11,30
02466.png,2,4
02469.png,1,2
02472.png,2,14
02482.png,25,11
02493.png,2,1
02494.png,2,1
02503.png,39,38
02506.png,40,39
02509.png,5,8
02520.png,3,4
02522.png,3,5
02533.png,1,2
02538.png,3,2
02544.png,39,38
02547.png,17,12
02548.png,9,10
02558.png,1,17
02562.png,35,12
02567.png,7,8
02577.png,4,41
02578.png,22,18
02590.png,13,17
02595.png,5,1
02597.png,25,28
02601.png,38,17
02611.png,24,25
02613.png,9,10
02637.png,5,1
02642.png,25,23
02645.png,3,2
02650.png,37,36
02655.png,30,11
02660.png,30,28
02669.png,18,26
02673.png,4,2
02681.png,2,4
02682.png,30,31
02684.png,33,34
02689.png,2,14
02700.png,5,2
02702.png,37,36
02716.png,5,3
02727.png,2,1
02737.png,3,2
02741.png,2,5
02750.png,9,10
02751.png,24,25
02753.png,5,8
02758.png,5,2
02759.png,36,37
02782.png,18,26
02803.png,5,7
02805.png,41,42
02807.png,13,16
02809.png,38,39
02814.png,39,38
02865.png,4,12
02871.png,25,31
02879.png,7,18
02880.png,39,38
02881.png,2,1
02887.png,4,7
02891.png,39,38
02895.png,4,5
02901.png,34,35
02906.png,37,36
02909.png,14,17
02919.png,1,5
02920.png,35,38
02938.png,4,8
02947.png,9,10
02954.png,23,31
02956.png,11,30
02961.png,3,5
02980.png,41,32
02995.png,20,19
03004.png,11,30
03013.png,3,1
03018.png,25,11
03025.png,30,29
03033.png,38,14
03036.png,5,1
03082.png,34,33
03100.png,35,33
03109.png,39,38
03110.png,2,1
03117.png,36,37
03127.png,14,12
03135.png,1,2
03138.png,7,10
03142.png,28,26
03143.png,20,4
03147.png,1,2
03152.png,2,4
03153.png,1,4
03157.png,11,21
03159.png,5,2
03160.png,29,12
03162.png,33,34
03172.png,18,26
03173.png,38,17
03174.png,35,33
03194.png,24,18
03240.png,4,8
03250.png,27,28
03258.png,36,37
03265.png,16,10
03280.png,35,39
03286.png,14,13
03287.png,8,4
03301.png,10,5
03316.png,3,15
03320.png,25,30
03326.png,9,2
03336.png,2,4
03341.png,39,38
03363.png,29,30
03387.png,30,20
03389.png,5,2
03415.png,1,2
03439.png,1,8
03441.png,2,1
03453.png,8,7
03457.png,22,25
03474.png,0,1
03490.png,11,30
03521.png,24,11
03527.png,9,15
03541.png,5,3
03554.png,8,4
03563.png,35,34
03564.png,27,25
03577.png,8,5
03578.png,4,5
03605.png,37,34
03611.png,4,2
03616.png,37,36
03617.png,21,18
03626.png,11,30
03628.png,5,1
03630.png,35,15
03636.png,7,8
03643.png,18,26
03660.png,8,5
03662.png,18,11
03670.png,35,38
03671.png,3,5
03672.png,33,34
03690.png,24,21
03694.png,2,1
03695.png,41,6
03704.png,40,13
03709.png,2,4
03713.png,11,23
03724.png,38,33
03729.png,10,20
03739.png,18,21
03741.png,25,22
03767.png,13,25
03778.png,30,20
03780.png,25,11
03789.png,37,36
03796.png,5,2
03799.png,30,26
03802.png,5,3
03804.png,20,19
03819.png,4,1
03820.png,26,2
03830.png,1,2
03831.png,1,2
03841.png,11,13
03853.png,34,40
03857.png,5,7
03858.png,4,0
03869.png,33,34
03892.png,10,2
03894.png,25,11
03896.png,22,25
03899.png,8,7
03913.png,35,33
03914.png,4,5
03922.png,0,2
03960.png,18,21
03967.png,3,5
03974.png,12,38
03981.png,18,11
03986.png,17,13
03987.png,31,18
03991.png,42,41
03993.png,39,38
03994.png,35,36
04001.png,34,33
04003.png,2,5
04008.png,1,4
04018.png,2,1
04023.png,4,15
04040.png,34,33
04045.png,24,27
04055.png,22,25
04068.png,36,33
04071.png,1,4
04072.png,8,5
04116.png,5,7
04117.png,36,38
04122.png,20,30
04125.png,21,23
04130.png,39,38
04132.png,33,34
04136.png,33,38
04149.png,3,5
04153.png,33,34
04164.png,5,2
04180.png,0,2
04185.png,21,18
04215.png,16,10
04224.png,18,2
04236.png,2,1
04245.png,5,2
04248.png,25,13
04267.png,3,2
04271.png,6,42
04273.png,25,28
04281.png,8,4
04283.png,4,1
04286.png,5,1
04288.png,9,16
04293.png,35,36
04306.png,15,29
04307.png,9,10
04312.png,20,19
04316.png,42,41
04327.png,5,17
04333.png,0,4
04342.png,33,34
04358.png,13,12
04364.png,11,23
04383.png,30,25
04385.png,8,4
04396.png,2,8
04413.png,42,41
04418.png,33,41
04434.png,0,4
04447.png,2,1
04467.png,12,35
04482.png,9,10
04490.png,36,35
04502.png,28,31
04509.png,30,29
04511.png,30,29
04512.png,0,4
04518.png,10,4
04532.png,10,5
04543.png,3,5
04551.png,25,11
04555.png,36,35
04558.png,5,2
04560.png,5,2
04561.png,3,14
04562.png,27,28
04575.png,8,5
04585.png,27,18
04587.png,24,11
04588.png,3,5
04601.png,4,1
04605.png,0,8
04606.png,4,10
04610.png,13,11
04613.png,37,33
04645.png,39,38
04647.png,4,8
04657.png,1,2
04658.png,37,38
04666.png,33,34
04679.png,7,5
04684.png,2,10
04699.png,26,21
04715.png,16,10
04717.png,36,37
04729.png,9,17
04734.png,1,0
04753.png,26,25
04754.png,19,20
04755.png,7,8
04756.png,18,21
04761.png,8,10
04774.png,31,26
04798.png,38,39
04799.png,16,9
04817.png,7,8
04825.png,4,8
04833.png,30,29
04841.png,7,5
04851.png,3,5
04852.png,2,3
04853.png,12,38
04874.png,1,5
04878.png,33,34
04883.png,18,26
04887.png,11,30
04897.png,4,10
04898.png,40,34
04902.png,29,31
04918.png,25,31
04933.png,39,38
04959.png,2,4
04985.png,30,29
04993.png,3,5
05016.png,4,15
05019.png,26,18
05021.png,33,35
05041.png,5,1
05044.png,35,39
05062.png,38,39
05069.png,25,11
05087.png,1,12
05093.png,23,31
05095.png,22,25
05114.png,35,39
05134.png,22,23
05149.png,18,21
05161.png,5,2
05180.png,18,31
05181.png,38,33
05182.png,12,41
05183.png,35,33
05189.png,20,11
05206.png,1,5
05227.png,11,25
05233.png,27,11
05238.png,38,39
05239.png,18,26
05255.png,3,8
05275.png,12,18
05280.png,30,29
05281.png,25,30
05292.png,34,33
05298.png,13,25
05299.png,36,35
05313.png,30,29
05319.png,18,25
05324.png,8,2
05332.png,25,30
05337.png,22,25
05340.png,25,11
05352.png,11,30
05375.png,5,2
05379.png,24,25
05381.png,20,19
05395.png,7,8
05404.png,20,18
05420.png,37,38
05432.png,8,4
05434.png,4,1
05442.png,4,2
05455.png,26,18
05466.png,36,37
05472.png,25,28
05490.png,40,34
05495.png,38,39
05499.png,33,34
05507.png,25,20
05510.png,38,17
05521.png,6,42
05528.png,37,40
05537.png,1,5
05538.png,11,25
05544.png,9,15
05548.png,34,33
05555.png,39,38
05557.png,25,27
05558.png,33,34
05565.png,8,5
05593.png,36,37
05608.png,40,35
05619.png,3,5
05620.png,29,11
05628.png,37,36
05633.png,35,33
05640.png,3,5
05646.png,8,0
05655.png,4,8
05662.png,18,26
05675.png,8,5
05693.png,27,28
05696.png,33,34
05700.png,8,9
05729.png,5,2
05760.png,21,18
05771.png,37,36
05776.png,7,8
05785.png,5,4
05791.png,37,34
05816.png,31,10
05853.png,2,1
05863.png,38,39
05878.png,18,26
05886.png,35,38
05890.png,5,4
05892.png,13,12
05893.png,18,26
05904.png,4,1
05915.png,18,21
05924.png,6,38
05941.png,35,38
05945.png,0,1
05950.png,29,23
05955.png,1,2
05957.png,4,3
05967.png,19,18
05971.png,1,2
05972.png,38,17
05976.png,2,1
05984.png,3,1
05985.png,6,4
06000.png,1,2
06010.png,36,37
06032.png,18,13
06035.png,7,1
06050.png,18,11
06053.png,25,30
06083.png,38,30
06129.png,38,17
06136.png,42,41
06137.png,2,10
06139.png,30,26
06143.png,11,23
06144.png,12,38
06146.png,30,29
06160.png,10,1
06169.png,24,25
06173.png,7,5
06177.png,3,5
06192.png,21,24
06211.png,13,22
06214.png,4,2
06246.png,2,4
06253.png,4,2
06254.png,1,2
06255.png,6,41
06273.png,8,10
06285.png,21,31
06291.png,8,5
06295.png,38,40
06303.png,23,11
06304.png,38,39
06310.png,30,10
06312.png,2,5
06321.png,42,16
06334.png,26,18
06339.png,8,5
06353.png,25,26
06357.png,1,15
06360.png,36,38
06363.png,5,2
06373.png,11,23
06395.png,19,20
06403.png,3,2
06414.png,31,25
