Name,Orig_Label,Pred_Label
00007.png,12,11
00008.png,25,11
00009.png,35,37
00011.png,7,14
00012.png,23,21
00014.png,4,14
00018.png,27,11
00019.png,38,35
00020.png,4,18
00022.png,9,15
00023.png,3,18
00024.png,1,2
00028.png,9,15
00029.png,11,13
00030.png,5,14
00033.png,23,17
00034.png,2,1
00037.png,12,13
00039.png,8,18
00041.png,30,11
00044.png,24,18
00045.png,25,11
00046.png,3,1
00047.png,10,11
00050.png,25,17
00058.png,9,10
00062.png,4,2
00063.png,9,10
00072.png,30,11
00073.png,34,33
00075.png,12,13
00078.png,25,18
00108.png,33,34
00109.png,4,5
00110.png,1,2
00112.png,16,10
00113.png,10,13
00115.png,3,1
00116.png,27,21
00117.png,29,11
00123.png,8,7
00126.png,10,13
00127.png,30,10
00128.png,1,14
00131.png,3,5
00137.png,40,38
00140.png,41,42
00145.png,25,17
00147.png,41,32
00149.png,21,18
00152.png,11,18
00156.png,6,13
00158.png,7,10
00159.png,4,13
00161.png,16,18
00162.png,4,1
00163.png,25,13
00175.png,1,10
00177.png,40,33
00181.png,4,18
00183.png,25,11
00184.png,20,14
00189.png,8,18
00191.png,29,18
00196.png,8,4
00197.png,38,35
00199.png,28,18
00201.png,9,15
00206.png,2,4
00207.png,31,11
00211.png,38,11
00221.png,4,2
00232.png,33,35
00235.png,19,20
00237.png,30,20
00242.png,20,11
00246.png,5,1
00247.png,8,3
00248.png,12,13
00249.png,38,35
00250.png,20,2
00255.png,28,18
00262.png,18,11
00265.png,12,11
00266.png,5,18
00271.png,18,11
00273.png,9,18
00277.png,39,38
00278.png,31,11
00281.png,35,18
00285.png,1,14
00286.png,33,35
00287.png,30,17
00290.png,1,4
00299.png,26,18
00304.png,4,1
00309.png,38,36
00310.png,19,31
00313.png,38,36
00317.png,40,35
00322.png,5,17
00327.png,38,35
00330.png,4,18
00332.png,3,10
00337.png,34,35
00339.png,22,25
00341.png,29,18
00355.png,40,35
00360.png,9,10
00363.png,39,18
00364.png,3,1
00367.png,38,15
00368.png,19,31
00371.png,18,11
00372.png,3,13
00376.png,41,42
00380.png,19,18
00382.png,38,36
00385.png,25,11
00386.png,34,35
00393.png,2,1
00394.png,1,38
00403.png,0,1
00404.png,38,36
00408.png,5,2
00410.png,25,17
00412.png,2,11
00413.png,26,18
00414.png,29,18
00421.png,4,7
00427.png,20,22
00429.png,34,35
00430.png,11,30
00433.png,34,33
00435.png,6,11
00437.png,10,13
00440.png,22,13
00443.png,30,29
00446.png,31,26
00449.png,8,7
00453.png,40,36
00454.png,1,11
00457.png,8,7
00465.png,38,35
00475.png,12,13
00477.png,36,35
00481.png,2,1
00483.png,6,10
00484.png,2,4
00490.png,17,13
00491.png,26,11
00492.png,4,41
00494.png,10,17
00499.png,40,38
00500.png,22,11
00501.png,30,29
00502.png,9,10
00504.png,23,11
00506.png,32,13
00507.png,42,17
00511.png,2,1
00513.png,22,25
00515.png,33,35
00517.png,1,5
00519.png,4,10
00521.png,26,18
00527.png,5,11
00528.png,18,13
00532.png,23,13
00534.png,12,13
00535.png,31,11
00537.png,6,13
00538.png,10,15
00550.png,4,11
00551.png,5,1
00557.png,8,17
00565.png,23,20
00567.png,10,11
00573.png,6,42
00576.png,3,5
00578.png,13,18
00579.png,0,1
00583.png,1,4
00586.png,2,1
00587.png,30,11
00589.png,5,1
00592.png,16,11
00596.png,4,13
00597.png,29,11
00600.png,2,11
00603.png,19,20
00606.png,7,10
00608.png,28,13
00609.png,9,15
00611.png,41,11
00618.png,10,13
00626.png,28,25
00628.png,2,1
00632.png,25,30
00633.png,8,10
00634.png,4,2
00635.png,7,13
00636.png,16,9
00637.png,29,23
00641.png,8,13
00649.png,2,1
00650.png,32,18
00653.png,5,14
00654.png,12,13
00656.png,29,13
00661.png,13,18
00665.png,10,17
00669.png,4,24
00670.png,15,13
00671.png,10,17
00672.png,36,37
00676.png,25,11
00677.png,18,35
00690.png,5,2
00691.png,4,18
00694.png,29,28
00696.png,5,1
00705.png,16,13
00706.png,12,13
00708.png,18,26
00709.png,16,13
00711.png,36,35
00713.png,39,38
00714.png,4,1
00716.png,2,1
00717.png,36,35
00722.png,5,18
00724.png,38,35
00730.png,25,11
00733.png,38,35
00736.png,39,38
00739.png,1,13
00747.png,2,14
00749.png,30,18
00758.png,3,5
00763.png,3,11
00764.png,12,11
00767.png,5,1
00770.png,10,42
00775.png,4,14
00777.png,15,13
00778.png,0,1
00779.png,33,35
00780.png,2,1
00781.png,39,38
00783.png,38,18
00786.png,2,28
00789.png,38,35
00792.png,1,18
00793.png,3,1
00794.png,1,17
00796.png,15,13
00801.png,25,11
00803.png,5,1
00805.png,2,14
00806.png,26,25
00807.png,0,1
00809.png,0,1
00813.png,13,11
00824.png,25,11
00825.png,4,1
00828.png,38,35
00829.png,27,18
00830.png,37,35
00832.png,1,4
00838.png,15,10
00845.png,4,1
00853.png,29,14
00854.png,24,18
00859.png,11,30
00867.png,9,10
00872.png,10,17
00878.png,3,11
00879.png,23,13
00883.png,30,18
00886.png,33,18
00889.png,2,1
00891.png,13,11
00892.png,33,34
00894.png,35,15
00896.png,15,13
00899.png,42,13
00902.png,38,35
00904.png,27,28
00908.png,38,17
00912.png,23,41
00922.png,4,1
00923.png,1,18
00924.png,19,11
00933.png,38,13
00937.png,2,10
00939.png,12,11
00941.png,29,18
00943.png,0,2
00944.png,38,35
00950.png,12,13
00951.png,31,13
00955.png,1,2
00957.png,36,37
00958.png,7,10
00959.png,20,13
00960.png,27,11
00965.png,5,1
00966.png,32,13
00970.png,12,13
00975.png,8,1
00976.png,23,11
00979.png,2,1
00983.png,5,15
00984.png,31,17
00987.png,31,11
00988.png,7,17
00990.png,0,1
00991.png,23,28
00996.png,25,30
00997.png,38,34
01004.png,10,17
01008.png,12,13
01010.png,8,11
01012.png,2,5
01017.png,4,1
01023.png,35,38
01027.png,4,2
01037.png,2,1
01040.png,38,35
01042.png,12,11
01050.png,4,20
01051.png,18,11
01052.png,4,1
01053.png,34,35
01060.png,5,1
01065.png,7,11
01068.png,4,11
01071.png,2,1
01073.png,39,38
01075.png,42,18
01078.png,11,13
01081.png,2,1
01084.png,2,1
01088.png,5,2
01089.png,4,2
01091.png,33,35
01094.png,31,25
01097.png,9,10
01101.png,20,11
01104.png,23,11
01105.png,5,13
01108.png,38,35
01109.png,12,11
01111.png,5,17
01113.png,10,13
01115.png,33,35
01121.png,41,18
01122.png,35,33
01123.png,40,33
01125.png,7,8
01127.png,8,11
01131.png,8,13
01132.png,40,34
01137.png,18,25
01150.png,32,13
01154.png,10,17
01155.png,33,34
01162.png,13,23
01164.png,4,8
01169.png,20,18
01171.png,41,11
01174.png,38,35
01175.png,39,35
01178.png,5,10
01182.png,31,13
01183.png,24,18
01186.png,22,18
01188.png,8,17
01189.png,12,13
01190.png,10,17
01197.png,9,15
01205.png,29,28
01206.png,40,35
01209.png,11,18
01212.png,39,38
01214.png,30,11
01218.png,9,15
01222.png,29,23
01225.png,26,18
01230.png,5,3
01233.png,4,17
01234.png,3,17
01235.png,34,33
01236.png,23,11
01237.png,4,8
01240.png,12,13
01242.png,37,36
01243.png,35,36
01246.png,28,11
01249.png,12,17
01252.png,8,5
01254.png,37,33
01256.png,31,13
01258.png,9,10
01261.png,8,1
01262.png,9,15
01265.png,38,35
01268.png,2,10
01270.png,2,1
01273.png,2,1
01274.png,42,10
01275.png,8,24
01276.png,18,31
01277.png,14,17
01278.png,5,2
01281.png,1,11
01284.png,11,25
01288.png,8,1
01289.png,34,35
01290.png,4,2
01291.png,38,40
01292.png,14,17
01299.png,7,1
01300.png,38,39
01306.png,4,3
01307.png,19,18
01308.png,23,11
01311.png,8,30
01314.png,34,35
01315.png,35,17
01317.png,25,28
01323.png,5,13
01326.png,42,11
01333.png,9,10
01336.png,34,35
01339.png,31,11
01341.png,9,10
01347.png,38,13
01352.png,25,28
01353.png,8,1
01363.png,11,30
01369.png,2,10
01373.png,41,16
01376.png,8,4
01378.png,34,35
01385.png,4,12
01386.png,4,1
01390.png,8,7
01391.png,38,35
01402.png,30,11
01403.png,2,17
01404.png,38,33
01410.png,15,9
01416.png,3,18
01420.png,12,11
01426.png,10,17
01431.png,27,28
01433.png,8,1
01436.png,11,13
01437.png,38,35
01440.png,5,14
01456.png,38,13
01458.png,38,33
01460.png,10,17
01462.png,42,11
01466.png,8,1
01467.png,5,18
01468.png,7,15
01469.png,20,11
01471.png,2,14
01472.png,3,25
01476.png,2,1
01478.png,4,10
01480.png,25,11
01487.png,32,13
01491.png,2,1
01492.png,5,13
01495.png,34,38
01498.png,2,1
01499.png,8,13
01501.png,8,17
01503.png,9,10
01508.png,38,25
01518.png,16,17
01519.png,0,1
01520.png,8,7
01529.png,38,39
01536.png,38,35
01537.png,39,38
01538.png,5,10
01541.png,29,28
01546.png,2,4
01547.png,5,1
01549.png,25,11
01552.png,5,1
01553.png,3,10
01557.png,28,11
01558.png,2,14
01559.png,20,19
01560.png,42,11
01564.png,22,18
01566.png,25,11
01569.png,5,3
01572.png,20,11
01573.png,3,2
01574.png,9,14
01578.png,3,1
01581.png,13,17
01582.png,30,11
01583.png,21,18
01584.png,2,17
01587.png,35,33
01597.png,26,13
01600.png,38,35
01602.png,1,2
01605.png,8,10
01611.png,23,11
01612.png,42,41
01613.png,16,10
01618.png,12,17
01619.png,2,17
01624.png,7,14
01627.png,38,35
01628.png,21,28
01636.png,10,11
01643.png,19,20
01644.png,8,1
01646.png,34,35
01656.png,7,8
01658.png,12,35
01663.png,31,17
01666.png,16,10
01667.png,6,11
01675.png,22,17
01683.png,23,18
01685.png,38,36
01686.png,7,13
01687.png,38,35
01691.png,34,33
01694.png,5,13
01698.png,38,35
01699.png,27,18
01700.png,6,11
01701.png,5,1
01707.png,7,8
01709.png,30,29
01713.png,30,13
01714.png,42,13
01715.png,10,31
01726.png,10,11
01728.png,31,18
01734.png,2,18
01738.png,17,13
01742.png,25,24
01743.png,2,5
01745.png,5,30
01746.png,39,38
01747.png,12,13
01748.png,8,7
01750.png,26,18
01751.png,20,19
01752.png,31,11
01754.png,38,35
01755.png,5,10
01757.png,7,17
01759.png,21,11
01760.png,20,11
01761.png,37,35
01762.png,17,13
01765.png,34,33
01770.png,3,17
01771.png,3,10
01773.png,10,18
01774.png,4,13
01778.png,35,33
01779.png,35,36
01781.png,38,11
01782.png,8,17
01784.png,35,36
01787.png,5,1
01789.png,7,17
01790.png,40,35
01797.png,31,11
01805.png,28,2
01807.png,16,11
01808.png,9,10
01811.png,4,11
01812.png,12,11
01816.png,8,10
01819.png,6,42
01827.png,23,11
01828.png,35,38
01830.png,7,30
01832.png,5,18
01841.png,33,35
01846.png,4,14
01853.png,0,1
01854.png,29,11
01855.png,5,10
01859.png,38,35
01861.png,42,13
01863.png,1,14
01865.png,21,11
01867.png,33,34
01871.png,33,34
01872.png,9,10
01877.png,2,17
01884.png,5,1
01889.png,39,38
01892.png,1,10
01893.png,4,3
01896.png,23,11
01899.png,38,13
01902.png,31,17
01904.png,36,35
01905.png,38,35
01907.png,31,25
01908.png,38,35
01909.png,8,10
01910.png,22,18
01912.png,9,18
01916.png,29,17
01917.png,16,10
01920.png,8,1
01921.png,22,13
01922.png,5,2
01924.png,4,0
01926.png,34,35
01935.png,17,18
01936.png,8,3
01939.png,5,13
01947.png,18,21
01950.png,15,10
01952.png,5,1
01960.png,1,2
01966.png,7,18
01968.png,1,18
01969.png,40,14
01976.png,30,18
01980.png,10,17
01986.png,2,15
01987.png,22,18
01988.png,8,17
01991.png,2,8
01998.png,3,10
01999.png,3,10
02000.png,34,8
02001.png,38,35
02005.png,26,18
02008.png,4,8
02013.png,10,17
02014.png,22,18
02025.png,4,0
02026.png,1,17
02035.png,35,11
