Name,Orig_Label,Pred_Label
00003.png,33,34
00005.png,38,39
00008.png,25,21
00009.png,35,37
00012.png,23,31
00015.png,9,10
00018.png,27,25
00024.png,1,2
00033.png,23,31
00039.png,8,5
00040.png,7,8
00044.png,24,25
00050.png,25,38
00053.png,9,10
00062.png,4,9
00063.png,9,10
00065.png,9,10
00067.png,2,5
00068.png,5,2
00069.png,28,29
00072.png,30,31
00074.png,5,12
00079.png,25,27
00080.png,21,11
00081.png,33,35
00083.png,7,10
00086.png,3,2
00088.png,22,11
00099.png,33,34
00104.png,33,34
00108.png,33,34
00112.png,16,9
00114.png,30,20
00117.png,29,28
00122.png,1,2
00124.png,2,9
00127.png,30,20
00137.png,40,38
00141.png,4,8
00145.png,25,38
00148.png,11,17
00150.png,7,8
00151.png,24,11
00152.png,11,25
00155.png,3,5
00159.png,4,1
00163.png,25,28
00164.png,18,26
00176.png,3,5
00177.png,40,38
00184.png,20,19
00187.png,1,2
00202.png,4,8
00203.png,1,2
00204.png,17,14
00213.png,5,2
00232.png,33,34
00235.png,19,20
00239.png,18,26
00242.png,20,21
00243.png,0,2
00247.png,8,5
00252.png,0,1
00260.png,35,2
00263.png,25,21
00264.png,1,5
00269.png,18,26
00271.png,18,26
00277.png,39,38
00281.png,35,12
00283.png,26,11
00286.png,33,34
00287.png,30,11
00294.png,5,10
00295.png,1,3
00297.png,28,25
00299.png,26,18
00305.png,3,10
00309.png,38,40
00310.png,19,31
00319.png,4,8
00321.png,4,8
00332.png,3,5
00335.png,6,42
00338.png,4,5
00339.png,22,23
00344.png,38,39
00346.png,18,22
00361.png,38,12
00363.png,39,38
00368.png,19,20
00371.png,18,21
00378.png,1,5
00380.png,19,20
00386.png,34,38
00393.png,2,1
00394.png,1,4
00396.png,4,8
00403.png,0,1
00404.png,38,36
00406.png,8,5
00412.png,2,7
00421.png,4,7
00422.png,19,20
00430.png,11,30
00432.png,34,35
00462.png,25,28
00487.png,31,26
00492.png,4,12
00496.png,30,20
00499.png,40,13
00501.png,30,25
00513.png,22,25
00514.png,38,39
00517.png,1,2
00520.png,18,26
00527.png,5,1
00550.png,4,2
00559.png,24,18
00565.png,23,20
00575.png,33,38
00576.png,3,5
00579.png,0,1
00583.png,1,2
00586.png,2,1
00592.png,16,1
00596.png,4,8
00604.png,3,5
00606.png,7,10
00610.png,27,25
00624.png,7,16
00627.png,8,5
00634.png,4,8
00637.png,29,28
00663.png,7,8
00664.png,13,14
00672.png,36,37
00675.png,0,1
00677.png,18,13
00690.png,5,7
00696.png,5,9
00705.png,16,9
00708.png,18,26
00727.png,11,30
00734.png,15,16
00738.png,4,8
00741.png,1,2
00745.png,17,13
00749.png,30,25
00760.png,3,2
00763.png,3,5
00773.png,28,11
00775.png,4,8
00778.png,0,1
00779.png,33,34
00781.png,39,38
00794.png,1,5
00800.png,38,12
00809.png,0,2
00812.png,4,2
00823.png,4,8
00829.png,27,11
00830.png,37,36
00839.png,11,12
00845.png,4,5
00859.png,11,30
00860.png,5,3
00865.png,33,34
00870.png,42,6
00878.png,3,5
00879.png,23,20
00882.png,10,6
00886.png,33,35
00892.png,33,34
00899.png,42,6
00904.png,27,28
00914.png,18,12
00924.png,19,20
00930.png,38,39
00934.png,1,2
00941.png,29,11
00948.png,34,33
00949.png,22,18
00957.png,36,38
00958.png,7,8
00959.png,20,21
00960.png,27,25
00966.png,32,13
00967.png,3,8
00971.png,7,8
00980.png,13,12
00988.png,7,10
00991.png,23,25
00992.png,7,8
01010.png,8,5
01013.png,10,20
01022.png,11,30
01025.png,30,31
01038.png,35,38
01043.png,7,8
01067.png,32,6
01069.png,41,42
01073.png,39,38
01086.png,18,30
01091.png,33,34
01095.png,37,40
01100.png,35,38
01101.png,20,19
01104.png,23,31
01115.png,33,35
01118.png,3,5
01122.png,35,36
01127.png,8,5
01132.png,40,38
01133.png,4,2
01134.png,4,8
01141.png,33,38
01148.png,5,2
01159.png,1,2
01161.png,4,8
01170.png,11,28
01175.png,39,38
01177.png,18,26
01184.png,37,36
01197.png,9,10
01200.png,5,2
01201.png,5,2
01203.png,4,8
01209.png,11,30
01210.png,18,21
01212.png,39,38
01232.png,4,8
01233.png,4,8
01234.png,3,10
01235.png,34,33
01242.png,37,36
01252.png,8,5
01254.png,37,36
01258.png,9,10
01261.png,8,7
01263.png,5,7
01268.png,2,5
01275.png,8,5
01276.png,18,21
01278.png,5,2
01284.png,11,23
01297.png,33,34
01303.png,1,2
01304.png,33,38
01307.png,19,20
01319.png,35,38
01321.png,9,16
01332.png,4,2
01334.png,1,3
01336.png,34,35
01338.png,42,6
01352.png,25,14
01356.png,28,25
01360.png,26,25
01361.png,3,5
01363.png,11,30
01364.png,8,5
01370.png,33,35
01375.png,18,26
01376.png,8,2
01377.png,3,13
01383.png,38,39
01385.png,4,5
01402.png,30,20
01413.png,34,38
01431.png,27,21
01434.png,23,31
01452.png,5,10
01455.png,18,13
01472.png,3,5
01475.png,18,20
01490.png,12,11
01496.png,38,12
01504.png,7,8
01506.png,1,2
01508.png,38,12
01519.png,0,2
01527.png,2,7
01552.png,5,4
01553.png,3,5
01564.png,22,26
01571.png,1,12
01573.png,3,5
01578.png,3,5
01585.png,7,10
01591.png,38,39
01599.png,4,8
01611.png,23,11
01612.png,42,1
01619.png,2,4
01622.png,38,39
01640.png,33,34
01643.png,19,20
01644.png,8,7
01676.png,7,8
01682.png,17,12
01683.png,23,26
01693.png,17,5
01695.png,26,18
01697.png,30,20
01699.png,27,11
01704.png,16,10
01709.png,30,25
01710.png,1,5
01731.png,33,34
01736.png,4,8
01743.png,2,4
01746.png,39,38
01761.png,37,36
01762.png,17,14
01764.png,23,11
01774.png,4,2
01780.png,33,34
01790.png,40,34
01796.png,14,17
01805.png,28,11
01811.png,4,1
01814.png,36,35
01817.png,18,21
01824.png,30,20
01832.png,5,2
01836.png,15,3
01840.png,27,28
01841.png,33,34
01846.png,4,2
01850.png,35,39
01853.png,0,1
01855.png,5,9
01856.png,24,3
01861.png,42,12
01863.png,1,14
01865.png,21,11
01867.png,33,34
01871.png,33,34
01877.png,2,1
01878.png,7,8
01879.png,25,11
01884.png,5,2
01886.png,18,26
01889.png,39,38
01893.png,4,8
01898.png,21,18
01910.png,22,25
01915.png,38,39
01919.png,35,36
01924.png,4,2
01929.png,1,2
01935.png,17,32
01936.png,8,5
01939.png,5,8
01943.png,10,20
01947.png,18,31
01952.png,5,1
01963.png,26,13
01966.png,7,5
01969.png,40,13
01971.png,9,10
01972.png,5,13
01985.png,25,31
01990.png,7,2
01996.png,35,34
02002.png,8,5
02006.png,17,14
02010.png,36,37
02025.png,4,1
02035.png,35,40
02037.png,35,36
02041.png,4,8
02042.png,7,8
02045.png,0,1
02052.png,25,11
02062.png,2,4
02065.png,18,28
02069.png,18,26
02076.png,33,35
02079.png,17,14
02087.png,18,30
02090.png,31,20
02091.png,28,11
02092.png,9,10
02095.png,37,40
02108.png,36,37
02112.png,18,26
02119.png,3,5
02121.png,18,26
02124.png,11,30
02135.png,35,36
02146.png,13,12
02147.png,18,31
02154.png,1,2
02157.png,27,25
02158.png,3,5
02167.png,16,10
02178.png,5,2
02181.png,26,21
02201.png,38,39
02204.png,33,35
02210.png,7,8
02211.png,27,21
02227.png,8,5
02233.png,10,1
02235.png,8,5
02254.png,3,5
02283.png,9,10
02297.png,2,3
02305.png,1,2
02306.png,4,8
02312.png,1,2
02318.png,3,5
02326.png,19,11
02327.png,2,4
02328.png,10,5
02329.png,14,17
02330.png,28,11
02332.png,42,12
02335.png,1,5
02337.png,38,39
02338.png,8,6
02342.png,18,21
02346.png,5,1
02347.png,29,25
02348.png,4,2
02349.png,13,32
02352.png,5,2
02353.png,4,8
02358.png,33,34
02367.png,1,2
02370.png,21,18
02372.png,1,2
02375.png,33,34
02376.png,4,1
02378.png,25,20
02384.png,22,31
02386.png,4,20
02390.png,18,26
02397.png,3,5
02406.png,34,33
02417.png,13,17
02421.png,8,2
02448.png,19,20
02454.png,2,17
02457.png,2,9
02460.png,11,30
02464.png,9,10
02472.png,2,1
02474.png,16,2
02476.png,23,8
02481.png,11,25
02494.png,2,1
02503.png,39,38
02511.png,20,11
02512.png,5,4
02517.png,29,28
02520.png,3,5
02522.png,3,5
02531.png,25,30
02553.png,4,10
02555.png,18,25
02556.png,7,8
02559.png,23,31
02561.png,4,2
02565.png,5,4
02567.png,7,8
02577.png,4,2
02584.png,19,18
02585.png,2,3
02603.png,4,7
02606.png,28,25
02622.png,35,12
02623.png,5,1
02625.png,5,2
02632.png,1,7
02637.png,5,2
02645.png,3,5
02646.png,5,1
02647.png,31,12
02650.png,37,36
02653.png,9,10
02660.png,30,25
02684.png,33,34
02688.png,7,2
02692.png,38,39
02701.png,35,38
02702.png,37,36
02708.png,26,25
02711.png,10,5
02736.png,2,5
02737.png,3,5
02748.png,27,11
02751.png,24,17
02753.png,5,42
02758.png,5,8
02759.png,36,38
02762.png,38,39
02778.png,4,2
02782.png,18,26
02787.png,31,21
02791.png,38,33
02796.png,7,8
02802.png,28,29
02809.png,38,39
02812.png,7,5
02814.png,39,38
02817.png,19,20
02824.png,38,39
02835.png,1,2
02836.png,5,8
02837.png,31,20
02841.png,38,39
02842.png,11,28
02846.png,23,31
02854.png,18,25
02860.png,5,9
02880.png,39,38
02887.png,4,2
02891.png,39,38
02906.png,37,36
02909.png,14,17
02918.png,23,11
02922.png,7,8
02936.png,18,26
02937.png,13,17
02939.png,2,5
02943.png,18,26
02948.png,15,32
02952.png,33,34
02954.png,23,31
02961.png,3,10
02962.png,22,11
02969.png,17,14
02975.png,1,2
02978.png,36,37
02987.png,6,12
02993.png,30,20
02996.png,18,32
02998.png,41,42
03003.png,15,9
03004.png,11,18
03012.png,27,28
03019.png,38,39
03022.png,28,25
03031.png,1,2
03036.png,5,1
03037.png,1,2
03039.png,42,19
03043.png,30,13
03046.png,28,31
03056.png,19,20
03059.png,20,28
03086.png,8,5
03092.png,33,34
03098.png,9,2
03101.png,18,22
03107.png,22,11
03109.png,39,38
03114.png,23,31
03117.png,36,37
03123.png,4,8
03132.png,1,5
03138.png,7,10
03143.png,20,25
03147.png,1,5
03159.png,5,7
03162.png,33,34
03166.png,16,2
03172.png,18,30
03173.png,38,12
03184.png,3,5
03198.png,1,5
03208.png,1,7
03210.png,7,16
03211.png,1,2
03218.png,38,39
03220.png,24,26
03224.png,11,30
03235.png,27,28
03240.png,4,2
03245.png,9,3
03248.png,1,2
03250.png,27,26
03256.png,11,12
03257.png,8,10
03263.png,3,5
03265.png,16,8
03281.png,0,4
03286.png,14,17
03287.png,8,10
03294.png,21,11
03296.png,3,17
03298.png,18,31
03304.png,1,2
03309.png,2,5
03310.png,25,11
03316.png,3,1
03337.png,20,11
03341.png,39,38
03353.png,37,33
03363.png,29,28
03382.png,1,2
03384.png,4,8
03389.png,5,2
03390.png,4,5
03398.png,7,8
03400.png,3,8
03405.png,19,12
03416.png,23,25
03423.png,2,14
03431.png,4,8
03433.png,11,25
03439.png,1,2
03445.png,1,2
03456.png,35,38
03457.png,22,11
03461.png,1,2
03469.png,36,35
03470.png,8,10
03475.png,1,5
03476.png,16,10
03485.png,18,30
03490.png,11,30
03502.png,8,5
03520.png,2,1
03521.png,24,13
03530.png,4,8
03534.png,1,2
