Name,Orig_Label,Pred_Label
00003.png,33,36
00017.png,20,19
00019.png,38,33
00020.png,4,2
00021.png,33,34
00024.png,1,15
00032.png,34,33
00035.png,17,15
00039.png,8,5
00047.png,10,9
00050.png,25,38
00055.png,35,15
00067.png,2,5
00068.png,5,15
00072.png,30,11
00073.png,34,33
00077.png,10,16
00092.png,2,1
00095.png,32,41
00099.png,33,35
00100.png,1,2
00108.png,33,15
00113.png,10,12
00114.png,30,31
00117.png,29,18
00119.png,17,32
00120.png,13,15
00122.png,1,13
00132.png,14,2
00135.png,10,16
00140.png,41,9
00145.png,25,39
00147.png,41,15
00163.png,25,28
00166.png,13,11
00167.png,14,1
00175.png,1,2
00176.png,3,30
00180.png,8,4
00181.png,4,2
00185.png,25,41
00187.png,1,2
00191.png,29,26
00196.png,8,2
00197.png,38,32
00198.png,18,21
00199.png,28,18
00207.png,31,12
00211.png,38,33
00213.png,5,2
00217.png,5,2
00220.png,2,9
00222.png,5,2
00227.png,5,2
00229.png,36,38
00230.png,25,11
00232.png,33,32
00235.png,19,20
00242.png,20,19
00248.png,12,15
00249.png,38,32
00250.png,20,31
00252.png,0,1
00254.png,34,1
00255.png,28,1
00256.png,35,15
00258.png,25,1
00266.png,5,1
00272.png,34,33
00276.png,34,12
00277.png,39,15
00288.png,17,13
00304.png,4,2
00306.png,32,41
00310.png,19,20
00311.png,11,25
00313.png,38,40
00315.png,42,32
00316.png,2,15
00317.png,40,33
00318.png,17,15
00335.png,6,41
00337.png,34,38
00338.png,4,3
00339.png,22,23
00341.png,29,18
00342.png,9,41
00344.png,38,39
00349.png,28,18
00356.png,35,4
00363.png,39,38
00368.png,19,20
00380.png,19,20
00386.png,34,13
00394.png,1,15
00397.png,38,39
00398.png,4,3
00403.png,0,4
00404.png,38,39
00406.png,8,4
00408.png,5,15
00414.png,29,25
00421.png,4,0
00423.png,9,10
00428.png,38,40
00432.png,34,12
00433.png,34,33
00439.png,3,2
00443.png,30,22
00444.png,25,22
00447.png,38,15
00450.png,9,2
00454.png,1,2
00455.png,38,25
00458.png,39,41
00461.png,25,13
00463.png,17,9
00470.png,8,7
00475.png,12,13
00477.png,36,35
00482.png,35,15
00490.png,17,15
00491.png,26,25
00492.png,4,13
00493.png,3,0
00499.png,40,34
00501.png,30,15
00506.png,32,41
00513.png,22,26
00517.png,1,41
00524.png,11,18
00527.png,5,15
00539.png,35,13
00540.png,8,2
00543.png,12,13
00549.png,12,13
00550.png,4,2
