Name,Orig_Label,Pred_Label
00001.png,1,2
00017.png,20,19
00023.png,3,42
00039.png,8,5
00050.png,25,18
00055.png,35,40
00063.png,9,10
00064.png,15,10
00068.png,5,3
00073.png,34,33
00099.png,33,34
00114.png,30,31
00122.png,1,4
00127.png,30,26
00131.png,3,17
00149.png,21,11
00164.png,18,26
00168.png,29,22
00184.png,20,19
00191.png,29,25
00196.png,8,7
00198.png,18,21
00222.png,5,1
00230.png,25,11
00232.png,33,34
00235.png,19,20
00242.png,20,19
00246.png,5,3
00250.png,20,19
00255.png,28,25
00258.png,25,12
00269.png,18,22
00277.png,39,38
00279.png,1,9
00304.png,4,2
00305.png,3,9
00313.png,38,40
00326.png,9,10
00335.png,6,42
00339.png,22,25
00347.png,7,10
00351.png,2,4
00355.png,40,34
00363.png,39,38
00368.png,19,20
00376.png,41,42
00379.png,18,13
00380.png,19,20
00393.png,2,3
00401.png,36,35
00403.png,0,9
00408.png,5,1
00416.png,10,31
00419.png,2,9
00421.png,4,15
00422.png,19,25
00430.png,11,30
00448.png,38,40
00450.png,9,3
00458.png,39,38
00461.png,25,11
00464.png,2,1
00472.png,3,10
00478.png,24,18
00479.png,13,12
00490.png,17,9
00491.png,26,25
00492.png,4,2
00497.png,9,10
00499.png,40,38
00501.png,30,28
00502.png,9,4
00504.png,23,28
00507.png,42,41
00513.png,22,25
00515.png,33,35
00550.png,4,41
00565.png,23,20
00573.png,6,41
00576.png,3,2
00596.png,4,2
00603.png,19,20
00626.png,28,25
00632.png,25,31
00637.png,29,28
00641.png,8,2
00647.png,7,8
00653.png,5,2
00663.png,7,8
00669.png,4,14
00672.png,36,37
00673.png,35,39
00689.png,34,33
00695.png,4,5
00735.png,38,39
00739.png,1,2
00740.png,3,8
00749.png,30,28
00759.png,23,31
00767.png,5,2
00781.png,39,38
00789.png,38,32
00812.png,4,1
00814.png,17,28
00827.png,2,1
00829.png,27,25
00830.png,37,36
00833.png,18,8
00837.png,9,15
00857.png,28,22
00859.png,11,30
00878.png,3,5
00892.png,33,34
00894.png,35,38
00898.png,33,34
00904.png,27,28
00914.png,18,41
00924.png,19,20
00959.png,20,19
00960.png,27,21
00975.png,8,18
00979.png,2,4
01021.png,1,2
01022.png,11,30
01033.png,41,42
01034.png,10,5
01070.png,8,2
01073.png,39,38
01088.png,5,2
01095.png,37,36
01098.png,18,30
01101.png,20,19
01103.png,20,22
01105.png,5,2
01111.png,5,7
01123.png,40,33
01131.png,8,7
01139.png,35,12
01147.png,4,2
01170.png,11,25
01174.png,38,39
01177.png,18,25
01183.png,24,18
01184.png,37,38
01203.png,4,5
01206.png,40,34
01209.png,11,30
01210.png,18,28
01212.png,39,38
01219.png,11,25
01231.png,5,2
01234.png,3,13
01236.png,23,25
01242.png,37,36
01245.png,28,11
01252.png,8,2
01276.png,18,21
01308.png,23,29
01317.png,25,11
01323.png,5,2
01363.png,11,30
01365.png,10,17
01370.png,33,34
01373.png,41,42
01385.png,4,2
01386.png,4,2
01402.png,30,11
01416.png,3,16
01436.png,11,25
01443.png,4,5
01456.png,38,12
01462.png,42,40
01469.png,20,19
01475.png,18,20
01484.png,8,7
01492.png,5,2
01496.png,38,42
01497.png,7,2
01519.png,0,4
01525.png,18,26
01541.png,29,28
01552.png,5,1
01556.png,4,10
01560.png,42,32
01567.png,10,9
01572.png,20,25
01573.png,3,2
01595.png,8,7
01618.png,12,38
01625.png,25,31
01640.png,33,34
01643.png,19,20
01656.png,7,8
01694.png,5,2
01709.png,30,29
01713.png,30,29
01741.png,36,38
01746.png,39,38
01760.png,20,19
01764.png,23,25
01774.png,4,2
01777.png,3,16
01779.png,35,38
01781.png,38,17
01784.png,35,38
01789.png,7,8
01817.png,18,21
01825.png,4,8
01829.png,38,39
01831.png,5,8
01841.png,33,34
