Name,Orig_Label,Pred_Label
00001.png,1,3
00003.png,33,14
00007.png,12,11
00008.png,25,11
00011.png,7,3
00012.png,23,11
00014.png,4,1
00018.png,27,18
00020.png,4,18
00028.png,9,8
00030.png,5,14
00033.png,23,18
00036.png,3,8
00038.png,16,17
00041.png,30,18
00044.png,24,18
00045.png,25,11
00047.png,10,11
00050.png,25,13
00058.png,9,15
00063.png,9,10
00065.png,9,16
00073.png,34,35
00078.png,25,13
00082.png,25,17
00084.png,10,17
00087.png,7,8
00090.png,3,17
00091.png,1,3
00101.png,10,17
00104.png,33,38
00108.png,33,34
00109.png,4,5
00113.png,10,35
00115.png,3,1
00116.png,27,21
00117.png,29,11
00123.png,8,7
00131.png,3,5
00137.png,40,38
00138.png,2,9
00142.png,6,11
00145.png,25,20
00149.png,21,11
00152.png,11,26
00155.png,3,12
00158.png,7,8
00159.png,4,11
00161.png,16,11
00162.png,4,12
00163.png,25,20
00164.png,18,11
00168.png,29,28
00175.png,1,3
00177.png,40,35
00181.png,4,10
00182.png,36,37
00183.png,25,11
00184.png,20,11
00186.png,18,30
00189.png,8,13
00191.png,29,13
00196.png,8,4
00197.png,38,13
00199.png,28,11
00201.png,9,15
00207.png,31,18
00211.png,38,13
00213.png,5,2
00220.png,2,1
00221.png,4,12
00229.png,36,38
00232.png,33,35
00235.png,19,20
00237.png,30,17
00247.png,8,3
00248.png,12,11
00249.png,38,35
00252.png,0,8
00255.png,28,11
00256.png,35,33
00258.png,25,26
00264.png,1,11
00265.png,12,13
00266.png,5,13
00270.png,18,26
00273.png,9,10
00274.png,25,11
00277.png,39,38
00278.png,31,17
00279.png,1,2
00284.png,1,15
00286.png,33,35
00287.png,30,13
00299.png,26,18
00304.png,4,0
00309.png,38,30
00310.png,19,20
00322.png,5,26
00326.png,9,10
00327.png,38,35
00330.png,4,18
00332.png,3,30
00337.png,34,38
00339.png,22,23
00341.png,29,28
00343.png,2,1
00351.png,2,3
00355.png,40,35
00363.png,39,11
00364.png,3,24
00367.png,38,12
00371.png,18,28
00372.png,3,13
00376.png,41,42
00379.png,18,11
00380.png,19,11
00382.png,38,33
00385.png,25,11
00386.png,34,35
00393.png,2,3
00396.png,4,20
00403.png,0,1
00404.png,38,35
00407.png,25,27
00408.png,5,17
00412.png,2,11
00413.png,26,18
00414.png,29,11
00429.png,34,35
00430.png,11,30
00435.png,6,16
00437.png,10,18
00440.png,22,18
00442.png,7,10
00443.png,30,23
00447.png,38,35
00449.png,8,10
00452.png,2,14
00453.png,40,35
00454.png,1,11
00457.png,8,7
00461.png,25,11
00465.png,38,35
00477.png,36,35
00481.png,2,3
00482.png,35,33
00491.png,26,11
00492.png,4,11
00493.png,3,1
00496.png,30,20
00499.png,40,35
00500.png,22,11
00502.png,9,10
00504.png,23,11
00506.png,32,12
00507.png,42,11
00511.png,2,1
00512.png,25,11
00513.png,22,18
00514.png,38,33
00515.png,33,35
00517.png,1,17
00519.png,4,8
00521.png,26,11
00526.png,3,18
00532.png,23,13
00535.png,31,11
00537.png,6,41
00538.png,10,11
00540.png,8,7
00545.png,1,2
00550.png,4,28
00551.png,5,13
00554.png,38,35
00561.png,10,11
00563.png,18,13
00566.png,10,17
00567.png,10,13
00576.png,3,5
00579.png,0,28
00580.png,17,12
00581.png,10,42
00586.png,2,14
00587.png,30,11
00589.png,5,1
00592.png,16,11
00596.png,4,11
00597.png,29,28
00598.png,2,1
00600.png,2,12
00603.png,19,31
00604.png,3,10
00606.png,7,3
00608.png,28,12
00611.png,41,42
00618.png,10,17
00619.png,38,35
00626.png,28,25
00628.png,2,1
00630.png,5,3
00632.png,25,31
00634.png,4,8
00635.png,7,17
00636.png,16,10
00637.png,29,28
00641.png,8,7
00649.png,2,1
00653.png,5,11
00655.png,11,25
00656.png,29,11
00658.png,13,25
00661.png,13,18
00662.png,2,15
00671.png,10,15
00672.png,36,37
00673.png,35,38
00675.png,0,15
00676.png,25,14
00689.png,34,33
00691.png,4,17
00696.png,5,3
00699.png,2,1
00702.png,39,38
00711.png,36,35
00713.png,39,35
00714.png,4,8
00716.png,2,1
00717.png,36,35
00719.png,5,1
00724.png,38,11
00730.png,25,13
00733.png,38,33
00734.png,15,13
00736.png,39,38
00738.png,4,17
00739.png,1,17
00749.png,30,13
00757.png,12,18
00758.png,3,5
00763.png,3,16
00764.png,12,11
00766.png,1,11
00767.png,5,1
00768.png,3,30
00770.png,10,17
00771.png,4,0
00775.png,4,17
00778.png,0,1
00781.png,39,38
00783.png,38,35
00786.png,2,18
00789.png,38,35
00792.png,1,15
00793.png,3,1
00794.png,1,2
00802.png,5,6
00803.png,5,1
00804.png,12,11
00805.png,2,1
00807.png,0,15
00809.png,0,1
00810.png,26,11
00820.png,4,1
00824.png,25,11
00825.png,4,6
00829.png,27,11
00830.png,37,35
00841.png,10,13
00844.png,25,17
00845.png,4,20
00853.png,29,11
00854.png,24,18
00855.png,10,17
00859.png,11,30
00866.png,3,5
00867.png,9,18
00868.png,25,18
00872.png,10,14
00874.png,4,8
00878.png,3,11
00879.png,23,11
00883.png,30,11
00886.png,33,35
00889.png,2,1
00892.png,33,34
00898.png,33,38
00899.png,42,28
00902.png,38,35
00908.png,38,12
00914.png,18,11
00922.png,4,11
00923.png,1,11
00924.png,19,11
00928.png,3,5
00937.png,2,13
00939.png,12,11
00940.png,35,13
00941.png,29,11
00944.png,38,35
00950.png,12,14
00951.png,31,13
00956.png,42,41
