Name,Orig_Label,Pred_Label
00010.png,12,42
00012.png,23,13
00013.png,7,10
00016.png,21,20
00017.png,20,19
00032.png,34,33
00033.png,23,31
00039.png,8,5
00041.png,30,19
00048.png,18,13
00050.png,25,20
00058.png,9,10
00059.png,16,10
00060.png,38,33
00063.png,9,8
00067.png,2,5
00068.png,5,4
00071.png,25,19
00072.png,30,11
00075.png,12,6
00076.png,1,5
00077.png,10,13
00081.png,33,34
00083.png,7,10
00090.png,3,5
00099.png,33,3
00102.png,5,3
00106.png,35,18
00110.png,1,8
00112.png,16,10
00114.png,30,13
00117.png,29,31
00119.png,17,9
00127.png,30,31
00129.png,6,8
00131.png,3,10
00137.png,40,34
00145.png,25,20
00156.png,6,13
00159.png,4,13
00168.png,29,31
00171.png,38,32
00173.png,25,20
00175.png,1,5
00177.png,40,3
00181.png,4,31
00184.png,20,19
00195.png,2,3
00198.png,18,21
00205.png,9,10
00207.png,31,13
00211.png,38,13
00213.png,5,3
00226.png,12,13
00229.png,36,1
00233.png,18,13
00236.png,12,13
00237.png,30,12
00238.png,4,9
00241.png,13,32
00243.png,0,8
00245.png,40,3
00248.png,12,13
00250.png,20,31
00252.png,0,5
00254.png,34,33
00256.png,35,33
00264.png,1,3
00265.png,12,6
00266.png,5,7
00268.png,2,4
00270.png,18,25
00272.png,34,33
00273.png,9,10
00277.png,39,38
00280.png,9,3
00281.png,35,42
00286.png,33,34
00287.png,30,20
00300.png,12,13
00308.png,7,8
00309.png,38,6
00310.png,19,13
00314.png,1,2
00317.png,40,3
00319.png,4,8
00321.png,4,3
00323.png,6,13
00328.png,8,3
00330.png,4,18
00339.png,22,25
00355.png,40,34
00358.png,38,1
00361.png,38,13
00363.png,39,13
00365.png,11,30
00367.png,38,13
00376.png,41,42
00378.png,1,3
00380.png,19,13
00387.png,12,13
00389.png,9,5
00390.png,4,5
00393.png,2,3
00394.png,1,4
00395.png,5,8
00400.png,38,13
00405.png,36,2
00418.png,9,13
00420.png,3,5
00421.png,4,9
00427.png,20,31
00429.png,34,33
00430.png,11,30
00437.png,10,3
00443.png,30,29
00448.png,38,33
00454.png,1,2
00458.png,39,38
00468.png,14,17
00476.png,35,13
00477.png,36,1
00482.png,35,33
00483.png,6,4
00488.png,9,10
00492.png,4,2
00494.png,10,13
00496.png,30,11
00499.png,40,3
00501.png,30,29
00504.png,23,18
00507.png,42,10
00510.png,8,7
00511.png,2,5
00513.png,22,26
00521.png,26,18
00527.png,5,1
00531.png,15,10
00535.png,31,13
00541.png,6,5
00544.png,4,5
00550.png,4,2
00565.png,23,19
00567.png,10,6
00569.png,23,18
00579.png,0,5
00586.png,2,8
00590.png,35,13
00598.png,2,3
00600.png,2,13
00604.png,3,5
00606.png,7,10
00608.png,28,18
00609.png,9,5
00610.png,27,31
00614.png,11,13
00622.png,1,7
00626.png,28,25
00630.png,5,10
00634.png,4,8
00635.png,7,8
00636.png,16,10
00637.png,29,31
00644.png,2,5
00649.png,2,1
00650.png,32,18
00660.png,5,3
00663.png,7,3
00672.png,36,33
00675.png,0,1
00677.png,18,13
00682.png,35,38
00689.png,34,42
00692.png,4,5
00697.png,8,7
00698.png,1,5
00710.png,2,5
00713.png,39,38
00721.png,13,42
00723.png,30,20
00726.png,14,7
00731.png,2,3
00733.png,38,33
00734.png,15,10
00736.png,39,38
00741.png,1,3
00744.png,4,5
00749.png,30,29
00754.png,22,31
00758.png,3,5
00766.png,1,4
00773.png,28,24
00775.png,4,13
00780.png,2,4
00781.png,39,8
00783.png,38,6
00789.png,38,32
00790.png,2,3
