Name,Orig_Label,Pred_Label
00004.png,11,18
00008.png,25,11
00015.png,9,18
00016.png,21,24
00017.png,20,18
00018.png,27,26
00019.png,38,33
00021.png,33,35
00033.png,23,13
00036.png,3,2
00038.png,16,15
00039.png,8,13
00042.png,18,25
00046.png,3,13
00050.png,25,38
00052.png,15,35
00057.png,26,18
00066.png,26,18
00072.png,30,20
00076.png,1,12
00079.png,25,26
00080.png,21,11
00081.png,33,35
00095.png,32,18
00097.png,38,35
00100.png,1,13
00114.png,30,31
00116.png,27,18
00117.png,29,11
00127.png,30,20
00129.png,6,4
00131.png,3,11
00135.png,10,11
00137.png,40,34
00145.png,25,11
00146.png,2,24
00150.png,7,8
00153.png,25,21
00157.png,9,35
00162.png,4,1
00163.png,25,11
00165.png,9,10
00174.png,33,35
00176.png,3,5
00179.png,2,1
00180.png,8,17
00185.png,25,11
00187.png,1,18
00196.png,8,1
00199.png,28,11
00201.png,9,16
00204.png,17,18
00216.png,10,18
00220.png,2,1
00222.png,5,30
00227.png,5,1
00229.png,36,35
00232.png,33,40
00240.png,12,13
00245.png,40,33
00246.png,5,18
00248.png,12,17
00253.png,36,35
00254.png,34,35
00255.png,28,18
00256.png,35,38
00258.png,25,13
00261.png,14,13
00265.png,12,13
00267.png,25,18
00277.png,39,35
00278.png,31,18
00287.png,30,20
00291.png,31,11
00296.png,33,35
00297.png,28,11
00304.png,4,2
00305.png,3,18
00309.png,38,11
00310.png,19,20
00315.png,42,12
00316.png,2,3
00319.png,4,15
00328.png,8,10
00329.png,2,1
00334.png,10,18
00337.png,34,35
00339.png,22,12
00346.png,18,14
00349.png,28,11
00355.png,40,34
00361.png,38,12
00363.png,39,35
00366.png,7,1
00367.png,38,13
00368.png,19,18
00376.png,41,42
00380.png,19,18
00382.png,38,36
00385.png,25,23
00386.png,34,35
00391.png,33,35
00393.png,2,10
00394.png,1,17
00396.png,4,13
00402.png,10,15
00404.png,38,35
00405.png,36,37
00406.png,8,1
00408.png,5,1
00418.png,9,15
00420.png,3,1
00421.png,4,35
00422.png,19,11
00423.png,9,10
00428.png,38,36
00429.png,34,33
00433.png,34,35
00435.png,6,11
00440.png,22,25
00443.png,30,28
00444.png,25,11
00449.png,8,11
00450.png,9,42
00451.png,10,20
00455.png,38,35
00457.png,8,7
00461.png,25,27
00465.png,38,36
00473.png,1,11
00483.png,6,3
00490.png,17,15
00492.png,4,2
00493.png,3,10
00494.png,10,31
00495.png,5,3
00496.png,30,11
00499.png,40,34
00501.png,30,28
00506.png,32,15
00509.png,3,10
00511.png,2,1
00512.png,25,11
00513.png,22,11
00515.png,33,35
00519.png,4,3
00520.png,18,11
00522.png,31,11
00527.png,5,1
00532.png,23,11
00534.png,12,18
00540.png,8,11
00550.png,4,0
00552.png,9,15
00554.png,38,33
00558.png,13,30
00561.png,10,7
00563.png,18,13
00565.png,23,11
00567.png,10,16
00568.png,1,2
00571.png,8,1
00572.png,41,11
00581.png,10,12
00582.png,7,24
00583.png,1,15
00585.png,10,7
00587.png,30,11
00588.png,5,1
00589.png,5,1
00592.png,16,15
00594.png,11,18
00596.png,4,20
00597.png,29,28
00603.png,19,18
00604.png,3,13
00605.png,9,10
00613.png,29,13
00615.png,10,13
00627.png,8,1
00632.png,25,18
00633.png,8,3
00637.png,29,11
00641.png,8,18
00644.png,2,1
00650.png,32,13
00662.png,2,11
00663.png,7,8
00672.png,36,35
00675.png,0,1
00678.png,29,28
00679.png,8,1
00689.png,34,35
00696.png,5,1
00699.png,2,1
00705.png,16,1
00706.png,12,11
00717.png,36,35
00728.png,11,18
00730.png,25,11
00731.png,2,3
00736.png,39,35
00737.png,38,35
00745.png,17,13
00749.png,30,18
00754.png,22,18
00757.png,12,18
00758.png,3,2
00763.png,3,1
00769.png,9,10
