Name,Orig_Label,Pred_Label,Pred_Blurred_5_Label,Pred_Blurred_10_Label,Pred_Blurred_15_Label,Pred_Blurred_20_Label,Pred_Dark_1_Label,Pred_Dark_2_Label,Pred_Dark_3_Label,Pred_Bright_1_Label,Pred_Bright_2_Label,Pred_Bright_3_Label,Pred_Bright_4_Label,Pred_Bright_5_Label,Pred_Bright_6_Label,Pred_Bright_7_Label,Pred_Occl_5_Label,Pred_Occl_10_Label,Pred_Occl_15_Label,Pred_Occl_20_Label,Pred_Occl_25_Label
00000.png,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,16,16,16,16
00001.png,1,1,1,1,1,8,1,1,1,1,1,1,4,1,1,1,1,1,1,1,2
00002.png,38,38,38,38,38,38,38,38,38,38,39,39,38,38,38,38,38,38,38,38,35
00003.png,33,33,36,34,34,34,33,33,33,33,2,1,33,40,40,13,38,33,33,35,35
00004.png,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,18,11,11,11
00005.png,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,35,38
00006.png,18,18,18,25,18,18,18,13,18,18,18,18,11,18,18,18,18,18,13,18,18
00007.png,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,12,12
00008.png,25,25,28,28,18,25,25,25,25,21,25,11,25,25,25,4,25,11,11,25,11
00009.png,35,35,36,37,35,35,35,35,35,35,33,35,35,35,35,35,35,35,35,35,35
00010.png,12,12,12,12,12,12,12,12,42,12,12,12,12,12,13,12,12,12,12,12,12
00011.png,7,7,7,7,7,7,7,7,7,7,7,7,3,7,7,4,7,7,7,7,8
00012.png,23,23,31,23,31,31,23,31,13,31,23,23,23,23,23,23,23,23,31,23,23
00013.png,7,7,7,10,7,10,7,7,10,7,7,7,7,7,7,7,7,7,10,7,7
00014.png,4,4,4,4,4,1,8,3,4,4,4,4,4,4,4,4,2,4,4,13,8
00015.png,9,9,9,9,10,10,9,10,9,9,13,9,9,9,9,9,9,18,9,9,11
00016.png,21,21,21,21,21,23,21,21,20,21,21,28,21,19,31,31,21,24,11,21,11
00017.png,20,19,19,20,20,31,20,20,19,19,19,20,19,19,19,19,19,18,20,20,13
00018.png,27,27,27,26,1,24,27,27,27,27,27,31,27,27,28,28,27,26,11,27,13
00019.png,38,38,38,36,38,36,39,38,38,38,38,14,39,39,38,39,39,33,38,38,38
00020.png,4,4,4,4,8,8,4,4,4,4,4,4,4,9,4,4,4,4,11,11,4
00021.png,33,33,33,35,34,34,33,34,33,33,33,33,33,33,33,33,33,35,33,33,33
00022.png,9,9,9,9,9,10,9,9,9,10,9,9,9,9,9,9,9,9,9,9,15
00023.png,3,3,3,3,5,5,3,3,3,3,3,3,3,3,3,3,3,3,11,11,6
