Name,Orig_Label,Pred_Label
00001.png,1,8
00003.png,33,34
00006.png,18,23
00012.png,23,31
00014.png,4,1
00015.png,9,10
00016.png,21,9
00018.png,27,28
00020.png,4,8
00021.png,33,35
00023.png,3,8
00024.png,1,9
00030.png,5,7
00033.png,23,20
00044.png,24,26
00048.png,18,20
00050.png,25,6
00056.png,5,8
00059.png,16,10
00062.png,4,8
00063.png,9,10
00066.png,26,20
00068.png,5,7
00069.png,28,31
00070.png,11,25
00072.png,30,20
00078.png,25,28
00081.png,33,34
00083.png,7,10
00091.png,1,8
00092.png,2,8
00095.png,32,12
00099.png,33,34
00102.png,5,10
00103.png,11,30
00104.png,33,34
00105.png,4,8
00107.png,25,18
00108.png,33,34
00112.png,16,10
00114.png,30,20
00115.png,3,2
00116.png,27,26
00117.png,29,13
00122.png,1,2
00127.png,30,20
00128.png,1,8
00129.png,6,42
00131.png,3,38
00137.png,40,34
00138.png,2,5
00141.png,4,8
00143.png,18,13
00145.png,25,13
00149.png,21,11
00150.png,7,3
00151.png,24,11
00152.png,11,30
00153.png,25,28
00155.png,3,5
00158.png,7,8
00159.png,4,14
00161.png,16,10
00162.png,4,8
00163.png,25,26
00164.png,18,26
00168.png,29,28
00169.png,17,10
00171.png,38,34
00173.png,25,13
00174.png,33,34
00176.png,3,8
00177.png,40,34
00186.png,18,31
00187.png,1,7
00191.png,29,13
00192.png,12,17
00197.png,38,40
00198.png,18,11
00202.png,4,8
00205.png,9,10
00206.png,2,5
00207.png,31,20
00213.png,5,4
00216.png,10,17
00217.png,5,2
00218.png,4,1
00223.png,1,8
00224.png,14,17
00227.png,5,8
00229.png,36,38
00232.png,33,38
00233.png,18,30
00234.png,33,36
00235.png,19,10
00237.png,30,12
00238.png,4,8
00239.png,18,20
00243.png,0,5
00244.png,10,8
00247.png,8,5
00252.png,0,4
00254.png,34,35
00264.png,1,8
00267.png,25,14
00270.png,18,31
00275.png,18,25
00277.png,39,38
00278.png,31,13
00279.png,1,2
00280.png,9,42
00281.png,35,36
00283.png,26,23
00284.png,1,8
00286.png,33,34
00287.png,30,13
00290.png,1,2
00295.png,1,8
00296.png,33,34
00298.png,35,34
00299.png,26,23
00304.png,4,1
00305.png,3,5
00306.png,32,12
00307.png,1,8
00308.png,7,5
00309.png,38,12
00310.png,19,20
00313.png,38,40
00315.png,42,6
00317.png,40,34
00319.png,4,8
00321.png,4,8
00324.png,31,21
00326.png,9,8
00330.png,4,8
00331.png,18,20
00332.png,3,6
00338.png,4,8
00339.png,22,23
00341.png,29,25
00342.png,9,10
00346.png,18,26
00353.png,14,17
00355.png,40,34
00356.png,35,34
00358.png,38,37
00363.png,39,38
00365.png,11,31
00367.png,38,13
00368.png,19,20
00370.png,10,5
00371.png,18,26
00372.png,3,5
00374.png,26,13
00376.png,41,6
00379.png,18,26
00380.png,19,20
00389.png,9,10
00390.png,4,8
00391.png,33,34
00392.png,28,23
00393.png,2,1
00396.png,4,8
00398.png,4,8
00403.png,0,8
00405.png,36,34
00406.png,8,5
00409.png,2,9
00411.png,14,17
00414.png,29,26
00418.png,9,10
00419.png,2,5
00420.png,3,2
00421.png,4,7
00422.png,19,20
00430.png,11,13
00435.png,6,41
00439.png,3,5
00440.png,22,20
00443.png,30,28
00445.png,1,4
00448.png,38,40
00450.png,9,10
00453.png,40,34
00454.png,1,7
00461.png,25,11
00462.png,25,11
00465.png,38,36
00473.png,1,7
00474.png,35,40
00475.png,12,35
00476.png,35,38
00477.png,36,2
00478.png,24,26
00480.png,33,34
00488.png,9,10
00492.png,4,2
00493.png,3,5
00494.png,10,20
00495.png,5,7
00496.png,30,20
00498.png,31,20
00499.png,40,35
00501.png,30,22
00502.png,9,13
00504.png,23,11
00505.png,4,8
00507.png,42,6
00508.png,1,8
00511.png,2,8
00512.png,25,13
00513.png,22,25
00515.png,33,34
00517.png,1,8
00519.png,4,8
00520.png,18,20
00521.png,26,4
00524.png,11,25
00526.png,3,5
00527.png,5,8
00528.png,18,31
00529.png,4,8
00532.png,23,31
00533.png,1,8
00535.png,31,18
00540.png,8,5
00542.png,5,2
00544.png,4,8
00545.png,1,8
00546.png,1,7
00550.png,4,2
00559.png,24,26
00563.png,18,20
00565.png,23,20
00567.png,10,5
00568.png,1,5
00570.png,3,5
00575.png,33,34
00579.png,0,1
00582.png,7,8
00583.png,1,8
00586.png,2,1
00588.png,5,8
00589.png,5,8
00590.png,35,40
00591.png,13,41
00597.png,29,21
00599.png,26,25
00600.png,2,1
00603.png,19,31
00604.png,3,5
00605.png,9,5
00606.png,7,8
00610.png,27,20
00614.png,11,30
00618.png,10,5
00624.png,7,6
00626.png,28,11
00630.png,5,7
00636.png,16,10
00637.png,29,28
00639.png,9,10
00643.png,11,18
00644.png,2,5
00648.png,1,8
00656.png,29,9
00663.png,7,10
00666.png,14,17
00668.png,11,12
00672.png,36,40
00675.png,0,4
00677.png,18,11
00678.png,29,2
00681.png,14,17
00682.png,35,34
00690.png,5,8
00691.png,4,8
00692.png,4,8
00695.png,4,8
00697.png,8,7
00699.png,2,1
00700.png,3,5
00702.png,39,38
00708.png,18,13
00710.png,2,5
00713.png,39,38
00716.png,2,1
00717.png,36,37
00718.png,1,8
00719.png,5,2
00726.png,14,10
00727.png,11,13
00728.png,11,30
00731.png,2,5
00733.png,38,2
00734.png,15,5
00736.png,39,38
00738.png,4,8
00739.png,1,10
00740.png,3,5
00741.png,1,8
00744.png,4,8
00746.png,4,8
00747.png,2,8
00749.png,30,26
00752.png,9,10
00756.png,2,8
00758.png,3,5
00759.png,23,20
00760.png,3,8
00763.png,3,9
00765.png,4,8
00766.png,1,8
00767.png,5,2
00768.png,3,5
00769.png,9,10
00771.png,4,8
00772.png,13,10
00774.png,3,10
00775.png,4,8
00776.png,15,4
00778.png,0,8
00779.png,33,34
00781.png,39,38
00790.png,2,10
00791.png,5,8
00798.png,4,8
00805.png,2,1
00806.png,26,4
00807.png,0,8
00809.png,0,7
00811.png,31,5
00818.png,1,8
00820.png,4,17
00821.png,14,17
00822.png,3,10
00823.png,4,30
00825.png,4,8
00826.png,15,10
00829.png,27,25
00830.png,37,36
00832.png,1,8
00833.png,18,20
00834.png,28,25
00835.png,11,28
00839.png,11,12
00844.png,25,11
00846.png,1,8
00849.png,23,28
00853.png,29,28
00854.png,24,17
00858.png,3,5
00859.png,11,30
00860.png,5,12
00862.png,9,10
00864.png,1,2
00865.png,33,34
00866.png,3,5
00870.png,42,6
00871.png,35,33
00874.png,4,8
00875.png,1,8
00878.png,3,5
00879.png,23,31
00882.png,10,5
00883.png,30,29
00885.png,24,26
00886.png,33,35
00891.png,13,6
00892.png,33,34
00895.png,5,8
00897.png,31,20
00898.png,33,34
00899.png,42,12
00900.png,11,17
00901.png,24,10
00904.png,27,26
00908.png,38,17
00909.png,38,40
00910.png,1,8
00912.png,23,21
00914.png,18,11
00918.png,35,38
00919.png,5,8
00922.png,4,1
00924.png,19,31
00934.png,1,2
00935.png,11,28
00936.png,31,20
00937.png,2,5
00943.png,0,8
00949.png,22,25
00950.png,12,13
00951.png,31,6
00952.png,15,32
00954.png,31,13
00955.png,1,8
00957.png,36,38
00958.png,7,8
00960.png,27,20
00963.png,14,17
00965.png,5,2
00971.png,7,12
00973.png,4,8
00979.png,2,17
00981.png,7,8
00982.png,1,23
00983.png,5,8
00984.png,31,26
00987.png,31,20
00988.png,7,5
00989.png,39,38
00990.png,0,8
00992.png,7,10
00993.png,38,35
00999.png,16,10
01007.png,3,2
01008.png,12,38
01011.png,10,20
01012.png,2,5
01013.png,10,20
01017.png,4,8
01019.png,5,7
01020.png,14,17
01021.png,1,5
01022.png,11,30
01027.png,4,8
01029.png,1,8
01030.png,18,26
01033.png,41,6
01035.png,2,5
01038.png,35,40
01041.png,9,10
01043.png,7,8
01045.png,31,20
01050.png,4,8
01054.png,40,36
01055.png,11,15
01056.png,11,30
01057.png,33,34
01065.png,7,42
01066.png,31,10
01068.png,4,8
01069.png,41,42
01073.png,39,38
01078.png,11,13
01079.png,21,13
01083.png,10,5
01084.png,2,5
01086.png,18,31
01087.png,4,10
01091.png,33,34
01095.png,37,40
01097.png,9,10
01098.png,18,31
01100.png,35,38
01101.png,20,11
01103.png,20,18
01104.png,23,20
01106.png,8,5
01107.png,9,10
01111.png,5,7
01112.png,11,30
01115.png,33,34
01118.png,3,2
01122.png,35,34
01129.png,1,2
01131.png,8,5
01132.png,40,34
01133.png,4,8
01134.png,4,8
01141.png,33,38
01147.png,4,5
01148.png,5,2
01150.png,32,41
01153.png,1,2
01155.png,33,34
01156.png,4,8
01157.png,35,36
01158.png,9,10
01159.png,1,8
01161.png,4,9
01168.png,2,5
01170.png,11,23
01175.png,39,38
01177.png,18,26
01183.png,24,26
01184.png,37,40
01185.png,12,4
01186.png,22,26
01199.png,14,17
01200.png,5,8
01203.png,4,8
01204.png,3,5
01205.png,29,28
01206.png,40,34
01209.png,11,30
01210.png,18,11
01212.png,39,38
01218.png,9,10
01222.png,29,28
01225.png,26,13
01226.png,1,8
01228.png,11,12
01230.png,5,2
01232.png,4,8
01233.png,4,8
01234.png,3,10
01236.png,23,21
01237.png,4,5
01242.png,37,36
01246.png,28,26
01251.png,1,8
01254.png,37,36
01258.png,9,10
01259.png,5,8
01261.png,8,10
01267.png,18,26
01268.png,2,5
01269.png,14,17
01272.png,3,20
01273.png,2,8
01275.png,8,5
01276.png,18,31
01277.png,14,17
01279.png,0,4
01281.png,1,7
01282.png,14,10
01284.png,11,28
01286.png,11,30
01291.png,38,34
01292.png,14,17
01294.png,7,8
01296.png,29,26
01297.png,33,36
01298.png,28,13
01299.png,7,5
01301.png,18,20
01304.png,33,34
01306.png,4,8
01307.png,19,20
01308.png,23,20
01313.png,10,1
01317.png,25,11
01319.png,35,40
01323.png,5,4
01331.png,4,8
01332.png,4,8
01337.png,1,8
01338.png,42,6
01339.png,31,20
01353.png,8,4
01356.png,28,18
01359.png,2,9
01360.png,26,20
01361.png,3,5
01363.png,11,30
01364.png,8,6
01368.png,40,34
01370.png,33,34
01371.png,25,31
01372.png,2,1
01373.png,41,6
01375.png,18,26
01377.png,3,5
01378.png,34,35
01379.png,31,17
01383.png,38,39
01384.png,7,16
01385.png,4,8
01389.png,18,23
01392.png,25,18
01393.png,5,10
01395.png,42,6
01400.png,33,34
01402.png,30,13
01409.png,1,8
01412.png,18,19
01416.png,3,38
01417.png,3,5
01418.png,4,8
01420.png,12,2
01422.png,30,20
01425.png,14,17
01427.png,4,8
01431.png,27,23
01434.png,23,31
01435.png,18,26
01442.png,18,26
01450.png,35,34
01452.png,5,10
01453.png,4,8
01456.png,38,12
01457.png,5,7
01461.png,3,5
01464.png,31,20
01466.png,8,2
01471.png,2,8
01472.png,3,5
01475.png,18,31
01476.png,2,1
01482.png,1,8
01484.png,8,5
01487.png,32,12
01489.png,12,41
01491.png,2,5
01494.png,7,8
01495.png,34,2
01496.png,38,17
01501.png,8,7
01503.png,9,10
01506.png,1,9
01512.png,18,26
01517.png,42,10
01519.png,0,8
01524.png,30,10
01525.png,18,26
01531.png,1,8
01533.png,14,17
01535.png,3,5
01537.png,39,34
01538.png,5,8
01539.png,25,31
01541.png,29,26
01543.png,9,10
01546.png,2,4
01549.png,25,28
01553.png,3,5
01555.png,1,8
01556.png,4,8
01557.png,28,18
01558.png,2,9
01561.png,2,1
01565.png,1,8
01568.png,2,8
01571.png,1,7
01573.png,3,8
01574.png,9,10
01578.png,3,2
01579.png,28,25
01585.png,7,10
01587.png,35,34
01592.png,17,14
01593.png,10,5
01594.png,11,1
01599.png,4,8
01602.png,1,8
01606.png,18,26
01610.png,16,10
01614.png,12,14
01616.png,9,8
01619.png,2,5
01625.png,25,20
01628.png,21,11
01632.png,25,1
01638.png,23,25
01639.png,9,10
01640.png,33,34
01643.png,19,10
01646.png,34,38
